l_id,n_id_start,n_id_end,voltage,cables,type,frequency,name,operator,length_m,r_ohm_km,x_ohm_km,c_nf_km,i_th_max_km,not_accurate
1,172007427,171992870,110000,3,line,50,110kV Podolszyce - Gąbin-2x110kV Podolszyce - Płock Góry- Podolszyce - Gąbin,Energa,22538.0,,,,,Yes
2,172007427,172004269,110000,3,line,50,110kV Podolszyce - Płock Góry-110kV Podolszyce - Gąbin,Energa,24083.0,,,,,
3,172007427,105524865,110000,3,line,50,110kV Gąbin - Szkarada,Energa,19976.0,,,,,
4,175996936,278911050,110000,3,line,50,110kV Drawsko Pomorskie - Złocieniec,,18587.0,,,,,
5,175996936,175996215,110000,3,line,50,110kV Węgorzyno - Drawsko Pomorskie,,17697.0,,,,,
6,87990282,172909591,110000,3,line,,110kV Wołomin - Wołomin Słoneczna,,3320.0,,,,,
7,87990282,172826877,110000,3,line,,110kV Wołomin - Radzymin,,11352.0,,,,,
8,87990282,172822147,110000,3,line,,110kV Pustelnik - Wołomin,,10928.0,,,,,
9,153092111,153150724,110000,3,line,,,,182.0,,,,,
10,153092111,184734669,110000,3,line,,110kV Kłokocińska - Folwarki,,4837.0,,,,,
11,153092111,153150734,110000,3,line,,110kV Folwarki - Żory,,4165.0,,,,,
12,279748630,216975352,110000,3,line,50,110kV Konin - Konin Południe-110kV Konin Niesłusz - Władysławów-2x110kV Konin - Niesłusz- Niesłusz - Władysławów-2x110kV Konin - Niesłusz / Południe,Energa,10345.0,,,,,Yes
13,279748630,384006144,110000,3,line,50,2x110kV Konin - Konin Południe- Niesłusz - Władysławów-110kV Konin Niesłusz - Krągola-110kV Konin Niesłusz - Władysławów-2x110kV Konin - Niesłusz- Niesłusz - Władysławów,Energa,14338.0,,,,,Yes
14,279748630,279748631,110000,3,line,50,2x110kV Konin - Konin Południe- Niesłusz - Władysławów-110kV Konin Niesłusz - Władysławów-2x110kV Konin - Niesłusz- Niesłusz - Władysławów-110kV Konin - Konin Południe,Energa,9544.0,,,,,Yes
15,257959257,101914967,110000,3,line,50,110kV Gietrzwałd - Ostróda,,24107.0,,,,,
16,257959257,101914781,110000,3,line,50,110kV Olsztyn Mątki - Gietrzwałd,Energa,13901.0,,,,,
17,286556186,167790829,110000,3,line,,110 kV Biskupice - Stefanów,,23981.0,,,,,
18,286556186,195553134,110000,3,line,,110 kV Bogdanka - Stefanów,,3680.0,,,,,
19,263086126,313838762,110000,3,line,,Linia 110kV Sanok Trepcza - Stomil,,6354.0,,,,,
20,263086126,199536751,110000,3,line,,Linia 110kV Sanok Trepcza - Dynów,,37798.0,,,,,
21,105201711,217899005,110000,3,line,50,110kV Miasteczko-Kalety-110kV Wrzosowa - Kalety,,33695.0,,,,,Yes
22,105201711,218390484,110000,3,line,50,110kV Miasteczko-Kalety-110kV Wrzosowa - Kalety,,14820.0,,,,,Yes
23,105201711,175187161,110000,3,line,50,110kV Wierzbowa - Miasteczko Śląskie,,16761.0,,,,,Yes
24,105201711,181770635,110000,3,line,50,110kV Miechowice - Powstańców-110kV Wierzbowa - Miasteczko Śląskie,,18204.0,,,,,Yes
25,105201711,181757946,110000,3,line,50,,,1555.0,,,,,
26,105201711,181753963,110000,3,line,50,,,842.0,,,,,
27,256187061,260506345,110000,,line,,110kV Warlubie - Majewo,Energa/Enea,28227.0,,,,,
28,256187061,178175022,110000,6,line,50,2x110kV Grudziądz Strzemięcin - Warlubie/Żur-110kV Grudziądz - Warlubie,Energa-Enea,17689.0,,,,,
29,256187061,239544048,110000,3,line,50,110kV Grudziądz - Żur-110kV Grudziądz - Warlubie,Enea,41766.0,,,,,
30,180535363,180680587,110000,,line,,110kV Żukowice - Potoczek S-447,,13483.0,,,,,
31,180535363,180556480,110000,3,line,,110kV Żukowice - Huta Głogów 1,,2506.0,,,,,
32,180535363,295976756,110000,3,line,50,110kV Żukowice - Sława,,32863.0,,,,,
33,180535363,178613256,110000,3,line,,110kV Żukowice - Bytom Odrzański,,14555.0,,,,,
34,180535363,178610529,110000,3,line,,110kV Żukowice - Przemków,,24214.0,,,,,
35,180535363,180537057,110000,3,line,,110kV Żukowice - Jakubów,,8906.0,,,,,
36,180535363,395803908,110000,3,line,,110kV Żukowice - Huta Cedynia,,32505.0,,,,,
37,180535363,180675916,110000,3,line,,110kV Żukowice - Brzegowa,,8661.0,,,,,
38,180535363,180672562,110000,3,line,,110kV Żukowice - Brzostów,,3737.0,,,,,
39,239697994,197208427,110000,3,line,,110kV Włocławek Zawiśle - Lipno,Energa,22922.0,,,,,
40,239697994,239021577,110000,4,line,50,110kV Włocławek Wschód - Zawiśle,Energa,2238.0,,,,,
41,200237131,178756295,110000,3,line,,110kV Cieplice - Hallerczyków,,10485.0,,,,,
42,200237131,178787992,110000,3,line,,110kV Jelenia Góra Hallerczyków - Marciszów,,22617.0,,,,,
43,183418970,183259405,110000,3,line,,110kV Halemba - Zalewisko/Wentylatory-110kV Halemba - Wentylatory-110kV Halemba - Zalewisko,,5518.0,,,,,Yes
44,183418970,183420034,110000,3,line,50,110kV Halemba - Wentylatory-110kV Halemba - Zalewisko,,3726.0,,,,,
45,183418970,183421270,110000,3,line,50,110kV Zabrze - Zalewisko/Wentylatory-110kV Zabrze - Wentylatory,,7400.0,,,,,Yes
46,246808675,237133326,110000,3,line,50,110kV Kutno - Sklęczki,Energa,9535.0,,,,,
47,246808675,280896052,110000,3,line,50,110kV Gostynin - Sklęczki / Kutno,Energa,25863.0,,,,,
48,246808675,246716772,110000,6,cable,50,110kV Sklęczki - PKP Kutno,PKP Energetyka,1678.0,,,,,Yes
49,172761192,321541394,110000,3,line,50,-110kV Warka - Grójec,,22553.0,,,,,Yes
50,172761192,173582810,110000,3,line,50,110kV Kozienice - Warka-110kV Warka - Grójec,,55841.0,,,,,
51,172761192,29098336,110000,3,line,50,Grójec - Piaseczno,,37795.0,,,,,
52,301326450,179138441,110000,3,line,,110kV Świebodzice - Uczniowska,,7220.0,,,,,
53,154894455,299354328,110000,3,line,,110kV Czarna - Legnica Północna,,23597.0,,,,,
54,154894455,255413916,110000,3,line,,110kV Czarna - Lubin Przylesie,,7510.0,,,,,
