l_id,n_id_start,n_id_end,voltage,cables,type,frequency,name,operator,length_m,r_ohm_km,x_ohm_km,c_nf_km,i_th_max_km
1,144400130,144374439,220000,3,line,,,,12708.0,,,,
2,144400130,124722161,220000,3,line,,,,20902.0,,,,
3,144396420,144398555,220000,3-6,line,50,,,45107.0,,,,
4,144396420,124722161,220000,3-6,line,50,,,65174.0,,,,
5,144396420,126366408,220000,3-6,line,50,,,49945.0,,,,
6,144396420,127205502,220000,3,line,,,,58422.0,,,,
7,144396420,144396412,220000-400000,3-6,line,,,,12670.0,,,,
8,144396420,144374439,220000,3,line,,,,32814.0,,,,
9,144396420,144396428,220000,3,line,,,,2153.0,,,,
10,127205641,127205502,220000,3,line,,,,1109.0,,,,
11,24636044,144762180,220000-150000,3-6,line,50,,,20019.0,,,,
12,24636044,435865807,220000,3-6,line,50,,,24893.0,,,,
13,24636044,24636062,220000,3-6,line,50,,,15564.0,,,,
14,24636044,144654759,220000,3-6,line,50,,,18507.0,,,,
15,24636044,151168335,220000,3-6,line,50,,,19515.0,,,,
16,24636044,144651478,220000,3-6,line,50,,,28107.0,,,,
17,24636044,131715746,220000,3-6,line,50,,,90510.0,,,,
18,24636044,151166980,220000,3-6,line,50,,,57025.0,,,,
19,144545398,144584585,220000,3-6,line,50,,,41072.0,,,,
20,144545398,144374442,220000,3-6,line,,,REN,78512.0,,,,
21,144545398,144439469,220000,3-6,line,,,REN,43133.0,,,,
22,144545398,144374439,220000,3-6,line,,,REN,121234.0,,,,
23,144545398,144545399,220000,3,line,,,,30506.0,,,,
24,144545398,144584580,220000,3-6,line,,,,22701.0,,,,
25,144545398,144564903,220000,3,line,,,,66946.0,,,,
26,144545398,131715746,220000,3,line,50,,,76611.0,,,,
27,435865807,131715746,220000,3-6,line,50,,,38801.0,,,,
28,435865807,144703168,220000,3,line,50,,,56754.0,,,,
29,435865807,144596347,220000,3-6,line,50,,,34808.0,,,,
30,151111218,144377301,220000,3-6,line,,,,6529.0,,,,
31,127205653,144374439,220000,6,line,,,,65736.0,,,,
32,127205653,144387430,220000,3,line,,,,74087.0,,,,
33,127205653,144385735,220000,3-6,line,,,,99814.0,,,,
34,127205653,144385734,220000-400000,3-6,line,,,,109758.0,,,,
35,144584580,144588414,220000,3-6,line,,,,48865.0,,,,
36,144584580,144584585,220000,3-6,line,50,,,66256.0,,,,
37,24636062,183668286,220000,,cable,50,,,4494.0,,,,
38,144586949,144584585,220000,3,line,50,,,26373.0,,,,
39,131715746,144564903,220000,3,line,50,,,40009.0,,,,
40,144374439,144374442,220000,3,line,,,,49277.0,,,,
41,144374442,142658477,220000,3-6,line,,,,40768.0,,,,
42,144374442,116944631,220000,3-6,line,50,,,41217.0,,,,
43,142658477,124722161,220000,3-6,line,50,,,10578.0,,,,
44,47911346,47895778,220000,3-6,line,,,Red Eléctrica de España,716.0,,,,
45,144584585,137667702,220000,3-6,line,50,,,28045.0,,,,
46,144552378,144432489,220000,3-6,line,50,,,55040.0,,,,
47,402947133,144762180,220000,12,cable,50,,,1523.0,,,,
48,183668286,151168335,220000,,cable,50,,,7535.0,,,,
49,144386243,144385734,220000,3,line,,,,45585.0,,,,
50,142182853,144377301,220000,3-6,line,,,,10451.0,,,,
51,142182853,124722161,220000,3-6,line,,,,20319.0,,,,
52,144385734,144385735,220000,3,line,,,,39435.0,,,,
53,144433994,137667702,220000,3-2-4,line,50,,,17763.0,,,,
54,144433994,144432478,220000,3-2-4,line,50,,,28824.0,,,,
55,144432478,127205502,220000,3,line,,,,61839.0,,,,
56,144432478,144432485,220000,2-4-6,line,,,,19273.0,,,,
57,144432478,144432489,220000,6,line,,,,72978.0,,,,
58,47895778,127205502,220000,3-6,line,,,,41747.0,,,,
59,121159140,144432489,220000,3-6,line,,,,24906.0,,,,
60,144588414,144596347,220000,6,line,,,,52353.0,,,,
61,144601080,144599061,220000,3,line,,,,77339.0,,,,
62,144622215,109866595,400000-150000,3-6,line,50,,,12188.0,,,,
63,144622215,144635505,400000,3,line,50,,,59482.0,,,,
64,144622215,129055610,400000,3,line,50,,,17864.0,,,,
65,24636044,144608818,400000,3-6,line,50,,,25046.0,,,,
66,24636044,151168335,400000,3-6,line,50,,,18377.0,,,,
67,24636044,131715746,400000,3,line,50,,,53189.0,,,,
68,24636044,129055610,400000,3,line,50,,,68198.0,,,,
69,151162388,144564903,400000,3-6,line,50,,,62636.0,,,,
70,151162388,151162382,400000,3,line,,,,1107.0,,,,
71,144599061,84526032,400000,3-4,line,,,,25977.0,,,,
72,144599061,144573746,400000,3-4,line,,,,40932.0,,,,
73,131715746,144573746,400000,3,line,,,,3898.0,,,,
74,131715746,144554435,400000,3-6,line,50,,REN,80091.0,,,,
75,131715746,124722161,400000,3-6,line,,,REN,131223.0,,,,
76,144385734,144396412,400000-220000,3-6,line,,,,87613.0,,,,
77,144385734,47911346,400000,3,line,,,,6284.0,,,,
78,144564903,144573746,400000,3,line,,,,65963.0,,,,
79,144564903,124722161,400000,3-6,line,50,,REN,152400.0,,,,
80,144564903,144439469,400000,3-6,line,50,,REN,79132.0,,,,
81,144564903,129055610,400000,3-6,line,50,,,128843.0,,,,
82,144564903,144608818,400000,3-6,line,50,,,81041.0,,,,
83,144439469,144439472,400000,3-6,line,,,REN,60667.0,,,,
84,144439472,144396412,400000,3-6,line,,,REN,61660.0,,,,
85,144639174,144635505,400000,3,line,50,,,63988.0,,,,
86,135457228,135457230,400000,3,line,,,,421.0,,,,
87,132865612,135457230,400000,1-3-6,line,,,Redes Energéticas Nacionais,59552.0,,,,
88,132865612,124722161,400000,1-3-6,line,,,Redes Energéticas Nacionais,34163.0,,,,
89,132865612,151061884,400000,1-3-6,line,,,Redes Energéticas Nacionais,21215.0,,,,
90,144608818,138358013,400000,3,line,,,,339.0,,,,
91,144708196,129055610,400000,3-6,line,50,,,7371.0,,,,
92,47911346,144327157,400000,3,line,50,,Red Eléctrica de España,17637.0,,,,
