id,n1_id,n2_id,length,voltage
1,1,2,30913.3594774,10000
2,3,4,14359.2037175,10000
3,3,5,39294.2680496,10000
4,6,7,39174.8760646,10000
5,8,7,14956.1356479,10000
6,9,10,32677.2321522,10000
7,11,12,37410.2194364,10000
8,13,7,8210.9552098,10000
9,14,15,2442.68748884,10000
10,5,16,18143.5506946,10000
11,10,7,4692.28609611,10000
12,17,7,16711.2975534,10000
13,17,18,34657.7835681,10000
14,16,19,20081.7399445,10000
15,20,21,449.20539229,10000
16,22,23,31127.30702,220000
17,24,25,11558.0324244,220000
18,26,27,2150.69123442,220000
19,28,29,72578.4873797,220000
20,28,30,136966.130503,220000
21,28,31,163335.440009,220000
22,28,9,141213.860436,220000
23,28,32,124327.19764,220000
24,28,33,113045.032686,220000
25,28,34,18623.3785622,220000
26,9,7,30335.1130048,220000
27,35,36,34350.4492006,220000
28,37,38,53933.8205684,220000
29,39,40,9380.055401,220000
30,39,41,23958.1144489,220000
31,42,27,67943.7725767,220000
32,43,44,128157.90558,220000
33,43,45,6657.55231904,220000
34,46,47,1888.43231204,220000
35,46,48,58955.1199197,220000
36,46,49,49044.1669153,220000
37,50,51,10177.345015,220000
38,50,52,72606.0670346,220000
39,50,53,115965.234246,220000
40,54,45,53566.5335075,220000
41,55,25,46104.0513856,220000
42,55,56,30592.3060905,220000
43,57,58,70035.2344869,220000
44,59,60,14301.165414,220000
45,61,62,41393.5899559,220000
46,62,34,25852.3471065,220000
47,63,64,58303.7194637,220000
48,63,65,33371.9415889,220000
49,66,64,21659.3866747,220000
50,49,51,49110.4482347,220000
51,67,65,34132.0460593,220000
52,68,69,55076.46608,220000
53,7,70,37415.8764782,220000
54,71,46,214866.808615,400000
55,71,52,118533.376292,400000
56,40,39,9367.01870175,400000
57,72,42,31369.6009178,400000
58,9,73,50532.1032292,400000
59,9,58,82074.4440238,400000
60,39,74,70661.8052548,400000
61,39,75,94742.6646978,400000
62,45,58,181980.578216,400000
63,45,60,93180.494648,400000
64,46,25,17760.1767723,400000
65,46,58,36941.1006211,400000
66,46,76,33741.4567843,400000
67,77,73,19563.3121184,400000
68,25,60,12810.0382289,400000
69,25,78,1864.1780515,400000
70,79,80,59580.0514965,400000
71,79,69,33792.5717186,400000
72,14,60,55540.8626826,400000
73,14,81,96317.0944823,400000
74,14,52,34433.0901385,400000
75,59,60,14105.1656539,400000
76,74,52,104767.523908,400000
77,82,65,133295.596318,400000
78,78,83,447.754738027,400000
79,69,34,68556.1157455,400000
80,58,34,127850.737248,400000
