n_id,longitude,latitude,type,voltage,frequency,name,operator,not_accurate
48374400,27.2297025301,47.8394757796,station,0,,,,
46584322,27.534915357,47.7789501037,station,0,,,,
209067396,26.0091644873,44.8841348876,station,0,,,,
30621843,25.8868930706,44.8135221847,station,0,,,,
30622639,25.7944233937,45.026393215,station,0,,,,
207939980,24.7182350503,46.7633919078,station,0,,,,
97334781,24.4796356701,46.4952658953,station,0,,,,
176819478,24.5640323006,46.5630838334,station,0,,Statie de transformare 110kV/20kV,,
234876695,24.1829946171,46.4661794394,sub_station,0,,,,
97418808,24.5109670537,46.514275099,station,0,,,,
204932122,25.7162533329,45.6248766956,station,0,,,,
198333274,26.051157133,45.6823734677,station,0,,,,
97334822,24.5627339956,46.533809544,substation,0,,,,
28251692,25.9674157119,44.4058305957,station,0,,,,
30618879,25.9764819111,44.4238689935,generator,0,,CET Vest,,
37036252,25.9917226426,44.954209436,station,0,,,,
176828096,24.3607189984,46.5810220825,station,0,,,,
235313249,24.4023598939,46.690851043,station,0,,,,
29975403,25.9724810373,44.8963001562,station,0,,,,
278910976,23.3184388323,45.0746405649,substation,0,,,,
199657993,23.3531483171,44.7697122307,station,0,,,,
208744453,22.6671851716,44.6425321236,substation,0,,,,
228718321,22.538864099,44.6724112076,sub_station,0,,,,
198276673,27.7250782824,46.6234545077,station,0,,,,
202461729,27.4806569229,47.1779503961,station,0,,,,
98111242,22.9183475855,45.7949154863,station,0,,,,
196654384,23.5708842742,46.0890520437,station,0,,,,
208263479,23.8732435408,46.5341095128,station,0,,,,
198283094,23.4598775168,46.739824578,station,0,,,,
196654364,23.5953631502,45.671171867,station,0,,,,
196654362,23.6355798215,45.7612390001,station,0,,,,
88174437,22.8259411301,45.9124412558,plant,0,,Termocentrala Mintia,,
108198802,23.0588226266,44.1134941628,station,0,,,,
108198777,22.9552306268,43.9721204184,substation,0,,,,
30621463,26.1233973452,44.9404720953,station,0,,,,
198310955,26.7166731118,45.0760352482,station,0,,,,
196672665,27.8555211217,45.2233124744,station,0,,,,
196672685,27.9215386283,45.1666030405,station,0,,,,
88174813,27.9787803105,45.433530153,plant,0,,Galați Power Station,Termoelectrica,
202948507,26.2443124333,47.6191112904,station,0,,,,
210609562,24.9425939729,44.7865758094,station,0,,,,
208294493,24.2746136008,45.012055493,station,0,,,,
205384220,24.8957170662,44.7624887731,station,0,,,,
198777633,24.3942036289,44.4508256503,substation,0,,,,
223680127,24.3781642894,44.4443765714,substation,0,,,,
421929873,23.7175172747,44.3889053798,plant,0,,,,
198777681,23.8367952988,44.366291347,station,0,,,,
103213478,25.8496604159,43.9472491791,station,0,,,,
182886368,24.8997235375,43.7576815037,station,0,,,,
23575521,26.1559820735,44.4026718272,station,0,,,,
74348980,26.8388372311,44.3330624466,station,0,,,,
97872423,25.4271852006,44.8927209983,station,0,,,,
208263464,21.9213573114,45.3453601375,station,0,,,,
204983664,22.2255133714,45.4630819157,station,0,,,,
206558254,23.9440038094,45.3870501498,substation,0,,,,
196654321,24.1946668586,45.7854916511,station,0,,,,
288600947,23.1387279321,44.9086669413,substation,0,,Rovinari,,
199657972,23.2568364292,44.9713148483,station,0,,,,
198901559,22.8336048511,45.4780168442,station,0,,,,
71212865,22.9163423549,45.7351964896,station,0,,,,
200720497,23.6000674511,47.633600774,station,0,,,,
172029146,23.3275668868,47.2363533709,station,0,,,,
182655738,23.2203571613,47.7087693314,station,0,,,,
267616969,23.1810651346,46.6992236347,sub_station,0,,,,
184476519,22.8112497449,47.773220919,station,0,,,,
208872170,21.1588493289,45.7603270209,station,0,,,,
101158766,21.3779986783,46.1833339232,station,0,,,,
266629200,25.5715932667,46.7089723115,generator,0,,Electrica,,
57888909,27.3458049496,44.2402539394,station,0,,,,
234876688,26.9265229791,46.9612306449,station,0,,,,
196557387,23.85667194,46.8170132964,station,0,,,,
224849342,28.7587939308,45.1519406328,station,0,,,,
232578495,27.764599579,44.6938090174,station,0,,,,
125672002,26.8222456075,46.2238142532,station,0,,,,
204969810,24.5099203784,44.1767991498,station,0,,,,
205252518,23.6390048802,46.7952015083,substation,0,,Statia Cluj Est,CNTEE Transelectrica SA,
238952272,22.5244170765,44.6651443025,sub_station,0,,,,
195155625,21.5261150399,46.4655737573,station,0,,,,
195168461,21.0142677457,46.7068539072,substation,0,,,,
198333299,25.651765183,45.6247547583,station,0,,,,
191363648,21.9477223527,47.0215454477,station,0,,,,
342979123,22.5268943301,44.6687428567,plant,0,,Хидроелектрана Ђердап I,,
