l_id,n_id_start,n_id_end,voltage,cables,type,frequency,name,operator,length_m,r_ohm_km,x_ohm_km,c_nf_km,i_th_max_km
1,273601210,236110936,220000,3,line,50,,,64310.0,,,,
2,273601210,144936638,220000,3,line,50,,,30289.0,,,,
3,330729178,317497727,220000,3,line,50,,,1754.0,,,,
4,330729178,52564762,220000,3,line,50,,,33067.0,,,,
5,330729178,239998425,220000,3,line,,,,10575.0,,,,
6,273601208,144936638,220000,3,line,50,,,44922.0,,,,
7,273601208,52456886,220000,3,line,50,,,2921.0,,,,
8,236134509,52564762,220000,3-6,line,50,,,27846.0,,,,
9,288282829,52564762,220000,3,line,,,,49226.0,,,,
10,288282829,317497727,220000,3,line,,,,57201.0,,,,
11,239947121,239998425,220000,3,line,,,,37095.0,,,,
12,254397982,254397981,220000,3,line,50,,,2112.0,,,,
13,52456886,254397981,220000,3,line,50,,,22046.0,,,,
14,52564762,317497727,220000,3,line,,,,71403.0,,,,
15,174921474,238952272,400000,3,line,,,,82621.0,,,,
16,174921474,239998425,400000,3,line,,,,87003.0,,,,
17,174921474,52456886,400000,1-3,line,50,,,49555.0,,,,
18,238954545,89109496,400000,3,line,,,,55525.0,,,,
19,236110952,236110936,400000,3-6,line,,,,61314.0,,,,
20,236110952,144936638,400000,3,line,,,,90414.0,,,,
21,100962927,89109496,400000,3,line,50,Sándorfalva - Subotica,,48160.0,,,,
22,238952272,342979123,400000,3,line,,,,448.0,,,,
23,238952272,228718321,400000,3,line,,,,1864.0,,,,
24,238952272,238249884,400000,3,line,,-Djerdap Hydroelectric Dam to Bor Mine,,82793.0,,,,
25,199345587,52564762,400000,3,line,,,,96131.0,,,,
26,199345587,240179355,400000,3,line,,,,36353.0,,,,
27,52456886,239998425,400000,1-3,line,50,,,22762.0,,,,
28,89109496,144936638,400000,3,line,,,,81905.0,,,,
29,239998425,52564762,400000,3,line,,,,48664.0,,,,
