n_id,longitude,latitude,type,voltage,frequency,name,operator,not_accurate
367560194,19.8541380499,45.0076227282,sub_station,0,,,,
372920802,19.7883711671,45.009149114,substation,0,,,,
419791875,19.9224011433,44.0052386903,substation,0,,,,
302807200,19.9217031405,44.2813614565,substation,110000;35000;10000,,"ТС 110/35/10 kV ""Ваљево 1""",EMS,
419791882,19.9214214048,44.067539163,substation,0,,,,
368399876,20.6259507573,45.6772765625,sub_station,0,,,,
368267395,20.4322378724,45.8201144307,sub_station,0,,,,
358308892,20.6320804322,45.5114840917,sub_station,0,,ЕПС Трансформаторска станица - Торак,EPS Snabdevanje,
381166087,20.4906189088,44.7537479388,substation,0,,,,
330729178,20.4654610198,44.7205159913,substation,0,,,,
307090968,20.5032490578,44.7787700801,substation,0,,,,
408073987,20.5418806298,44.3183988849,substation,0,,,,
180603114,20.2968326069,44.4803651635,plant,0,,Термоелектрана Колубара,Електропривреда Србије,
408044744,20.6985087236,44.4244722964,substation,0,,,,
409106002,20.6981713139,44.2486774669,substation,0,,,,
254397979,20.9500686722,44.7507621687,substation,0,,,,
52456886,20.6990107491,44.8686104672,substation,0,,,,
254397980,21.1161915649,44.7496433416,substation,0,,,,
174923296,21.2758678865,44.7389187973,station,0,,,,
174921475,21.2550693933,44.712730848,sub_station,0,,,,
237233185,19.2595214649,45.4946804715,substation,0,,,,
113732372,19.0071934264,45.666638275,substation,0,,,,
374796838,19.0832022313,45.7856544435,substation,0,,,,
374911800,19.1430123557,45.7652318839,substation,0,,,,
238954545,19.1671270134,45.7672765511,substation,0,,,,
376442357,19.4227426302,45.9537634927,substation,0,,,,
109883965,20.0571902353,45.9306078494,sub_station,0,,,,
273601210,19.7678076034,45.5376068599,substation,0,,Електроисток,,
113511812,20.0940409085,45.9131967316,sub_station,0,,,,
367037212,20.0341452081,46.0484683328,sub_station,0,,,,
185988168,19.2419435606,45.1206608087,station,0,,,,
137661432,19.0480475289,45.1539512568,station,0,,TS Nijemci,,
281069650,21.2780642287,45.1218928409,substation,0,,,,
52437646,20.6192421437,45.0695576517,substation,0,,,,
378246074,21.2782717211,45.1056655099,substation,0,,,,
378246058,21.4113374152,44.9066096941,substation,0,,,,
236110936,19.6124395078,45.0162055633,substation,0,,,,
372649612,19.7089611972,45.2108620365,substation,0,,,,
382875578,20.2422642388,44.6542145207,substation,0,,,,
364772448,20.0716278215,45.0373743965,sub_station,0,,,,
314456280,19.8834983692,45.2317419911,sub_station,0,,,,
236134504,20.4066019526,44.7646605214,substation,0,,,,
364852969,20.2216812707,44.6419440778,sub_station,0,,,,
174931561,21.1696978111,44.7220626254,sub_station,0,,,,
150680543,21.2128521375,44.7281740739,generator,0,,ТПП „Костолац Б“,Електропривреда Србије,
175208276,21.189477364,44.6536248926,station,0,,,,
174908973,21.1722127713,44.7225677676,generator,0,,ТПП „Костолац А“,Електропривреда Србије,
239947121,20.9635186068,44.5966863359,substation,0,,,,
282847850,19.6511207569,44.9657321232,substation,0,,,,
364845000,19.9609453493,44.8871579198,substation,0,,,,
387797105,19.4934007471,44.8205255397,substation,0,,,,
282849566,19.5817050164,44.9871583486,substation,0,,,,
395702387,20.2351199394,44.3867302279,substation,0,,,,
302819985,20.0908422275,44.3453880245,substation,0,,Железнице Србије - ЕВП Словац,,
365923518,20.0451494532,45.3711299357,sub_station,0,,,,
365760752,19.913103576,45.4113721254,sub_station,0,,,,
465796201,20.3456510866,43.882021696,substation,0,,,,
465563809,20.2336310645,43.7882054235,substation,0,,,,
380356728,20.5648361842,44.7447141068,substation,0,,,,
378852102,20.6758709356,44.8340741414,substation,0,,,,
372649598,19.4161490699,45.2495968273,sub_station,0,,ТС Бачка Паланка,,
