l_id,n_id_start,n_id_end,voltage,cables,type,frequency,name,operator,length_m,r_ohm_km,x_ohm_km,c_nf_km,i_th_max_km
1,93468020,51982806,220000,3,line,50,,,17599.0,,,,
2,51982806,8653261,220000,3,line,50,,,17976.0,,,,
3,239560640,107626084,400000,3-6,line,,,,109809.0,,,,
4,239560640,122257444,400000,3-6,line,,,,93707.0,,,,
5,239560640,144161630,400000,3-6,line,50,,,103684.0,,,,
6,239560640,128968280,400000,3,line,,,,131127.0,,,,
7,33881667,5131796,400000,6,line,50,,,45256.0,,,,
8,51982806,8653261,400000,3-6,line,50,,,20614.0,,,,
9,51982806,5131796,400000,3,line,50,,,45750.0,,,,
10,203232760,122257444,400000,3,line,,,,37300.0,,,,
11,93468022,8653261,400000,3,line,,,,1891.0,,,,
12,142106943,350933543,400000,3,line,50,,,841.0,,,,
