id,lon,lat,name,osm_id,voltage,type,line_string
1,17.6611254833,48.4137581582,None,94450174,220000,line,0102000020E610000038000000D6A6265AB0AD314030C9728AE43E4840E6A394A983AD3140D6F3B7D4903E4840D2A8597018AD3140C37711F76A3E484053DBCF47F5AC3140204E43A53D3E484070C77425AFAC314017FBA690DB3D4840F6E3E59A67AC31405F6D2FF8783D484028E8391A24AC3140E908B8B21A3D4840F7866ED8DEAB3140B8846318BA3C48402FEFA82097AB31404CA81145573C484065BEA97650AB3140A3F8A205F53B484064630C130FAB314016BF37AF953B4840C6D4547ED0AA3140A97DDF02403B4840FA71E2EF8BAA3140260166F6DF3A48406379840847AA31406038FD05803A48400444FECCFBA931406218C6B71A3A48403B13FF22B5A931400A656074B63948406F49C6866FA93140A8284CD15339484033F3B59860A931404A372E57EA384840EFBBB24B51A93140BC10B4CB833848402B0AC1E042A93140B69F1FD31C38484004F3AFB432A93140588DE815B637484079DD45D521A93140056F11EB4F374840B7C48D5C12A9314024C29B93E8364840274B3DB405A9314002CCCE328C364840CF06AE89F5A83140FA0FD098263648403F8D5DE1E8A83140617E3268C03548404E799A4ED7A8314004A1808F5A354840A211CB69C9A831402D251754F3344840FA74A85BB8A8314030EA82CF8B34484005FDFEFFAAA8314088846A5C25344840DEBE9DB39EA831402F699FF0C1334840EB9FB75C8BA831400572D03D5B334840F95981E57BA83140E61A638BF4324840D010FDD46DA8314061FD52369332484007B08BEF5CA831403C2A13B430324840DD6607DF4EA83140598A6016D331484027D39E7B40A83140B9ECDB9375314840FD891A6B32A83140E8BF280E2131484039D8280024A83140C3015182C0304840422E0CC018A8314048F3E0A77730484051810F3B08A831404E58255019304840269F5138FBA73140C0DCC148B82F48402E5CFB05F1A7314033FF1306752F4840041377F5E2A73140AC29F7811C2F48401034078CD4A731404D4EA4F4B72E4840E883BC6DC5A73140AA1264C0532E4840913F2D43B5A731402CA7834EEF2D4840CE8D3BD8A6A7314054B53108932D484040465E1498A73140DFF17360312D4840B397BA4288A731409D313ED0CA2C4840F3B075AE76A73140C0C952D7622C484030D833236CA7314083453686112C4840A32990515CA7314020BF7FE4A92B484046A86A7E4CA73140A7CE83A64C2B4840BA9795434DA83140458B1A84242B484013E12CA682A8314087BCFFF91D2B4840
2,17.6628695424,48.4161245739,None,93471768,220000,line,0102000020E61000003E000000163B94FB4EAE3140FDA62E02183F48409F1B77F976AE3140404027690E3F48403CE8BDAE79AE3140D152A306F63E484051856163ABAE314085A3B8AFD93E4840862DAC734EAF314054712F1A7C3E4840397BC238A9AE31400A79AE213C3E4840303B576EECAD3140A52607B6F43D48404BE089EB41AD31402EBC2AE8B03D4840FAC9B9E7A0AC3140E66CD450743D4840FC2EA6965AAC31405EA7FAE9103D48406FBE9E5308AC3140B4870635A23C4840DD02D714C3AB31400DFFCF873F3C4840D306BD3F86AB31408139DEB3EB3B484038AA788F45AB31408DCE1D71903B4840D8FF01F305AB31403C7608AC383B484036A69D87CAAA31404F597D42E63A4840D662EDF88BAA31405651E03C903A48403822D6A445AA314000881A4B293A48409872CF9FF4A93140C16F9946B93948403300B3BBA9A9314041811C0450394840F7E9252999A93140CED5A635E338484094F9F6C88BA93140E8A6F1DB883848409B9D6D5B7FA93140D9EB538532384840A9706A1F72A93140FD290CE2DC374840F0D1DEF761A931403199CBF0783748407D38FD1456A9314096D6150E28374840F7EA45EB49A93140558BC75ED13648405DF7C8F13DA931402F5CBE2478364840A18D90F330A931409CD559DD1B364840DBA92BA424A9314059DE2657C8354840B23957731AA931406732C20F733548408A890C550BA93140DEB6CB5B1E35484061408844FDA83140BB5142C0C43448409E0080ABF1A83140135E8A28703448400E872F03E5A8314063A8905C1E3448404AD53D98D6A83140CEE52B60CD334840BB349DCFCDA8314037B8F5AC7D334840627E24D3BAA83140ABE0B1A3143348409B736F63B2A8314015CD818FC6324840D68F0A14A6A8314082CB594E70324840E57B478194A83140ED7DB1BF1A324840ED38F14E8AA83140AFC5FC89C531484091907B5B7EA83140B51AD2CD6E3148404B3228EE72A831409F41C4401B314840F1493C0D62A83140EC0E09E0AB304840465456FA56A831400312D30061304840BA179CFA49A83140CA2BE26108304840F6CC709D3CA83140A865E9B9B32F4840CD83EC8C2EA83140545A3A64532F4840DA3DB6151FA831400B6CA4F9EC2E484080EE03270DA8314048658C62852E4840F2A62663FEA731403F9E79DE2A2E4840FC954315F2A73140D042969BD52D4840A1860714E5A73140A4B17046812D4840DDD415A9D6A731405D6EDD8C292D4840502672D7C6A73140100DE876C12C48402A0F61ABB6A73140EF363024592C4840CFFF24AAA9A73140E2F6D0A4082C484075B072BB97A7314031F7DAC6A02B4840B2D730308DA7314079B37662592B4840BCC6F42A60A831405611D6FB362B48408D1B711E97A831404765DCAD302B4840
3,18.7101545265,48.7752202684,None,175187681,110000,line,0102000020E6100000490000008FB8F3E3B2A63240E986A486476B484022BF54D4FEA63240DB9F90F52D6B4840BB44C30383A73240E85FD970036B4840C31E6EA6FCA73240AE392980D96A484097F2DDFC78A832402B76DF2EB16A48401695E34504A93240BDA0CF23886A48404DCB5E6097A932403CF2AACB5C6A48408D06166B35AA3240A115346E216A48409EF01254C2AA3240C2258284F5694840A4841F0F61AB3240A15CEBB1C16948408F54043DECAB3240D3F41F41946948404FE366B386AC32402B339F3E61694840F9DC1A6013AD3240C5FE49C037694840FC3EB436B4AD32405B81F0C803694840CF36534248AE3240FCF87379D368484005467E3CDFAE3240C196DE06A3684840FE1AC6A461AF32401F72AAD5786848407640A57BF5AF3240E89E1EC24768484051439B0371B032409CA5007F1E6848405CC9B12302B132401449E472F0674840C47D520C7FB1324009AC7C8FC767484040FC015606B23240D0600C2D9B674840E27080C984B23240AF7F1AD973674840E5BCEDF314B33240A2F1E65E4367484065B5A244AFB332402F5B3F261267484045978A82F7B33240E5AC56C6D56648403848620F83B4324036AB7B1063664840F65AE51FC3B43240A1B47CE22D66484005ADC8D801B53240E9971711F7654840C4D87E2444B532404FF8755DC3654840C381AF5A84B532402D3F10C48E654840010F2189C3B53240BBE1865E5B6548407D67A074FFB5324066F70C5B2965484077D033734EB6324082DCE71CEB644840C90064E29BB63240BB1F155BAC6448406F7B17BEE9B632405ABDAA5B6B644840F915694230B73240382AC72130644840A9A38FCF75B73240FCDCF45EF76348403DDF5DC5B7B7324040345A9DBF6348409328DB4BFAB73240357C54F18A634840C9E2836E2CB8324011F17656616348401EF352C2E3B83240001A7C8CC9624840E88A25E824B93240565B88F293624840112431066CB93240F7E1D4245A624840EBBD5FD7B2B93240037FB2F01D624840F26BCCFDFDB93240C83E5DD0E161484073D78AE24BBA324098C749BFA0614840D9FD072FD2BA32405846B04D30614840229EDFA00FBB3240D03502B0FC6048401045A7BD50BB324099D83DC0C6604840EF9B72EE93BB32405B0BB9B09060484053837F33D3BB3240CBEE72DF5D604840A7027D13C3BB3240CC064224266048406E3796A0B2BB32401038ACC8E85F4840B963B74F9FBB32400200C701AA5F484019C1BADB90BB3240FA7A5FCF755F48408F9D40857FBB3240D538B8853B5F4840C0A989EF5FBB3240C1BC67CDC85E484054A601BA4DBB32408C2910448E5E4840A9F09E0241BB32405267037C545E48409B0D911E1ABB32400043E5F4DD5D48401D35FE0DE8BA3240DEF10CD5335D4840E0EC0A05D3BA3240D83782F7095D484086470F34CCB932400384D39AD05C4840D121C2083FB93240C814F929715C484004769D9534B932400BC72FF6375C484094AE4A2092B9324061ED1C60025C4840F44C8BA418BA3240209AFD01DC5B48402CC3891AAABA3240350D0ACCAE5B48400CB33586CBBB3240D1814DF1D55B4840A8141C4917BD3240DB9CBEE5275C4840E2625E93D4BE3240D4C15B73695C484008CAF6CC1DBF32409A0173AF7C5C4840
4,18.6006677062,48.8992617578,None,203229373,110000,line,0102000020E6100000330000008FB8F3E3B2A63240E986A486476B4840D1263E95FFA632405F2FEB7A736B484031F5FDC249A7324049FEA1339C6B48409AF250908CA7324085906ED8C26B48409A97B32C4BA732408BBF7615016C4840B78B5A6322A7324083A9B721326C484061EA537689A6324091879F90536C48404CC7F4A398A53240EB472F96896C484093E71E16FAA432408AEA0BC2AF6C4840D5E1FE4D1DA432406EFF2424DE6C4840DFBF43D54CA33240C19EEA370D6D4840B250758A00A3324070C7F4B2466D4840F17559A0AEA23240ABC036C5836D4840FA30290F5DA23240319FE8ADBF6D48409D2D16B80FA23240B6D25628F96D4840D6EE1305C2A13240E303F9AC336E484013BB341676A13240394ED89C6D6E48405379521E23A13240A08AD234AA6E48402A95BABCCEA03240FFAB29F4E76E4840FA33EF7A89A03240CE4490861B6F48400461A8BB3AA032400339CB354F6F4840262624C3E49F3240D6E797B8926F4840ED3F2348919F324022614915D16F4840904A2DD63D9F3240A534CC080F704840C4F717B1549E3240963065F4C07048409C856921039E324045B2B751FD70484030C0700CB59D3240C905CCF1367148400278F2E1649D32406FC6989E72714840107058F9129D3240640C141FB071484039AFE675C99C3240AC51465EE5714840868B8D85769C324018490A9E247248403EEEC910249C32403CE106F660724840B661A2DFD09B3240DC1550AE9F724840F803938B839B3240A2AAB817DA724840E1FA1323329B3240121C41F316734840E5C3D92CEE9A32406D77B7C8497348409C8DDCC59C9A3240F93EC16686734840E21B08948C993240EB6313404E744840B4A6777484983240CEE4295C997448402E5C86B6A49632405342D935087548404F1A13B9E895324065EFD82F7B75484018BD477E59953240F6AE2A571076484098318135969432407C0A5A50847648409CC6F9FB0C9432401F907D07E2764840364F2E97BD923240A76AF384B2774840F513D04340913240B1633B289E784840C763DA4C238B32403DABEF062B7948404A6E46676D8A324012E4CF963B7948408505FA722B8A32402AAB3EDF6C794840959DE1385F8932407F967364A679484009B5D5972D893240248CD090087A4840
5,18.5015877091,48.9790906937,None,87013590,110000,line,0102000020E61000001100000009B5D5972D893240248CD090087A484071CD9B24D488324080517B62417A4840CB8A5CDD6D883240DFA2C059827A484006C14A8B148832400E590F15BB7A48407B90D311BA8732407EC5618BF47A48401E29F4CD63873240E7CEF0542B7B4840408495CA2187324016AF8741557B48402C0DE15076853240F40036B8647C4840B618070B7183324094EFA4AD997C48405335873CEE81324040ED2A12BE7C48402B5DEFF5EF7C32408D767F028D7D48409DA7C244947B32407BBCC996BD7D4840929D7E1C647B3240BD88B229517E4840B9A48B96397B32407784500B807E4840B4B28131477B3240FB5DDE7E917F4840870D7FD6747A3240DC0B99840980484074747506F97832406AD5996ED4804840
6,18.3929281775,49.0430571223,None,149906737,110000,line,0102000020E61000001B0000005285EC909D4C324026D859AF55864840295D9D14AF4C324013B42B1C4C86484094A16242564D324071BFE2532E864840BB313FD7D54D3240CBD232901E864840AAB39DA05B4E3240C6D8EBF005864840A2506406FD4E32400151B9A519864840D11FD8ECAF4F32408C47B57D2F8648405C7B7A8E8150324026DCE49D4786484056F6F80B4C5132402F70E61560864840FAED387C91523240B448A6698786484024CBA2FD515332403D56BEAC9E86484076517506B553324036DD30A4AA8648407BEC56EAC6543240AC4DD4BCCB864840159EB74C525632400D3B07D2F8864840F109681D095732406118ECAA0D8748405FF28901B1573240FC5234CF208748409717E1A758583240FEF383EC338748406B6A2A852759324079F96E824B874840C2D3BCDDD8593240E60410BB5F87484012CB3E1A9B5A3240D296EFE075874840E48755945C5B32403DE682F08B874840D4E76B750B5C324099D5DADF9F8748408E0FD425BF5C3240199B5B5CB4874840EA22624F6F633240DB9B973BD6874840DF6ED303FA6C32400186DC2FB0854840AFD6E9ECE0703240EF0CEE107B82484074747506F97832406AD5996ED4804840
7,19.4837650138,49.0922612989,None,69908168,110000,line,0102000020E610000009000000AA48AFC9C87B3340A48BE43E7D8C4840646C9529227B3340253BCFF1368C48401E7FFE5D6F7B33406CCD47E90B8C484063BE03049C7B3340159BA6BEE78B484031D6F6BCCC7B3340213D38F6A68B48405A3D9C640F7C3340DE992295718B4840E64EDFF27D7C334072CD5CF2558B484009BE5FA9F17C3340D8B0B901388B4840CFD01672177D33408312F735308B4840
8,17.1214746515,48.8416761357,None,259240427,110000,line,0102000020E61000000A0000001BF5CF4A142131402E9BF6CB7D6B4840ECAD64747B203140ADAB0C66806B48404FDD4F25F71F3140433EB8FD7B6B4840A65D87A38A1F3140021EC295976B48402EC6BEFAF31E3140995BCFF5876B4840050977B99B1E31400FCFE867AB6B48402AD1132C2A1E3140F0E5B65BDA6B484059767CAC161E31409D4ED22C146C484031F27C782F1E31403A262FEE2C6C48403723EA766F1E3140132AF1CF506C4840
9,17.2659942703,48.7655908708,None,350178062,110000,line,0102000020E61000006B0000001BF5CF4A142131402E9BF6CB7D6B4840E7F1DCB0CD223140EB65ACA86B6B484028E4FBB2982331407D766D63626B4840A4A408B7652431404A63384C5A6B4840E9AC60D33A253140CB933E20516B48404190DE560C263140BD77C775476B4840986E6E7EAB26314014D460FF186B4840501CD1274C273140810B0A57EA6A4840E61E1835EF27314041327AE4BA6A48404BF4E04392283140DC21F53A8C6A4840B6AD96D22D2931403BABE6A95D6A4840DBAC2E60D2293140280C19532D6A4840A1833DD5742A31405BF5BE10FE694840E95267C0CB2A31406BC45083E4694840B6907D694E2B3140F88BFA6FBD694840EFFB72F7D02B3140582F302FA469484011C2B5090B2C31407D7FAFBD86694840FBE24107802C3140A30FF793636948400A635777272D314031686C283369484052CA8D24D32D3140C6B7C85601694840ABDA83C2762E31401B3F80EAD0684840A15E0A7F1C2F31402A37DA7DA06848406ED688F7C02F3140AAC4857B70684840FBAC43F45C30314085E0D601426848405DDEAF4CFF3031406AB3DB4013684840D50B917CB0313140947E62A2DE674840C507E8DE4F323140CABB10B7B0674840419CB666EE323140586AD48981674840FE381CE68F333140B672A61A51674840870FBD06393431404DA894F120674840CFE388049B353140CF660355B86648408F7DF46244363140C7A0037586664840CD145C25DB363140354743615A664840DE3BC86C7B3731409A2DE3FD2A66484071F3685A1E3831402F8A299AFB6548402F2C0F5BB0383140A367D764D065484069F2AEBA6D393140175E327698654840EF59602A0C3A3140FE7A54766A65484051EC8472CC3A31403EE5054F316548408CB03D05493B3140DF153B320C6548401E9D3E8AE83B3140D24ACFF1DD644840ED9FD90F923C3140FB80F127AC6448400504F6DB243D3140F22B2CE18164484092366EFEB23D3140AC7AEDDF56644840EE3B6822413E31402390855B2C64484033EE1DA5003F31408DDB4084F563484051C13690973F3140679A33BDC86348406FDD0160F43F31401EAEAA0DAD63484039D0647B7D403140EAF5635D866348401DEBAEA229413140BA641272546348402A9B29E0A14131403B3B5BDA32634840DA241CAE4B423140707D496D026348400816D87CD54231407B7A3768D66248405D52F2BAB4433140B80807A09A624840FCFDB79270443140C379DC3565624840D902A2552645314098E3DD30316248406E96138EB145314036CBAEAE09624840B77D50F259463140DB9B5007C96148402FE9CDB0C846314094A8DE9E9E6148403303E2D24D473140C7DD35866B61484090A115E9DA4731406A7B861936614840F36EC2C26D483140C736E940FE604840C1532F43E94831402FFD6A6DCF60484073DD211193493140A8C898B88D60484041CDA4E7164A3140D71D44895B6048405E1DB08CBF4A31408F915F101A604840E0C7D10A5B4B314034BEAE2DDF5F48405BE7AF31054C314008D19B459E5F48401BCFBBD0A64C314077E86F26605F4840D2E3F1F5414D31405D053925255F48404F9C090FEB4D31401442F51CE45E4840A6D649EE824E314087387627AA5E4840FFB4D915224F31401625A12E6D5E4840E039E46BC74F314001844478315E48409DEF7C266B50314034811495F65D4840D983C37D1D513140DD847911B55D48401408F9B49B513140F258C8EC865D484067E968214052314027D59CFC4A5D48401D97CBCAE0523140D869C9C6105D48407A9CC5EE6E533140C54D34C0DD5C4840CDE408D70D543140CD4C5A3CA45C48407CD5C1B2B8543140F9272CD9655C48405E65E25E66553140D413B19D285C484037971DF20156314012C8CD09EF5B48406196DCC99256314050FDC0C6BB5B4840AA9C67F519573140402FB038905B4840836FDED3D1573140E554301D565B4840FA5126527C583140C9708E4B205B4840D2F2294C3659314054C5DFF3E55A4840164F30C7E6593140BA1B8E76AD5A48405EE8CCEA965A3140AEC04704765A484005AAF226495B3140E3757EDF3D5A484049DFA881FD5B3140C96D1FFC035A484025E49244B35C3140AA8FA341CB5948400210CD27655D3140774587FC92594840AFA7C2FE155E3140EDAA72115B594840FE245910B85E3140CCB13CF92659484009FEFDCC735F3140900F10CDEB58484031CB49C006603140C4312BD8EC584840FA184A3FD160314014C2A65AEE584840F69EEB809D613140EA8A358EF0584840402C5FFA8D6231407A2E396AF25848403F0BC44054633140601A1663F4584840054AC6F3A163314033D7B1B0A7584840D0AC3882E66331404C31B1456458484060E8EC9B356431403E454B7D1558484036DEBEB67B643140223F5AACCF574840
10,17.3958506541,48.6760089311,None,191969994,110000,line,0102000020E610000009000000330809F86F6431401335B7B256554840361A0E53DE6431407286A80A88554840C75FB8008565314025D08384D155484070535121356631409B8AE92C1F564840ED382D9ED76531403BE77DE07A5648406885CF287B6531404BFB832DD5564840A49F907A27653140654DF29F2857484019C8C229D46431405EF2AA367A57484036DEBEB67B643140223F5AACCF574840
