id,n1_id,n2_id,length,voltage
1,1,2,70449.0048905,20000
2,1,3,50856.5578652,20000
3,4,3,56852.8874808,20000
4,4,5,13215.8407293,20000
5,4,6,66399.2561258,20000
6,7,8,2893.0729735,20000
7,6,9,11466.3018474,20000
8,6,10,53118.6179237,20000
9,11,12,8489.44228435,20000
10,13,14,11791.1092084,110000
11,13,15,12561.7738751,110000
12,16,17,9666.33141759,110000
13,16,18,11608.4017362,110000
14,16,4,20273.7236881,110000
15,19,14,5512.30951766,110000
16,19,20,11027.3432254,110000
17,19,21,23383.5617511,110000
18,19,22,1858.17693136,110000
19,19,23,3868.90862587,110000
20,19,24,7511.28845833,110000
21,19,15,31350.2440492,110000
22,25,26,21976.6446771,110000
23,27,1,4677.940718,110000
24,27,28,20409.2357804,110000
25,27,29,10388.7543253,110000
26,30,3,13547.3307301,110000
27,31,32,1614.5647029,110000
28,33,5,18733.9322506,110000
29,34,35,4552.94282946,110000
30,36,4,10948.7727372,110000
31,37,4,2701.60837431,110000
32,38,39,7428.59538947,110000
33,40,41,3550.57871872,110000
34,40,42,10926.377764,110000
35,43,44,21080.6283128,110000
36,43,28,42930.9926643,110000
37,43,1,20118.8129748,110000
38,45,4,29475.6916226,110000
39,45,46,44503.5672728,110000
40,47,48,13805.9489031,110000
41,49,50,24783.4668271,110000
42,49,48,21043.7049713,110000
43,49,51,17381.7903573,110000
44,49,28,22874.4955376,110000
45,52,3,17813.0169801,110000
46,1,20,18176.5398308,110000
47,1,53,7042.11172015,110000
48,32,54,35190.4486886,110000
49,32,39,33942.8986517,110000
50,55,56,15660.2475699,110000
51,55,57,33276.5623616,110000
52,4,58,15596.0257737,110000
53,4,18,22924.4705602,110000
54,4,11,12594.0615875,110000
55,4,59,3214.76939793,110000
56,4,60,8883.74446416,110000
57,4,5,19051.8059764,110000
58,61,6,22206.9553764,110000
59,62,63,3772.64701717,110000
60,64,65,12168.6107838,110000
61,66,67,24183.5756969,110000
62,65,68,11451.1609415,110000
63,68,15,11599.2545027,110000
64,17,69,2451.16016855,110000
65,69,18,4840.0513807,110000
66,70,71,16738.9389701,110000
67,70,6,30164.8566863,110000
68,72,73,30518.923112,110000
69,72,74,34952.5698428,110000
70,72,6,7893.60096694,110000
71,74,75,27880.5990453,110000
72,74,42,18004.4673736,110000
73,20,76,14301.3186612,110000
74,20,77,6448.88842843,110000
75,23,77,2615.83118287,110000
76,78,6,17302.4310697,110000
77,5,60,8163.62937392,110000
78,79,60,3031.48145981,110000
79,80,81,114.557319677,400000
80,80,5,69771.0362823,400000
81,80,3,107278.719811,400000
82,80,20,75839.0328799,400000
83,5,18,31125.9349905,400000
84,5,3,50067.1108548,400000
85,5,6,69624.2105979,400000
86,6,82,66432.3717073,400000
87,82,83,70073.2735433,400000
88,3,84,12954.3659121,400000
