id,n1_id,n2_id,length,voltage
1,1,2,10578.1930288,15000
2,3,4,17568.8487796,15000
3,5,6,11254.1535632,15000
4,7,8,172.988618788,20000
5,9,10,7132.88299561,20000
6,9,11,85781.4955122,20000
7,9,12,78329.3057744,20000
8,9,13,113926.132721,20000
9,9,14,100254.588738,20000
10,9,15,48771.895543,20000
11,9,16,21465.9611254,20000
12,17,18,48204.7958778,20000
13,17,19,41064.0565802,20000
14,17,20,22501.8800883,20000
15,17,21,39962.2352061,20000
16,22,23,17327.6184552,20000
17,22,24,58845.7927469,20000
18,22,25,1436.53867844,20000
19,22,26,10335.8570797,20000
20,22,27,57143.2239871,20000
21,22,28,16641.4133521,20000
22,22,29,26802.440324,20000
23,22,30,7020.95551276,20000
24,31,32,16092.8523019,20000
25,31,33,77731.347929,20000
26,31,34,50630.5425435,20000
27,31,35,25595.6320831,20000
28,31,36,7777.49231797,20000
29,37,38,27415.9657332,20000
30,37,39,41589.0561536,20000
31,37,40,57950.9922707,20000
32,37,41,10186.5594228,20000
33,42,43,39410.027659,20000
34,44,45,9321.66193364,20000
35,46,47,15624.9898605,20000
36,48,49,12940.2985966,20000
37,48,50,11466.4704466,20000
38,51,52,9918.70121274,20000
39,53,54,25872.9388552,20000
40,53,55,26836.8236569,20000
41,53,56,41541.5762947,20000
42,53,57,67891.2602838,20000
43,53,58,90590.7243235,20000
44,53,59,136458.935036,20000
45,53,60,122695.131726,20000
46,61,62,29112.3171218,20000
47,61,63,63607.0643756,20000
48,61,64,4685.70091516,20000
49,61,65,26347.058502,20000
50,61,66,38721.5602913,20000
51,61,59,85507.3883334,20000
52,61,67,24583.2898718,20000
53,61,68,124236.338493,20000
54,61,69,63412.9329062,20000
55,61,70,47786.3356748,20000
56,61,71,59140.5704991,20000
57,72,73,8881.67422115,20000
58,72,74,40596.1829773,20000
59,75,76,89035.4467496,20000
60,75,77,10683.1295903,20000
61,75,78,44807.1496625,20000
62,75,79,44330.0137148,20000
63,75,80,7686.47101573,20000
64,75,81,27045.6504651,20000
65,75,82,10078.3907161,20000
66,75,83,79689.9711896,20000
67,84,85,16773.1354049,20000
68,84,86,7854.23805432,20000
69,84,87,73915.3877926,20000
70,84,88,37467.4635798,20000
71,25,89,2496.17277284,20000
72,90,91,24460.046167,20000
73,92,93,58616.6427377,20000
74,94,95,47555.8891915,20000
75,96,97,43672.1560858,20000
76,96,98,105487.962402,20000
77,96,99,113746.480173,20000
78,96,100,118081.804153,20000
79,96,79,32209.7480682,20000
80,96,101,164097.897008,20000
81,96,102,165143.308524,20000
82,96,103,85381.6266602,20000
83,96,104,18516.8662022,20000
84,96,105,25268.6240727,20000
85,106,100,2832.35457779,20000
86,107,108,24568.6762202,20000
87,109,110,78669.6046391,20000
88,109,111,8129.84202517,20000
89,109,112,11638.5146253,20000
90,109,113,11221.2246812,20000
91,109,114,12566.1870758,20000
92,109,115,5746.08152254,20000
93,109,116,33110.0707969,20000
94,117,102,115261.208913,20000
95,117,118,72144.2041726,20000
96,117,119,47855.2178447,20000
97,117,120,23744.0639654,20000
98,117,121,5441.18717905,20000
99,69,122,23878.6941018,20000
100,123,124,13116.3925785,20000
101,123,110,131070.519438,20000
102,123,125,65006.1719755,20000
103,123,126,42630.2958055,20000
104,127,128,6015.4769153,20000
105,127,91,29734.7217586,20000
106,127,129,82771.6905463,20000
107,127,43,103816.87157,20000
108,130,131,69479.3794558,20000
109,130,132,33626.3469698,20000
110,133,134,10636.0756215,20000
111,133,135,19915.0365125,20000
112,133,131,38674.7320827,20000
113,133,136,159230.73697,20000
114,133,137,194185.162498,20000
115,133,138,94571.4953554,20000
116,133,139,38704.4506752,20000
117,140,110,37591.5125716,20000
118,140,125,36295.1731266,20000
119,140,126,80007.3638744,20000
120,141,142,16141.1701869,20000
121,143,144,36486.8947749,20000
122,143,38,106169.824265,20000
123,143,145,78403.7691553,20000
124,143,24,71751.7460298,20000
125,143,134,46390.0488892,20000
126,143,146,10095.5285515,20000
127,147,148,13399.3355564,20000
128,52,149,35174.1279167,20000
129,52,150,54536.7912816,20000
130,52,151,27553.706836,20000
131,52,152,12557.647286,20000
132,52,153,12333.7365062,20000
133,154,155,31112.7985706,20000
134,154,114,31716.0234318,20000
135,154,156,24026.4452818,20000
136,154,157,26945.5271372,20000
137,154,158,31413.4783478,20000
138,154,159,33895.5434046,20000
139,160,161,38174.538067,20000
140,160,162,54590.7204465,20000
141,160,163,66258.7293036,20000
142,164,165,4943.65199181,20000
143,164,166,4004.97746341,20000
144,167,168,5264.83243964,20000
145,167,169,11014.9634688,20000
146,170,171,3576.16890073,20000
147,170,172,12794.3613566,20000
148,173,174,34332.7674185,20000
149,173,175,9973.03071513,20000
150,173,176,12697.9943276,20000
151,173,177,93577.9894398,20000
152,173,178,106532.430468,20000
153,173,45,107556.741792,20000
154,173,179,83199.0464228,20000
155,180,181,58947.053882,20000
156,180,182,65648.4861346,20000
157,183,184,27508.9788337,20000
158,185,186,13201.6470078,20000
159,187,188,5019.54162743,20000
160,187,189,16628.8795934,20000
161,190,191,2999.74649688,20000
162,158,192,37824.7350027,20000
163,158,134,63219.9999891,20000
164,158,193,8437.81140179,20000
165,158,159,41470.9800084,20000
166,131,194,13458.0436626,20000
167,195,136,9954.01626557,20000
168,195,50,54029.8455108,20000
169,195,196,43954.476605,20000
170,195,197,23476.2039114,20000
171,198,199,113.507061888,20000
172,198,200,17993.157523,20000
173,174,201,34405.3674016,20000
174,199,79,65823.8002269,20000
175,199,202,62181.3651033,20000
176,199,203,72780.3605254,20000
177,76,204,2955.94759866,20000
178,76,205,17765.5105757,20000
179,35,206,140536.301881,20000
180,79,105,34881.6952809,20000
181,207,208,26079.843481,20000
182,207,209,115718.833551,20000
183,207,210,18200.8956928,20000
184,211,212,15177.1712841,20000
185,211,213,16063.5122522,20000
186,211,214,33830.454791,20000
187,211,215,28818.7894305,20000
188,216,217,3078.74701617,20000
189,218,163,26967.8451516,20000
190,218,219,24837.5786646,20000
191,105,81,12041.4844474,20000
192,220,113,862.337619801,20000
193,221,222,43004.9540642,20000
