n_id,longitude,latitude,type,voltage,frequency,name,operator,not_accurate
286876162,19.6661935571,63.9303492817,substation,130000,,,,
286856255,19.5617089093,64.0160958894,plant,0,,,,
200224259,14.7091886694,56.3220343438,substation,130000,,,,
243715699,14.2919243534,56.1824034487,substation,130000,,,,
243715679,14.5139734407,56.2763123282,substation,130000,,,,
199249432,14.4969204016,56.0741312886,substation,130000,,,,
279835544,15.8614419545,56.7676586522,substation,130000,,,,
88145927,12.2375438573,58.2814663609,sub_station,130000,,,Vattenfall,
263838672,12.2172884061,58.2939687023,substation,400000,,Trollhättan,Statnett,
184137799,12.3130047475,58.2534918557,substation,130000,,,,
88144197,12.2784230643,58.2767925975,sub_station,130000,,,Vattenfall,
150786811,11.8458010235,58.0867768487,substation,130000,,,,
279356168,12.4213724825,58.6956745105,substation,0,,,,
287757322,19.7934010916,66.9545583336,substation,130000,,,,
255820193,19.8001038615,66.9593489423,substation,400000;130000,,,Svenska Kraftnät,
255716959,19.8241036594,66.6678289055,substation,130000,,,,
243589648,12.8999878923,55.8860210844,substation,0,,,,
360385055,12.8834406405,56.0715423385,substation,130000,,,,
243589651,13.0919919803,55.8933294186,substation,130000,,,,
89670239,13.3429193658,55.7260897018,substation,130000,,,,
28391142,13.0892906861,55.6219977788,substation,400000;130000,,,,
337422695,13.2423424492,55.734230284,substation,0,,,,
289940539,13.2263531976,55.721982561,substation,130000,,,,
243710564,14.4748226119,56.0440882919,substation,130000,,,,
162366623,14.2065923868,55.9416279183,substation,0,,,,
254362137,11.9677748749,57.5876863434,substation,130000,,,,
254362168,11.9845211503,57.5241328505,substation,130000,,,,
24534144,12.1113728592,57.6075893212,substation,400000;130000,,Konti-Scan Lindome HVDC Static Inverter,,
246523013,12.0353699783,57.6017994889,substation,130000,,,,
51832297,11.947556072,57.6443124019,substation,130000,,,,
357628878,12.0284955914,57.6423807862,substation,0,,Kärra,,
254344699,12.0421257804,57.5695352967,substation,130000,,,,
119452190,15.1763166611,59.2660751082,substation,130000,,,,
160474491,15.102603757,59.2667503228,substation,400000;220000;130000,,,,
113740715,12.660654258,56.0881498983,substation,130000,,,,
97230987,12.7373580843,56.0125607903,substation,0,,,,
100199750,12.7101066244,56.076296481,substation,0,,,,
281018405,14.0421669013,58.6132588483,substation,220000;130000,,,,
281023714,13.7220508758,58.5337540226,substation,400000;130000,,,,
129912788,15.0114548944,59.0447031816,substation,220000;130000,,Station Tälle,,
470977068,16.1207862868,61.8204665999,substation,220000;130000,,,,
450027687,16.1101810422,61.8214068462,substation,130000,,,,
200074288,14.0919146204,57.4694112409,sub_station,130000,,,,
200052138,14.2002444562,57.6780811809,substation,130000,,,,
358703097,11.1972348673,58.9429978683,substation,0,,,,
307741649,11.3104379527,58.945332066,substation,130000,,,,
295697462,16.3333873262,56.743281327,substation,130000,,,,
295697471,16.4752623922,56.7725641936,substation,0,,,,
28390455,13.1456729795,55.501602615,substation,400000;130000,,,,
243561108,13.0400082598,55.4831083559,substation,130000,,,,
243561061,13.4471912492,55.4900267043,substation,130000,,,,
28390663,13.1678202009,55.3947255257,substation,130000,,,,
218023641,13.0621660836,55.5349644962,substation,130000,,,,
88222585,12.0702451603,57.5061747298,substation,130000,,,,
260631464,12.0133933879,57.4691620492,substation,130000,,,,
55014783,11.9897316101,57.4312005139,substation,130000,,,,
88216929,12.0989317932,57.4644193372,substation,130000,,,,
182747193,12.312764882,57.8015002326,substation,130000,,,,
57675923,12.3223206506,57.8026409861,substation,400000;130000,,Stenkullen,,
295697470,16.5296031989,56.7534108255,substation,0,,,,
295697472,16.5398190127,56.7470246629,substation,130000,,,,
88262210,12.9404055282,56.6437744859,sub_station,130000,,,,
49356668,12.9028857892,56.664294236,substation,130000,,,E.on,
23940883,13.5385780336,58.1684665805,substation,0,,,,
184135978,12.3209172337,58.3000824571,substation,130000,,,,
307802719,13.480661555,58.5401350382,substation,0,,,,
237823563,14.1804381926,57.7261620851,substation,130000,,,,
295695439,14.219418766,57.7804648446,substation,130000,,,,
243588178,13.6735424011,55.853748867,substation,130000,,,,
202072247,13.5436647449,55.7970222945,substation,130000,,,,
243588241,13.6962707584,55.9914717518,substation,130000,,,,
372110168,14.0564226079,55.7591979413,substation,0,,,,
111497301,17.2384750973,61.988255666,substation,130000,,,,
251050751,17.3545086116,62.2776162754,substation,130000,,,,
321913432,15.4460752637,56.9972591884,substation,130000,,,,
171464952,14.6710122191,57.6633730443,substation,130000,,,,
202201714,14.9581159969,57.3744673646,sub_station,130000,,,,
274422368,13.4762084476,55.9418950332,substation,0,,,,
143076527,13.3182619018,55.819307444,substation,130000,,,,
88360194,13.1455518318,55.7406186799,substation,130000,,,,
202074235,13.9385192141,55.5579273683,substation,130000,,,,
243708450,13.6833161699,55.6247264776,substation,130000,,,,
240896976,13.3807839435,55.3986894443,substation,130000,,,,
211476833,12.1169547224,57.6695922503,substation,130000,,,,
25003309,12.0136824193,57.6722174154,substation,130000,,,,
278505918,19.6861813823,65.0193039322,substation,400000,,,,
210518469,20.0316957082,64.9321157282,substation,0,,,,
276290679,14.1282383806,59.7092590339,substation,0,,,,
133432055,13.5408325555,59.9588568871,substation,0,,,,
152810691,14.1666875114,55.4514608959,substation,130000;60000,,,,
206411024,14.115933929,55.6332849601,substation,0,,,,
203900121,13.895068634,55.4599491961,substation,0,,,,
254343485,12.0418469595,57.6614381128,substation,0,,,,
254056276,12.1113490145,57.6054899558,substation,400000,,,,
284896192,17.2548177776,62.5029015803,substation,400000;130000,,,,
87506217,17.2402177703,62.4065101141,substation,130000,,,,
243588244,13.3111414074,55.8261051415,substation,0,,,,
257920141,15.9608413852,58.5377565841,substation,130000,,,,
257924566,15.9019660817,58.5755531977,substation,130000,,,,
257920139,16.0958470156,58.5851020281,substation,0,,,,
260765728,15.9651820411,58.538072257,plant,0,,,,
257920140,15.953374433,58.5363725406,substation,400000,,,,
281379470,14.6568272849,57.749316342,substation,400000,,400kV Barkeryd,,
88361106,13.1613431911,55.7055538669,substation,0,,,,
210106861,13.0159472944,55.7394120426,substation,130000,,,,
101311973,12.9321272157,55.748377868,substation,400000,,,,
