l_id,n_id_start,n_id_end,voltage,cables,type,frequency,name,operator,length_m,r_ohm_km,x_ohm_km,c_nf_km,i_th_max_km
1,31367937,202869426,110000,3,line,50,Gurtweil - Lonza,EnBW,11441.0,,,,
2,202830460,202831211,110000,9,line,,,,6394.0,,,,
3,88901641,398320335,110000,3-6,line,50,,,2905.0,,,,
4,88901641,202831211,110000,3-6,line,,,EnergieDienst,10359.0,,,,
5,88901641,202837119,110000,3,line,,,,954.0,,,,
6,88901641,197059163,110000,6,line,50,,,3575.0,,,,
7,194681857,152384685,132000-220000,1-8-2-4-6,line,0,,SBB,25582.0,,,,
8,194681857,98355670,132000-220000-66000,8-2-4-6,line,0,,SBB,105317.0,,,,
9,194681857,159740251,132000-220000-66000,8-2-4-6,line,0,,SBB,126356.0,,,,
10,194681857,89405664,132000-220000-66000-0,8-2-4-10-6,line,0,,SBB-ATEL-SBB-ALPIQ,173845.0,,,,
11,194681857,254266349,132000-220000,8-2-4-6,line,0,,SBB,39378.0,,,,
12,194681857,97405910,132000-220000,8-3-2-6,line,0-50,,SBB,34591.0,,,,
13,194681857,205631849,132000,2-4-6,line,0,,SBB,17910.0,,,,
14,194681857,55696871,132000-380000,8-2-5-4-6,line,0,,,63357.0,,,,
15,194681857,55696868,132000-380000,3-2-5-4-6-8,line,0-50,,,74278.0,,,,
16,194681857,205630031,132000-380000,3-2-5-4-6-8,line,0-50,,,83401.0,,,,
17,194681857,55696866,132000-380000,3-2-5-4-6-8,line,0-50,,,79383.0,,,,
18,194681857,132373704,132000-380000,1-2-5-4-6-8,line,0-50,,,77202.0,,,,
19,194681857,239937062,132000-380000,3-2-5-4-6-8,line,0,,,62076.0,,,,
20,129086978,309688480,132000,3-6,line,50,,,40232.0,,,,
21,129086978,129118944,132000,3-6,line,50,,,25315.0,,,,
22,129086978,161853746,132000,3-6,line,50,,,35718.0,,,,
23,255353861,130198336,132000-220000,1-10-2-4,line,0,,SBB,25133.0,,,,
24,255353861,101008843,132000,10-3-2-4-6,line,0-50,,SBB,6543.0,,,,
25,255353861,214447644,132000,2-4,line,0,,SBB,21986.0,,,,
26,255353861,255353862,132000-220000,2-4-7,line,0,,SBB,54096.0,,,,
27,87342086,42423815,132000,10-2-4-7,line,0,,SBB,16610.0,,,,
28,87342086,121553221,132000-380000,10-2-4-7-8,line,0,,SBB,99579.0,,,,
29,87342086,255353921,132000-380000,10-2-4-7-8,line-cable,0,,SBB,81334.0,,,,
30,87342086,100453753,132000-380000,10-2-4-7-6-8,line,0,,SBB,67376.0,,,,
31,87342086,23927038,132000,10-2-4-7,line,0,,SBB,37364.0,,,,
32,42423815,104524084,132000,2-4,line,0,,SBB,33718.0,,,,
33,42423815,29037590,132000-220000,8-2-4-6,line,0,,SBB,43886.0,,,,
34,42423815,105877228,132000-220000,2-4-6,line-cable,0,,SBB,55217.0,,,,
35,42423815,148015471,132000-220000,2-4-6,line,0,,SBB,73639.0,,,,
36,42423815,89405664,132000-220000,2-4-7-6,line,0,,SBB,42278.0,,,,
37,42423815,254442139,132000-220000-0,10-16-3-2-5-4-7-6,line,0,,SBB-EWW-SBB,89406.0,,,,
38,42423815,98355670,132000-220000-0,10-16-3-2-5-4-7-6,line,0,,SBB-??-SBB-EWW-SBB-oen-SBB,122258.0,,,,
39,42423815,254442114,132000-220000-0,10-16-3-2-5-4-7-6,line,0,,SBB-??-SBB-EWW-SBB-oen-SBB,110676.0,,,,
40,42423815,164971380,132000-220000,12-4-7-6,line,0,,SBB,61998.0,,,,
41,42423815,53199089,132000-220000,2-5-4-7-6,line-cable,0,,SBB,57920.0,,,,
42,52110857,255353860,132000,8-2-4,line,0,,SBB,21465.0,,,,
43,52110857,53051666,132000-15000,10-2-4-6,line-cable,0,,SBB-axpo-SBB,79554.0,,,,
44,52110857,148015471,132000-15000,10-8-2-4-6,line-cable,0,,SBB-axpo-SBB,63958.0,,,,
45,52110857,254607634,132000-15000,10-8-2-4-6,line-cable,0,,SBB-axpo-SBB,83731.0,,,,
46,52110857,137271889,132000-15000,10-2-4-6,line-cable,0,,SBB-axpo-SBB,48158.0,,,,
