n_id,longitude,latitude,type,voltage,frequency,name,operator,not_accurate
31367937,8.25192553683,47.6397698246,substation,110000,50,Umspannwerk Gurtweil,EnBW,Yes
202869426,8.3378519014,47.5708354335,generator,0,,,,
202830460,8.03923183139,47.5592510684,substation,0,,,,
202831211,7.95589399956,47.5639411234,substation,0,,,,
88901641,7.83856447599,47.5862399008,substation,0,,,,
398320335,7.82808510838,47.5669540584,substation,0,,,,
202837119,7.84448189421,47.5851738781,substation,0,,,,
197059163,7.81036993107,47.5717815802,station,0,,,,
194681857,6.5598729405,46.5441229695,sub_station,15000,16.7,,,Yes
152384685,6.76153570652,46.4893950328,substation,15000,16.7,,,Yes
98355670,7.46490454703,47.0126810879,substation,132000,16.7,,,
159740251,7.61248418986,47.2189763329,substation,15000,16.7,,SBB,Yes
89405664,8.10572748287,47.4064638178,substation,15000,50;16.7,Rupperswil,SBB,Yes
254266349,6.90660851415,46.684493581,sub_station,15000,16.7,,,Yes
97405910,6.92570680192,46.4404901685,substation,0,,,,
205631849,6.76006845591,46.4896725961,station,0,,,,
55696871,6.14678656844,46.2496800268,substation,15000,16.7,,CFF,Yes
55696868,6.16915816614,46.3478390353,substation,0,,,,
205630031,6.23873157876,46.393853844,substation,0,,,,
55696866,6.20324723263,46.3862176331,substation,0,,Bogis Bossey,,
132373704,6.19600218189,46.3667834927,substation,0,,,,
239937062,6.1339989382,46.2493970477,substation,0,,Foretaille,,
129086978,6.84835106351,46.7094409703,substation,0,,Lucens,,
309688480,6.67627694003,46.9358629132,substation,0,,,Groupe E,
129118944,7.06266865588,46.8805064446,substation,0,,Villarepos,,
161853746,7.1526518574,46.9495003108,substation,0,,,,
255353861,8.67561575522,46.5173053319,substation,15000,16.7,Centrale Ritom,SBB,Yes
130198336,8.58387182288,46.6672907795,substation,66000,16.7,,,Yes
101008843,8.59687788913,46.5264565665,substation,0,,,,
214447644,8.87330561248,46.4014832781,substation,15000,16.7,,SBB,Yes
255353862,9.00253572328,46.1755904224,substation,15000,16.7,Giubiasco,FFS,Yes
87342086,8.28575877607,47.0677109464,station,15000,16.7,,SBB,Yes
42423815,8.44097931296,47.1450362862,station,15000,16.7,,SBB,Yes
121553221,8.60477956088,47.0481267379,substation,15000,16.7,Steinen,SBB,Yes
255353921,8.62467201673,46.895269626,substation,15000,16.7,,SBB,Yes
100453753,8.67212934532,46.768511441,substation,15000,16.7,,SBB,Yes
23927038,8.57716283084,47.2428157287,station,15000,16.7,Unterwerk Sihlbrugg,SBB,Yes
104524084,8.20456665166,47.3914248962,substation,15000,16.7,,SBB,Yes
29037590,8.20446424035,47.4746406073,substation,15000,16.7,,SBB,Yes
105877228,8.34397432853,47.4369692028,substation,15000,16.7,Killwangen,SBB,Yes
148015471,8.55521273941,47.4227899326,substation,15000,50;16.7,,,Yes
254442139,7.69444980626,47.1971904155,sub_station,15000,16.7,,,Yes
254442114,7.61152148201,47.0624316238,station,15000,16.7,Burgdorf,SBB,Yes
164971380,7.92235657911,47.3613538669,substation,15000,16.7,,,Yes
53199089,7.98048550101,47.3692282068,generator,132000,50;16.7,Laufkraftwerk Gösgen,,
52110857,9.06547215743,47.1333117025,station,15000,16.7,Unterwerk Ziegelbrücke,SBB,Yes
255353860,8.81172735888,47.1949019031,plant,0,,Etzelwerk,Etzelwerk AG,
53051666,8.75113406237,47.5001119826,substation,15000,16.7,,SBB,Yes
254607634,8.51418911984,47.5730524928,sub_station,15000,16.7,,SBB,Yes
137271889,8.79905877995,47.3098526553,substation,15000,16.7,SBB-Unterwerk Wetzikon,SBB,Yes
177392130,6.0264090633,46.1910136234,substation,150000,,Verbois,,Yes
80323449,6.05718594312,46.2318409641,substation,0,,,,
254367258,7.59806178959,46.7723474978,sub_station,15000,16.7,,,Yes
26166640,7.51418575886,46.7785568645,substation,220000,,Unterstation Wattenwil (BKW Energie),,
49062638,7.46590654398,46.9673802832,substation,15000,16.7,,SBB,Yes
40476742,8.81837602096,47.6618787079,substation,15000,16.7,,SBB,Yes
120403433,9.26517561306,47.4112518529,station,15000,16.7,,SBB,Yes
89977424,8.38041084795,47.4273234214,substation,0,,,,
31308888,8.45177206165,47.4528312223,substation,0,,Regensdorf,EKZ,
159362717,8.43374489297,47.4010741887,substation,0,,,,
98932750,8.32085234513,47.4570623494,generator,0,,,,
47056993,7.61128193703,47.6053029831,substation,15000,16.7,Unterwerk Haltingen,DB_Energie,Yes
169351810,7.64399274311,47.5347036597,substation,15000,16.7,Unterwerk Muttenz,SBB,Yes
91594026,7.96674012589,47.5415998021,substation,15000,16.7,,,Yes
118091119,7.01216199324,46.2149042201,station,0,,SiL - Usine de Lavey,,
254282618,7.75661893223,46.3079480669,sub_station,15000,16.7,Unterwerk SBB (Niedergesteln),SBB,Yes
254748930,8.01163672255,46.3320735017,station,11000,16.7,Massaboden,,Yes
55698557,6.9745794523,46.2662703223,substation,0,,St.Triphon,,
159737975,7.56607377556,47.1992107342,station,0,,,,
147557677,7.6263604976,47.2273834359,substation,0,,,BKW,
