id,lon,lat,name,osm_id,voltage,type,line_string
1,35.386809107,36.9856590983,Yüreğir TM - İncirlik TM EİH,128612496,66000,line,0102000020E6100000230000009BAB6D5B67B84140C39E3FD3F67C4240A1075F393FB84140AB09E7DDEF7C4240B2FCCA2FF5B74140A6CC9E49E87C4240203580EB83B7414034FAAEBFDB7C4240A00C595F1FB74140541ACD63D17C4240A95FDB34B6B641408B160C43C67C42403D64086B4EB6414093327E61BB7C4240DA94C1B1EDB541408FCAC176B17C424051F9027E83B5414019F42D95A67C4240D5C2D8E817B5414079E231039B7C4240762C9ABDAEB44140D64A1D948F7C4240283886D943B441404B9CFA8E847C4240708C0AFDE3B34140FAD844817A7C42405E4028F48EB34140BB5F01878E7C4240D973974330B341406EF314C6A57C42408C073F826CB24140F740A64FD37C4240AE452C9719B24140B2C13C34E67C424016B31AA0B8B1414078C9A38BFE7C42403D086EFF19B141406641EC841F7D4240A7DDB60FCAB04140282133CA657D4240AA28104257B04140781D1B45DB7D42405A73F82DD4AF4140421348A5287E4240B350745D70AF4140917AD25B4D7E42407C27F66526AF414043311190687E42402C1006A0D4AE4140F0E303B1867E42405D7184F4A6AE41403C1D6284A07E424017ABE3ED83AE414083470177BD7E42409BC0BFB942AE4140889AA6B6227F424034305BF4D6AD4140C501D724CD7F42409E370A7B8BAD414042E8B206AC804240FD45F3A867AD41400F2630CB15814240BE98AC2733AD414075202FB38F814240E52DDD3DFFAC4140AE34528905824240F7EDDB2EBFAC41405715B5C1D8814240467BDC17B6AC4140E4544B55D4814240
2,30.5042010605,37.8915572952,Göltaş ÇİM TM EİH,185232736,66000,line,0102000020E61000000E000000A6B5DEE627823E403AF0297287F042408B87E9BC21823E40CE52B75C96F042400F3F6E8320823E4013EC6E34F6F04240053A25251C823E4022ABB1984DF14240FD4D29DE0C823E406EDC8C0C92F142404072070EFD813E40A4E5FEE3DEF142402EFBA02510823E40E32EDB6C27F24240A6FDBC5264813E4083B2FEE763F242400DA2BFAEC0803E400854F44A9CF24240535E10C61F803E40BB016725D4F24240F7745DDA7E7F3E40F8B4FDBE0CF34240EDC70308EB7E3E40C7E8A6EF40F3424052EFEC5F497E3E406BA19F5C37F3424022C27BCF427E3E40AB1BB26434F34240
3,30.8485665269,37.6112079413,None,185089194,66000,line,0102000020E610000010000000E6FD464EA9D43E401DFA339AE4CC424028EAA37BB8D43E4073EBC880E6CC42401755C34476D53E403415C5E400CD42407C033C331DD63E40E296CA2E2DCD42402EE38451B5D73E402F7B01EC65CD4240C5890E3966D83E40F8E4CD0680CD4240E1FB61C6E5D83E409616E03393CD4240B479221553D93E40AF925502DDCD4240A2B9232493D93E40A5181B1608CE4240FE6260222FDA3E40D346ACF770CE424097152D9092DA3E4026DB203CB0CE4240C06BAEC3E9DA3E40C401E0F6EECE424026F49D9C24DC3E40BBA13CCCC0CF424037B0753C42DC3E407D9DA629FACF4240BF6F23A64ADC3E403A7E976421D04240243F1D7238DC3E40E60F942A1ED04240
4,32.0033626805,41.4500052806,Yeni Çates TM - Çaycuma-1 TM EİH,214267440,66000,line,0102000020E61000002D000000E99E570E77E73F40F60708650AC24440E4577F88F8E73F40E1E8FCC4D2C144401D4D5785DCE83F40811F4B0674C1444080FB694E69EA3F40EC307BBEEFC044402893DF230DEC3F40D279BB2A83C044405C015C3F74ED3F40F6EC376225C04440269AF56F45EE3F4037EAFA33EFBF4440579B8383D5EF3F4001521AD787BF444053D68B139BF03F40153B24B853BF4440568C7A91F6F13F40CD61B7B8CABE4440211D1269AAF23F40D0D5034D8ABE4440A1779F6B13F33F40F8AA07CF5CBE444089220ED8E9F33F4070D483A50ABE4440D05BB9160CF53F4066EEFBB298BD44401B19AC39C0F53F408FD0E4B752BD44408ED47C4D82F63F40A88E97DB06BD444008FB2F9D9FF73F40D948E639A5BC444081C211CADFF83F40BA82B0E035BC44401B77DFE076F93F406FE8AE1401BC4440CB9B8C4846FB3F4009B2D5DB5FBB4440AED9E56259FC3F40523DC42801BB4440CED54F1720FD3F408DB62CEDBBBA44406AE875D7C2FE3F40956ED4222EBA44404B2350560B004040BAF7C78AB3B9444023D6B16254004040E831711A81B9444066D9A7EB9700404080B4C43072B944403160569DED0040400B9608775FB9444029D2A591F00140409EE3F1A226B9444014BA43DD600240406B98713FBCB84440D32717646F024040BD7F447C0EB8444097402938EB0240409FB8BB24B6B744404ACD30A7CB044040BEAF7E6974B644408B98A52D2E05404051661F6132B644404DE3100AB5054040B5FBF22ED8B5444052EA19EB0D0640403F07B73A9DB54440B638EEE1990740405EDFB4D693B44440BB49E0E8500840408D7938EA19B44440DB67463CC709404083FE8CC052B344402CAEE2D69E0A4040894EF2EDE9B244409C5B2F3C010B40403CC9FE30B8B2444054FCEE1DC50B4040593FA60959B244407CAB197A230C4040644EF5C32AB2444069D7D5A9930C40400EB81033F3B144405DD96174020D4040173ABECBBCB1444067854129790D4040255C836A83B14440
5,32.1051151551,41.3974401115,None,191406065,66000,line,0102000020E61000000900000067854129790D4040255C836A83B1444094200103810D4040DD9BF9F28FB144403B791F09850D40408B02BDB49BB24440DCA5BE6C7B0D40407709634803B34440CA1FCEEF700D404099AC8CC760B344409C95328A540D4040CAD1234EA5B344402F4F13FC580D4040236C1FBEE9B34440027FE61C5B0D4040EF82747131B444401F5F55E25B0D4040E09552C93AB44440
6,35.0242463653,40.4953807542,Kayabaşı TM - Çorum-2 TM EİH,171741209,154000,line,0102000020E610000055000000B505CC55DB6E414083BEC828553D4440461856F0E66E414051558734513D4440C912B28E486F41407D87A7A3393D4440CE4C8E95C96F414017CE90800A3D44400005768E417041402BB845F6E03C44405FC204DAA6704140479D8CE1BD3C44409ABB2A72197141409C51327D963C4440CC41B96286714140BD6CC4AE713C4440787D97B8D87141409795A79F543C444066898B034D724140F87C1F832B3C444083D7AFDBB4724140480854EE093C4440DC497E2B277341406907F2A1163C4440DC1EFA4B8F734140168A310A223C4440DA25CF74027441402543E0622F3C44403DC122468A744140E741A3603D3C4440BA43533C20754140A7A08E624E3C4440C637D281A575414084506E735D3C4440054116A84576414009EBE7BE6F3C444038F282D3B67641404ACC5D437C3C4440A2ADC5D32677414099A9F947883C44409C6566C291774140EDD03140953C4440B1D304EB1C78414066DDE2F1A13C4440FA8E03D3967841407B6E29DEB13C4440593B613C17794140351F921AC93C44406B483A078B7941402EC9EB85E03C44400D98023ADB79414072D09541F13C44404E1156D3367A41400595A30E033D4440D5C53AD4A97A414013ACCEB9193D4440AA21B33A407B4140285E918A373D4440A1ACCEA0DF7B4140674B91E1563D44400A2B95D4427C4140FD85A6E5693D4440EACD73D4A97C4140449492AC7D3D4440C1A1FD06197D4140F4DDF0BA933D44403750EBD3847D414062F77855A93D44403F35B93A007E4140E4120711C13D44409EE8F83AED7E41400C19ACAEE93D4440F69D4407567F4140B674C726FD3D44407F4D9507038041407A909E281E3E4440F368646E4C80414085EDC1322F3E4440D3FE866E2F824140A8B04F89AC3E444054EF46D4A5824140BDC89C7ED83E4440ABDEED0137834140CE9B56D70E3F44403C51035CB683414098A870E83F3F4440B44E25632A844140034B2BBC6A3F44405128693B768441407BDA4A25873F4440D23EF235D284414058B72212A83F44409941FFA72985414020337D49CA3F4440B8A1CE7F938541408BCCD450F23F44404AB33858EE854140943C41061340444078E918F135864140A6A7077E2D4044406E8F0172A5864140D849B7BE47404440A88C9B482D8741409BDBC2BB66404440930D73869C87414054614E977F404440EE19F5E52A884140EFC477A99F40444083224A11B188414035BC5915BF404440C365B687F9884140ED148B39CF40444072C5EADC4F8941408663EB73E3404440E980954D8B8941404963DBCBF0404440910E6E46F8894140CB4312550941444020244C5D688A41409EFEA75E23414440CEFCE451C88A4140F8ADFCAC3841444040991AB1388B414072200080524144401E53859EDA8B414010B34E22794144406486619A478C4140DE7AB4AB9141444025257BD5A98C41406504C29EA7414440C2FC24CE278D41405A4FB407C4414440C5C09656978D414061D030D7DA414440A9CBCF5D0F8E41400B1C5416F241444014EF5FF7968E41401568588E0C424440A5FE2FF0238F4140ED1CD8742742444088977F25998F4140B0F7423D3F424440FBB5AF76409041405EF46E996042444003CC5CC8A99041401AC0000B7542444058E74172699141407DE08E0F9A424440051C988CBB9141401B346C6AAA424440D980320E2092414059C465A5BE42444079AD1E5F899241408CD85017D342444049C1EAC61793414038416325F0424440A441E3697D934140F0DAA7BA034344403173EEDCE7934140C6D3ED3F19434440223DEC367C9441400A6AC34D3643444092C38FC4C1954140E79834476C434440CFFDBF434996414063A4B6E286434440989A80C5BC9641408C1C88629D434440FE8CFDBB70974140E2F2B60AC1434440
7,35.2185975277,40.5363434893,Kayabaşı TM - Çorum-2 TM EİH,171742859,154000,line,0102000020E61000000A000000FE8CFDBB70974140E2F2B60AC1434440304D41697298414012FA4D62F4434440318E8BCF00994140A0D9E18E1044444014C495A3839941405CFDA3042A4444409D3DFF801D9A41403597347148444440E35FAB3EF19B4140A947A8ECA444444086BA89C7499C414047BB20D9B744444017259DC8AB9C4140FC328D82CA444440BFA21858BD9D414007F6D96C00454440B866D7CA85A04140370D02378B454440
8,35.3946346501,40.5658867761,Kayabaşı TM - Çorum-2 TM EİH,171742860,154000,line,0102000020E61000002D000000B866D7CA85A04140370D02378B45444097A96A8AF2A041403533522AA14544407970921B64A141402EE4B4F6B445444079F4666CE2A14140B228A64BD0454440846F67366BA24140EAD38F32EB4544402BC5CB9AF0A241402C58E0AA054644409F2820B655A34140D52425AF194644404D3C9B97F4A341407805E71939464440533BEF0CA3A44140D73D80CF594644403F0EF5A512A54140579553F270464440C242B91396A541403B51187C8946444001C8824424A64140AB195FADA5464440FF98704A84A64140CB1AB07EEF464440B34B67F4EAA641408F25127A3C4744408D4C69412CA741407956C232404744403F2CB1BB78A74140D68AD6B74447444071A11B38FAA74140FFB0B0704D4744406849912A3EA841409AA620ED6D4744407D2D9AD1DAA84140446C1E9C77474440F54B8B4754AA4140725580CD89474440BFBC0D4D99AA4140C8FF55318E474440C4D8C8BCE5AA4140C3082DEF97474440B58819BE5AAB414086EE33D9A647444032BBCF14B1AB41400B7DE7D9B14744406D4386F83DAC4140ADD52707C4474440BFF3FC9D01AD4140C663B930DE4744404E48E4F252AD41404AD57684E8474440A7298817DDAD4140B3F219F0F94744401EC0C9345DAE41401A2D07230B4844401340C2D6FAAE4140069EC1351D484440ACD534B8B9AF4140D832775637484440D065F77046B0414060EFBAD849484440B0DAF0A6B7B041401777DE6E584844409585F84928B14140354D153D67484440F133D6B683B14140D90FA76E73484440FC325EE417B241408478A4EF85484440D4F2AFA5B0B2414001FDB0A8984844401A98680527B34140915B9FFCA8484440BCBB3FA9BBB341406C25C26FBB4844409D3FDD4F3DB44140FCFC5F21CD48444028EC73AE6BB5414008E11E93F248444019F85FBF60BC4140DFD32544CA494440DC107293DCBC4140068EA7BCD3494440A3546F1056BD4140A70E7097DE4944403C41CF24DCC441400AE784D6714A4440
9,35.6403544538,40.5866596305,Kayabaşı TM - Çorum-2 TM EİH,171742861,154000,line,0102000020E61000002E0000003C41CF24DCC441400AE784D6714A444082D9E4BC75C5414097E917087D4A444014DB97D008C641407D627ADE884A44403AD09325C2C6414023FFDB49974A44407867FBE758C741404D95B857A34A44409AD8626B0DC8414068F5F88AB14A4440F7E872E5A3C841409A6167F3BC4A444029D1267552C941401E9CE0B9CA4A4440531A05E1CCC9414027B91932D44A4440D495C77755CA41408754DAD0DF4A44406413E6B9E3CA4140A096C5CAEA4A4440A1DB39D561CB4140C41FB71EF54A44400D01BEA923CC4140E97F091C034B4440CAF9E04EB7CC41404E210D970F4B4440D3F9C8BD75CD414021660F851F4B44401D0054E9FCCD4140282F73102A4B444035029803C1CE4140B2F72CD6374B4440E39E3BB72ACF4140C1467A3A514B4440D4A1CE0BA3D04140FEC564CDA54B4440B72F155909D141400218729CBC4B4440CB75E9437BD14140B5002D83D74B4440305E70A6D7D141404E6B8E62EC4B4440C77A640C9AD2414017B8D4A2174C4440A5E5B49B26D34140F9EF0CB3374C4440305BAA3AABD3414027F15AAF564C44401AB9B2042DD441405D6F2DDF724C44402511E45AC8D44140BB727478474C4440D01C430757D541403A5430D81E4C444044E5D0BEE8D54140493A694FF54B4440AEE8987374D64140DAE48CB6CD4B4440A340D445F2D64140E402F558A94B444079C39CCC84D74140FB7DC033804B44402C25DF3808D841401E992E785A4B44400304725386D841402F3BE9BE364B44400E2ECB4D25D941404A24F3E7084B44404A419E3EB7D94140F93C84F0DE4A4440F891887E69DA4140EDCA3216AE4A44403A014D4DD3DA414038533D868F4A44400D807A4B64DB4140DE8D05CC654A4440F53E212911DC4140F7E4B1FC364A44403AD736C1AADC41404A556BB90B4A4440E4F6C07016DD414089585A25EA49444085C9E3D6C7DD41407C4781EBB64944402E46A5C942DE41406F7BF9CB814944403C51707D89DE41400F798EA8614944404C4C44ED8EDE41401A89F0ED4C494440
10,34.9031784827,40.474050958,Çorum -2 TM EİH,171741206,154000,line,0102000020E6100000190000009B2D8C089078414078D82E1EBB3C44400C9F963F897841409CB50E45BD3C44402AB8A6C91B78414022C36DD3B93C4440057FA66C557741409AC2EA45B23C44408E2BEF39C5764140EDF0D856AC3C444008FEA599487641401217E3C8A73C4440DA6914A0D47541401D30431EA33C44406CE62B58597541407BF835579F3C4440085BDC380C7541404093FB3A9C3C4440066B868FDA74414056B8D4739A3C4440CE4A2AB35E744140FFF632C9953C444060DA591A09744140EA743774923C4440228FF8B89C734140E91DC3E48E3C44401400A6A14A734140BAECC68F8B3C44405B427FC5E8724140DB5A7701883C44406DFE097893724140484BFFAB823C4440869E81AA36724140F1E83B4C763C44407A2D1D19997141405D7D1A14613C44404FD293AD1C714140C17345E1893C4440FE7525C2A0704140FDA651C9B53C444034D65043427041407CA93CEED63C4440A70E2D49BD6F41401818D5A1053D4440F1058797476F4140F7B017172E3D4440F3E6F850EF6E4140DDFE59EA473D4440556B596BD66E41404408B7E4523D4440
