n_id,longitude,latitude,type,voltage,frequency,name,operator
176230414,29.5282826154,40.7812128773,substation,380000,,Çolakoğlu DGKÇ TM,TEİAŞ
165974346,29.3994390896,40.8929500206,substation,None,,Tepeören TM,TEİAŞ
172277775,40.6381583683,37.2427522219,substation,None,,Kızıltepe 380kV TM,
129319599,38.850778259,37.1592665548,substation,380000-154000,,Şanlıurfa-2 TM,
129693131,41.1468814084,37.8526689196,substation,380000-154000,,Batman-2 TM,TEİAŞ
175096848,27.1287115052,40.441226046,substation,380000,,İÇDAŞ TES TM,
132022308,29.0737668,40.2942374243,substation,380000,,Bursa DGKÇ TM,EÜAŞ
180431765,27.7668217956,40.3021125133,substation,None,,Bandırma DGKÇS TM,
127986151,27.6376666662,39.1964433349,substation,380000,,Soma-B TES TM,
173350421,27.9623440072,41.0174911696,substation,380000,,Kaptan DÇ TM,
35973803,28.7893753628,41.0687560462,substation,380000,,İkitelli TM,
173348127,27.972762512,41.0084876785,substation,380000,,UNİMAR TM,
95171610,30.7075001289,36.9582650741,substation,None,,Varsak TM,TEİAŞ
81614444,31.5245018556,36.889196428,substation,380000-154000,,Oymapınar HES TM,TEAİŞ
115659844,29.2384079813,37.7996942318,substation,None,,Denizli OSB TM,TEİAŞ
130740157,30.580946398,38.7918442557,substation,380000,,Afyon-2 380kV TM,TEİAŞ
177511802,30.6006653461,37.1230748086,generator,None,,Aksa Antalya Doğalgaz Termik Santralı,Aksa Enerji
31431196,29.2423619404,40.996253874,substation,380000,,Paşaköy TM,TEİAŞ
174078394,31.1380562499,40.9163905896,substation,None,,Osmanca TM,TEİAŞ
215423587,30.3876673852,40.8658087121,substation,None,,Adapazarı-2 DGKÇ,
122976684,29.038007931,41.1903276384,substation,380000,,Zekeriyaköy GIS TM,TEİAŞ
130548582,28.8524245367,41.1249057776,substation,None,,Habibler TM,TEİAŞ
176290256,29.1494566388,41.1280135666,substation,None,,Beykoz GIS TM,
127790110,35.8787907985,36.8324380082,substation,380000,,Sugözü TES TM,ALARKO
184450507,35.5111069913,37.1063538531,substation,380000-154000,,Adana TM,TEİAŞ
177818606,36.1916634539,36.9906474042,substation,None,,Erzin TM,TEİAŞ
232137249,26.4418671627,38.5622690678,substation,380000,,Karaburun RES TM,
195003676,26.4585684039,38.2861868351,substation,380000,,Çeşme TM,
132128807,30.3841503084,40.7424679253,substation,380000,,Adapazarı-2 TM,
127968754,28.964942104,40.2326824602,substation,380000,,Bursa Sanayi 380kV TM,
169679398,35.7376843575,40.5712871308,substation,None,,Kayabaşı 380kV TM,
213128259,36.670381075,41.0956088924,substation,380000,,Çarşamba 380kV TM,
130513966,32.8135456171,40.0495346189,substation,380000-154000,,Bağlum TM,TEİAŞ
130444135,32.5381117712,39.977124068,substation,None,,Sincan TM,TEİAŞ
232160028,33.3351729498,40.7848188483,substation,380000-154000,,Kurşunlu TM,
127936765,37.07201535,39.5850325373,substation,380000,,DEÇEKO TM,
176441305,31.0217644777,40.0350376329,substation,380000,,Gökçekaya HES TM,EÜAŞ
176009144,32.4075152647,39.7759536835,substation,None,,Temelli TM,TEİAŞ
215423586,30.3932980465,40.8636816161,substation,None,,Adapazarı-1 DGKÇ,
175453225,43.3202068638,38.583290357,substation,380000-154000,50,Van OSB TM,TEİAŞ
274975642,44.1046579667,38.0848232882,substation,380000,,Başkale 380kV TM,
130663470,27.6021111179,37.8566610896,substation,380000,,Germencik 380kV TM,TEİAŞ
117562917,27.8778909098,37.1381476995,plant,None,,Yeniköy Termik Santrali,
176801181,27.1034460713,38.3507361724,substation,380000,,Uzundere TM,TEİAŞ
139418679,27.3505303453,38.6136159777,substation,None,,Manisa OSB TM,TEİAŞ
175275590,27.3140398715,38.616587189,substation,None,,,
130569382,27.2422557455,38.4186727492,substation,380000,,Işıklar TM,
233873984,38.7536394964,38.8073672288,substation,380000-154000,,Keban ŞALT TM,
233873985,38.6775756844,38.815501951,substation,380000,,Keban HES TM,
99939428,37.0265161181,38.3465925396,generator,None,,Afşin-Elbistan A Termik Santrali,
194678745,40.0792049046,39.1362497571,substation,380000,,Özlüce TM,
194508537,39.1395774778,38.2011526448,substation,None,,Karakaya HES 380kV TM,
170655124,37.2962055166,39.0795845069,substation,None,,Kangal TES TM,
171383020,35.6686905764,38.8591886058,substation,380000-154000,,Kayseri SKM,TEİAŞ
186330558,36.6471260866,40.9391874136,substation,None,,Hasan Uğurlu HES TM,
189248643,38.8711817595,41.0059621541,substation,380000,,Tirebolu 380kV TM,
127886746,28.0998628135,37.3333569255,substation,None,,Yatağan TES TM,TEİAŞ
117562956,27.8798697599,37.1433621388,substation,None,,Yeniköy TES TM,
117562840,27.9041533792,37.039328864,substation,380000,,Kemerköy TM,
91680343,37.2861324426,37.166966422,substation,None,,Gaziantep-2,
229782457,38.3083893963,37.4568257683,substation,380000-154000,,Atatürk HES TM,
191731811,37.4036133419,37.1611544914,substation,None,,Gaziantep-5 TM,
92135333,37.8903224613,37.0504991629,substation,None,,Birecik HES TM,
212324457,27.7947481879,39.3008048,substation,380000,,Soma RES 380kV TM,
168749163,35.133902805,38.243217275,substation,None,,Yesilhisar TM,TEİAŞ
171263413,36.6051412669,38.0906311631,substation,None,,Göksun SKM,
172934497,32.7508137008,37.8415539975,substation,380000-154000,,Konya-4 TM,
398461573,31.5299592173,36.9079112907,substation,None,,,
96580455,41.683260824,41.3510243028,substation,380000,,Borçka HES TM,
184960108,31.4483279283,41.2333350514,substation,380000,,Ereğli-2 TM,
239316403,31.8855523203,41.5022211066,substation,380000,,Eren TES TM,
130576633,26.9603758737,38.7559559719,substation,None,,Aliağa-2 TM,TEİAŞ
149996303,29.8839203293,39.5741928839,substation,None,,Seyitömer TES TM,
277026561,34.9956863858,41.3434512768,substation,380000,,Boyabat HES TM,
123798015,28.6916175924,40.9835488598,substation,380000,,Ambarlı DGKÇS TM,
129553303,40.1424374207,38.0243110682,substation,None,,Diyarbakır-3 TM,
128190663,37.0258749455,38.3495749894,substation,None,,Afşin-Elbistan A TES TM,
128190689,36.911809987,38.3544742707,substation,380000,,Afşin-Elbistan B TES 380kV TM,
52613323,28.9575160643,41.0967500516,substation,380000,,Alibeyköy TM,
131875657,27.3381460416,41.4816848024,substation,None,,Hamitabat DGKÇ,
99939431,36.9876055443,38.3510304591,generator,None,,Afşin-Elbistan B Termik Santrali,
128531803,36.3612521892,37.5980129892,substation,380000-154000,,Andırın TM,TEİAŞ
127795433,36.2143348725,36.7408123583,substation,380000,,İsdemir OPS,
308525291,26.9263194063,38.741999263,substation,None,,,
47982509,32.8190307975,39.8044251727,substation,380000-154000,,380 kV Gölbaşı TM,TEİAŞ
346404079,30.4329090583,39.8203344905,substation,380000,,,TEİAŞ
130576649,26.9564714763,38.7480645473,substation,None,,Çakmaktepe TES TM,TEİAŞ
175275388,27.3423480319,38.6164228414,substation,None,,Manisa OSB TES TM,
176441327,29.4632151329,39.6276964477,substation,380000,,TUTES ŞALT TM,TEİAŞ
194082258,41.1062255351,39.92868229,substation,380000,,Erzurum 3 TM,TEİAŞ
176553393,27.1159149983,41.423627939,substation,None,,Babaeski 380kV TM,TEİAŞ
181724474,38.9766961174,37.566089487,substation,None,,Hilvan TM,TEİAŞ
172934516,31.862712171,37.459536118,substation,None,,Seydişehir TM,
96580531,41.6830453673,41.3485917446,generator,None,,Borçka Hidroelektrik Santrali,
173298048,31.6942690079,40.0990527849,substation,None,,Çayırhan TES TM,
172934546,31.8524904662,37.4409601103,substation,None,,Seydişehir TS TM,
152097760,34.0878786481,37.5403077439,substation,380000,,Ereğli TM,
204556009,35.4442723694,37.3997617236,substation,None,,Yedigöze HES TM,
180552569,28.0197830814,39.6475171799,substation,380000,,Balıkesir-2 TM,TEİAŞ
191530942,42.9860687681,39.7359373358,substation,380000-154000,,Ağrı II TM,TEİAŞ
210956813,39.1350168388,38.2253451591,generator,None,,Karakaya Hidroelektrik Santrali,
176441329,29.4464315862,39.6182346003,substation,None,,TUTES-A TM,TEİAŞ
