l_id,n_id_start,n_id_end,voltage,cables,type,frequency,name,operator,length_m,r_ohm_km,x_ohm_km,c_nf_km,i_th_max_km,not_accurate
1,369766061,307560896,110000,6,line,,,,31431.0,,,,,Yes
2,236427284,307454803,110000,6,line,,,,4017.0,,,,,Yes
3,236427284,290158128,110000,6,line,,,,9493.0,,,,,Yes
4,168587285,130697731,110000,3,line,,,,24364.0,,,,,Yes
5,41400352,206651452,110000,6,line,,,,49889.0,,,,,Yes
6,41400352,206651451,110000,6,line,,,,36113.0,,,,,Yes
7,162584611,162584613,110000,6,line,,,,10448.0,,,,,
8,182061096,164920951,110000,3,line,,,,5891.0,,,,,
9,130847068,290881112,110000,6,line,,,,15960.0,,,,,Yes
10,130847068,290881103,110000,6,line,,,,18951.0,,,,,Yes
11,133888056,218722215,110000,6,line,,,,4045.0,,,,,Yes
12,275894330,164920951,110000,3,line,,,,2504.0,,,,,
13,132126791,206538319,110000,3,line,,,,13201.0,,,,,
14,369424463,369408400,110000,6,line,,,,27024.0,,,,,Yes
15,369424463,262505127,110000,6,line,,,,4545.0,,,,,Yes
16,200353873,200353875,110000,,line,,,,1298.0,,,,,
17,371935338,322686094,110000,3,line,,,,8274.0,,,,,
18,371935338,74481802,110000,6,line,,,,70736.0,,,,,Yes
19,371935338,292282773,110000,9,line,,,,85621.0,,,,,Yes
20,371935338,212324987,110000,9,line,,,,119490.0,,,,,Yes
21,371935338,277808372,110000,9,line,,,,123287.0,,,,,Yes
22,371935338,107675242,110000,6,line,,,,81662.0,,,,,Yes
23,371935338,353001016,110000,3,line,,,,44874.0,,,,,
24,147644528,129243723,110000,6,line,,,,13689.0,,,,,Yes
25,147644528,97963048,110000,6,line,,,,10305.0,,,,,Yes
26,182915221,291961278,110000,3,line,,,,11172.0,,,,,
27,182915221,291961266,110000,6,line,,,,4408.0,,,,,Yes
28,309557414,293931634,110000,3,line,50,,,41945.0,,,,,
29,290224297,290158128,110000,6,line,,,,2704.0,,,,,Yes
30,158585051,267283974,110000,3,line,50,,Черкасиобленерго,2789.0,,,,,
31,243585244,158848422,110000,6,line,50,,Черкасиобленерго,19263.0,,,,,
32,340494573,159727866,110000,3,line,,,,13368.0,,,,,
33,186505456,267283974,110000,3,line,50,,Черкасиобленерго,3452.0,,,,,
34,159727866,178113960,110000,,line,,,,5466.0,,,,,
35,159727866,136061746,110000,,line,,,,13472.0,,,,,
36,114311420,121969751,110000,6,line,,,,2483.0,,,,,Yes
37,114311420,286621657,110000,6,line,,,,6318.0,,,,,Yes
38,291651846,112483819,110000,3,line,,,,6756.0,,,,,
39,291651846,294666867,110000,3,line,,,,11472.0,,,,,
40,300517644,300450170,110000,6,line,,,,4457.0,,,,,
41,125073694,105622862,110000,6,line,,,,14731.0,,,,,Yes
42,268552509,252557895,110000,6,line,,,,3658.0,,,,,Yes
43,268552509,263210984,110000,6,line,,,,5333.0,,,,,Yes
44,268552509,268552510,110000,6,line,,,,2619.0,,,,,Yes
45,147634538,97576344,110000,6,line,,,,18748.0,,,,,
46,371632494,369439568,110000,6,line,,,,30525.0,,,,,Yes
47,371632494,369442464,110000,6,line,,,,19699.0,,,,,Yes
48,371632494,369443481,110000,6,line,,,,14533.0,,,,,Yes
49,194742659,194741653,110000,3,line,,110kV Hrubieszów - Hrubieszów Południe,,9958.0,,,,,
50,440398573,440398575,110000,3,line,,,,16565.0,,,,,
51,440398573,207740524,110000,3,line,,,,45424.0,,,,,Yes
52,440398575,28878854,110000,6,line,,,,68626.0,,,,,Yes
53,440398575,440398567,110000,3,line,,,,64148.0,,,,,
54,136079772,98371157,110000,6,line,,,,21613.0,,,,,Yes
55,275503522,372158291,110000,6,line,,,,8911.0,,,,,Yes
56,307560896,273990713,110000,6,line,,,,8631.0,,,,,Yes
57,307323338,307323361,110000,6,line,,,,18602.0,,,,,Yes
58,307323362,307323378,110000,6,line,,,,22529.0,,,,,Yes
59,307323362,285948588,110000,6,line,,,,31787.0,,,,,Yes
60,307323362,307323364,110000,6,line,,,,24850.0,,,,,Yes
61,236724724,199300542,110000,6,line,,,,15739.0,,,,,
62,332247553,426109940,110000,3,line,,,,23213.0,,,,,
63,130697731,130697711,110000,6,line,,,,928.0,,,,,Yes
64,105134610,96267254,110000,6,line,,,,15745.0,,,,,Yes
65,105134610,96267230,110000,6,line,,,,31578.0,,,,,Yes
66,105134610,98371157,110000,6,line,,,,46408.0,,,,,Yes
67,105134610,182693405,110000,6,line,,,,55365.0,,,,,Yes
68,105134610,96267240,110000,6,line,,,,27387.0,,,,,Yes
69,105134610,96267245,110000,6,line,,,,20081.0,,,,,Yes
70,130697753,104864777,110000,,line,,,,27506.0,,,,,
71,344412709,290800349,110000,6,line,,,,8871.0,,,,,Yes
72,129243723,130798960,110000,6,line,,,,19996.0,,,,,
73,212324987,277808372,110000,6,line,,,,4696.0,,,,,Yes
74,212324987,115621708,110000,6,line,,,,16125.0,,,,,Yes
75,285948590,285948699,110000,6,line,,,,16461.0,,,,,Yes
76,285948590,285948591,110000,6,line,,,,20540.0,,,,,Yes
77,440398568,207740524,110000,3,line,,,,41930.0,,,,,
78,273654552,301204625,110000,6,line,,,,20826.0,,,,,Yes
79,273654552,301204651,110000,6,line,,,,17421.0,,,,,Yes
80,369384240,369414261,110000,3,line,,,,40691.0,,,,,
81,307454799,164920951,110000,6,line,,,,10395.0,,,,,
