id,n1_id,n2_id,length,voltage
1,1,2,6657.81610728,220000
2,1,3,16057.9366458,220000
3,1,4,44321.0265106,220000
4,1,5,10571.7674814,220000
5,6,7,17549.0571385,220000
6,6,8,11601.1053347,220000
7,6,9,34868.7134285,220000
8,10,11,48784.713282,220000
9,12,13,22003.843541,220000
10,12,14,60546.1029012,220000
11,12,15,88834.9518987,220000
12,12,16,95923.008509,220000
13,12,17,75506.2501481,220000
14,12,18,50277.6431381,220000
15,12,19,37202.9906014,220000
16,12,20,3029.53630401,220000
17,12,21,16084.4674912,220000
18,12,22,26570.0860923,220000
19,12,23,66457.391803,220000
20,12,24,28869.7483329,220000
21,12,25,9440.29811134,220000
22,26,27,11813.3081229,220000
23,26,28,20885.0434485,220000
24,26,29,25052.0115084,220000
25,26,30,4813.569598,220000
26,31,32,199.666660436,220000
27,33,4,156.970471159,220000
28,34,35,910.721211542,220000
29,34,36,76289.6561075,220000
30,34,37,43395.2457968,220000
31,34,38,74350.4637718,220000
32,34,39,43333.6465262,220000
33,40,41,46737.6328061,220000
34,40,42,146811.967231,220000
35,40,43,109898.920627,220000
36,40,44,28944.4980784,220000
37,45,46,2803.48687795,220000
38,45,47,4040.54345909,220000
39,45,48,9114.3549878,220000
40,45,7,34416.2979653,220000
41,45,49,29096.3346036,220000
42,45,50,35446.9272666,220000
43,45,51,39337.0496477,220000
44,45,52,40685.5510255,220000
45,45,53,4865.43905175,220000
46,45,54,28958.2593504,220000
47,14,55,23443.148672,220000
48,14,56,4897.90205494,220000
49,57,58,656.763625567,220000
50,57,59,3210.15670451,220000
51,60,61,320.54024349,220000
52,62,63,1048.77935979,220000
53,3,64,3638.45181927,220000
54,3,65,2421.28188302,220000
55,66,42,8275.67141243,220000
56,66,67,24477.6330175,220000
57,66,68,45555.5295813,220000
58,69,17,361.451491929,220000
59,70,71,41974.4538981,220000
60,70,72,73189.9086865,220000
61,70,73,77894.7817052,220000
62,70,74,63248.0483293,220000
63,70,75,70582.7427378,220000
64,70,76,108047.179735,220000
65,77,13,45093.6624552,220000
66,77,78,58330.6074028,220000
67,77,79,120854.287148,220000
68,80,81,10870.1298621,220000
69,80,82,6969.50207792,220000
70,83,84,73.3346948776,220000
71,85,86,40994.9402628,220000
72,85,87,115.238716397,220000
73,85,88,67232.7770041,220000
74,38,89,66124.1548185,220000
75,38,90,91539.4345987,220000
76,38,91,48569.6274334,220000
77,38,4,14672.8099177,220000
78,92,93,74791.8183146,220000
79,92,23,80348.7696299,220000
80,92,94,47399.3163921,220000
81,92,95,29455.9741056,220000
82,92,96,105249.514232,220000
83,92,97,116083.493857,220000
84,92,98,135999.179512,220000
85,92,99,222237.913506,220000
86,92,100,342056.935698,220000
87,92,101,270359.411216,220000
88,92,102,230653.188504,220000
89,92,103,204411.425757,220000
90,92,104,63990.1251043,220000
91,92,105,32919.0982738,220000
92,92,78,13464.7210192,220000
93,106,107,8416.510889,220000
94,106,108,48001.6491202,220000
95,106,109,38993.5899352,220000
96,110,111,21892.904052,220000
97,110,23,41468.0565064,220000
98,110,112,28900.8825723,220000
99,113,74,165.713633666,220000
100,114,108,124.960716961,220000
101,115,116,168.392565521,220000
102,67,43,27444.5477231,220000
103,117,118,31712.5475897,220000
104,119,44,8735.88891477,220000
105,119,120,12943.561897,220000
106,116,51,30227.3622243,220000
107,116,121,31338.5028327,220000
108,116,122,36913.500182,220000
109,116,123,26833.7079189,220000
110,116,124,27288.8760211,220000
111,125,126,150.186175194,220000
112,127,128,63331.8908487,220000
113,129,130,3433.08984053,220000
114,59,131,8672.47781511,220000
115,132,133,32368.4977636,220000
116,134,18,7419.81059274,220000
117,135,136,5431.07920235,220000
118,137,136,51437.0416149,220000
119,61,136,32867.2911422,220000
120,61,138,39810.4604856,220000
121,139,140,11404.3031837,220000
122,139,141,12199.696966,220000
123,139,142,20679.3705891,220000
124,143,144,35878.882638,220000
125,29,142,17049.6309014,220000
126,29,145,13421.6123873,220000
127,146,17,38129.8635895,220000
128,146,147,35216.4474573,220000
129,146,148,41211.4081705,220000
130,11,149,49137.1424364,220000
131,11,150,51886.1050753,220000
132,11,128,58961.2996523,220000
133,11,151,42094.994072,220000
134,11,152,19374.9087299,220000
135,11,153,2902.21009237,220000
136,154,155,29595.4203002,220000
137,154,156,33096.3460541,220000
138,154,32,86004.7661424,220000
139,54,157,18863.6654797,220000
140,54,158,33912.5881152,220000
141,54,130,28657.5030375,220000
142,54,159,19909.0515549,220000
143,54,160,19938.4873256,220000
144,54,161,16294.9439034,220000
145,54,162,41075.7443142,220000
146,163,44,453.994963132,220000
147,163,164,690.222586631,220000
148,21,165,694.011924671,220000
149,166,167,432.485526213,220000
150,166,168,1672.0084093,220000
151,155,169,59703.3120901,220000
152,170,32,45776.145166,220000
153,170,107,27769.6322822,220000
154,171,172,25381.8311147,220000
155,171,173,15693.3011598,220000
156,157,168,8104.22167605,220000
157,157,174,6411.89079985,220000
158,175,176,18200.5640172,220000
159,177,178,9075.55086123,220000
160,177,179,21269.9377115,220000
161,177,180,6292.58392233,220000
162,177,181,10952.9612423,220000
163,182,183,6593.4617449,220000
164,182,184,52868.9255269,220000
165,185,186,5397.33670686,220000
166,185,43,80002.135457,220000
167,48,187,110995.240923,220000
168,48,188,186651.551891,220000
169,48,9,213849.662639,220000
170,48,189,171696.713827,220000
171,190,191,570.335636205,220000
172,192,193,6994.68451325,220000
173,194,195,20966.7764983,220000
174,194,196,61597.416596,220000
175,194,197,32808.8284817,220000
176,196,189,13154.7306098,220000
177,196,195,18371.9258249,220000
178,196,198,10215.7936845,220000
179,19,199,8902.1763458,220000
180,19,18,23618.8521479,220000
181,200,201,24448.6511954,220000
182,200,202,16698.8788875,220000
183,90,203,15251.7475626,220000
184,204,151,11475.4058983,220000
185,204,205,23558.5967706,220000
186,204,36,53240.0557449,220000
187,63,206,3156.06719454,220000
188,207,128,24606.3399085,220000
189,207,208,19343.4886928,220000
190,124,209,26603.9295889,220000
191,124,210,4849.42280684,220000
192,124,27,23444.4387922,220000
193,124,191,26060.2823591,220000
194,124,211,3618.15379767,220000
195,124,140,9875.99857346,220000
196,212,213,26132.6102377,220000
197,212,178,34011.7403865,220000
198,212,160,43765.9945558,220000
199,212,214,54236.4089328,220000
200,212,180,55982.1272308,220000
201,212,215,48683.0631136,220000
202,216,217,41897.8806188,220000
203,216,218,37981.4432485,220000
204,216,51,27071.8038778,220000
205,216,7,12790.1588209,220000
206,219,220,104774.255491,220000
207,219,221,65911.1375585,220000
208,222,174,205.394257189,220000
209,222,223,268.596174789,220000
210,173,142,51136.8610759,220000
211,136,224,39294.9895398,220000
212,225,226,41496.2042424,220000
213,225,227,7093.86805506,220000
214,228,229,46141.0907593,220000
215,228,230,26902.5930384,220000
216,231,107,55074.3194091,220000
217,86,232,27507.323066,220000
218,233,234,130.058592307,220000
219,203,235,32464.9025983,220000
220,236,237,23688.158652,220000
221,236,238,19721.1304594,220000
222,236,195,46668.1191155,220000
223,239,44,64.5237802713,220000
224,240,241,27911.2092891,220000
225,242,243,27478.4994084,220000
226,242,237,33131.4548871,220000
227,242,244,34813.2366767,220000
228,242,245,11315.0240613,220000
229,118,246,55590.8165968,220000
230,118,247,112.570058706,220000
231,118,248,33061.189956,220000
232,118,249,57138.3013028,220000
233,118,250,35162.0288255,220000
234,235,251,46226.5258364,220000
235,252,253,1300.45249431,220000
236,217,172,61914.2929902,220000
237,217,209,40709.9253487,220000
238,217,254,21742.2235668,220000
239,217,255,22342.9263915,220000
240,256,198,93.5548887792,220000
241,257,258,88335.1420635,220000
242,257,144,43065.3890203,220000
243,259,100,5235.08164945,220000
244,98,260,5892.96025083,220000
245,98,234,5887.46601471,220000
246,98,261,23169.0731668,220000
247,98,253,22749.1963884,220000
248,98,99,81098.2762859,220000
249,229,230,20287.5877589,220000
250,9,262,401.16873889,220000
251,9,263,484.89286343,220000
252,9,264,25306.8963063,220000
253,265,266,29.9827456778,220000
254,102,267,20456.0672217,220000
255,102,268,23058.7259608,220000
256,104,79,46972.4067387,220000
257,269,151,4491.31601426,220000
258,269,205,3148.64487472,220000
259,269,270,816.667306985,220000
260,271,272,69790.176137,220000
261,271,273,12245.0702228,220000
262,272,88,878.355457324,220000
263,272,131,22572.9348161,220000
264,272,274,67037.7018312,220000
265,275,122,3415.51532894,220000
266,241,176,51649.0718529,220000
267,241,220,26918.9525622,220000
268,23,276,29478.3990019,220000
269,23,277,14045.0630026,220000
270,23,278,2842.69003045,220000
271,279,248,591.760714683,220000
272,176,280,30244.1247418,220000
273,281,282,160.58198276,220000
274,281,283,7154.64562615,220000
275,284,285,2595.73282138,220000
276,286,187,1320.88541827,220000
277,287,18,104653.556083,220000
278,27,81,10744.7423149,220000
279,50,288,646.844550298,220000
280,50,289,8537.07714322,220000
281,50,290,12147.4759824,220000
282,291,214,26.5582311404,220000
283,188,292,3523.52098102,220000
284,36,250,58565.7298668,220000
285,36,293,38833.5669648,220000
286,112,274,48828.1127577,220000
287,224,294,30996.8635453,220000
288,294,295,72221.5064125,220000
289,296,56,93.7814245015,220000
290,297,298,24435.9170707,220000
291,299,214,104.653600302,220000
292,95,165,11788.1744124,220000
293,300,274,279.805404284,220000
294,260,234,291.521176636,220000
295,301,253,483.838016349,220000
296,248,285,5846.91258088,220000
297,248,302,2344.94333529,220000
298,249,303,1562.80705863,220000
299,304,227,56382.7801267,220000
300,305,100,41000.0426686,220000
301,46,53,2931.83047888,220000
302,150,306,191.568749548,220000
303,178,81,19991.8346605,220000
304,232,72,19767.5519879,220000
305,81,122,7785.53507634,220000
306,42,144,62836.1819278,220000
307,18,307,6861.85247617,220000
308,76,72,59728.7115729,220000
309,208,308,13656.3591991,220000
310,309,68,74290.2850091,220000
311,309,126,38663.4394913,220000
312,309,310,55333.5977858,220000
313,311,128,341.715778509,220000
314,312,306,18169.0318459,220000
315,313,226,938.768084316,220000
316,314,82,1628.65245372,220000
317,310,144,47187.4012237,220000
318,277,315,2682.47581187,220000
319,316,4,24676.2781856,220000
320,317,244,38661.3689754,220000
321,318,319,189.953352712,220000
322,264,320,1864.47557462,220000
323,138,321,424.237283536,220000
324,1,322,36255.3369301,380000
325,1,323,9124.22805766,380000
326,1,324,33342.337948,380000
327,1,325,86468.7405702,380000
328,1,326,87138.8345182,380000
329,1,327,60982.5338881,380000
330,328,176,30886.7506477,380000
331,328,329,22132.5117344,380000
332,330,331,14920.4129043,380000
333,330,332,12401.5358148,380000
334,330,333,2197.96153746,380000
335,334,335,114531.542817,380000
336,334,336,51053.1446227,380000
337,334,337,33428.2517567,380000
338,334,338,66254.3618857,380000
339,339,173,73832.1206353,380000
340,339,124,28548.6579167,380000
341,339,340,12036.6458932,380000
342,12,341,22098.7976882,380000
343,12,19,39354.2583538,380000
