l_id,n_id_start,n_id_end,voltage,cables,type,frequency,name,operator,length_m,r_ohm_km,x_ohm_km,c_nf_km,i_th_max_km,not_accurate
1,89477547,156402422,110000,3,line,50,-Beeden - Rohrbach,,13675.0,,,,,Yes
2,89477547,54448056,110000,3,line,50,,,15549.0,,,,,Yes
3,89477547,52813220,110000,3,line,50,-Brebach - St. Ingbert,REW-RWE,19185.0,,,,,Yes
4,89477547,31135714,110000,3,line,50,,Pfalzwerke AG-REW,5365.0,,,,,Yes
5,89025028,149987053,110000,4,line,0,110 kV Bahnstrom Kaiserslautern - Saarbrücken 1|2- UW Saarbrücken - UW Bengel- UW Saarbrücken - UW Karthaus-110 kV Bahnstrom Kaiserslautern - Saarbrücken 1|2,DB_Energie,63370.0,,,,,Yes
6,89025028,89198158,110000,6,line,50,,,7197.0,,,,,
7,89025028,27776007,110000,3,line,50,-Fenne - Geislautern,,12821.0,,,,,Yes
8,89025028,24599434,110000,3,line,50,,,10186.0,,,,,Yes
9,176208790,31773680,110000,6,line,50,,,8562.0,,,,,
10,130913158,155045848,110000,3,line,,-Ensdorf - Saarstahl VK,,5454.0,,,,,Yes
11,130913158,82773910,110000,3,cable,,,,1993.0,,,,,Yes
12,27776007,155045848,110000,6,line,,Geislautern - Saarstahl VK (Stat 70),,2119.0,,,,,
13,27776007,93351747,10000,6,line,50,-Wadgassen - Altforweiler-Schaffhausen - Altforweiler-Geislautern - Schaffhausen,,12091.0,,,,,Yes
14,27776007,132816119,35000,3,line,50,-Geislautern - Schaffhausen,,4865.0,,,,,Yes
15,27776007,82773910,110000,6,cable,,,,10249.0,,,,,Yes
16,106456206,156402426,110000,6,line,50,-Bexbach -,Saar Energie,7305.0,,,,,
17,106456206,106976933,110000,3,line,50,,Saar Energie,10198.0,,,,,Yes
18,106456206,100812630,110000,3,line,50,,Saar Energie,20217.0,,,,,Yes
19,89215122,89614507,110000,3,line,50,-220 kV Saar Nord- 110 kV Merzig - Saarwellingen-110 kV Merzig - Saarwellingen,Amprion,16115.0,,,,,Yes
20,89215122,89614513,35000,3,line,,-Saarwellingen - Rehlingen,,8983.0,,,,,Yes
21,89215122,106549933,35000,3,line,,-Saarwellingen - Rehlingen,,10446.0,,,,,Yes
22,89215122,142365387,10000,6,line,50,Saarwellingen - Lebach,,11562.0,,,,,Yes
23,89215122,82773910,35000,3,cable,,-Saarwellingen - Ensdorf-Saarwellingen - Fraulautern (neu 9/2011),,14115.0,,,,,Yes
24,89215122,278132700,110000,3,line,50,-Saarwellingen - Dillinger Hütte N/S-Saarwellingen - Dieflen,,2473.0,,,,,Yes
25,142365387,54359256,110000,6,line,50,-Uchtelfangen - Lebach/Schmelz/St.Wendel,Amprion-RWE,14324.0,,,,,Yes
26,142365387,69463905,110000,6,line,50,,,5198.0,,,,,Yes
27,195859545,89614507,20000,6,line,50,Wellingen - Borg--Merzig --Merzig - Wellingen,,17990.0,,,,,Yes
28,82773910,115145869,110000,,cable,,,,1244.0,,,,,
29,104907160,24599434,110000,3,line,50,-Fenne - Uchtelfangen,,20881.0,,,,,Yes
30,90707972,89614507,110000,6,line,50,-110 kV Merzig - Losheim,VSE,16105.0,,,,,Yes
31,90707972,38309228,110000,6,line,50,Wadern Nord|Süd,,7828.0,,,,,
32,89341211,24599434,110000,6,line,50,110 kV,,100.0,,,,,
33,89341211,54359256,110000,6,line,50,Fenne - Uchtelfangen,,20533.0,,,,,
34,108377763,89614507,110000,3,line,50,-Merzig --220 kV Saar Nord | 110kV Merzig Ltg.,Amprion,5204.0,,,,,Yes
35,52813220,89198158,110000,6,line,50,Brebach - Eschberg,,2921.0,,,,,
36,98492966,54359256,110000,6,line,50,-Uchtelfangen - Heinitz,RWE,5772.0,,,,,Yes
37,89614507,89614513,20000,6,line,50,110 kV Mechern Ost|West- 20 kV Merzig Harlinger Weg- Dörrmühle-Rehlingen - Merzig 110 kV,,12732.0,,,,,Yes
38,106152110,115145869,110000,6,line,50,Ensdorf - Saarlouis,,1514.0,,,,,
39,51300783,28051874,110000,6,line,50,,Evonik,12188.0,,,,,
40,51300783,30425117,110000,6,line,50,,Evonik-Steag,7515.0,,,,,
41,102727378,38309228,110000,6,line,50,110 kV Wadern - Kastel Ost|West,,9166.0,,,,,Yes
42,102806233,142299114,35000,6,line,50,Alsweiler - St. Wendel-Alsweiler - Römerhof,,7951.0,,,,,Yes
43,119253935,156402422,110000,3,line,50,-Beeden -,Pfalzwerke AG,8874.0,,,,,Yes
44,119253935,119253879,110000,3,line,50,,Pfalzwerke AG,11190.0,,,,,Yes
45,89352550,28051874,110000,4,line,,,,129.0,,,,,
46,89352550,156402426,110000,6,line,50,Barbara -,Saar Energie,1769.0,,,,,
47,89352550,156402422,110000,6,line,50,Barbara - Beeden,,11033.0,,,,,
48,89352550,92936047,110000,6,line,50,110kV Kusel Ost- 110kV Oberstein West,Westnetz,44614.0,,,,,
49,142299114,31773680,20000,3,line,50,Alsweiler - Walhausen-Alsweiler - Walhausen | 20kV Alsweiler -Tholey | 20kV Alsweiler - Theley-Alsweiler - Walhausen- 20 kV Alsweiler - Theley-110 kV Hochwald Nord|Süd,,13619.0,,,,,Yes
