n_id,longitude,latitude,type,voltage,frequency,name,operator,not_accurate
89477547,7.14825803739,49.2851255736,substation,110000,50,UA Rohrbach,,
156402422,7.31928346307,49.3048184245,substation,110000,50,Beeden,Pfalzwerke,Yes
54448056,7.2133498084,49.1681651124,substation,0,,,Pfalzwerke AG,
52813220,7.04358023714,49.2143463205,substation,110000,50,UA Brebach,,Yes
31135714,7.11710281176,49.3217410302,substation,110000,50,Umspannwerk Heinitz,,Yes
89025028,6.97753823518,49.2438567419,substation,15000,16.7,Unterwerk Saarbrücken,DB_Energie,Yes
149987053,7.70447703751,49.4377724036,substation,15000,16.7,Unterwerk Kaiserslautern,DB_Energie,Yes
89198158,7.03710276443,49.2313248625,substation,0,,,,
27776007,6.84005538375,49.2356442722,substation,0,,Umspannanlage Geislautern,,
24599434,6.87907316292,49.249099383,plant,0,,Kraftwerk Fenne,,
176208790,7.23791843214,49.5469247233,substation,0,,UA Freisen,,
31773680,7.13171743888,49.5549156872,sub_station,0,,,,
130913158,6.7821198766,49.2755546095,sub_station,0,,,Röhrenwerke Bous,
155045848,6.83960791641,49.2527173781,sub_station,110000,,,,
82773910,6.77320788701,49.2910742365,substation,110000,50,Umspannanlage Ensdorf,,Yes
93351747,6.72645979193,49.2724511183,substation,0,,UA Überherrn,,
132816119,6.79674789369,49.2577525309,substation,0,,UA Schaffhausen,,
106456206,7.14456523268,49.3346421916,substation,0,,,,
156402426,7.23633094572,49.3425060989,substation,0,,,,
106976933,7.02552134802,49.2991333364,substation,0,,,,
100812630,7.03129977169,49.3308301926,substation,110000,,,,Yes
89215122,6.76601569052,49.3600772022,substation,110000,50,Station Saarwellingen,Amprion,Yes
89614507,6.63003359634,49.4545581296,substation,110000,50,UA Merzig,VSE,
89614513,6.6883125608,49.3657354558,substation,110000,,UA Rehlingen,,
106549933,6.70972205893,49.3658750067,station,0,,,Stadtwerke Dillingen,
142365387,6.9012426368,49.4093516935,substation,110000,50,UA Lebach,,
278132700,6.74005068141,49.356605842,station,0,,,,
54359256,6.99647662278,49.3754093214,substation,110000,50,Umspannwerk Uchtelfangen,Amprion,Yes
69463905,6.87288365491,49.4455284642,station,0,,Umspannanlage Schmelz,VSE,
195859545,6.41906249185,49.4915141888,sub_station,0,,UA Borg,,
115145869,6.77130706208,49.2919948436,plant,110000,,Kraftwerk Ensdorf,,Yes
104907160,6.91312758087,49.2949115014,substation,0,,UA Köllerbach,Energis,
90707972,6.80020224596,49.502211638,substation,0,,,Energis,
38309228,6.89033545963,49.5275903298,substation,110000,,Umspannwerk,,
89341211,6.88435279104,49.2486275944,substation,110000,,,,
108377763,6.60787397676,49.4928665408,station,0,,,,
98492966,7.04940121647,49.344711008,station,0,,,,
106152110,6.75741028292,49.3100826899,substation,0,,,VSE,
51300783,7.11467103437,49.3491263486,substation,0,,,,
28051874,7.23595873347,49.3627087169,plant,0,,Kraftwerk Bexbach,,
30425117,7.03134967755,49.3354121937,plant,0,,Kraftwerk Weiher,,
102727378,6.97537013761,49.5805730898,sub_station,0,,,,
102806233,7.16614887366,49.461112772,station,0,,,,
142299114,7.07323840632,49.4776708997,station,0,,UA Alsweiler,,
119253935,7.33353319666,49.2512823168,station,0,,,,
119253879,7.37760538539,49.258630386,substation,0,,,Pfalzwerke AG,
89352550,7.24037476757,49.357649774,substation,110000,50,Schaltanlage St. Barbara,Amprion / STEAG,Yes
92936047,7.28082318171,49.6226729105,station,0,,Station Ruschberg,OIE,
176704629,7.02998273676,49.3346604509,substation,0,,,,
106976898,7.17034284817,49.3558349485,substation,220000,,Saarstahl,,
90109302,6.74970012443,49.3651763762,substation,220000,50,UA Obergraben,Amprion,
82310607,6.75552343093,49.3648696291,substation,220000,50,Dieffeln,VSE,
90109304,6.741376169,49.3574919769,substation,220000,50,UA Dillinger Hütte Mitte,,
152018146,7.23579348811,49.3693923812,substation,380000,50,Mittelbexbach,Amprion,
203791988,7.23898187803,49.3618175931,station,0,,,,
