n_id,longitude,latitude,type,voltage,frequency,name,operator,not_accurate
149402624,12.7865509153,50.4843571718,substation,110000,50,,,
36183042,12.7892381843,50.6270562711,substation,110000,50,Umspannwerk Zwönitz,,Yes
176222682,12.7683624953,50.5533001009,substation,110000,50,Umspannwerk Schwarzenberg,,
166604824,12.9306930379,50.5027784599,substation,110000,50,,,
150279447,12.9050452902,50.6870961136,sub_station,0,,,,
35931184,13.2139618428,50.7071050029,substation,110000,50,Umspannwerk Pockau,,
173145567,12.5520797094,50.6652422364,substation,30000,50,Umspannwerk Silberstraße,MITNETZ,Yes
23491587,12.4218662089,51.353882699,substation,110000,50,Umspannwerk Leipzig Ost,Stadtwerke Leipzig,
94570203,12.3784262875,51.3512506711,generator,0,,GuD Kraftwerk,Stadtwerke Leipzig,
169099536,12.3930811472,51.3476730188,substation,110000,50,,Leipzig Netz,
22931543,12.4364254146,51.3693210901,substation,110000,50,Umspannwerk Leipzig I,Stadtwerke Leipzig,
23161029,12.4696440481,51.3716629567,substation,110000,50,Umspannwerk Taucha,50Hertz-enviaM,Yes
27991766,12.4190539375,51.372821629,substation,110000,50,,,
177936388,14.5567057903,51.419010629,substation,110000,,,,
175762742,14.4686823522,51.503601739,substation,0,,,,
178167136,14.5700865992,51.419013721,plant,0,,Kraftwerk Boxberg,Vattenfall Europe,
174306563,14.409874325,51.390574994,substation,110000,50,,,
138255356,14.3163305333,51.468824698,substation,0,,,,
30164703,14.471965504,51.5538127718,substation,110000,50,Graustein,50Hertz_Transmission-enviaM,Yes
159209994,13.7195042966,51.0521685583,substation,0,,Umspannwerk DD-Mitte,DREWAG,
10212613,13.7101602339,51.0424990661,plant,0,,Heizkraftwerk Nossener Brücke,DREWAG,
174294028,14.5261926611,51.4841946443,substation,110000,,,,
41063426,14.8015262903,50.8877800728,substation,110000,50,Umspannwerk Zittau-Süd,,
49273386,14.7741880321,50.9046754249,substation,20000,50,Umspannwerk Zittau,ENSO,Yes
88300476,14.6844250383,50.890620971,substation,110000,50,Umspannwerk Großschönau,ENSO,
107760643,12.3811629613,51.2778239985,substation,110000,50,Umspannwerk Markkleeberg,,
22879352,12.2635956271,51.2443402936,substation,110000,50,,,
173769988,12.8977765263,51.4919046997,substation,110000,50,Umspannwerk Langenreichenbach,,
29177271,12.9880034355,51.57707874,substation,110000,50,Umspannwerk Zinna,,
173764855,12.6078730701,51.5901970152,substation,110000,50,Umspannwerk Bad Düben,,
173778461,12.3444801625,51.1662987841,substation,0,,,,
34583651,12.2137242987,51.1387393687,station,110000,,,,
34106131,12.368296823,51.177328204,substation,110000,50,,enviaM,
156799006,12.1489032056,50.4984455836,substation,110000,50,Umspannwerk Plauen A,enviaM,
167352587,12.2428369604,50.5674531944,substation,110000,50,Umspannwerk Herlasgrün,50Hertz-enviaM,Yes
307426821,12.3567413516,51.5198664686,substation,110000,50,,,
22931760,12.4057884474,51.4041717963,substation,110000,50,Umspannwerk Seehausen,enviaM,
175275042,12.7026071277,51.2406348291,substation,110000,50,,,
32843531,12.5182221256,51.157072608,substation,110000,50,Eula,50Hertz Transmission,Yes
173761071,12.7064960099,51.3565751155,substation,110000,50,Umspannwerk Bennewitz,,
98446508,12.7567722204,51.381507908,substation,110000,50,Umspannwerk Wurzen,enviaM,
135992358,12.8603336536,50.8109673198,substation,110000,50,Umspannwerk Chemnitz West,,
23117075,12.8137689595,50.8578879879,substation,110000,50,Umspannwerk Röhrsdorf,50Hertz,Yes
34105895,12.3448114444,51.1884182856,abandoned:station,110000,50,,,
22879599,12.2488239433,51.1978824596,substation,110000,50,Umspannwerk Großdalzig,50Hertz Transmission-enviaM,Yes
197722744,12.6862852481,50.5807475994,substation,0,,,,
175209542,12.6790115201,50.5839318869,substation,110000,,Umspannwerk Aue Süd,,
149527595,13.1614978325,50.8649811695,sub_station,0,,Umspannwerk Oederan,enviaM,
130539251,13.0835056823,50.8515320808,substation,110000,50,Flöha/Ost,,
173590639,13.0025899277,50.8659127623,substation,110000,50,Niederwiesa,eins-Energie,Yes
146512547,13.3294269796,50.8762459016,substation,110000,50,Umspannwerk Brand-Erbisdorf,enviaM,
157327359,13.3583868366,50.8998600246,substation,110000,50,Wacker Freiberg,,
157327362,13.3625139598,50.9092244718,substation,110000,50,Freiberg Hütte,,
149527175,13.3181247559,50.9158330323,substation,110000,50,Freiberg West,enviaM,
333790233,13.2573630784,50.930093805,substation,110000,50,Freiberg/Nord (110 kV),enviaM,
173761081,12.654374549,51.4634832273,substation,110000,50,Umspannwerk Eilenburg/Ost,,
175421171,12.2847593019,50.6195445745,substation,110000,50,Umspannwerk Reichenbach,,
173087289,12.4779716732,50.7487904974,substation,110000,,,,
175459302,12.4807125576,50.7037272802,substation,0,,Umspannstation Zwickau Zentrum,,
161249132,12.5053203602,50.7273433641,substation,110000,50,Zwickau Eckersbach,ZEV,
176806731,12.3909739398,50.8038847991,substation,110000,50,,,
173112252,12.4772465429,50.7531200947,substation,110000,50,Crossen,50Hertz,Yes
175298830,12.4703806123,50.7347918627,substation,0,50,ZEV Umspanwerk Sachsenring,ZEV,
175298831,12.3775456268,50.7173731727,substation,110000,50,Umspannwerk Werdau Süd,,
60570171,14.4331400515,51.1031619468,substation,110000,50,Umspannwerk Rodewitz,ENSO,
157807291,14.2192283704,51.120708016,substation,110000,,Umspannwerk Schmölln,50Hertz-ENSO,Yes
149263207,14.2504843327,50.9694147948,substation,110000,50,Umspannwerk Sebnitz,ENSO,
296009976,14.1949449604,51.1245821774,substation,110000,,Umspannwerk Bischofswerda,,
23241863,13.8412681302,50.9901759707,substation,110000,50,Umspannwerk DD-Süd,Vattenfall-ENSO Strom AG-DREWAG,Yes
25358758,13.8351583889,50.9941363561,substation,15000,50;16.7,Zentrales Bahnstromumformerwerk Dresden-Niedersedlitz,DB_Energie,Yes
45490898,13.9440680768,50.9809881979,substation,110000,50,Umspannwerk Pirna-Copitz Steinhügelweg,,
148087099,13.7330503194,51.2139776331,substation,110000,50,Umspannwerk Radeburg,ENSO,
62358454,13.3191969015,51.1921955,substation,110000,50,Umspannwerk Lommatzsch,enso,
40151235,13.2670969258,51.3113803412,substation,15000,16.7,Unterwerk Riesa,DB_Energie,Yes
154078303,12.7460144794,51.3631094772,substation,15000,16.7,Unterwerk Wurzen,DB_Energie,Yes
