l_id,n_id_start,n_id_end,voltage,cables,type,frequency,name,operator,length_m,r_ohm_km,x_ohm_km,c_nf_km,i_th_max_km,not_accurate
1,201042442,161016418,110000,6,line,50,-Sa-Ru2-Sa-SPf1,,8409.0,,,,,
2,461139468,150353465,110000,6,line,50,-Sömmerda,Thüringer_Energienetze,15372.0,,,,,Yes
3,461139468,150353464,110000,6,line,50,,Thüringer_Energienetze,29939.0,,,,,Yes
4,461139468,172454049,110000,6,line,50,,Thüringer_Energienetze,35871.0,,,,,Yes
5,461139468,34105558,110000,6,line,50,,Thüringer_Energienetze,48643.0,,,,,Yes
6,461139468,172456557,110000,6,line,50,,Thüringer_Energienetze,19534.0,,,,,Yes
7,152947726,149256409,380000,6,line,50,,Thüringer_Energienetze-50Hertz-TEN,7947.0,0.0166666666667,0.166666666667,20.55,3.9,Yes
8,152947726,137475556,110000,6,line,50,,Thüringer_Energienetze,16681.0,,,,,Yes
9,152947726,34544428,110000,6,line,50,,Thüringer_Energienetze,9994.0,,,,,Yes
10,166627344,176257262,110000,3,line,50,,Thüringer_Energienetze,22543.0,,,,,
11,173538327,172570022,110000,6,line,50,,,10355.0,,,,,
12,323622428,158242082,110000,6,line,50,,Thüringer_Energienetze,19403.0,,,,,Yes
13,270969803,278687216,380000,6,line,50,-467- 468-Ar - Law 2- Sti - Law3-Sti - Law 3-Ar - Law 2- Sti - Law3,Thüringer_Energienetze-50Hertz-Thüringer_Energienetze,15699.0,0.0125,0.125,27.4,5.2,Yes
14,270969803,164447535,380000,6,line,50,-467- 468-Ar - Law 2- Sti - Law3-Ar - Law 2- Sti - Law3-Ar-Sti 1- Ar-Law 2-Ar-Law 2-Sti - Law 3,Thüringer_Energienetze-50Hertz-Thüringer_Energienetze,27021.0,0.0125,0.125,27.4,5.2,Yes
15,270969803,172034256,110000,12,line,50,-Sa-Swa-Il 2-Kö-Il 3-Slf-Swa-Il1- Kö-Il 3,Thüringer_Energienetze,4919.0,,,,,Yes
16,270969803,161016418,110000,12,line,50,-Slf-Swa-Il1- Kö-Il 3,Thüringer_Energienetze,35298.0,,,,,Yes
17,157105203,29406618,110000,6,line,,,,11708.0,,,,,Yes
18,27087414,149491404,110000,6,line,50,Sl-SlW-Grt 1-Sl-SlW-Mei-Sma 2/5-Sl-SlW-Mei-Sma 2/5-Sl-SlW-Grt 1-Sl-SlW-Grt 1- Sl-SlW-Mei-Brt 2,Thüringer_Energienetze,7047.0,,,,,Yes
19,27087414,157375947,110000,6,line,50,Sl-SlW-Mei-Sma 2/5-Grt-Mei-Brt 3-Sl-SlW-Grt 1-Sl-SlW-Grt 1- Sl-SlW-Mei-Brt 2,Thüringer_Energienetze,23166.0,,,,,Yes
20,27087414,157375946,110000,6,line,50,Sl-SlW-Mei-Sma 2/5-Grt-Mei-Brt 3-Sl-SlW-Mei-Sma 2/5-Grt-Mei-Brt 3- Sl-SlW-Mei-Brt 2-Sl-SlW-Grt 1-Sl-SlW-Grt 1- Sl-SlW-Mei-Brt 2,Thüringer_Energienetze,35870.0,,,,,Yes
21,27087414,26620593,110000,6,line,50,Sl-SlW-Mei-Sma 2/5-Grt-Mei-Brt 3- Sl-SlW-Mei-Brt 2-Sl-SlW-Grt 1-Sl-SlW-Grt 1- Sl-SlW-Mei-Brt 2,Thüringer_Energienetze,54812.0,,,,,Yes
22,27087414,149256409,110000,6,line,50,,Thüringer_Energienetze,27997.0,,,,,Yes
23,27087414,39673717,110000,6,line,50,Sl-SlN-SHg-Brt-Sl-SlN-FHg-Brt,Thüringer_Energienetze,7211.0,,,,,Yes
24,27087414,39673714,110000,6,line,50,Sl-SlN-SHg-Brt-Sl-SlN-FHg-Brt,Thüringer_Energienetze,19941.0,,,,,Yes
25,27087414,173942747,110000,6,line,50,,Thüringer_Energienetze,27780.0,,,,,Yes
26,61564984,189204457,110000,6,line,50,,Thüringer_Energienetze,1598.0,,,,,Yes
27,61564984,61560700,110000,6,line,50,,Thüringer_Energienetze,16844.0,,,,,
28,166603836,156673637,110000,6,line,50,,,14995.0,,,,,
29,61564989,175192443,110000,6,line,50,,Thüringer_Energienetze,25969.0,,,,,Yes
30,61564989,198502159,110000,6,line,50,-Wh-Go8-WhG-Go3-Wh-Go8,Thüringer_Energienetze,34334.0,,,,,Yes
31,61564989,175192442,110000,6,line,50,,Thüringer_Energienetze,24452.0,,,,,Yes
32,61564989,37901297,110000,6,line,50,,Thüringer_Energienetze,37429.0,,,,,Yes
33,61564989,154418450,110000,12,line,50,,Thüringer_Energienetze,10612.0,,,,,Yes
34,40065094,49514648,110000,3,cable,50,,Stadtwerke Erfurt,4247.0,,,,,
35,40065094,39902800,110000,3,cable,50,,Stadtwerke Erfurt,1397.0,,,,,
36,61565003,189204457,110000,6,line,50,,Thüringer_Energienetze,8848.0,,,,,
37,61565003,154418450,110000,12,line,50,,Thüringer_Energienetze,4450.0,,,,,Yes
38,39902800,49514648,110000,3,cable,50,,Stadtwerke Erfurt,3565.0,,,,,
39,39902800,37901299,110000,6,line,50,Gis-ErF-ErW 1-Gis-ErF-ErW 2-Gis-ErF-ErW,SWE,5272.0,,,,,Yes
40,173613668,26620593,110000,6,line,50,Odf-Sma 3- Tb-Brt 6-Sma-Brt 5- Tb-Brt 6-Tb-Brt 6,Thüringer_Energienetze,22609.0,,,,,Yes
41,173613668,26620802,110000,6,line,50,Odf-Sma 3- Tb-Brt 6-Odf-Sma 3- Sma-Brt 5-Tb-Brt 6,Thüringer_Energienetze,16555.0,,,,,Yes
42,173613668,198502159,110000,6,line,50,Go-Odf1-Go-GoG2-Odf-Sma3-GoG-Tb4-Go-Odf1-GoG-Tb4-Go-GoG-Tb-Brt 6,Thüringer_Energienetze,24137.0,,,,,Yes
43,173613668,75792867,110000,6,line,50,Go-GoG2-GoG-Tb4-Odf-Sma3-GoG-Tb4-Go-Odf1-GoG-Tb4-GoG-Tb-Tb-Brt 6,Thüringer_Energienetze,29308.0,,,,,Yes
44,173613668,110470851,110000,6,line,50,Go-Odf 1-Odf-Sma 3-Odf-Sma3-GoG-Tb4-Tb-Brt 6,Thüringer_Energienetze,14330.0,,,,,Yes
45,154078301,29483505,110000,4,line,0,-Reichenbach,DB_Energie,26295.0,,,,,Yes
46,172562526,157820259,110000,6,line,50,Wk-Bi2-Blr-Bi3-Wk-Blr1-Wk-Bi2,Thüringer_Energienetze,13972.0,,,,,
