l_id,n_id_start,n_id_end,voltage,cables,type,frequency,name,operator,length_m,r_ohm_km,x_ohm_km,c_nf_km,i_th_max_km
1,185937415,160199556,230000,3,line,60,North Brewton - Opp 230kV,Alabama Power Company,82717.0,,,,
2,185937415,185943266,230000,3,line,60,,,85618.0,,,,
3,185937415,185943263,230000,3,line,60,,,85619.0,,,,
4,185949194,40431237,230000,3,line,60,,Alabama Power Company,73144.0,,,,
5,185949194,186072027,230000,3-6,line,60,,,29936.0,,,,
6,163762708,171967073,230000,3,line,,,,15967.0,,,,
7,186161700,103261824,230000,,line,,230kV transmission line,,130983.0,,,,
8,139893291,165797604,230000,3,line,60,,Alabama Power Company,39587.0,,,,
9,186438704,419990965,230000,3,line,60,,,67280.0,,,,
10,185949233,185949242,230000,3,line,60,,,7417.0,,,,
11,185949233,185943266,230000,3,line,60,,,12702.0,,,,
12,164559283,164419150,230000,,line,,230kV transmission line,,37873.0,,,,
13,164559283,183946516,230000,,line,,230kV transmission line,,13593.0,,,,
14,83913273,164419150,230000,,line,,Miller - Boyles 230kV transmission line,,28629.0,,,,
15,185949242,204857193,230000,,line,60,,,4990.0,,,,
16,185949242,185943263,230000,3,line,60,,,15303.0,,,,
17,164559934,171170605,230000,,line,,230kV transmission line,,74412.0,,,,
18,183106625,182880649,230000,,line,,230kV transmission line,,20022.0,,,,
19,186030007,164658809,230000,,line,,230kV transmission line,,24562.0,,,,
20,186030007,186411652,230000,3,line,60,-230kV transmission line,,143441.0,,,,
21,186030007,171170605,230000,3-6,line,60,-230kV transmission line,,85792.0,,,,
22,186030007,186045447,230000,,line,,230kV transmission line,,20113.0,,,,
23,164419150,182673797,230000,,line,,230kV transmission line,,22232.0,,,,
24,184360537,164658796,230000,3,line,60,Snowdoun - Madison Park 230kV,Alabama Power Company,46390.0,,,,
25,171967073,171967077,230000,3,line,,,,9707.0,,,,
26,171967073,425224195,230000,3,line,,,,1082.0,,,,
27,171967073,186411647,230000,3,line,60,,,28857.0,,,,
28,171967073,186411651,230000,3,line,60,,,37836.0,,,,
29,171967073,186406805,230000,3,line,60,,,8981.0,,,,
30,171967073,186406808,230000,3-6,line,60,,,17193.0,,,,
31,171967073,186406383,230000,3,line,60,,,14032.0,,,,
32,186403426,186403435,230000,3,line,60,,,52294.0,,,,
33,171967079,425224195,230000,3,line,,,,224.0,,,,
34,164658796,185898625,230000,3,line,60,,,60662.0,,,,
35,164658796,186045447,230000,3-6,line,60,,,20368.0,,,,
36,164658796,186254497,230000,3,line,60,,,51996.0,,,,
37,186411640,186411651,230000,3,line,60,,,14431.0,,,,
38,186363006,165798656,230000,3,line,60,,,8081.0,,,,
39,186411647,186411652,230000,3,line,60,,,60510.0,,,,
40,185898625,185904487,230000,3,line,60,,,72790.0,,,,
41,164658819,165831924,230000,,line,,,,85588.0,,,,
42,186411652,186411651,230000,3,line,60,,,51314.0,,,,
43,186411652,171170611,230000,3,line,60,,,103911.0,,,,
44,186411652,171170605,230000,3-6,line,60,,,62170.0,,,,
45,40431237,186081667,230000,3,line,60,,,22801.0,,,,
46,40431237,186072027,230000,3,line,60,,Alabama Power Company,47820.0,,,,
47,186254497,182398210,230000,3,line,60,,,84819.0,,,,
48,186076839,235990210,230000,3,line,60,,Gulf Power Company,91535.0,,,,
49,186029225,186029249,230000,3,line,60,,,58172.0,,,,
50,186029225,186012595,230000,3,line,60,,,33250.0,,,,
51,103261888,103261929,230000,,line,,230kV transmission line,,7205.0,,,,
52,186029249,185904487,230000-115000,3-6,line,60,,,50560.0,,,,
53,186049739,185943266,230000,3,line,60,,,29597.0,,,,
54,186582743,186578274,230000-115000,3-6,line,60,,,7717.0,,,,
55,185943263,185943266,230000,3,line,60,,,3102.0,,,,
56,185943266,419990965,230000,3,line,60,,,3334.0,,,,
57,165797604,165797610,230000,3,line,60,,,22648.0,,,,
