n_id,longitude,latitude,type,voltage,frequency,name,operator
35656716,-122.148604674,37.7105437094,station,None,,San Leandro Substation,
33108052,-122.161080364,37.8479023234,station,None,,Moraga Substation,
33111585,-122.159555713,37.6714137023,station,None,,Grant Substation,
109355539,-121.557308352,37.0072676514,sub_station,None,,,
23805620,-121.74416386,37.2255769023,substation,None,,Metcalf Substation,Pacific Gas & Electric Co.
93288988,-120.581687494,36.6534262962,station,None,,Panoche Substation,Pacific Gas & Electric
181914725,-120.138562671,36.4020759533,station,None,,,
32217118,-121.407780048,38.5481862585,station,None,,Brighton Substation,
405561526,-121.590355708,38.231571083,substation,None,,Grand Island Substation,
33111643,-122.117131401,37.6248092901,sub_station,None,,Eastshore Substation,PG&E
86463530,-121.542483388,38.909733967,station,None,,,PG&E
86573554,-121.623973679,39.0959064741,station,None,,,PG&E
150562248,-121.517795635,39.454174188,station,None,,,
86491045,-121.543068176,39.0920196982,substation,None,,,PG&E
407058988,-121.024541818,38.2268745298,substation,None,,,
32050965,-121.136832765,38.6575574183,station,None,,Gold Hill Substation,PG&E
61659182,-119.81874653,36.7183177616,sub_station,None,,,
182604563,-119.639366677,36.6106630918,substation,None,,McCall Substation,Pacific Gas & Electric
148273199,-121.430629925,38.5538059287,station,None,,East City Substation,
407048112,-121.355226365,38.508323058,substation,None,,Hedge Substation,SMUD
28566617,-121.417996352,38.5872858937,station,None,,Hurley Substation,SMUD
143937875,-121.474254966,38.5880638023,station,None,,North City Substation,SMUD
35732660,-121.895826552,38.0367826088,substation,None,,,
92107752,-122.116205584,38.0153514993,station,None,,,
35763387,-121.969346968,37.9442547531,station,None,,,
35798740,-121.782613954,37.9993091009,station,None,,Contra Costa Substation,
112306422,-122.231273124,37.8053978718,substation,None,,Oakland X Substation,
119408726,-121.797023177,37.3224781076,sub_station,None,,,Pacific Gas & Electric Co.
119409662,-121.787315567,37.2689593494,station,None,,Piercy Substation,
32526610,-121.486385741,38.6503019094,station,None,,Natomas Substation,
59470569,-122.057872871,37.5570682208,station,None,,Dumbarton Substation,PG&E
35763516,-122.057405034,37.9087222178,station,None,,Lakewood Substation,
86463615,-121.466792387,38.9351996487,substation,230000-115000,,Rio Oso Substation,PG&E
91333377,-121.294143747,38.9005353807,sub_station,None,,,
35660929,-122.187035661,37.8759811361,station,None,,East Portal Substation,
33106247,-122.208309215,37.9055194737,station,None,,Sobrante Substation,
4630372,-122.067121823,37.4178658343,substation,115000,,Ames Substation,PG&E
