l_id,n_id_start,n_id_end,voltage,cables,type,frequency,name,operator,length_m,r_ohm_km,x_ohm_km,c_nf_km,i_th_max_km,not_accurate
1,43280897,303042240,115000,,line,,,,21745.0,,,,,
2,43280897,43280918,115000,6,line,,,,37106.0,,,,,
3,76734082,151619294,115000,,line,,,,5403.0,,,,,
4,76734082,161114626,115000,,line,,,,7254.0,,,,,
5,164031233,67957214,115000,,line,,,,14348.0,,,,,
6,164031233,167518760,115000,,line,,,,8311.0,,,,,
7,75160974,75148746,115000,6,line,,-P7B-R1LB-R2LB,,8381.0,,,,,Yes
8,75160974,75287079,115000,6,line,,-R1LB-R2LB,,22463.0,,,,,Yes
9,142216464,90575662,115000,,line,,-Paris to Dundas,,48636.0,,,,,
10,142216464,152771664,115000,,line,,Burlington to Guelph South,,42379.0,,,,,
11,75287079,206131376,115000,6,line,,,,9534.0,,,,,Yes
12,106177576,98566771,115000,6,cable,,,Hydro One,511.0,,,,,
13,106177576,43812941,115000,6,line,,,Hydro One,1141.0,,,,,
14,171004161,90575662,115000,,line,,,,35187.0,,,,,
15,87374256,151619294,115000,,line,,,,3382.0,,,,,
16,76770419,236345104,115000,6,line,,,,6489.0,,,,,
17,76770419,112044781,115000,,line,,,,7263.0,,,,,
18,56995508,164091213,115000,,line,,,,68624.0,,,,,
19,56995508,167913081,115000,,line,,,,6382.0,,,,,
20,56995508,167882582,115000,,line,,,,9109.0,,,,,
21,167882579,167882582,115000,,line,,,,4043.0,,,,,
22,167882582,164091213,115000,,line,,,,13044.0,,,,,
23,167882585,164091213,115000,,line,,,,4812.0,,,,,
24,87373405,151619296,115000,,line,,,,3165.0,,,,,
25,75151343,206131376,115000,3,line,,,,75.0,,,,,
26,167518760,164091213,115000,,line,,,,8919.0,,,,,
27,34040833,48685912,120000,,line,,,Hydro-Québec,8100.0,,,,,
28,34040833,314394074,120000,,line,,,Hydro-Québec,3479.0,,,,,
29,34040833,230166225,120000,6,line,,,Hydro-Québec,32156.0,,,,,
