n_id,longitude,latitude,type,voltage,frequency,name,operator,not_accurate
43280897,-80.9547241036,43.3758531512,substation,0,,,,
303042240,-81.1233099162,43.2619568575,sub_station,0,,,,
43280918,-80.5595474439,43.4280567541,substation,0,,,,
76734082,-75.5970519321,45.3891285276,substation,0,,Hawthorne TS,,
151619294,-75.6320213736,45.4053006196,substation,115000,,Russell TS,,
161114626,-75.6185284615,45.4501433091,substation,0,,National Research TS,,
164031233,-79.1872243634,43.0729924833,sub_station,0,,Allanburg TS,,
67957214,-79.2392709753,42.9632109538,sub_station,115000,,Crowland TS,,
167518760,-79.0886200192,43.0822640529,substation,0,,Murray TS,,
75160974,-89.0913640496,48.4958149447,sub_station,0,,,,
75148746,-89.1527715936,48.4760208553,sub_station,0,,,,
75287079,-89.2761290625,48.413200996,station,0,,,,
142216464,-79.832859305,43.3309369763,substation,0,,Burlington Switching Station,,
90575662,-80.3354969444,43.1775482581,substation,0,,Paris TS,,
152771664,-80.250412213,43.5297858247,substation,0,,Cedar Transformer Station (Guelph),,
206131376,-89.2205883696,48.3608678964,plant,0,,Thunder Bay Generating Station,,
106177576,-79.3916606045,43.6810634294,substation,0,,,,
98566771,-79.385310543,43.6823434817,substation,0,,,,
43812941,-79.4045843682,43.6768474577,substation,0,,Bridgman Transformer Station,Hydro One,
171004161,-80.7497657368,43.1219000674,sub_station,0,,,,
87374256,-75.6745217326,45.4018222205,substation,115000,,Riverdale TS,,
76770419,-75.7335060327,45.3382647459,substation,0,,Merivale TS,,
236345104,-75.7326584941,45.3876996585,substation,115000,,Carling Substation,,
112044781,-75.7511227114,45.3974091871,substation,0,,,,
56995508,-79.2609017838,43.1203941756,substation,0,,Decew GS,,
164091213,-79.0455397497,43.1488175503,generator,0,,Sir Adam Beck GS 1,,
167913081,-79.264857452,43.1682214082,sub_station,0,,Carlton TS,Hydro One,
167882582,-79.197450917,43.1425450411,sub_station,0,,Glendale TS,,
167882579,-79.2079985312,43.1760612,sub_station,0,,Bunting TS,Hydro One,
167882585,-79.0859439768,43.1216749297,sub_station,0,,Stanley TS,Hydro One,
87373405,-75.645908317,45.4231642514,substation,0,,Overbrooke TS,,
151619296,-75.6067783371,45.4301170375,substation,0,,Moulton TS,,
75151343,-89.2236446158,48.3602549533,sub_station,0,,,,
34040833,-73.6165270261,45.4281954573,substation,315000,,,Hydro-Québec,
48685912,-73.6577973356,45.4726553398,substation,120000,,Poste Hempstead,Hydro-Québec,
314394074,-73.5896421492,45.4493283109,substation,120000,,Poste Hadley,,
230166225,-73.9082703184,45.3110115818,plant,0,,Centrale de Beauharnois,,
24364552,-73.4240341134,45.4365907573,substation,315000,,Poste La Prairie,Hydro-Québec,
44962506,-73.4821147888,45.5031563648,substation,120000,,Poste de Saint-Maxime,Hydro-Québec,
170750966,-73.2775254341,45.3135797226,substation,120000,,Poste Richelieu,Hydro-Québec,
114693460,-73.3230213775,45.3181333853,substation,120000,,Poste de lAcadie,Hydro-Québec,
94484196,-73.2811886094,45.4446804331,station,0,,Poste de Chambly,Hydro-Québec,
100254224,-72.9426595518,46.4386963001,station,0,,Poste de Charette,Hydro-Québec,
100251727,-72.9491252619,46.2648654116,substation,0,,,,
166474302,-73.748750504,45.506018989,substation,315000,,Poste Saraguay,Hydro-Québec,
168115738,-73.8029483987,45.5614305571,substation,315000,,Poste de Chomedey,Hydro-Québec,
42582202,-73.8528654004,45.6222396988,substation,0,,Poste de Boisbriand,Hydro-Québec,
418202531,-74.3827825689,45.5687078402,plant,0,,Centrale de Carillon,Hydro-Québec,
168225332,-74.0072988233,45.6191717454,station,0,,Poste de Mirabel,Hydro-Québec,
168115739,-73.9203075585,45.581187084,station,0,,Poste de Saint-Eustache,Hydro-Québec,
110303217,-73.6716776412,45.6626051332,substation,735000,,Poste Duvernay,Hydro-Québec,
38223685,-73.663380162,45.5387971163,substation,120000,,Poste Fleury,Hydro-Québec,
87817246,-75.424717632,45.5925309161,substation,0,,Usine ERCO,Hydro-Québec,
168628691,-75.4184124113,45.5845274807,generator,0,,Centrale Dufferin,,
167860257,-73.5236525041,45.6635735839,substation,315000,,Poste du Bout-de-lÎle,Hydro-Québec,
167808337,-73.5637204225,45.639249905,substation,120000,,Poste Bourassa,Hydro-Québec,
167808344,-73.6265340587,45.5843098333,substation,120000,,Poste de Montréal-Nord,Hydro-Québec,
117306406,-73.7600217116,45.6231537473,station,0,,Poste de Sainte-Rose,Hydro-Québec,
168585263,-74.2944003623,45.3038171542,substation,0,,,Hydro-Québec,
168585264,-74.3159897609,45.4745793802,substation,0,,Poste Rigaud,Hydro-Québec,
170735198,-74.1335817435,45.4131319499,station,0,,poste de Vaudreuil-Soulanges,Hydro-Québec,
168225331,-73.7769221708,45.6919639063,station,0,,Poste de Groulx,Hydro-Québec,
88541244,-73.5475989912,45.5507885312,substation,120000,,Poste Jeanne-Darc,Hydro-Québec,
44958077,-73.5377710243,45.5884751026,substation,120000,,Poste de Longue-Pointe,Hydro-Québec,
166474301,-73.7124868262,45.5235645785,station,120000,,Poste Reed,Hydro-Québec,
166475153,-73.8332118401,45.472916669,substation,120000,,Poste Saint-Jean,Hydro-Québec,
168199088,-73.6873624398,45.4914291609,substation,120000,,Poste Laurent,Hydro-Québec,
124919871,-73.8956638439,45.2854390438,substation,0,,Poste de Léry,Hydro-Québec,
129284273,-73.8402569517,45.2945303856,substation,0,,,,
67140690,-72.0019377781,45.4126484441,substation,0,,Poste de Sherbrooke,Hydro-Québec,
199200421,-71.9051879016,45.4217447041,substation,0,,Poste de Saint-François,Ville de Sherbrooke,
199221111,-71.8459826577,45.3341738314,substation,0,,Poste de Beaulieu,Hydro-Québec,
76963418,-72.7044559596,45.3505409104,substation,120000,,Poste de Cleveland,Hydro-Québec,
76964645,-72.533636284,45.3416710397,substation,0,,Poste de Waterloo,Hydro-Québec,
55304605,-72.4009616736,45.3221402512,substation,0,,,,
170735196,-74.0439997056,45.37403755,substation,0,,Poste de Dorion,Hydro-Québec,
170296939,-74.1010321469,45.2757787215,station,0,,Poste Monseigneur-Émard,Hydro-Québec,
170296940,-74.1109722636,45.251202463,substation,0,,Poste de Valleyfield,Hydro-Québec,
124266394,-74.0983803781,45.2310207018,substation,0,,,,
92544660,-74.0136480666,45.287399673,station,0,,Poste Langlois,Hydro-Québec,
129284212,-73.8699679218,45.253172639,substation,735000,,Poste de Châteauguay,Hydro-Québec,
99608181,-72.6023443557,46.2240207981,substation,0,,,,
99787730,-72.4422610956,46.0678649725,substation,0,,,,
99327233,-72.4518148726,45.8639258999,substation,0,,Poste de la Chute-Hemmings,,
45088912,-73.5207331264,45.5202456033,substation,120000,,Poste Marie-Victorin,Hydro-Québec,
119244074,-73.7810416027,45.1148637014,substation,0,,,,
87372991,-75.7963724018,45.4523446221,station,0,,,,
87373194,-75.7020959616,45.4960704502,substation,315000,,Poste Vignan,Hydro-Québec,
39712987,-75.7398078557,45.4194424622,substation,120000,,Sub station Val-Tétreau,Hydro-Québec,
52127972,-75.8347754949,45.4097953967,substation,120000,,Poste de Glenwood,Hydro-Québec,
26142174,-75.7499435357,45.444758,substation,120000,,Poste Gamelin,Hydro-Québec,
197408967,-73.9205280795,45.4193398073,substation,120000,,,Hydro-Québec,
87373536,-75.6545944834,45.4818861186,substation,120000,,,,
54587235,-75.587652809,45.5094705407,station,0,,Poste Templeton,Hydro-Québec,
92692708,-74.0576758669,45.7117979772,substation,315000,,Poste de Lafontaine,Hydro-Québec,
168249320,-74.0510049835,45.8225358825,station,0,,Poste Paquin,Hydro-Québec,
168249319,-74.0081137897,45.8053888284,substation,120000,,Poste Arthur-Buies,Hydro-Québec,
401811573,-71.3187263987,45.9377111176,substation,0,60,,,
99818304,-71.3423269304,46.0752435742,substation,0,,,,
151751593,-71.9422503007,45.7841540368,substation,0,,,,
38223686,-73.6466419709,45.5600583413,substation,120000,,Poste Charland,Hydro-Québec,Yes
168147804,-73.6777472686,45.6064809465,station,0,,Poste de Landry,Hydro-Québec,
168639540,-75.4211559688,45.5437627665,generator,0,,Masson GS,,
81605485,-73.4772899626,45.7346832196,substation,0,,,,
167865322,-73.62580231,45.7027284831,station,0,,Poste de Terrebonne,Hydro-Québec,
54926713,-71.657788345,45.4676919106,substation,120000,,Poste dEast Angus,Hydro-Québec,
54018487,-71.9252839506,45.4838945788,substation,0,60,Poste Bromptonville,Hydro-Québec,
167274433,-123.860678321,49.135506756,substation,138000,,Harmac Substation,,
166905056,-124.02120104,49.1717015279,sub_station,138000,,Jingle Pot Substation,,
156992396,-125.310253592,50.0425783597,substation,138000,,John Hart Substation,,
156738158,-124.666143612,49.3936826305,station,138000,,Dunsmuir Substation - 138 kV Adjunct,,Yes
166884814,-125.033965937,49.6872002728,sub_station,138000,,Puntledge Substation,,
167030820,-125.390769129,50.0170330314,sub_station,138000,,Ladore Falls Substation,,
71650063,-63.6843910207,44.746198657,sub_station,0,,,,
272749267,-64.0885110222,44.6443319953,sub_station,0,,,,
185504601,-123.089061945,49.0077008346,station,0,,,,
25520705,-123.042213001,49.0921153204,substation,0,,Arnott Substation,,
166899354,-124.439684321,49.3312931223,sub_station,138000,,Qualicum Substation,,
269130522,-63.3109421431,45.3899894943,sub_station,0,,,,
240310383,-63.3082580198,45.4037233352,sub_station,0,,,,
211202482,-62.6429304437,45.6183645171,plant,0,,Trenton Generating Station,,
167030817,-125.584808849,49.9978115309,sub_station,138000,,Strathcona Substation,,
166899876,-123.960371403,49.6688999281,station,0,,Malaspina Substation,BC Hydro,
298592886,-123.752304712,49.4765473401,substation,0,,,,
156730153,-124.810492303,49.2505301867,substation,138000,,Port Alberni Substation,,
167273805,-125.150607833,49.3733781293,generator,0,,Ash River Generating Station,,
271947316,-60.1144123237,46.1598447288,sub_station,0,,,,
271946175,-60.1131770801,46.1586345196,sub_station,0,,,,
273865909,-64.3318675369,44.5584199326,sub_station,0,,,,
273873378,-64.4412365985,44.4349679783,sub_station,0,,,,
166905147,-123.997342317,49.1907309042,substation,138000,,Northfield Substation,,
156390720,-123.930662069,49.1346404924,sub_station,138000,,Harewood Substation,,
166899266,-126.064249607,49.7890329299,sub_station,230000,,Gold River Substation,,
73126601,-126.651014369,49.9232848595,sub_station,138000,,Tahsis Village Substation,,
168624292,-119.994401156,49.8703404398,sub_station,0,,,,
113343685,-120.390383197,50.1804990368,sub_station,0,,Nicola Substation,BC Hydro,
211134581,-60.0410020688,46.235813998,substation,0,,,,
401679872,-110.856932531,53.3581082193,substation,0,,Vermilion,,
401425956,-111.925443952,54.1653676874,substation,0,,Whitby Lake,,
401679853,-110.778752501,54.296390222,substation,0,,Bonnyville,,
401679858,-110.847676922,53.7580958653,substation,0,,Irish Creek,,
334653955,-111.648982355,55.0441515167,substation,0,,Hearthlake,,
401425953,-111.979377245,54.7336782676,substation,0,,Lac La Biche,,
401593174,-113.360376419,53.552910246,substation,0,,Yasa,,
37949242,-113.371530062,53.539756117,substation,0,,East Edmonton,,
401593169,-113.346454379,53.5593020442,substation,0,,Bretville,,
318017031,-113.271742457,53.5453875839,substation,0,,Sherwood Park,,
401593171,-113.356289598,53.5427472908,substation,0,,Knightsbridge,,
140260873,-113.339641446,53.460627736,substation,0,,Bretona,,
401999288,-113.097948525,53.3689858251,substation,0,,Cooking Lake,,
431696983,-110.724045149,50.0409962918,substation,0,,Medicin Hat,,
431696982,-110.722317857,50.0413354518,plant,0,,Medicin Hat Plant,,
432379574,-112.779935185,49.7131801858,substation,0,,MacDonald,,
432379588,-112.795129456,49.7414813499,substation,0,,Upland,,
268535365,-112.836316631,49.7293186987,substation,0,,North Lethbridge,,
432379573,-112.778009909,49.6707503965,substation,0,,Lakeview,,
431696987,-111.172301567,50.2319674865,substation,0,,Suffield,,
