id,lon,lat,name,osm_id,voltage,type,poly
1,-72.8664148798,41.5884389278,Southington Substation,139886605,345000;115000,substation,0103000020E61000000100000012000000CC72F60E913752C0E0AC0A3654CB44401441061D8E3752C0D88C7C1755CB44407B314F598E3752C0DB21194B57CB4440B9F146C0823752C0498A1C4D59CB44401FE28FFC823752C0A0AB3D1D62CB44404E748DFB7F3752C0037898D162CB4440A4D75D7F753752C09E06C99A7ACB44401BEB973B5E3752C050986EC580CB4440155304EF593752C02F7198AD4ACB44403E53365B653752C0A13430A747CB44407B850A26633752C0911E4C6336CB444017DB196D6D3752C0A456AF932DCB44402DB90D6D843752C05052984627CB4440217D10FC853752C0BE5D69B62ACB4440C0CBA475893752C0D7094FA729CB44402D2462958D3752C09C3BD62A4ACB4440A466EECA8F3752C07DE57A7649CB4440CC72F60E913752C0E0AC0A3654CB4440
2,-72.8055788237,41.6617828561,Black Rock Substation,140953505,None,sub_station,0103000020E6100000010000000A00000061BEAC959D3352C0FD006405B4D44440438587399C3352C06AB8D382B7D444405EADC117893352C0EB5C66F6C7D4444011F0BBA1843352C0FD4463AFBFD4444093DCA0FF7F3352C0107A9015B3D44440477CD2CC8A3352C037CBB815A9D44440E9672E53953352C0C9B6002FA5D44440B7331BAB9B3352C0027E2D8BAFD44440FEE8EA0F9D3352C06DCC2390B2D4444061BEAC959D3352C0FD006405B4D44440
3,-72.72311041,41.6318256728,Berlin Substation,140386351,None,sub_station,0103000020E610000001000000090000004BED2B45572E52C0A192B01BFED0444090B31F1E442E52C0DB55035002D14440B065C3F5412E52C00634E059ECD0444027AD9DC7392E52C035EE0826EED04440C265F26F362E52C0C9E36D22CCD0444091D8359F352E52C04A679D50CCD04440F0B76C13352E52C034CD1FC4C6D0444018ACBB39512E52C02FEA8A96C0D044404BED2B45572E52C0A192B01BFED04440
4,-72.9868708743,41.6820361566,Chippen Hill Substation,140027078,115000,substation,0103000020E61000000100000007000000F27FD658303F52C02775A30351D74440C354ACD52D3F52C0871C743056D74440F6A88762233F52C09DB3883458D7444097B01DB3213F52C007A6A50F44D744401586FC062C3F52C072C0243042D7444013E4E65D2F3F52C00829303746D74440F27FD658303F52C02775A30351D74440
5,-73.0697336458,41.6754005784,Thomaston Substation,140027085,115000,substation,0103000020E6100000010000000900000062B5BB267C4452C0DC225BAA6BD64440F19151307B4452C07D21C3CA74D64440CA6E5DBE7B4452C0B51B4DF078D644408AD8AF987B4452C02F8600C37BD64440AA712DA3704452C0135C21D379D644403B606EAC714452C07BC50FC76BD64440FC74980A794452C0C90152FE6CD64440104B7D43794452C0640B020F6BD6444062B5BB267C4452C0DC225BAA6BD64440
6,-72.9403654029,41.6711878089,Bristol Substation,140027076,115000,substation,0103000020E61000000100000007000000AA99D8D3363C52C01F438455E4D54440AC729521343C52C0E55DBAA7F3D5444022E8474F283C52C0FBC70447EFD544405C5FD335273C52C03C253BF1ECD54440D17F5079293C52C0C6F090C0E0D54440498B350A2B3C52C0D5B8DC9BDFD54440AA99D8D3363C52C01F438455E4D54440
7,-72.8959933423,41.6633125274,Forestville Substation,140027081,115000,substation,0103000020E61000000100000009000000EB38C0A8603952C0D32C9CC1EED44440AE3B59E3583952C0D022882FF0D44440F460CB0C593952C05817A129F2D4444042BC5811523952C0C6346572F3D4444040B1354D503952C02DC43BFADDD4444000FF4D5D5C3952C0CE9134C2DBD444406841C5F45C3952C017D7D5F0E2D44440989586A55F3952C084592B72E2D44440EB38C0A8603952C0D32C9CC1EED44440
8,-72.9019513197,41.5735415714,Canal Street Substation,140175121,115000,substation,0103000020E610000001000000090000007B3331E5C33952C017D102FD67C94440C76CA289C33952C0AC66B24C6EC94440BAAC1DB5B93952C0218166536FC9444054135170AF3952C00D0AB3F86DC94440ABA87AFCAF3952C04C042A2965C9444057D7689DB23952C05B11E03365C944406061EC72B63952C0287FBCD963C94440770D876AC23952C091AB01A865C944407B3331E5C33952C017D102FD67C94440
9,-72.9753005482,41.5724797599,Todd Substation,140175133,None,substation,0103000020E6100000010000000A00000013A77DE4723E52C0F5A7403E44C94440A52EF8DF723E52C09D9AF9C74BC9444007C97738713E52C09D9AF9C74BC9444007C97738713E52C0A3E680A454C94440E285D5BD683E52C02AE9689654C94440C221D226633E52C0EC50198046C94440C221D226633E52C0D013223A3DC94440B4834268663E52C017DCB4613BC9444052320846713E52C0740909693BC9444013A77DE4723E52C0F5A7403E44C94440
10,-72.6428253556,41.7474898092,Riverside Drive Substation,140983824,None,substation,0103000020E610000001000000080000009D8D74052B2952C04020E5A7B6DF4440C7723997292952C050B80C67B7DF444014A7767B262952C097480ED8B7DF44403FF55596232952C08B426E55B8DF444073046D991E2952C0FC5A7137B9DF4440CF0F28EE1C2952C02BDAD082A4DF444032C9AFA9292952C07C64C55FA2DF44409D8D74052B2952C04020E5A7B6DF4440
11,-72.5575565921,41.7702117242,Manchester Substation,139232239,345000;115000,substation,0103000020E6100000010000000E00000018535885C52352C0497DDBBBBCE2444024C4C2FBB92352C0ED3EC823C9E24440C908EFF4B72352C02497E7B5C9E24440F923C2F3B52352C0E0092C29BCE2444012D076C7B42352C003368882BCE244400699BA84B22352C040350FD4ACE24440E3F2DF16B12352C0267ACA7DABE24440386FD667AF2352C0478B67D99FE24440E5EE6BD89B2352C0A26476DEA5E244408524DA84962352C0BDCCB49881E244406A3F2A91992352C0E289570977E244403D2C73C7AB2352C04905653771E24440D344DFF7BC2352C0A44C33EA81E2444018535885C52352C0497DDBBBBCE24440
12,-72.1040913312,41.4286032473,Montville Substation,140155928,345000;115000,substation,0103000020E61000000100000018000000FDF0897CC00652C04405C497D8B6444005A25D72C00652C08012EAC4D9B64440DBA11E98BB0652C07DDB66DDF5B64440214CD8A6B40652C03B1FDEAFFBB64440D3F11792A20652C0E2FE1424F5B644407217224C9F0652C061FE9E55EEB644409C8A0A7A940652C09712C70FEAB644407C4F91A2950652C0858ABA12DDB64440508FC8B5950652C0BE86E569CFB64440505FA94C950652C0723B7A27CAB644405C247CBD940652C09BDE2082C5B64440B544CFC4930652C087F9BFBDBFB644405CF45C54940652C0D69ED76EBBB644408844837C950652C0C24994FBBAB64440981A4ED9A20652C07A3A146AC0B64440791F585DA20652C04D41D327C3B644409DCB07F3AF0652C062BEFDE9C7B6444001A1C978B00652C00F156B52CAB64440194B2AD1B10652C00CFCACD2CAB64440B535E5EFB20652C086784425C9B644408E167F98BB0652C03260C42ACCB644406EDB05C1BC0652C038EAB910CDB64440FEA0AF9CBD0652C0C4FDF2DACEB64440FDF0897CC00652C04405C497D8B64440
13,-71.9596279813,41.3663693804,Mystic Substation,140415423,115000,substation,0103000020E6100000010000000A000000CA6D96207FFD51C0765C662DCDAE44400C36B72A7DFD51C0E01F73ABE1AE4440F1B7DAB27AFD51C0DC954646F0AE4440B5B1A4A46EFD51C0B59BD8C9ECAE444012E6039566FD51C01D8EED3BF8AE4440B2D9B44658FD51C0FF393F33F4AE44401506D9E75BFD51C0333D5639D6AE44403B9895C079FD51C07205E22DDEAE44400FD8CCD379FD51C0B9DD4DFACBAE4440CA6D96207FFD51C0765C662DCDAE4440
