n_id,longitude,latitude,type,voltage,frequency,name,operator
25899010,-82.4087836764,27.9083767777,substation,230000-138000,60,,Tampa Electric
376971724,-82.301241249,27.8555096398,substation,None,60,Riverview Substation,Tampa Electric
375211486,-82.3590827197,28.0480443034,substation,230000,60,Davis Substation,Tampa Electric
84893853,-82.4295681221,28.1146502827,substation,230000-69000,60,Chapman Substation,Tampa Electric
105553161,-82.3417523058,27.9433265416,substation,230000,50,State Route 60 Substation,Tampa Electric
172236804,-84.3981418334,30.453104412,sub_station,None,,,
160286847,-84.3996077824,30.1850887341,substation,230000-69000,60,Crawfordville Substation,Progress Energy
172236819,-84.3460477375,30.4766696935,sub_station,None,,,
165831924,-84.4889302532,30.8396297742,substation,None,,,
172236816,-84.3776761875,30.4681412758,sub_station,None,,,
76171272,-81.4559446851,28.5784701123,sub_station,None,,Woodsmere Substation,Progress Energy
47427308,-81.4548018482,28.4837569223,sub_station,None,,Windermere Substation,Progress Energy
75778493,-81.4552077636,28.6728821218,sub_station,None,,Piedmont Substation,Progress Energy
76167122,-81.4546818878,28.6229904231,sub_station,None,,,Progress Energy
230605090,-80.3718838465,25.8722962067,substation,230000-24000,60,Pennsuco Substation,FPL
171477793,-80.368356706,25.8544990742,sub_station,None,,,
140224304,-80.3111508055,25.8310338658,substation,230000-138000,60,Dade Substation,FPL
61240408,-80.3536227648,25.8311700497,substation,None,,,
61240112,-80.3800767972,25.8182772763,substation,230000,60,,FPL
230605085,-80.3727722685,25.8722680513,substation,None,,,
224872869,-80.3570476855,25.9272170301,substation,230000,60,,FPL
48799790,-80.3432589825,25.7683080379,substation,230000-138000,60,Flagami Substation,FPL
368386475,-80.3265232239,25.8058163396,substation,230000-24000,60,Milam Substation,FPL
376950004,-80.3284603736,25.8970395976,substation,230000,60,,FPL
93155379,-81.5214873324,30.1924624577,sub_station,None,,,
136134730,-81.5185688387,30.1585535354,sub_station,None,,,
85691274,-81.4868212991,30.2968289895,substation,230000-138000,60,Center Park Substation,JEA
93153974,-81.5270564111,30.3017542329,substation,230000-138000-69000,60,Robinwood Substation,JEA
133792426,-81.5374022538,30.2663325014,substation,230000,60,Forest Substation,JEA
379183176,-82.558495772,28.3666715783,substation,230000,60,,
149838938,-82.5679972088,28.3656302719,substation,230000-115000,60,Hudson Substation,Progress Energy
93153977,-81.5292140949,30.1466660247,substation,230000-138000,60,Greenland Substation,JEA
166846883,-81.5170822004,30.1600219619,generator,None,,,
146841676,-80.2065753423,25.8596314739,substation,230000-138000,60,Miami Shores Substation,FPL
69963866,-81.5937887675,28.0055889667,substation,230000-69000,60,Dundee Substation,Progress Energy
375971217,-81.6628828425,27.9028925143,substation,230000,60,West Lake Wales Substation,
166791261,-81.7654091266,30.2232860325,substation,230000-138000-69000,60,Firestone Substation,JEA
166791302,-81.81863688,30.2244815046,substation,230000,60,JAX Heights Substation,JEA
166776124,-81.8197720298,30.3066733654,substation,230000-138000-26400,60,Normandy Substation,JEA
166791262,-81.5497784204,30.4182619368,substation,230000-138000,60,Northside Substation,JEA
132665891,-81.4889297957,30.3605155121,substation,230000-138000,60,Fort Caroline Substation,JEA
224445350,-81.554023294,30.4217502922,generator,None,,,
379542204,-82.5519226643,27.5572197367,substation,230000-24000,60,Rubonia Substation,FPL
35090698,-82.5406000963,27.6228037089,substation,230000-24000,60,Buckeye Substation,FPL
379542202,-82.5310408649,27.5515660372,substation,230000,60,,FPL
380371058,-82.3888212738,27.0979223813,substation,230000,60,,FPL
377712011,-82.3733880433,27.1356344429,substation,230000-138000-13000,60,Laurelwood Substation,FPL
165918674,-82.3512052194,27.0526569228,substation,230000,60,,FPL
173711192,-84.2016374808,30.1882304989,substation,None,,,
186847462,-84.6082281965,30.0482581095,substation,None,,,
160286849,-82.7799786876,29.9532611563,substation,230000-115000-69000,60,Fort White Substation,Progress Energy
182934473,-82.6765147048,29.8122394936,substation,None,,,
162603371,-81.1782356405,28.2241761837,substation,230000,60,,
162603370,-81.0866727821,28.1460954476,substation,230000,60,Holopaw Substation,Progress Energy
166791301,-81.5544891652,30.4343524932,substation,230000,60,,JEA
166791258,-81.8166169844,30.3841490062,substation,230000,60,West Lake Substation,JEA
419594711,-81.5507470195,30.431009491,plant,None,,Saint Johns River Power Plant,Flordia Power and Light
102952837,-81.8393404658,30.1044803139,substation,230000-138000-115000,60,Black Creek Substation,Clay Electric Cooperative
380371079,-82.3092100919,26.9773470019,substation,230000-138000,60,Myakka Substation,FPL
160286861,-83.559333987,30.1187527951,substation,230000-69000,60,Perry Substation,Progress Energy
173711181,-83.1829128446,30.3714961274,sub_station,None,,,
173711191,-83.6037793369,30.1615740032,sub_station,None,,,
142172313,-81.300247397,29.6563492266,substation,230000-115000-13000,60,Pellicer Substation,FPL
147555348,-81.2681901512,29.4975533425,substation,230000-24000,60,Regis Substation,FPL
381558938,-81.8888321065,27.9326896097,substation,230000,60,,City of Lakeland
177529367,-81.9062005809,28.0119362665,substation,230000-69000,60,Eaton Park Substation,City of Lakeland
381687268,-81.9005173311,27.8971910452,substation,230000-69000,60,Crews Lake Substation,City of Lakeland
381760442,-81.806145617,28.0526415618,substation,230000,60,Recker Switching Station,TECO
318169022,-81.8349148623,27.9085550868,substation,230000-69000,60,North Bartow Substation,Progress Energy
