l_id,n_id_start,n_id_end,voltage,cables,type,frequency,name,operator,length_m,r_ohm_km,x_ohm_km,c_nf_km,i_th_max_km
1,169486726,98830488,230000,3,line,60,,,13331.0,,,,
2,174245128,174245126,230000,3,line,60,,,29.0,,,,
3,167378064,167377989,230000,3-6,line,60,,Idaho Power,31735.0,,,,
4,167378064,53130516,230000,3-6,line,60,,,71860.0,,,,
5,53130516,167377989,230000,3-6,line,60,,Idaho Power,72315.0,,,,
6,53130516,102794997,230000,3,line,60,,,73189.0,,,,
7,53130516,168663107,230000,3,line,60,,,27131.0,,,,
8,53130516,167291893,230000,3-6,line,60,,,6796.0,,,,
9,98830488,98830485,230000-115000,3-6,line,60,,,11290.0,,,,
10,102891417,103505877,230000,3,line,,,,39079.0,,,,
11,102891417,162934427,230000,3,line,60,,,73582.0,,,,
12,102891417,103077409,230000,3,line,60,,,6384.0,,,,
13,162934427,102794997,230000-345000,3-6,line,60,,,28637.0,,,,
14,103077409,103236961,230000,3-6,line,,,,28970.0,,,,
15,103077409,170229057,230000,3,line,60,Brady - Antelope 230kV,Idaho Power,17898.0,,,,
16,182487470,182487477,230000,3,line,60,,,19175.0,,,,
17,172447921,100710222,230000,3,line,60,Benewah - Pine Creek 230kV,Avista,67707.0,,,,
18,182487477,182487479,230000,3,line,60,,,38010.0,,,,
19,182487477,182487484,230000,3,line,60,,,71942.0,,,,
20,182487484,170229057,230000,3,line,60,,,50476.0,,,,
21,102794997,167284671,230000,3,line,60,,,73147.0,,,,
22,168663107,171849702,230000,3,line,60,,,34282.0,,,,
23,168663107,172232742,230000,3,line,60,,,63512.0,,,,
24,167377989,419361401,230000,3-6,line,60,,,421.0,,,,
25,172459089,169759068,230000,3,line,,,,66928.0,,,,
26,103505877,104394718,230000,3,line,,,,74405.0,,,,
27,160184279,171849699,230000-138000,3-6,line,60,,,22616.0,,,,
28,171849699,171849702,230000,3,line,60,,,7331.0,,,,
29,171849702,174245126,230000-138000,3-6,line,60,,,30092.0,,,,
30,306328045,169483375,230000,3,line,60,,,82.0,,,,
31,103236961,102794997,345000,3,line,60,,,73468.0,,,,
32,103236961,101573797,345000,3,line,,,,65806.0,,,,
33,102968066,101573797,345000,3,line,,,,10444.0,,,,
34,103403760,102891417,345000,3,line,60,,,61757.0,,,,
35,103403760,102794997,345000,3-6,line,60,,,63666.0,,,,
36,102794997,102794981,345000,3,line,60,,,490.0,,,,
37,98830488,38316919,500000,3,line,60,,,52921.0,,,,
38,98830488,55950058,500000,3,line,,,,45881.0,,,,
39,55950058,419361404,500000,,line,,,,5785.0,,,,
