n_id,longitude,latitude,type,voltage,frequency,name,operator
169486726,-116.915376587,46.3568995326,substation,None,,Lolo Substation,Avista
169492492,-117.038209795,46.3937920885,substation,None,,,
169066259,-117.10015666,46.4239231439,sub_station,None,,,
98830485,-117.026027291,46.4310411276,substation,None,,North Lewiston Substation,Avista
169005308,-116.975907071,46.4306221908,substation,None,,,
171849700,-116.434288161,43.6368174466,station,None,,,
160184279,-116.372739452,43.6475939008,station,None,,,
171849701,-116.641847778,43.7214479718,station,None,,,
171849702,-116.686125061,43.6790783214,station,None,,,
53140902,-116.333514006,43.506612133,substation,None,,,
53130516,-116.158260107,43.5591073988,sub_station,None,,Boise Bench Substation,Idaho Power Company
172232712,-116.204894715,43.5859420656,substation,None,,,
102794987,-115.624830983,43.1750550963,station,None,,,
177018614,-111.821571972,42.0886692442,station,None,,,
103505877,-111.849917585,42.2226218008,substation,230000-138000,,Treasureton Substation,PacifiCorp
176411934,-111.749457718,42.2668992788,station,None,,,
98830488,-116.910380081,46.4690686436,station,None,,Hatwai Substation,
174245128,-116.821257445,43.905557897,station,None,,,
174245126,-116.820154616,43.9051385457,generator,None,,,
167378064,-116.734129748,44.5911750058,sub_station,None,,,
167377989,-116.896615752,44.8401470278,substation,None,,Brownlee Substation,Idaho Power
102794997,-114.420645905,42.8357883456,station,None,,Midpoint Substation,Idaho Power
168663107,-116.33549481,43.5068840854,substation,None,,Mora Substation,Idaho Power
167291893,-116.141003201,43.5255038679,sub_station,None,,,
102891417,-112.930318187,42.7501836514,station,None,,Borah Substation,Idaho Power
162934427,-114.232518166,42.6327398821,sub_station,230000-138000,,Hunt Substation,Idaho Power
103077409,-112.87020614,42.7729452038,station,None,,Brady Substation,Idaho Power
103236961,-112.558736596,42.8926903666,station,None,,Kinport Substation,
170229057,-112.926359004,43.5336908214,substation,None,,Antelope Substation,PacifiCorp
182487470,-114.133058864,44.4449296301,station,None,,,
182487477,-114.028495911,44.2951352092,station,None,,,
172447921,-116.230284668,47.5396213389,substation,None,,Pine Creek Substation,Avista
100710222,-117.032507105,47.3464412213,station,None,,Benewah Substation,Avista
182487479,-114.470855411,44.2845532373,station,None,,,
182487484,-113.336259189,43.7829466633,station,None,,,
167284671,-115.604149314,43.1772821373,sub_station,None,,,
172232742,-115.733720871,43.178457625,station,None,,,
419361401,-116.898360715,44.8365011927,plant,None,,Brownlee powerhouse,Idaho Power
172459089,-116.05732552,48.087308686,station,None,,Cabinet Gorge Substation,
169759068,-116.870686919,47.8040000227,sub_station,None,,,
104394718,-110.600461174,41.7584755926,station,None,,Naughton Substation,PacifiCorp
171849699,-116.607235486,43.6860904392,station,None,,,
306328045,-116.937188657,46.722330588,sub_station,None,,,
169483375,-116.939961331,46.7224509144,sub_station,None,,Moscow Substation,Avista
101573797,-112.121138792,43.306245992,station,None,,Goshen Substation,
102968066,-111.596281149,42.7104333419,station,None,,,
103403760,-113.668706991,42.7055381199,station,None,,Adelaide Substation,Idaho Power
102794981,-114.426563208,42.8346715682,station,None,,Midpoint Substation (500kV),Idaho Power
38316919,-117.419970011,46.651824476,substation,None,,Lower Granite Substation,Bonneville Power Administration
55950058,-116.367357209,46.5283908125,station,None,,Dworshak Substation,
419361404,-116.298208798,46.5143572054,plant,None,,Dworshak hydroelectric plant,United States Army Corps of Engineers
