n_id,longitude,latitude,type,voltage,frequency,name,operator
89709585,-87.604052245,41.4880305675,station,None,,,
104299383,-87.7090437581,41.4919685886,substation,None,,Matteson Substation,
89480216,-87.8255166352,41.494643342,substation,None,,East Frankfort Substation,Commonwealth Edison
89705943,-87.7410968632,41.4336295508,station,None,,,
89705946,-87.7525631638,41.440382506,station,None,,,
93204564,-88.0394415224,41.4915348744,substation,None,,,
202145119,-87.8175129071,41.5442702241,sub_station,None,,,
102575133,-88.1692813186,41.8283036776,substation,None,,Warrenville Substation,
156582012,-88.2334970212,41.7978867552,substation,345000,,Electric Light 345 kV,ComEd
102577182,-88.2325088281,41.7075450401,substation,345000,,Wolfs Crossing Substation,ComEd
178383395,-88.2350717896,42.2027591849,sub_station,None,,,
43086055,-88.2509757414,42.2548821365,station,None,,Silver Lake Substation,Commonwealth Edison
95999530,-88.240135983,42.0636716976,station,None,,,
95999528,-88.3446424556,42.0823343941,station,None,,,
116856690,-88.2405423461,42.0044721246,station,None,,,
71870004,-88.0587508153,41.7996548694,station,None,,Lisle Substation,Commonwealth Edison
177545384,-88.0433628603,41.8944908587,station,None,,,
175821628,-87.9951478235,41.8401054765,station,None,,,
33127849,-88.0645689032,41.6337485981,station,None,,,
44758583,-88.8669547586,42.2760177426,sub_station,None,,,
42853607,-88.43971985,42.2567910939,sub_station,None,,Pleasant Valley Substation,
95063618,-87.7133810917,41.7564219149,station,None,,Hayford Substation,ComEd
52007676,-87.7657818765,41.7617251926,station,None,,Bedford Park Substation,ComEd
95063623,-87.7071028333,41.7271280596,station,None,,Evergreen Park Substation,ComEd
28705347,-90.1786864439,38.6003274072,substation,None,,Cahokia Substation,
176907954,-89.9553026908,38.4817229164,substation,None,,Turkey Hill Substation,Ameren Illinois
52035154,-88.0003900712,41.6454312953,sub_station,None,,,
52008692,-87.9326305862,41.6248522879,station,None,,Goodings Grove Substation,ComEd
95161939,-87.8485146847,41.7984967865,substation,None,,,
44391737,-87.8231573477,41.8022274875,substation,None,,,
42851924,-88.9692902368,42.2940264433,sub_station,None,,,
43315609,-89.192718915,42.3426514769,substation,None,,Wempletown Substation,Commonwealth Edison
43529019,-89.0431873498,42.361421102,sub_station,None,,,
47058568,-88.3087386804,41.7842071339,sub_station,None,,,
192641168,-88.1394937558,39.5047603732,station,None,,,
177257759,-87.9718516459,39.5449792178,station,None,,Kansas West Substation,Ameren Illinois
70683794,-87.995732632,41.9802210256,station,None,,Itasca Substation,Commonwealth Edison
26320534,-87.8969087756,42.0505405528,substation,None,,Commonwealth Edison Des Plaines Substation (345kV & 138kV),Commonwealth Edison
188551149,-87.8820342265,42.0019127999,sub_station,None,,,
24887581,-87.8327109553,42.0559393639,station,None,,Golf Mill Substation,Commonwealth Edison
43133388,-87.9198748685,42.1151901708,substation,None,,Prospect Heights Substation,
157842608,-88.8492681187,37.8785702772,sub_station,None,,West Frankfort East Substation,
176884615,-88.9333237682,37.8894706759,station,None,,West Frankfort Substation,Ameren Illinois
24885939,-87.7390968834,41.9993468374,sub_station,None,,ComEd 138kV Devon Substation,
24886758,-87.7547383999,42.0502594189,station,None,,Skokie Substation (138kV),Commonwealth Edison
111536313,-88.189249157,41.8064027471,station,None,,,
181036332,-88.1477369335,41.8053178844,substation,None,,,
164422334,-88.2261300405,41.8135422275,station,None,,,
164422336,-88.2268955262,41.8151979565,generator,None,,,
43310282,-88.0575265339,42.1194161301,sub_station,None,,,
103532273,-87.5502243816,41.6629969908,station,None,,Hegewisch Substation,
103532292,-87.5160759468,41.7043505951,station,None,,,
103533968,-87.666614977,41.636865603,substation,None,,Blue Island Substation,
24888067,-87.7759774243,42.021907121,station,None,,Niles Substation,ComEd
24886742,-87.7565030365,42.0503099774,sub_station,None,,Skokie Substation (345kV),Commonwealth Edison
47015693,-89.6091517141,41.760609097,substation,345000,,Nelson Substation,
311354363,-89.6496671906,41.8081699919,substation,None,,,
92216603,-88.1256867185,41.4954150893,station,None,,,
192332574,-88.0566665995,39.7991385018,station,None,,,
214219062,-87.8716396264,41.8848982065,station,None,,Bellwood Substation,ComEd
214219066,-87.9227575384,41.922877814,sub_station,None,,Elmhurst Substation,ComEd
177545527,-88.2637436407,41.820064399,substation,None,,,
177545537,-88.2597820369,41.8233347841,station,None,,,
86193601,-87.8883562598,41.9354467232,sub_station,None,,Franklin Park Substation,ComEd
28520830,-87.7667527343,42.0873648732,sub_station,None,,,
184516768,-88.328182594,41.9843592334,substation,None,,,
116856798,-88.2401706661,41.9827484152,station,None,,,
170772176,-90.585851035,41.3977136033,station,None,,Oak Grove Substation,Mid-American Energy
244897154,-90.6119065942,41.4423667332,sub_station,None,,,
170481316,-90.3539415776,41.5257073644,sub_station,345000-161000-69000,,Sub 39,Mid-American Energy
248574375,-90.4618488081,41.4395034406,sub_station,None,,,
170481597,-90.2695868008,41.5661989372,sub_station,None,,,
170481648,-90.3940969372,41.5350003431,sub_station,None,,,
170481624,-90.2749652863,41.7141570409,sub_station,None,,,
157842586,-88.8592310977,37.2152870572,sub_station,None,,,
157842490,-88.8662423517,37.2179888019,generator,None,,,
103591940,-88.1156478263,41.4386215152,substation,None,,Elwood Substation,
43929667,-88.2748930074,41.391038546,substation,None,,Dresden Station,
104336398,-90.5275967927,41.6813086091,station,None,,Sub 91,Mid-American Energy
104334522,-90.3062703567,41.7265190632,station,None,,Quad Cities Substation,
177247759,-88.3393749264,40.1580381125,station,None,,Rising Substation,Ameren Illinois
177247788,-88.6012910474,40.1071735533,station,None,,,
177076012,-89.1935321477,39.9704890907,station,None,,Latham Substation,Ameren Illinois
153209366,-87.5009544882,39.9424658379,substation,None,,Eugene Substation,
177340098,-87.6986263941,39.992419806,station,None,,Bunsenville Substation,Ameren Illinois
170481687,-89.4072596315,41.8276981801,sub_station,345000,,Lee Couty Energy Center Station,Commonwealth Edison
421376693,-89.4041098183,41.8290534107,plant,None,,Lee Energy Facility,Duke Energy
170481600,-89.4088916921,41.8261490336,sub_station,None,,,
176733289,-89.2866668207,42.0740497019,substation,None,,Byron Station,Commonwealth Edison
26206319,-88.2253788006,41.2447489887,station,None,,,
43092005,-87.975547952,42.3137531387,station,None,,Libertyville Substation,
33127731,-88.0952335403,41.6302516722,station,None,,Lockport Substation,Commonwealth Edison
93204543,-88.1148673607,41.4925078812,station,None,,,
157480015,-88.8909701778,39.9168838226,sub_station,None,,,
177210181,-88.8315802993,40.1741724719,station,None,,Clinton Station,
170481626,-90.2797804348,41.7138939812,sub_station,None,,,
282506431,-90.2798931837,41.7121149911,station,None,,,
170481578,-90.2789388472,41.7151699871,sub_station,None,,,
176889941,-89.6667824741,38.273891033,substation,None,,Prairie State Station,
176889945,-89.667209256,38.2760477342,substation,None,,,
176889947,-89.665993351,38.2759513305,substation,None,,,
389629674,-89.6710693611,38.2779898013,plant,None,,Prairie State Energy Campus,
176915613,-90.0435173095,38.7353184798,station,None,,,
392195792,-89.8520413699,38.2048440205,plant,None,,Baldwin Energy Complex,Dynegy
157842593,-88.9689189446,38.3334134903,station,None,,West Mount Vernon Substation,Ameren Illinois
177059088,-88.7591969707,39.2214241209,substation,None,,Holland Station,
177059142,-88.759278021,39.2226584816,station,None,,,
153009579,-87.5702076172,39.2273133435,substation,None,,Breed Substation,Indiana Michigan Power Company
177059091,-89.0283235963,39.1855828899,station,None,,Ramsey Substation,
176749154,-89.6863126769,40.5406149348,station,None,,Powerton Station,
419539161,-89.6806518198,40.543147166,plant,None,,Powerton Generating Station,NRG
177081445,-89.5374564373,40.5621821259,substation,None,,,Cilco
117681050,-89.2826029847,42.0755712449,plant,None,,Byron Nuclear Power Plant,
177333262,-88.0560919909,40.0236232817,station,None,,Sidney Substation,Ameren Illinois
187599022,-88.6675833965,41.2447249623,plant,None,,LaSalle Generating Station,Exelon Corporation
26206102,-88.2291941313,41.243692772,plant,None,,Braidwood Nuclear Generating Station,
103567861,-87.9108632927,41.2098223375,station,None,,Davis Creek Substation,Commonwealth Edison
40397417,-87.8955248997,42.469227009,sub_station,None,,,
201933962,-87.896347241,42.477851779,sub_station,None,,,
102601566,-88.0467785503,41.8953906497,station,None,,Lombard Substation,Commonwealth Edison
102597853,-88.4759504758,41.6858487334,sub_station,345000,,Plano Substation,Commonwealth Edison
176919488,-88.5377646558,38.6990288827,station,None,,Raccoon Creek Station,
177059090,-88.2747231765,38.9387743508,station,None,,Newton Station,Ameren Illinois
42851983,-88.9759360648,42.2163160337,station,None,,Cherry Valley Substation,
170684890,-89.8356816269,37.2582795559,substation,None,,Lutesville Substation,
176915614,-90.09718779,38.8250350746,station,None,,,
28609239,-90.2938908932,38.9148094498,station,None,,,
176877468,-88.2771836632,38.0314283654,station,None,,Norris City North Substation,Ameren Illinois
75701627,-90.2953745601,41.7910158686,sub_station,None,,Rock Creek Substation,ITC Midwest
403401426,-90.310485641,41.7261855076,plant,None,,Quad Cities Nuclear Generating Station,
129955360,-89.4962232433,39.5934224464,station,None,,Kincaid Station,
177076013,-89.5942456014,39.5913465217,station,None,,Pawnee Substation,Ameren Illinois
173337802,-90.4550296057,37.9469775364,substation,None,,,
173388118,-90.2656843208,38.1328276947,substation,None,,Rush Island Station,
170772175,-91.093623073,41.3132036905,substation,None,,Louisa Substation,
170772223,-90.8686851722,41.3683605249,sub_station,None,,,
103571684,-88.6651125431,41.244446176,substation,None,,LaSalle Substation,Commonwealth Edison
177188586,-88.7973995753,40.4788406776,station,None,,Blue Mound Substation,
177078585,-88.5989385283,40.8419643821,sub_station,345000,,Pontiac Midpoint Substation,Commonwealth Edison
177188602,-88.7014321056,40.458490934,station,None,,,
421293282,-89.4943478867,39.5956376905,plant,None,,Kincaid Power Station,Dynegy
43881289,-87.9490166842,41.3993001942,substation,345000,,Wilton Center 345kV Substation,
177188601,-88.5928164935,40.4637307836,station,None,,,
170481612,-89.6069232909,41.7734639089,substation,None,,,
177059087,-88.0828872161,39.2676007485,station,None,,Casey West Substation,
177068496,-89.4001184683,39.0631726016,station,None,,Coffeen Station,
177076023,-89.0800506039,39.4085816197,station,None,,,
177078584,-89.3353076895,39.8512351008,station,None,,Lanesville Substation,
177078586,-88.9042057878,40.4528071855,substation,None,,,
139892821,-88.8350343779,40.1730973538,plant,None,,Clinton Power Station,Exelon Corporation
89479053,-87.9436256717,41.3933252997,generator,None,,,
173548418,-90.2576616921,38.1121434703,substation,None,,,
178686304,-88.0745881125,38.364023467,station,None,,,
421339318,-87.768903025,38.3706636953,plant,None,,Gibson Generating Station,Duke Energy
176900411,-89.8518499132,38.2042350592,substation,None,,Baldwin Station,Ameren Illinois
43929754,-88.2690769594,41.3895398294,plant,None,,Dresden Generating Station,Exelon
28520867,-87.7856900131,42.1267357942,station,None,,Northbrook Substation,
89705938,-87.6191465756,41.4310601701,station,None,,,
89705940,-87.6187347038,41.4292347688,generator,None,,,
