l_id,n_id_start,n_id_end,voltage,cables,type,frequency,name,operator,length_m,r_ohm_km,x_ohm_km,c_nf_km,i_th_max_km
1,184390016,179723390,138000-230000,3-6,line,60,,,8475.0,,,,
2,39815554,179076459,138000,3-6,line,60,,,5251.0,,,,
3,39815554,304848212,138000,3-6,line,60,,,11460.0,,,,
4,39815554,82109555,138000,3-6,line,60,,,40658.0,,,,
5,39815554,363306963,138000,3-6,line,60,,,31810.0,,,,
6,39815554,152946529,138000,3-6,line,60,,,36053.0,,,,
7,39815554,363306972,138000,3-6,line,60,,,27898.0,,,,
8,391063456,391064251,138000,3,line,60,,,89.0,,,,
9,391023959,178915020,138000,3,line,60,,,9455.0,,,,
10,391023959,391023957,138000,3,line,60,,,4777.0,,,,
11,89403408,89584414,138000,,line,,,AEP,3327.0,,,,
12,82291732,391272891,138000,3,line,60,,,8001.0,,,,
13,82291732,391272890,138000,3,line,60,,,1958.0,,,,
14,81604245,81780931,138000,,line,,,AEP,12391.0,,,,
15,81604245,251219380,138000,,line,,,AEP,52119.0,,,,
16,391277592,391272891,138000,3-6,line,60,,,5116.0,,,,
17,153209370,153209358,138000,,line,,,,9583.0,,,,
18,89584414,89597501,138000,,line,,,AEP,24923.0,,,,
19,184390015,184390011,138000,3-6,line,60,,,6203.0,,,,
20,184390015,179723390,138000,3-6,line,60,,,9045.0,,,,
21,184390015,184390012,138000,3-6,line,60,,,401.0,,,,
22,89400229,89400231,138000,,line,,,,8330.0,,,,
23,89400230,81780931,138000,,line,,,AEP,10476.0,,,,
24,89400236,81780931,138000,,line,,,AEP,12490.0,,,,
25,89646000,89455868,138000,3-6,line,60,,,18712.0,,,,
26,149698099,89374665,138000,3-6,line,60,,,28094.0,,,,
27,89710645,89455868,138000,3,line,60,,,3596.0,,,,
28,89710645,202150186,138000,3,line,60,,,10690.0,,,,
29,89615678,89374665,138000,3,line,60,,,19905.0,,,,
30,89374665,89547616,138000,3,line,60,,,16901.0,,,,
31,178915020,178915006,138000,3,line,60,,,5127.0,,,,
32,89455865,422748738,138000,3,line,60,,,254.0,,,,
33,184393177,62382201,138000-345000,3-6,line,60,,,16878.0,,,,
34,391028196,391023957,138000,3,line,60,,,2644.0,,,,
35,391028196,391031169,138000,3,line,60,,,132.0,,,,
36,89447016,89455863,138000,,line,,,,28451.0,,,,
37,89455861,422748738,138000-345000,3-6,line,60,,,36292.0,,,,
38,89455861,89455863,138000,3-6,line,60,,,8967.0,,,,
39,179723392,179735363,230000,3,line,60,,,23211.0,,,,
40,179723392,153129471,230000,3,line,60,Kokomo Highland Park - Thorntown 230kV,,55848.0,,,,
