n_id,longitude,latitude,type,voltage,frequency,name,operator
179723392,-86.6130367802,40.1133787815,station,None,,Thorntown Substation,
179735363,-86.8040466038,39.9639295779,station,None,,,
153129471,-86.1495105801,40.4663064359,sub_station,None,,Kokomo Highland Park Substation,Duke Energy Indiana
184390017,-87.4338866215,39.7250658864,substation,None,,,
178863929,-87.4245621167,39.5286329944,substation,None,,,
184389988,-87.2990572147,40.1286007552,station,None,,Veedersburg Substation,
178722864,-87.4268616171,39.9252383531,substation,None,,,
179005713,-85.9727426755,40.0984415575,substation,None,,Noblesville Substation,Duke Energy Indiana
179735350,-86.0917511003,40.2761790469,station,None,,Tipton West Substation,Duke Energy Indiana
178863890,-87.4243724258,39.5264933052,station,None,,,
178843564,-86.5203599305,39.2961265638,substation,None,,Bloomington Substation (230kV),Duke Energy Indiana
178863902,-87.1436639283,39.4765067983,substation,None,,,
82291732,-86.0032636848,39.6803830874,substation,None,,,
82295502,-85.8680006528,39.2445310858,substation,None,,,
178826075,-85.8696706597,39.1739814007,substation,None,,Columbus Substation (345kV),Duke Energy Indiana
82292178,-86.0652444833,39.5095046611,substation,None,,,
178843565,-85.9597882008,39.1654365008,substation,None,,Columbus Denois Creek Substation,Duke Energy Indiana
179723387,-86.5756458254,40.2999346962,substation,None,,Frankfort Substation,
179188161,-86.0380892189,40.7284870398,station,None,,Peru Substation,
179188162,-86.2604302372,40.677725659,substation,345000,,Walton Substation,Duke Energy Indiana
153230200,-86.0783716106,40.4997393214,substation,230000,,,
184378553,-86.3469067211,40.7211994699,station,None,,,
153230186,-86.1369563424,40.5208873717,substation,230000,,Kokomo Webster Street Substation,Duke Energy Indiana
113863670,-86.2866626089,40.4502608915,station,None,,New London Substation,
179723390,-86.853237808,40.4310046647,sub_station,None,,Lafayette 230 Substation,Duke Energy Indiana
179127808,-85.7548568387,38.4405573066,station,None,,,
179127847,-86.1715702418,38.3306504865,station,None,,,
82104554,-85.2190133597,39.2668548607,sub_station,None,,Batesville,
144178065,-85.4130164939,38.5857115007,plant,None,,Trimble County Generating Station,
178910725,-86.6283156465,39.709006278,substation,None,,Amo Substation,
178910729,-86.4834095477,39.8782874912,substation,None,,Qualitech Substation,
178722910,-87.250180385,38.7953710106,substation,None,,,
178910727,-86.8317280178,39.9717612061,substation,None,,Nucor Substation,Duke Energy Indiana
421339312,-87.423782691,39.9186744678,plant,None,,Cayuga Station,Duke Energy
178910730,-86.3064779735,39.982462096,substation,None,,Whitestown Substation,
153209353,-87.0142100827,40.4689739575,substation,None,,Dequine Substation,
153209366,-87.5009544882,39.9424658379,substation,None,,Eugene Substation,
161069027,-87.5091518274,39.3949169292,substation,None,,,
153009579,-87.5702076172,39.2273133435,substation,None,,Breed Substation,Indiana Michigan Power Company
178083909,-87.2568267599,40.5690515721,station,None,,,
153209368,-86.9967736646,40.4431596492,sub_station,None,,,
178083916,-86.9336920424,40.6529011188,station,None,,,
179005711,-86.1664008262,40.0941012477,substation,None,,Hortonville Substation,Duke Energy Indiana
178915006,-86.2282441964,39.855925783,substation,None,,Guion Substation,Indianapolis Power & Light
153209358,-86.871284117,40.7708872817,substation,345000-138000,,Reynolds Substation,
89403408,-86.4837725311,41.7066236993,substation,345000-138000,,Olive Substation,
147044596,-86.2559469114,41.623040369,substation,345000,60,,
89374665,-86.1367236462,41.6686507319,substation,345000-138000,,Twin Branch Substation,Indiana Michigan Power Company
89528666,-85.3425875529,40.9838906542,substation,345000,,Sorenson Substation,Indiana Michigan Power
179320471,-85.4672711749,41.063868379,substation,345000,,,
89455876,-87.2730168153,41.4624537546,substation,345000-138000,60,,
89710645,-87.3989269263,41.4509189257,station,None,,St. John Substation,
