n_id,longitude,latitude,type,voltage,frequency,name,operator
27051494,-96.3050508188,42.6003162424,station,None,,,
27051487,-96.3062647359,42.602985135,station,None,,,
173111639,-96.4499655166,43.3760233389,station,None,,,
86068025,-96.6489792344,43.599157191,substation,None,,,
173111642,-96.401376935,43.0678782913,station,None,,,
173549244,-96.2351579991,43.3969485484,station,None,,,
76964352,-93.6804879249,41.4588062623,substation,None,,Norwalk Substation,Mid-American Energy
146967433,-93.5272139389,41.5417270537,substation,None,,SE Polk Substation,Mid-American Energy
170046938,-93.9086464675,41.3362468111,substation,None,,Madison County Substation,
170024065,-93.5259858388,41.5562500285,sub_station,None,,Greater Des Moines Energy Center Substation,
45814368,-93.4977980136,41.6749852107,station,None,,Bondurant Substation,MEC
166180101,-95.8358987805,41.1756580771,station,None,,,
237823311,-95.8338151862,41.1717201636,plant,None,,Council Bluffs Energy Center,MidAmerican Energy
165674887,-93.9207778406,41.5085227062,sub_station,None,,Booneville Substation,
170046937,-93.8119634724,41.6600848818,sub_station,None,,Grimes Substation,Mid-American Energy
170057261,-94.6062740803,41.4652790132,substation,None,,,
165469706,-95.3945357389,40.5253626201,substation,None,,Atchison Substation,
104336398,-90.5275967927,41.6813086091,station,None,,Sub 91,Mid-American Energy
104334522,-90.3062703567,41.7265190632,station,None,,Quad Cities Substation,
104356586,-90.6903547921,41.5748331784,station,None,,,
170017168,-95.14369808,43.6699842552,substation,None,,,
170148552,-94.1164654357,42.3713606505,sub_station,None,,Lehigh Substation,
27052403,-96.36550811,42.3293664588,station,None,,Raun Substation,MidAmerican Energy
104394647,-91.6823620928,41.7071123447,station,None,,Tiffin Substation,
104475587,-91.7812116027,42.1000750563,substation,None,,Arnold Substation,
104394692,-91.5359228186,41.5706736281,station,345000-161000-69000,,Hills Substation,Mid-American Energy
158706990,-94.774946724,41.1787067584,substation,None,,Rolling Hills Substation,
166560624,-96.3613631789,42.3019316246,substation,None,,,
75701627,-90.2953745601,41.7910158686,sub_station,None,,Rock Creek Substation,ITC Midwest
104480315,-91.9013879989,42.5859042953,station,None,,Hazleton Substation,
104535667,-92.6802564299,43.5571037392,station,None,,Adams Substation,
106016830,-95.9697983303,41.1696372964,station,None,,,
170772177,-91.223686583,41.5548968491,substation,None,,Sub 92,Mid-American Energy
170674897,-91.555144988,41.3347787472,sub_station,None,,Sub T,Mid-American Energy
170148553,-94.0921408493,42.5661283915,sub_station,None,,Webster Substation,
170772175,-91.093623073,41.3132036905,substation,None,,Louisa Substation,
389629673,-91.0911611354,41.3257043708,plant,None,,Louisa Generating Station,
36896369,-93.6773086615,41.6717116828,generator,None,,Mid American Energy Sycamore Combustion Turbines,
170491114,-90.6639669174,42.402201273,sub_station,None,,,
166180092,-95.8340316211,41.1762458695,station,None,,,
