n_id,longitude,latitude,type,voltage,frequency,name,operator
24592259,-97.6944222951,39.5744566612,sub_station,None,,,
184358106,-97.5463597283,39.5033916151,station,None,,,
140592266,-97.7352642654,39.4245583864,station,None,,,
130510242,-97.5442455482,39.4276511951,station,None,,,
166736653,-98.2190348761,38.8588682465,sub_station,None,,,
166736659,-98.2637027691,38.8758881281,substation,None,,,
166736656,-98.1706109347,38.8915672766,sub_station,None,,,
171460116,-99.3534322774,38.9286963128,station,None,,Knoll Substation,
164774434,-97.5407774723,38.7272408196,sub_station,None,,Summit Substation,Westar Energy
126988433,-95.2414782514,39.0331872225,station,None,,,
172577315,-95.2709177412,39.0028700621,station,None,,Lawrence Hill Substation,Westar Energy
75716243,-96.5425102181,39.1886460512,sub_station,None,,East Manhattan Substation,Westar Energy
420139938,-96.1195684191,39.2903171262,plant,None,,Jeffrey Energy Center,
171591232,-99.3008996762,38.8284940557,station,None,,,
164761243,-95.5905077752,38.8421840452,sub_station,345000-230000,,Swissvale Substation,Westar Energy
172577316,-95.5648049128,39.0534715263,station,None,,Tecumseh Hill Substation,Westar Energy
117922217,-96.4630560196,38.6457449453,sub_station,None,,Morris Substation,
172546852,-97.0403745557,38.7052423943,station,None,,,
172557035,-96.6327486991,39.0141969205,station,None,,McDowell Creek Substation,
163992427,-99.7551472814,37.8642610529,sub_station,None,,Spearville Substation,
163992428,-99.7534582539,37.867799792,sub_station,None,,,
170512120,-98.8707707412,38.4067367907,sub_station,None,,,
157247030,-97.8713116934,38.0948633753,substation,None,60,,voltage
172536508,-97.6312954762,38.3211330693,station,None,,,
170512113,-98.8731381381,38.4065055758,sub_station,None,,,
49094403,-94.8101031074,38.9324787209,sub_station,345000-161000,,Craig Substation,Kansas City Power & Light
123572983,-95.03234087,39.2622455711,sub_station,345000-161000-115000,,Stranger Creek Substation,Westar Energy
164779015,-95.1170698303,37.3045160117,sub_station,None,,Neosho Substation,
155777346,-95.6282554153,36.8131542379,sub_station,345000-138000,60,Delaware Substation,Public Service Company of Oklahoma
72498727,-94.6438512458,38.3481917907,plant,None,,La Cygne,Kansas City Power & Light
156357082,-97.1052189157,37.5894182677,substation,None,60,Rose Hill Substation,voltage
163982859,-100.975275994,37.9150119407,substation,None,,Finney Substation,
163982860,-100.971892879,37.9263911927,substation,345000,,Holcomb Substation,
163973336,-102.528818593,38.2067034443,sub_station,None,,Lamar HVDC Tie,
118005665,-100.968872774,38.4859822037,sub_station,None,,Setab Substation,
164655294,-96.0647458791,38.4445126741,sub_station,None,,Lang Substation,
164413899,-100.920396548,39.3090103203,sub_station,None,,Mingo Substation,
157246132,-97.7906985747,38.1134645654,sub_station,None,60,Reno Substation,voltage
164668199,-96.1170324969,39.2825176558,substation,None,,Jeffrey Substation,
164763242,-95.6791542836,39.275414867,sub_station,None,,Hoyt Substation,
164630568,-95.6874427313,38.2431554214,sub_station,345000,60,Wolf Creek Substation,
156388559,-97.1689611891,37.791128317,sub_station,None,,Benton Substation,
164672103,-94.9886913918,38.7877233184,station,None,,West Gardner Substation,Kansas City Power & Light
155225651,-97.7897475205,36.3307149978,sub_station,345000-138000,60,Woodring Substation,Oklahoma Gas & Electric
69707335,-97.5217134536,37.789185405,plant,None,,Gordon Evans Energy Center,Westar Energy
164413900,-100.709926288,40.3033717694,substation,None,,Red Willow Substation,
164657612,-94.6411565793,38.3478910454,substation,None,,La Cygne Substation,
164729296,-94.6534112141,38.7832820616,sub_station,345000-161000,,Stilwell Substation,Kansas City Power & Light
166559474,-94.494874237,38.7490155244,substation,None,,,
