id,lon,lat,name,osm_id,voltage,type,poly
1,-93.7315484286,32.4515865457,Fern Street Substation,342026258,69000,substation,0103000020E6100000010000001300000057C00B1AD86E57C00285E2EED43940409C2A42CDD26E57C0A98AD5E1DA3940401C6E8946D16E57C050A584D8D6394040A217FE95CF6E57C000E73F14D2394040A03572FFCD6E57C0DD61F4F6CC394040F6AAE014CC6E57C052EDCC24C63940400BE34A2DD16E57C039FBE008BF394040075FA9EDD26E57C06842BFFDC4394040D2945674D26E57C0780B7293C6394040BA7A5357D26E57C0A33BD952C7394040DC67395CD26E57C049A1858FC8394040291C7089D26E57C0674B44E6C9394040FEADD5F7D26E57C0BB3BF09ECB394040C0997596D36E57C0FA7B8C2FCD39404027B35500D46E57C0E252AFE6CD394040F271D886D46E57C097E0A2A1CE394040293C2B00D56E57C082B3EA10CF394040511814DBD56E57C0EDDA5446CF39404057C00B1AD86E57C00285E2EED4394040
2,-93.7230301427,32.4984620025,Fort Humbug Substation,341901356,138000;69000,substation,0103000020E610000001000000050000000DE8584A4D6E57C093EE5573D43F4040B248BF0D3F6E57C0A51957B7D43F4040240563F63E6E57C05713F6C0C63F4040CA2F9C324D6E57C03387977DC63F40400DE8584A4D6E57C093EE5573D43F4040
3,-93.7454735202,32.4307584358,Ellerbe Road Substation,341571099,69000,substation,0103000020E6100000010000000B00000093C25A56BB6F57C0BD2ED043293740401A4E5B3CBB6F57C0EECC4CC42B374040AAC1E32AB56F57C0838DF0BD2B374040D4FF5E53B46F57C0E260A57728374040AC83B44AB46F57C096926F9E26374040C43D7995B36F57C0FDAE682226374040CA738702B36F57C045918D6B263740409063CF97AE6F57C02AB92B341C374040674215C5B96F57C0CAB36D511C374040FAC98FC0B96F57C00B5CA0ED2737404093C25A56BB6F57C0BD2ED04329374040
4,-93.7946469938,32.4712763236,Midway Substation,291431443,69000,substation,0103000020E6100000010000000500000087234DDDE17257C0BF1F8ADF4C3C404005FE79CDE17257C0864564E1583C4040070CA420D57257C00A2413B1583C40403DA6D730D57257C060F138AF4C3C404087234DDDE17257C0BF1F8ADF4C3C4040
5,-93.7645381212,32.4195817349,South Shreveport Substation,341571103,138000,substation,0103000020E61000000100000006000000A6E9DA94F77057C0FE5A3A89C5354040AAC939FAE77057C05B44AE8DC5354040DC9F55DDE47057C05CB47BEAC3354040C9C970A4E47057C0A0EBD254A43540407D6D308CF77057C0E54EA35FA4354040A6E9DA94F77057C0FE5A3A89C5354040
6,-93.7079457535,32.4005902564,Lucas Substation,291018545,69000,substation,0103000020E610000001000000070000007EDCC97E556D57C0B232B8FB3D33404059A43D5A556D57C02A6871D44D3340409A1A3009536D57C0EFD584264E3340408107B527536D57C0A76144A44F334040ABAABCBE486D57C07D0B5E714F334040BAEA54B8486D57C022FA8CB23D3340407EDCC97E556D57C0B232B8FB3D334040
7,-93.7519793137,32.4168366849,Forbing Road Substation,342138774,69000,substation,0103000020E610000001000000050000004613BFB2237057C03A8CBFF0513540401B45E64E237057C095D55EFB5B354040C040C0A31E7057C0C005CB3662354040EDE0CD191C7057C07D59A5EF5C3540404613BFB2237057C03A8CBFF051354040
8,-90.9219734113,30.4823291293,Lockhart Substation,340335132,69000,substation,0103000020E610000001000000070000004BEA888305BB56C06A01AF7B897B3E40D5CE4C6EFFBA56C02FC367D1897B3E40A34818D9FEBA56C0B639499F857B3E40CD5DFCD3FDBA56C095AA5DB5857B3E404C31A188FDBA56C0BDCA140C6B7B3E40BD7D953E05BB56C05BF693A16A7B3E404BEA888305BB56C06A01AF7B897B3E40
9,-90.8963333267,30.4876221096,Coly Substation,139461233,500000;230000;69000,substation,0103000020E6100000010000000900000075A4DBE470B956C0CEEF3B6F9D7C3E4094461BCA70B956C04BD6946ABD7C3E402B34C39B70B956C0B9DE4C88F37C3E405043B89270B956C0FCABEDAEFE7C3E40569747D767B956C053139B2AFD7C3E40290FF37E4FB956C0C8BF7F121C7D3E40D1AE298A4BB956C04D842BFB127D3E4090D8F8084DB956C02C49C9099E7C3E4075A4DBE470B956C0CEEF3B6F9D7C3E40
10,-90.8921926214,30.3922774217,None,343923372,69000,substation,0103000020E610000001000000060000004927FD2224B956C06A9544B376643E4073BCE7D41FB956C0985495307C643E4014999FEA19B956C0D0F105178D643E409DB417E80DB956C0A4C2B96B69643E407BCBB28F1CB956C0908E997E4A643E404927FD2224B956C06A9544B376643E40
11,-90.9180676976,30.4599728834,None,340344030,69000,substation,0103000020E610000001000000050000001BA4378AC6BA56C088603B06AE753E409511AF68C6BA56C055C1EBEFD3753E408D9CD0B3BCBA56C0D619978AD3753E40122F59D5BCBA56C09A91E6A0AD753E401BA4378AC6BA56C088603B06AE753E40
12,-91.0223260911,30.4233390642,Jones Creek Substation,340344081,69000,substation,0103000020E610000001000000090000005CF2DDA475C156C022BCAD71726C3E4024DB9DFE70C156C022BCAD71726C3E40E68F96F870C156C0BAACC964776C3E40074B16876CC156C027224878776C3E4003DE60756CC156C022BCAD71726C3E405DB7B55366C156C022BCAD71726C3E40FE4EA9DF65C156C00B912D0A4C6C3E4044A8BB1E75C156C0F9E7E8A04B6C3E405CF2DDA475C156C022BCAD71726C3E40
13,-91.1888084526,30.4817040049,Exxon Substation,189018151,230000,substation,0103000020E610000001000000060000001078C9D21BCC56C09506206F417B3E40C4A3D72E19CC56C01518744E6A7B3E40D76EA61111CC56C0CFBD8717637B3E405BCD74410FCC56C028294A7E587B3E4035B5A39311CC56C0E46E1221387B3E401078C9D21BCC56C09506206F417B3E40
14,-91.189426106,30.4583354381,Capitol Substation,295246104,69000;13800,substation,0103000020E6100000010000000500000034B0488922CC56C0AEFDB49447753E40E105874A21CC56C08731977C64753E409F1B64BC1CCC56C0AACAB21862753E406B037E701DCC56C08930F47B48753E4034B0488922CC56C0AEFDB49447753E40
15,-93.7508190397,32.4992926815,Brooks Street Substation,341901354,69000,substation,0103000020E610000001000000050000004BE50DA1137057C0C7623772E43F40407683C79B137057C06F066B49ED3F4040225C0635077057C0ADC88932ED3F40405FA70D3B077057C022D4F85BE43F40404BE50DA1137057C0C7623772E43F4040
16,-93.7395926553,32.5044409492,Edwards Street Substation,341901355,69000,substation,0103000020E610000001000000070000001313A5D7596F57C0110FACD199404040747D05C7576F57C0D7F2741A9D40404077466B90506F57C070B4AF3390404040096E9A4B566F57C04C36111687404040315C2E26596F57C061520E308C4040408C553E7B556F57C043038505924040401313A5D7596F57C0110FACD199404040
17,-91.8440298109,30.3146124144,Cecilia Substation,266737199,138000;69000,substation,0103000020E610000001000000080000007683A00E12F656C05BF58F36B2503E40FECE2A070DF656C07AB9B988C8503E4054401870FCF556C0170F8323AB503E40345AC714F6F556C0709CA0064D503E40940D6D3AFDF556C0B322043048503E40C23897BDFFF556C00E745D0B69503E4025F9A6B40CF656C0DA19745F5F503E407683A00E12F656C05BF58F36B2503E40
18,-91.8440110075,30.032496686,New Iberia Substation,166010100,69000,substation,0103000020E610000001000000050000005EBEC56D0AF656C03DCD491A3A083E4026E94F3008F656C0668195776E083E4067ADE21FFEF556C0BB19D94D69083E40EA0DF85C00F656C03DAB8AF034083E405EBEC56D0AF656C03DCD491A3A083E40
19,-91.0591388021,30.4357484701,Harelson Substation,189018173,230000;69000;13800,substation,0103000020E61000000100000009000000752AAA45D5C356C068E31C7A656F3E40AF789EFED3C356C0A35B0C669D6F3E4018C4F14CD2C356C09B6291049F6F3E40E1D007A6D1C356C0C16591A0996F3E40B42EB322D0C356C0328C9B119B6F3E4038A6B48DD0C356C0802D7ABAA06F3E4011DF8AAFBCC356C0876903F6B46F3E40E7D02EF0BDC356C01C165AC17D6F3E40752AAA45D5C356C068E31C7A656F3E40
20,-91.1236125105,30.5207594936,Mickens Substation,340468659,69000,substation,0103000020E61000000100000006000000B9977057EEC756C0385B7AD163853E40434C15D9E7C756C049176E4264853E4034131289E1C756C0BDF8FBB841853E409CE720FBEDC756C0179810AF3F853E40C11FAD1FEEC756C0694A2A0D4E853E40B9977057EEC756C0385B7AD163853E40
21,-91.0606155558,30.4719419906,Sharp Substation,340352228,69000;13800,substation,0103000020E610000001000000070000008E41A6D3E3C356C050A755C9BD783E40DE1064B7E3C356C07F714BF8E0783E4035082091E2C356C07F714BF8E0783E400C8C7588E2C356C0BA24872AE5783E407F6F6991DEC356C0B702F38BE5783E4009461097DEC356C026266D50BE783E408E41A6D3E3C356C050A755C9BD783E40
22,-91.018275608,30.4562891061,Gloria Substation,340344080,69000;13800,substation,0103000020E610000001000000050000006BBEA5FF31C156C0A1C238C5E0743E40151597D424C156C02C8ECABEDF743E40151597D424C156C0D893F8AFBF743E4079CE1E9031C156C0D6B1ECEBBC743E406BBEA5FF31C156C0A1C238C5E0743E40
23,-91.0859290823,30.4306393393,Drusilla Substation,340468649,69000;13800,substation,0103000020E610000001000000070000005AAF22EE82C556C0C842FEC8326E3E40F60980D182C556C085F3DAC3486E3E40CE24C8AD7DC556C049AA25DF496E3E40C89503AA7DC556C0DC910AD6456E3E40B45FE09E7CC556C0D1EB361C466E3E40BAEEA4A27CC556C0C0287537356E3E405AAF22EE82C556C0C842FEC8326E3E40
24,-91.1589505215,30.3953800982,Highland Substation,340415775,69000;13800,substation,0103000020E61000000100000005000000F99A47C333CA56C0C64ACD6934653E40E187D94F2DCA56C07864598151653E40DCE676BA24CA56C0C1FDDED83A653E403E85842D2BCA56C072244CC11D653E40F99A47C333CA56C0C64ACD6934653E40
25,-91.1881135201,30.4412659958,Beauregard Substation,171309851,69000;13800,substation,0103000020E6100000010000000B00000017332C930DCC56C01CDE4B0911713E40320878940CCC56C08231CC6613713E4017112A0F07CC56C0346908EA13713E409E9C2AF506CC56C04A60119AFC703E40E58AF57906CC56C035BDC498FC703E404807016906CC56C064E7563FF3703E401F9966D706CC56C0C00C7489F1703E4019031A9806CC56C034385316DC703E40D8CCAA4407CC56C0D27C5757DA703E40EB19AD0F0DCC56C0F96921A0D9703E4017332C930DCC56C01CDE4B0911713E40
26,-91.1432616198,30.4493146099,East Substation,341728949,69000,substation,0103000020E61000000100000009000000AC453B7031C956C09B601B851A733E4012E9A3ED26C956C0CC204F2F1B733E40B349F0D425C956C04E7685ABEE723E40BFD70E332BC956C0FB572EE2EC723E403F0D39C72FC956C068B46A2BFF723E400AD3438930C956C0FEB506E503733E4040BFA5F430C956C0F7E637BB08733E406620C94631C956C082DF52840F733E40AC453B7031C956C09B601B851A733E40
27,-91.1759323895,30.3849837192,Tiger Substation,340385857,230000;138000;69000,substation,0103000020E6100000010000000900000096D9BE5255CB56C042F0ED8876623E40D127C0794DCB56C05705E21CAA623E406D80D64F49CB56C0B0CF4610B8623E4023A7B0EB43CB56C0514E6AEDB9623E400DC2274233CB56C0ECBF2383B1623E40836B7A8536CB56C0EAB1F12462623E4077157DE94ECB56C00ADAE8356D623E40ADA828BE4ECB56C0A6A085F571623E4096D9BE5255CB56C042F0ED8876623E40
28,-93.3757375817,30.1603195059,Choupique Substation,340335170,69000,substation,0103000020E61000000100000005000000A7AA8E0B105857C07EB79E2118293E406CCF3638085857C00124527618293E4076A21920085857C005FFE443FD283E404A94B0F20F5857C0257B31EFFC283E40A7AA8E0B105857C07EB79E2118293E40
29,-93.348231208,30.1922490185,Carlyss Substation,338957592,230000,substation,0103000020E61000000100000009000000841CCC576B5657C049EB0DFD40313E40D8E5E8CB445657C0DD76670942313E40515AE8E5445657C0C2C401BC6E313E403A6A3C78325657C02E60F83C6F313E4078AEBB42325657C0D7FB928913313E40FBA2AF67445657C04B5D840C13313E409A48B36A445657C05D4B4A8218313E4042640F406B5657C01556557317313E40841CCC576B5657C049EB0DFD40313E40
30,-92.638159131,30.0414977143,Klondike Substation,340335173,69000,substation,0103000020E61000000100000005000000E675ABCBDA2857C017AD4869AF0A3E4050660176D42857C0E977828CAF0A3E40362AEF66D42857C0FD5A41C78F0A3E4081AEF9BCDA2857C0DE8407A48F0A3E40E675ABCBDA2857C017AD4869AF0A3E40
31,-92.7246373226,30.0965836112,Winn Substation,340335185,69000,substation,0103000020E610000001000000060000000DCB754B642E57C0659E2784B0183E40B4214D44642E57C08BD0176EC2183E403F68A37C5C2E57C0BF47F2A0C2183E403E46948A5C2E57C0239C4C08B3183E40801784DD5E2E57C0659E2784B0183E400DCB754B642E57C0659E2784B0183E40
32,-91.1604753846,30.5149751192,Seventy Second Substation,338049611,69000;13800,substation,0103000020E610000001000000060000002EFBBF3148CA56C0C18FDB0FDF833E4041E6498B42CA56C00A0676FDDF833E40C2E2856D42CA56C02951A0A5D7833E405E5FF24242CA56C09D1838C2CB833E40B35D29EA47CA56C0E2709DD4CA833E402EFBBF3148CA56C0C18FDB0FDF833E40
33,-91.1830018997,30.5191866169,Jaguar Substation,340468656,230000;69000;13800,substation,0103000020E61000000100000008000000289FC289C2CB56C0E5265ABA30853E40D6A0A5BEAFCB56C0361BE94033853E400FFFFD69ACCB56C0710595A333853E40ECDFB1EEA7CB56C0D8015CDA16853E400D9D6B1CAECB56C0769263C499843E40A15345FFC0CB56C016674E1A99843E403E89A63DC2CB56C0159A4F35F5843E40289FC289C2CB56C0E5265ABA30853E40
34,-92.7240959822,30.2320925918,Lawtag Substation,339441795,69000,substation,0103000020E61000000100000007000000E810A9D05C2E57C00C52BD51823B3E407CE81788522E57C0DE171B7A823B3E40B159B46A522E57C02439CCDD593B3E406D08BE60532E57C0A2626EB5593B3E408E63F2AE542E57C06C9A2E844D3B3E40B8DCA2965C2E57C00276FE97553B3E40E810A9D05C2E57C00C52BD51823B3E40
35,-91.2010220551,30.5550075001,None,341624931,69000,substation,0103000020E610000001000000050000008BE6B4E9E1CC56C05DE301371F8E3E4055310791DBCC56C0452396D8258E3E402A51832DD9CC56C0E64569BA0A8E3E405F063186DFCC56C0AA2BD318048E3E408BE6B4E9E1CC56C05DE301371F8E3E40
36,-91.1878805559,30.5303081975,Swan Substation,340468633,69000;13800,substation,0103000020E6100000010000000500000041B8B2520BCC56C0112650D8C8873E40F91E104A04CC56C0270548C3D3873E401ED7A22501CC56C0625909B6BB873E406770452E08CC56C054C60ECBB0873E4041B8B2520BCC56C0112650D8C8873E40
37,-93.9025974349,32.3997851245,Woolworth Road Co Op,313201938,69000,substation,0103000020E61000000100000006000000E7D35CAFC87957C09D5BB09A36334040BB782031BF7957C0C34482903633404058FC1442BF7957C0634B5B6325334040B0FEE671C67957C0AE1999C81F3340409E634466C87957C0C045D8431E334040E7D35CAFC87957C09D5BB09A36334040
38,-93.920297699,32.4488930855,Flournoy Substation,342062373,138000,substation,0103000020E61000000100000005000000466781F8EF7A57C0ED6A4F226C394040466781F8EF7A57C09E4CF0857E39404055632258DC7A57C09E4CF0857E39404055632258DC7A57C0ED6A4F226C394040466781F8EF7A57C0ED6A4F226C394040
39,-91.0232236864,30.8636881233,Clinton Substation,341624956,69000;4160,substation,0103000020E610000001000000060000006C86DE9880C156C056F7362B26DD3E400292FAD37EC156C01BEBA3B526DD3E400A6A1EEA7AC156C0C8193FE827DD3E402E59586A78C156C0250615BE11DD3E40DAAE89BD7DC156C04C0B334F0BDD3E406C86DE9880C156C056F7362B26DD3E40
