id,lon,lat,name,osm_id,voltage,type,poly
1,-70.2036871666,43.9316499169,Surowiec Substation,82004992,None,sub_station,0103000020E610000001000000070000002EFAF1B7208D51C0C19C9A732EF74540CD3020E6088D51C001D2152F60F74540B51E72F4EF8C51C0A0D18C6647F74540FCD7CF73F98C51C00D80AB9133F745405745033A038D51C0A33A34473DF745407055778C118D51C0B59505611FF745402EFAF1B7208D51C0C19C9A732EF74540
2,-70.1550810586,44.0594900776,Crowleys Substation,142764070,115000,substation,0103000020E61000000100000005000000E8A5EB4DF68951C077D957CB96074640CA63F7A8F08951C02D340E70AB074640AFBA4964E38951C01A6C88F2A3074640CDFC3D09E98951C044D8CC4D8F074640E8A5EB4DF68951C077D957CB96074640
3,-70.4947085437,43.9441570907,Eaymond Substation,142750723,115000,substation,0103000020E6100000010000000500000025412EF8B19F51C02844C1D6DEF845404EFB21BDA59F51C05AFB8271E6F84540D3D9F6A3A09F51C0D348F870D5F84540F5AAA2DEAC9F51C08A51A7D5CDF8454025412EF8B19F51C02844C1D6DEF84540
4,-70.1537078854,43.7517110607,Wyman Energy Center,418197248,None,plant,0103000020E61000000100000022000000CDD04C7A2D8A51C0FCAFC84E17E04540EEA2B836278A51C096FA4D741EE045403B2589ED228A51C09996FF8027E04540107524F3208A51C09DA1EDFA31E04540EE47C8001C8A51C00C49BD133AE04540884A2FCF088A51C01067518F54E04540D8403DD3048A51C030FD327755E04540CAD71A1AFE8951C0688A7C8F53E045400646E425F28951C02F348A5655E04540084FC0DCEF8951C0AD7A0EA859E0454031A09918E58951C0B3AA18DD5EE045404956DDB6D58951C012BB03F96DE045408DED71A8AF8951C0552239A771E04540E9B435639A8951C0C9E0837A7EE0454096819E24988951C08F4BA74977E04540C21BE4E0828951C0C761D4AB56E04540E52892CA7E8951C0AE58406749E0454097B85237928951C07724A26729E04540C9499D229B8951C085B5514C12E04540020EFC59AB8951C0167BB6D91DE045408ADBB93AB48951C0BC085D2B1EE045405D67F7AEDE8951C06B0ACD2910E04540E63D9146E58951C02C03ABED14E0454052F68C38EA8951C0854ED1D40CE045401BCCEE7EEF8951C083CE47AF05E04540C4C615C0F68951C054D0037200E04540D4C56ADC0A8A51C02D2E2604F5DF454025699771128A51C02D2E2604F5DF4540BED1F75D198A51C03B8CBC0FF4DF4540B357BE9E208A51C0F4B0AB89F4DF4540EEA2B836278A51C082FE9ED3F8DF45409D5A7CD72A8A51C04EA1D0DF01E0454071B3E6252D8A51C0C432575A0CE04540CDD04C7A2D8A51C0FCAFC84E17E04540
5,-70.3602701981,43.6516270521,Spring Street Substation,147646738,None,substation,0103000020E610000001000000090000005DA408051B9751C0BDBF751973D3454072684FAC129751C0D81F2AFB75D34540E2FB5B67129751C0FF9AD10874D34540ACD60B4A0D9751C07D737A5B6FD345405F87618B039751C0E95DA8F172D345409DDB4448019751C02DF7C8F166D345406C3E2485029751C086E22D1D62D34540DD6EDE70169751C08AC50D3F5AD345405DA408051B9751C0BDBF751973D34540
6,-69.8348434921,43.9031963132,Bath Substation,142715660,115000,substation,0103000020E61000000100000007000000A5C5F769767551C074BF708CA1F34540B6C76083757551C068E7E64FA2F34540EBCDB5AB657551C0D668D0ECA2F3454078BFE367657551C0E644D1D699F3454025F55944687551C0E00A681A95F3454031B72526767551C086A4C3CC94F34540A5C5F769767551C074BF708CA1F34540
7,-69.6715394084,43.9910754284,Mason Substation,142717879,345000;115000,substation,0103000020E6100000010000000F0000009240BA100B6B51C05B0C6877CCFE45401FCB21BF096B51C024BD0145D1FE4540AB43DE6D066B51C089C86543D6FE4540BB339C87036B51C034805A6DD4FE4540BE3C85ACFA6A51C0AB2EBEA2F0FE4540676C19F3F76A51C0E7CAF587F2FE45400457E17FF26A51C028A0558FEFFE4540DD8CA3A4F36A51C08B7317B4EBFE4540716405EEEF6A51C0DF8CB5EBE3FE45401A36A26FF06A51C052AF4F82E0FE454018FB5F42EE6A51C070AE903DDFFE4540AE287E01F36A51C02E696BE3D0FE4540F9437B3CF46A51C04BD7137CCEFE4540583002A6066B51C0C49346A0CAFE45409240BA100B6B51C05B0C6877CCFE4540
8,-68.7054690775,44.8241844034,Graham Substation,164187904,None,sub_station,0103000020E610000001000000070000005E2ADA0B332D51C0A1D6CDD281694640B184C16A312D51C0BFD99E698869464045C3F62F282D51C00D6E1C598C6946400B611DD81C2D51C00D6E1C598C694640BECCAE8F182D51C0B149CFE4776946402CD27DD22E2D51C0A6F4E7646E6946405E2ADA0B332D51C0A1D6CDD281694640
9,-68.7058285719,44.8229331497,None,168012304,None,sub_station,0103000020E6100000010000000B000000151A0095332D51C07DE44FA65D694640CE697ECC272D51C0C94247206369464062C32DDA242D51C052958094556946402F0B8660262D51C096CBBDB051694640047454A1262D51C0C93475394D694640583BD735322D51C093D676AF486946409B45C2A8322D51C041F1FEF44A6946409BA5007B332D51C0C84FE6184F694640EDDDD8E7312D51C01A07C4D04F694640AAC5DDFD302D51C0976E277951694640151A0095332D51C07DE44FA65D694640
10,-68.7538627693,44.7402591649,Orrington Substation,141373736,345000;115000,substation,0103000020E6100000010000001300000004AEFE37593051C0609EF5DCBD5E464078FC53D7573051C070C068FED15E4640B121B162563051C016023715D75E46405C4ACADB4C3051C00D33F0E8D55E4640EC567F4E4C3051C027CF5E3FDF5E46403D8F57BB4A3051C084042DEDE05E4640F81E66BC363051C0FE87485ADE5E4640B7EF7EA4373051C08A697FE3D25E4640F61891942A3051C0CE49F548D15E46406503006B2D3051C0F761D135A45E46402A2C2944343051C0BDFACEEBA45E4640DC7E7A52343051C0A7173FB39F5E4640DDA9588D383051C0F706DD73995E46402268EACC443051C04BCAEAE09A5E46403DADD892423051C0D7118435B55E4640E75725F4463051C0081E38C1B55E4640F45EC2CD483051C0003A38B8B85E4640AF84F6C3483051C090690DCBBB5E464004AEFE37593051C0609EF5DCBD5E4640
11,-68.4540119881,44.5771259447,Boggy Brook Substation,164194313,None,sub_station,0103000020E6100000010000000B000000A98D783C161D51C07D1433CFDC49464030DE43630D1D51C0E5E1696AEE4946406A33CDC5051D51C09683B4A5E64946403492040C0C1D51C069A7B928DA494640EBF1CC590B1D51C0B3C4C272D94946406F240A3B111D51C08C8EA8C0CD494640EE4789CF131D51C0D9644E62D0494640B7FBE891121D51C0A9C415DAD24946408809ADC0141D51C02C079913D5494640838A4CAF121D51C0AF983330D9494640A98D783C161D51C07D1433CFDC494640
12,-70.633718448,44.1518028011,Kimball Road Substation,147637608,None,sub_station,0103000020E610000001000000090000007E3B17F797A851C0CAF5485276134640AFA6D14392A851C05EF54D947C134640BF887FE68EA851C067DD0091761346405684449D88A851C0CBE6EE28771346404001346583A851C0976086E56D134640B25A92EC90A851C083067BEA5E13464070DBC38695A851C0B3E66831671346403F6EC22C97A851C0C140180A751346407E3B17F797A851C0CAF5485276134640
