n_id,longitude,latitude,type,voltage,frequency,name,operator
64882304,-76.8057401561,38.713867429,station,None,,Talbert Switching Station,
64790273,-76.8013564169,38.8567700866,substation,None,,Oak Grove Substation,PEPCO
64880459,-76.8709366183,38.7383831499,substation,500000,,Surrattsville Substation,PEPCO
62004465,-76.6887636441,38.5603775239,substation,None,,Chalk Point Switching Station,
58360589,-76.8775596832,38.8801016065,substation,None,,Ritchie Substation,
53812423,-76.9057152056,39.0901042734,substation,None,,Burtonsville Substation,PEPCO
53786568,-76.7720281875,39.0152552463,sub_station,None,,Bowie Substation,
89581391,-75.6649000642,39.9686940264,sub_station,None,,,
67883260,-76.1750453074,39.6575277924,generator,None,,Conowingo Hydroelectric Station,
62048773,-76.5130495505,39.2298126292,substation,None,,,
280778819,-76.512214206,39.2385197069,substation,230000-115000,,,
54329703,-76.5426840956,39.2095634067,substation,230000,,,
53776393,-76.5404629359,39.6874134659,sub_station,None,,Constatone Substation,
54146507,-76.3857104249,39.7010547291,sub_station,None,,Graceton Substation,
398807151,-76.8398279694,39.4600201209,substation,None,,,
69809995,-75.3999116014,38.8809613067,station,None,,,
68073269,-75.8165506938,38.8923951604,substation,None,,,
53780495,-77.0365375545,39.1856706956,substation,None,,Brighton Substation,PEPCO
53342426,-77.2928119543,39.1365089167,substation,None,,Quince Orchard Substation,PEPCO
63404050,-77.639862838,39.5126463771,substation,None,,,
53533932,-77.5148042159,39.2964012428,substation,500000-230000,,Doubs Substation,
63912129,-77.4414473234,39.2253637782,sub_station,None,,,
63912153,-77.4559139918,39.2050510091,plant,None,,Dickerson Generating Station,
63588136,-77.4253532636,39.4439138356,substation,None,,,
52960563,-77.4010994772,39.4395662154,substation,None,,,
62984503,-77.5662085371,39.6717627172,sub_station,None,,,
55673310,-76.4280304619,39.3652171576,substation,None,,Northeast Substation,
53333781,-77.1035338693,39.1902807524,substation,None,,Mount Zion Substation,PEPCO
53333783,-77.0790585386,39.1318947286,substation,None,,Norbeck Substation,PEPCO
62483222,-77.196703235,39.4767713006,sub_station,None,,,
62388702,-77.1721682445,39.3980268538,sub_station,None,,,
63043608,-77.3101498038,39.4230415862,sub_station,None,,,
63043579,-77.2557335088,39.3969954528,sub_station,None,,,
53338905,-77.1452551454,39.0316527008,substation,None,,Bells Mill Substation,
64715802,-76.2834894833,39.4517687182,substation,None,,,
54146513,-76.4011884667,39.415832029,substation,None,,Raphael Road Switching Station,Baltimore Gas & Electric
71075151,-76.217555792,39.4410431077,substation,None,,,
53926430,-77.2893592652,39.2407808047,substation,None,,Clarksburg Substation,Potomac Edison
53917884,-77.2219668657,39.2716473041,station,None,,,
53725300,-77.4360578602,39.3624422465,station,None,,,
63604156,-77.44702539,39.4030473299,substation,None,,,
55881279,-77.4028400196,39.4195890205,station,None,,,
62142213,-76.5301258275,39.1774545212,substation,230000-115000,,,
62117950,-76.527499473,39.1767284258,sub_station,None,,,
62142182,-76.5306504019,39.1817801486,plant,None,,Herbert A. Wagner Generating Station,Raven Power
53786477,-76.6769032186,39.0459502455,substation,500000-230000-115000,,Waugh Chapel Substation,BGE
62142193,-76.5358481258,39.182173055,substation,230000,,,
58586656,-76.9589486454,38.7733273653,sub_station,None,,Palmers Corner Substation,PEPCO
62144750,-76.5372779112,39.1805133088,plant,None,,Brandon Shores Generating Station,Raven Power
57570857,-76.8738045357,39.2133104598,substation,None,,Wilde Lake Substation,BGE
40256446,-76.8274250466,39.1941146325,substation,None,,Columbia Substation,BGE
64718920,-76.820276946,38.9600619682,sub_station,None,,Buena Vista Substation,
62173560,-76.7692413961,39.0156003419,sub_station,None,,Jericho Park Substation,
62152912,-76.536555497,38.9929569758,substation,None,,,
62152915,-76.5324458865,38.989523896,substation,None,,,
53544634,-76.8726306412,39.1410371989,substation,None,,High Ridge Substation,BGE
40256737,-76.8394658812,39.3392022859,substation,230000-115000,,Granite Substation,BGE
53544637,-76.7818246058,39.2314212353,substation,None,,Howard Substation,BGE
68798018,-75.8217804276,38.4900978732,station,None,,,
53827917,-76.997541784,38.9696929863,substation,None,,Takoma Substation,PEPCO
67967182,-75.8431058503,39.6086930532,station,None,,Cecil Substation,
67967194,-76.0964500318,39.6815219563,substation,None,,Colora Substation,
53776208,-76.8405546792,39.4636218756,substation,230000-115000,,Northwest Substation,BGE
62152911,-76.5021485816,38.9794146572,substation,None,,,
69468764,-75.2435171041,38.5856124696,station,None,,,
68999642,-75.5016588978,38.2949438162,station,None,,,
53536104,-77.4527628724,39.2076903486,station,None,,,
63912121,-77.4548585965,39.2079970234,generator,None,,,Mirant Services LLC
53536105,-77.4626000145,39.2088824832,station,None,,,
66703341,-76.4849936848,38.2811662276,sub_station,None,,Hewitt Road Switching Station,
62344051,-76.8231971693,38.4372710687,station,None,,,
45855878,-77.2782093259,38.5517459476,station,None,,,
168817231,-77.1676936092,39.868759257,sub_station,None,,,
95953892,-76.2672119281,39.7528307655,sub_station,None,,Peach Bottom Substation,
96639070,-79.2713199334,39.2028688044,substation,None,,Mount Storm Substation,
66794233,-76.4442466073,38.4327619764,station,None,,,
96659602,-80.064660036,39.3509528209,station,None,,Pruntytown Substation,
