n_id,longitude,latitude,type,voltage,frequency,name,operator
175945732,-96.4351254191,48.2132156142,substation,None,,,
188704414,-96.1096575633,48.1203839944,substation,None,,,
307249172,-94.3488980171,44.8916718191,substation,115000,,,
256342219,-94.3563881554,44.8819104215,substation,115000,,,
179652718,-94.2807191355,45.0925811157,substation,115000,,Big Swan Substation,
241745392,-95.7195835095,43.7118555607,substation,None,,,
386813593,-95.9229637245,43.8815995018,substation,None,,,
148596767,-94.1499015978,45.5459429437,substation,115000,,St. Cloud Substation,
180734309,-94.1178304016,45.4713262094,substation,115000,,I-94 Substation,
387623442,-94.1565426315,45.4608185366,substation,115000,,,
429889395,-94.4234843501,45.4217186908,substation,115000,,,
358564259,-94.2743596413,45.5428232641,substation,None,,,
180464806,-94.1416452729,45.5758528179,substation,115000,,,
180464807,-94.0387813868,45.5691062232,substation,345000-230000-115000,,Benton Substation,
429689336,-94.1500225109,45.6177397678,substation,115000,,,
358412918,-93.8915858695,45.3780391052,plant,None,,Sherburne County (Sherco) Power Plant,
146214955,-92.294328137,46.7728329021,substation,345000-250000-230000-115000,,Arrowhead Substation,Allete
207790409,-92.1165897721,46.7722485074,substation,115000,,,
145027717,-92.293889063,46.6667650746,substation,115000,,Fond-Du-Lac Hydro Electric Station,
205636569,-92.1995517447,46.7511046385,substation,230000-115000,,Hilltop 230/115KV Substation,
205636559,-92.1537234431,46.7357615569,substation,115000,,M.L. Hibbard S.E. Station,
212394130,-92.44965137,46.7302078604,substation,115000,,Cloquet 115/14 KV Substation,
186370533,-92.1769439405,46.8121381494,substation,115000,,,
423205974,-92.2994459282,46.8463133241,substation,None,,,
182934663,-92.9732646634,47.4252504927,substation,None,,,
168726234,-92.6907500821,47.3641931202,substation,500000-230000-115000,60,Forbes Substation,
182954638,-92.973301251,47.379216945,substation,None,,,
184253420,-92.5648182499,47.5252169043,substation,None,,,
183100806,-92.5743330134,47.3541245904,substation,115000,60,,
186350861,-92.3342736297,46.9789335666,substation,None,,,
167628270,-92.0470750184,46.8576156349,substation,115000,,,
145206135,-92.2199084288,46.6656447657,substation,115000,,,
148408364,-96.0391082125,46.3158565407,substation,None,,,
391623143,-96.0445665976,46.2902564528,substation,None,,,
78290269,-93.4706593455,44.8642775839,sub_station,None,,Westgate,
55411748,-93.4352882568,44.8628547031,sub_station,None,,Eden Prairie,
162011225,-95.4056688826,45.8474332042,substation,None,,Alexandria Substation,
310314337,-95.4078974913,45.8527302207,substation,None,,,
162011226,-95.3672404068,45.8399846414,substation,None,,MRES Alexandria Substation,
312342859,-95.4922948772,45.8979338532,substation,None,,,
232584992,-95.6046441029,45.9616780394,substation,None,,Brandon MRES Substation,
310462769,-95.1499228072,45.8536365311,substation,None,,,
162011228,-95.3664520647,45.8758028982,substation,None,,,
