id,lon,lat,name,osm_id,voltage,type,line_string
1,-90.3228196256,32.3085341573,115kV transmission line,138595418,115000,line,0102000020E610000009000000394685BE9D9456C0C8C19962BD264040194B8F429D9456C031A91F3CFC264040285B08D39C9456C06A366ED23A2740406798FF619C9456C0AC981C2F7A2740405A2848FF9B9456C072C63061B12740409BB0E5AD9B9456C0DEF24CF2DE274040341F0E54B59456C03A886CA3E22740406B2510AADB9456C09A10A628E82740409D087C82EB9456C0F246286CE8274040
2,-90.3114331781,32.2760052467,230kV transmission line,138595426,230000;115000,line,0102000020E61000001F000000394685BE9D9456C0C8C19962BD2640405A9F7F6D949456C0B99B8F0E8C264040EC1F722D949456C065FA5E633F264040D9498DF4939456C019C00268FB254040725944B8939456C0DC6C37FBB225404002961894939456C06A90DF09882540408169BD48939456C0607C249C2D254040C1CF4B05939456C0E23F2269DC244040314149CE929456C01AB538A59A244040F5EEB98C929456C0E05DD9694C244040A95C9251929456C0FF6FEC9505244040101DBC24929456C041B2152AD0234040C8A82F9D7C9456C065C48B73AB234040EFFC0F68639456C03FB1457980234040BFB9722B4C9456C0BBF9AED9582340408AB370D5259456C017DE6D7B17234040B6960836139456C07D2880B9F722404009E25892FA9356C0DC440DB7CD224040164379F2E39356C0B500D321A722404087B0027DCE9356C0B35191898222404026AE42F9B19356C0F01412E951224040E40D3FFF969356C02E1AF8E723224040A49FAEE9799356C08D6A344FF221404015740BF05E9356C0CBA25C4EC4214040441EC20C419356C0258114569121404003577B60239356C0F5783FBB5E21404086DB1F93009356C03C4E34424021404081226420D69256C0C236E3161B214040F97CB6E1B69256C0A6E0DEBAFF204040E1C48B76859256C0B13C6B75D420404052C7C0D8669256C0E2456FA5B9204040
3,-90.2864663785,32.2554915532,115kV transmission line,138640117,115000,line,0102000020E61000000300000052C7C0D8669256C0E2456FA5B92040409A9F6C1F4F9256C02494F2D2A92040405C4B96D04A9256C09C9C6BE1C4204040
4,-90.3257146588,32.3123433385,115kV transmission line,138595437,115000,line,0102000020E610000003000000C1FDD08EC59456C005FCD9A0FD2740407DA9C687DB9456C03599949DF927404004F23C83EB9456C006094D07FA274040
5,-90.312676997,32.3177215305,115kV transmission line,138595432,115000,line,0102000020E61000001A0000000FEEB698EB9456C03A847F6AF3274040A6478082DB9456C0B7E762DEF2274040CC354D53B59456C03698CFB8F227404067947147949456C0C4840E97F227404019664FEF739456C04E8F3677F2274040C2C6CF8E589456C0FADFD35BF22740404803C3843C9456C08F26CE3FF2274040257C2970209456C019776B24F2274040C01E5FDA059456C09DD1AB09F2274040F99D3FECEB9356C01D368FEFF1274040A6F98BCBCD9356C04E5EA0D1F127404065F1F4D3CA9356C048E970B81E284040CE8ADBF4C79356C051EECB2B4A2840407BF07DA8C49356C090C898137C2840400E9F48C4C09356C0E443DFFBB6284040BE5619D3BD9356C08A29657BE32840407608107CBD9356C067F8F8661C2940400AAB112EBD9356C0829A985A4F2940402FB37EE9BC9356C0E7D109247C2940409106F3AABC9356C0FDAA49FDA429404064F4FB62BC9356C01FDA19DAD3294040CEF8431ABC9356C03891C075032A40401FC179C2BB9356C0548386CB3C2A404034673F92BB9356C049EF265B5C2A4040BBF23F78BB9356C0F345F5366D2A404044D70363B59356C086EA89FC672A4040
6,-90.3938460417,32.3121618553,115kV transmission line,165359722,115000,line,0102000020E6100000470000003D1EEE84739D56C0309D6834F52740401C51D0646F9D56C0A14FD50EF52740402AA60D7F699D56C0847BCF2CF7274040A460AB80449D56C0FF8DB983052840407D4526161F9D56C0042CE44C02284040BCF6867AFC9C56C038B72929FF274040B190852CDA9C56C07F67D73CFC274040591FEB95B49C56C08B1C11E1F827404087173585959C56C044FC98CEF827404025957BB8759C56C0A7050A4CF827404008A2E7D5559C56C08A6FE300F8274040A71F2E09369C56C09C03D8C8F7274040CC2FFD5D169C56C0F02AC158F727404028AAE059F69B56C01EE9D033F72740400D2B8AC4D69B56C03CB41220F7274040601D31F8B69B56C00B0517C3F6274040CE24A788949B56C0E8E39EB0F627404050D96A24729B56C02EE70F2EF6274040355A148F529B56C087088840F6274040CDEFDF27329B56C02EE70F2EF62740406DCD642D139B56C01622CECFF5274040240CF8E6F29A56C08844B75FF5274040D7368C25D39A56C091A99014F527404076B4D258B39A56C058DF4E28F5274040FCFC8EB8939A56C01D180DCAF4274040B8435883769A56C02064116DF4274040262B062F589A56C098D18D22F4274040ED426BD4369A56C0EB157E47F427404062B25548189A56C0E2E5D3B1F32740408B96A0BCF99956C0DF56DFE9F32740402FE8620FDB9956C03C084CC4F3274040F55F0687BA9956C026525067F3274040F0A1FC779A9956C0E5A9861BF327404016B2CBCC7A9956C0A36E39F7F22740408C01FBC9599956C0D8A2F798F2274040CCA692C43A9956C0ADCF12ACF2274040240D77451B9956C0423A8F61F227404031FCBA41FB9856C0E9F941CBF1274040E89A8CCDDB9856C0E9F941CBF127404056C2BDD4BB9856C0C1D6C9B8F1274040913F6447979856C0761CCE5BF12740405F9F8259779856C0D67AA710F12740409EE4DB81579856C0BBD880C5F02740408305471A379856C07D1C8568F0274040C44AA042179856C02F40FD7AF0274040D6AD218CF79756C02AA77930F02740402AA0C8BFD79756C0BCE97DD3EF274040F2F7B0C0B49756C04BF3C362EF2740409EC39F64959756C0ED1DE934EF274040A30898A6759756C0D705ADF2EE274040751EBE6E589756C04B5C72B7EE274040256E41E43D9756C04F5FA456EE27404078897F451E9756C0791C4342EE2740405D91B7A2FB9656C0A2DA7AFDED274040F68C89C7EE9656C08561D6F5ED27404060BB282EDC9656C004C0A5EBED2740405E48C53EBC9656C01E774E96ED27404094EA5AE89C9656C0BDF74C1DED2740408974F5A77C9656C02AB484D8EC2740403A76F2B85C9656C0CB2BF44EEC274040F67AF11A3D9656C00A47C960EC274040B02DC2211D9656C07209902CEC274040BF1E40BD079656C0A9330F7EEB274040947877FBF09556C066E80CF3FF2740404975404CCE9556C0041A3561FF274040D76C9602A49556C0F585FA25FF2740408ADE35D8829556C0A85300D0FE2740409E4A93D8609556C007A99F0FFC274040E068B6BC379556C09298EC89FD2740401A84D74F0E9556C0CF43EB10FD274040C446DDCEF79456C03E0FE593F3274040
7,-90.3242401899,32.3118714711,115kV transmission line,138595408,115000,line,0102000020E610000004000000DAD262F4949456C0B441EC9BE8274040C8383A06B49456C0FA3C2E6CE92740403784545EDB9456C089BCDA7CEE274040FD6900BBEB9456C0F6AC8ABCEE274040
8,-90.2926769679,32.2978020351,115 / 230 kV transmission line,138604483,230000;115000,line,0102000020E610000029000000BD56D70BAD9056C085A7B6425C244040483E5C21C89056C0E16C84E76D244040E2FC6B15DE9056C0406615347C2440407587A73BFF9056C0B4847CCC912440402DF6068C159156C06E548755A024404095796E2E389156C00C150AE5B624404036607C184D9156C0FE3A3D84C4244040F943C78B669156C005DB9717D5244040FC218C11899156C04B112A95EB2440405D94EE59A49156C0AEBCB40FFD2440403B287CBBC49156C0472D5ECD112540407467869FE29156C0C7C9A8F224254040D704C722029256C0FAC8D42239254040DC7BC59A239256C0701BC0924E2540406F2D51E1409256C04D50915461254040A2F482EF5C9256C0664B0F4D73254040DF63C6186E9256C07B1C5C4B7E254040576C97AC849256C0FBE9FEC08C254040ABA73DB29D9256C08B7DECC79C254040D2408F34B59256C0ABCBACD7AB254040F7F99B2DCF9256C0D2989F7ABC25404024426D2AE99256C00280751FCD2540404647B97A049356C0CEAF1E9EDE25404040AE583E199356C0405170EBEB25404093E2699A389356C08709C9010026404069A5688F569356C0471BFF216F2640403164D139649356C00B5D34D3A1264040AC4CF4C4719356C092CFFE0ED4264040BC19F0D87A9356C0206E33BBF5264040BD24062F839356C04F403DA61427404085FCA114939356C08B33B79D4F274040213BC52D9F9356C0CDE33D7C7C274040D34A8C51AF9356C02D1F045BB8274040732D0C21BC9356C0B55F7FDDE72740405A4B2AC6D99356C006019CF7E72740404AB101D8F89356C076AC5B12E827404017016925119456C09A10A628E8274040BCBBE5C02D9456C0669D7C41E8274040259810684A9456C05234F65AE8274040C849B14C699456C085DFB575E8274040DAD262F4949456C0B441EC9BE8274040
9,-90.2534490979,32.2924206691,115kV transmission line,138595421,115000,line,0102000020E6100000130000006B14BC1DE48F56C03C06E23EBC26404047DC2FF9E38F56C0F9133350A52640402D1D10A4F58F56C0282421E478264040F73743E2EE8F56C0FB2EB1D3382640402DF23ED7EA8F56C0D4E03A0B1226404048A281C5F18F56C0D9D05E0EF42540406CFC0200FF8F56C036FDD425BB254040F5FD7AD2099056C05CA8A3B88B254040CDACA196149056C05E1AE14464254040A70F7C95249056C067330BBB5025404044F2EEF6379056C033C288E53E254040FD7BC88F549056C0DD6E9BBA3B2540401C24C3C06D9056C0AD31C87D3F254040CF118860779056C0DDF6F2CF0A25404088F72B8D7F9056C056EE65B8DF244040030017FD889056C07D3E88B9B4244040D71A45FD909056C072C7EECC82244040862BBF34959056C054029A604F244040BD56D70BAD9056C085A7B6425C244040
10,-90.3242401899,32.3118714711,115kV transmission line,138595408,115000,line,0102000020E610000004000000DAD262F4949456C0B441EC9BE8274040C8383A06B49456C0FA3C2E6CE92740403784545EDB9456C089BCDA7CEE274040FD6900BBEB9456C0F6AC8ABCEE274040
