n_id,longitude,latitude,type,voltage,frequency,name,operator
104477440,-94.7946818564,39.8440487298,sub_station,None,,Saint Joseph Substation,
105851849,-94.3424045114,40.006473588,substation,None,,Fairport Substation,
165469709,-95.6453877882,40.3604893551,substation,None,,Cooper Substation,
74468933,-94.4802617032,39.1303816891,station,None,,,
62250593,-94.1645632616,39.1692995558,substation,None,,Sibley Substation,Kansas City Power & Light Greater Missouri Operations
169514880,-92.7628930579,37.5826110929,substation,None,,Huben Substation,Associated Electric Cooperative
50823589,-92.0301468848,37.951793684,substation,None,,Franks Substation,
168947491,-93.6206803485,37.4895884814,substation,None,,Morgan Substation,Associated Electric Cooperative
171051394,-90.6476696545,38.6067236983,substation,None,,,
98666633,-90.4738216182,38.6865323217,substation,None,,Mason Substation,Union Electric
422852281,-90.8357505008,38.5572657855,plant,None,,Labadie Power Plant,
173388118,-90.2656843208,38.1328276947,substation,None,,Rush Island Station,
173548418,-90.2576616921,38.1121434703,substation,None,,,
173547665,-90.4513569324,38.2137541633,substation,None,,,
173547666,-90.5089691408,38.4952473237,substation,None,,,
173337802,-90.4550296057,37.9469775364,substation,None,,,
176900411,-89.8518499132,38.2042350592,substation,None,,Baldwin Station,Ameren Illinois
164779015,-95.1170698303,37.3045160117,sub_station,None,,Neosho Substation,
28609239,-90.2938908932,38.9148094498,station,None,,,
165469706,-95.3945357389,40.5253626201,substation,None,,Atchison Substation,
176989433,-90.6807510887,38.8264995618,substation,None,,,
176915614,-90.09718779,38.8250350746,station,None,,,
170674903,-91.5513755483,39.8365168749,substation,None,,,
170618739,-91.4602500336,38.9215065,substation,None,,Montgomery Substation,Union Electric
171002581,-90.879952665,38.5003029133,substation,None,,Gray Summit Substation (345kV),
168949667,-93.3745808514,37.1711493789,station,None,,Brookline Substation,Associated Electric Cooperative
170636224,-91.4942319367,38.3856632352,substation,None,,Bland Substation,
170537578,-91.8828250535,38.4730634508,substation,None,,Loose Creek Substation,Union Electric
384676406,-91.7807074214,38.7626977177,plant,None,,Callaway Nuclear Generating Station,
169951189,-91.0879391906,37.4689042144,substation,None,,,
153441839,-92.0359043957,38.5500271411,substation,None,,Mariosa Delta Substation,Union Electric
62250933,-94.3005355031,38.7963968766,station,None,,Pleasant Hill Substation,Kansas City Power & Light Greater Missouri Operations
170618761,-91.9801892692,38.9798530183,substation,None,,,
177041271,-91.9494798708,38.9256442096,substation,None,,,
164215232,-92.5748338806,38.9244291242,substation,None,,Overton Substation (345kV),Union Electric
60692452,-92.6409550837,39.5447860584,substation,None,,Thomas Hill Station (345kV),
60038726,-91.7844829915,38.7587815908,substation,None,,Callaway Substation,
170684890,-89.8356816269,37.2582795559,substation,None,,Lutesville Substation,
164729296,-94.6534112141,38.7832820616,sub_station,345000-161000,,Stilwell Substation,Kansas City Power & Light
166559474,-94.494874237,38.7490155244,substation,None,,,
169951186,-91.08931685,37.4697509431,substation,None,,,
169951188,-90.5628952499,36.6628403019,substation,None,,,
401489189,-90.815081833,38.868971253,substation,None,,,Missouri Power & Light Company
