l_id,n_id_start,n_id_end,voltage,cables,type,frequency,name,operator,length_m,r_ohm_km,x_ohm_km,c_nf_km,i_th_max_km
1,102222592,102222589,230000,3,line,60,,,510.0,,,,
2,34110595,144660080,230000,3,line,60,,,73314.0,,,,
3,172763791,172763724,230000,3,line,60,,,21416.0,,,,
4,141269533,144660080,230000,3,line,60,,,6708.0,,,,
5,141269533,142493876,230000,3,line,60,,,75165.0,,,,
6,102219944,102222589,230000,3,line,60,,,27119.0,,,,
7,104026793,290035835,230000,3,line,60,,,33380.0,,,,
8,104026793,172879295,230000,3,line,60,,,2136.0,,,,
9,104026793,102222589,230000,3,line,60,,,74786.0,,,,
10,104026793,104027880,230000,3,line,60,,,4231.0,,,,
11,104026793,171731055,230000,3,line,60,West Hill - Stegall 230kV,,72841.0,,,,
12,104026793,104026804,230000,3,line,60,,,127.0,,,,
13,142493876,172763723,230000,3,line,60,,,73229.0,,,,
14,142493876,172750397,230000,3,line,60,,,39743.0,,,,
15,142493876,142493864,230000,3,line,60,,,401.0,,,,
16,164413898,164883152,230000,3,line,60,,,48389.0,,,,
17,164413898,164413938,230000,3,line,60,,,34181.0,,,,
18,172763723,172763724,230000,3,line,60,,,53870.0,,,,
19,172763724,164413938,230000,3,line,60,,,20598.0,,,,
20,164883152,102222589,230000,3,line,60,,,35122.0,,,,
21,103935591,102222589,230000,3,line,60,,,6758.0,,,,
22,144660080,144594678,230000-115000,3-6,line,60,,,7548.0,,,,
23,144660080,141272433,230000,3,line,60,,,7304.0,,,,
24,104477440,165469709,345000,3,line,60,Cooper - Saint Joseph 345kv,,27322.0,,,,
25,165469706,165469709,345000,3,line,60,Cooper - Atchison 345kv,,28404.0,,,,
26,165469709,165469710,345000,3,line,60,Cooper - Nebraska City 345kv,,41441.0,,,,
27,165469709,129697984,345000,3,line,60,,,76200.0,,,,
28,165469710,166149463,345000,3,line,60,,,61650.0,,,,
29,165469710,208499069,345000,3,line,,,,304.0,,,,
30,165469710,165482039,345000,3,line,60,,,1554.0,,,,
31,165469710,106016830,345000,3,line,60,345kV transmission line,,72360.0,,,,
32,165661220,129697984,345000-115000,3-6,line,60,-Moore - Pauline 345kv,,82076.0,,,,
33,165661220,166090484,345000-115000,3-6,line,60,,,78531.0,,,,
34,142493864,131421420,345000,3,line,60,,,59675.0,,,,
35,142493864,166084178,345000,3,line,60,,,26120.0,,,,
36,104582826,104574515,345000,,line,,345kV transmission line,,169.0,,,,
37,104574515,166149449,345000,3,line,60,,,10766.0,,,,
38,104574515,104567618,345000,3-6,line,,345kV transmission line,,57526.0,,,,
39,104574515,168230137,345000,3,line,,345kV transmission line,,22599.0,,,,
40,104574515,127051731,345000,3,line,60,-345kV transmission line,,54160.0,,,,
41,165482039,129697984,345000,3,line,60,,,24560.0,,,,
42,165482039,127051731,345000-115000,3-6,line,60,,,15280.0,,,,
43,166090484,166084178,345000-115000,3-6,line,60,,,73437.0,,,,
44,106016830,166149449,345000,3,line,60,,,9758.0,,,,
45,106016830,104567618,345000,3-6,line,60,-345kV transmission line,,17768.0,,,,
46,129697984,131421420,345000,3,line,60,,,73186.0,,,,
47,129697984,130068464,345000-115000,3-6,line,60,,,31986.0,,,,
48,144594678,139623396,345000-115000,3-6,line,60,,,64845.0,,,,
49,144594678,130068464,345000-115000,3-6,line,60,,,122247.0,,,,
50,144594678,141272433,345000,3-6,line,60,,,18743.0,,,,
51,166149449,166149463,345000,3,line,60,,,32251.0,,,,
52,164413898,166084178,345000,3,line,60,,,7832.0,,,,
53,164413898,164883150,345000-115000,3-6,line,60,,,48018.0,,,,
54,164413898,164413900,345000,3-6,line,60,,,122007.0,,,,
55,164883150,103935591,345000,3,line,60,,,54063.0,,,,
56,127051731,130068464,345000-115000,3-6,line,60,,,41010.0,,,,
57,139623396,27052403,345000,3,line,60,Hoskins - Raun 345kV,Nebraska Public Power District,30681.0,,,,
58,103935591,104027880,345000,3,line,,,,74794.0,,,,
59,27052403,104634067,345000,3,line,,345kV transmission line,,28845.0,,,,
