l_id,n_id_start,n_id_end,voltage,cables,type,frequency,name,operator,length_m,r_ohm_km,x_ohm_km,c_nf_km,i_th_max_km
1,141078306,101817259,345000,3,line,60,Fitzwilliam - Amherst 345kV transmission line,,51350.0,,,,
2,141078306,138912070,345000,,line,,Vernon VT - Fitzwilliam 345kV transmission line,,32907.0,,,,
3,138912070,135200088,345000,,line,,Northfield Mountain - Vernon VT 345kV transmission line,,32309.0,,,,
4,81529768,39197836,345000,,line,,Scobie Pond - Deerfield 345kV transmission line,,29889.0,,,,
5,101817259,39197836,345000,3,line,60,Amherst - Scobie Pond 345kV transmission line,,25888.0,,,,
6,39197836,81823632,345000,,line,,Seabrook - Scobie Pond 345kV transmission line,,47851.0,,,,
7,368310186,81823632,345000,3,line,60,Seabrook - Timber Swamp 345kV transmission line,,6888.0,,,,
8,368310186,84790909,345000,3,line,60,Timber Swamp - Newington 345kV transmission line,,20652.0,,,,
9,81823632,162312930,345000,,line,,Seabrook - West Amesbury - Ward Hill 345kV transmission line,,17160.0,,,,
10,81823632,399003558,345000,3,cable,60,,,273.0,,,,
11,84790909,84790911,345000,3,line,60,,,109.0,,,,
