id,n1_id,n2_id,length,voltage
1,1,2,34387.1045304,115000
2,1,3,38631.6458691,115000
3,4,5,13986.8506931,115000
4,6,7,35950.3152657,115000
5,8,9,3895.29386108,115000
6,10,11,9719.67022392,115000
7,11,12,26537.1484035,115000
8,11,13,6149.64487073,115000
9,11,14,15616.9287041,115000
10,2,15,6461.75418968,115000
11,16,17,16879.5863023,115000
12,16,3,25136.9308453,115000
13,12,18,330.116305781,115000
14,5,19,29878.4560892,115000
15,5,7,18636.6461792,115000
16,20,19,55.1396880251,115000
17,21,18,1264.38242277,115000
18,21,22,55665.7936444,115000
19,23,24,12426.4550686,115000
20,18,25,16199.4744961,115000
21,18,26,6990.80150975,115000
22,19,22,11349.0081622,115000
23,17,7,1335.50973147,115000
24,3,27,174.459198642,115000
25,28,22,5867.73408856,115000
26,29,30,75487.1811483,230000
27,31,32,23546.7733235,230000
28,33,34,63102.2147701,230000
29,33,35,18043.02454,230000
30,33,36,19410.0675285,230000
31,33,37,15524.098043,230000
32,38,39,80835.0712252,230000
33,40,41,10326.1877662,230000
34,40,42,39124.2758787,230000
35,40,23,84219.8729616,230000
36,43,44,79563.2980075,230000
37,37,45,74916.0402642,230000
38,39,46,671.676273964,230000
39,39,47,22301.5882633,230000
40,41,30,4823.23638058,230000
41,41,32,62796.4911869,230000
42,48,47,34415.142235,230000
43,23,45,82991.8021846,230000
44,18,7,28959.6539164,230000
45,49,30,1405.36502281,230000
46,47,50,3781.71419609,230000
47,7,3,23387.2180406,230000
48,50,51,8109.24207556,230000
49,50,52,4670.62773402,230000
50,53,51,382.645791784,230000
51,3,27,176.181667461,230000
52,45,54,4560.7338844,230000
53,55,56,140685.848736,345000
54,55,57,129106.935601,345000
55,58,59,84044.5480078,345000
56,58,60,127474.812793,345000
57,58,61,92588.3393038,345000
58,58,62,82618.1654319,345000
59,63,64,80190.7480433,345000
60,63,65,16785.2474927,345000
61,63,66,80695.4413656,345000
62,63,67,1501.60703465,345000
63,63,18,18893.9465233,345000
64,59,61,81110.491763,345000
65,68,69,6592.94765005,345000
66,40,34,82827.0339857,345000
67,67,70,70764.5103505,345000
68,43,71,3286.45740708,345000
69,43,65,13138.1285889,345000
70,8,18,38555.2734941,345000
71,72,18,8601.24517332,345000
72,18,73,75121.3670619,345000
73,73,74,48556.8917525,345000
74,69,74,37574.8600485,345000
75,61,74,54223.7358816,345000
