n_id,longitude,latitude,type,voltage,frequency,name,operator,not_accurate
142437894,-73.8249225339,42.7312322857,substation,115000,60,Sand Creek Substation,,
141691304,-73.8026588454,42.7194502111,substation,115000,60,Wolf Road Substation,,
139587105,-73.9974872674,42.8288448074,substation,115000,,Rotterdam Substation,Niagara Mohawk,Yes
382635285,-73.9325957858,42.7614486735,substation,115000,60,Curry Road Substation,,
127251975,-73.7576439924,42.6434044381,substation,0,,,,
358724049,-73.7653012289,42.6271824972,substation,115000,60,,,
141717004,-73.8286816301,42.835090665,substation,115000,60,Grooms Road Substation,,
139791029,-73.7433093953,42.7647225815,substation,115000,60,Johnson Road Substation,,
86472973,-73.7678759334,42.7636604974,substation,115000,60,,,
140102686,-73.6748773872,42.8149938088,substation,115000,60,,,
140090481,-73.7515873578,42.8231701422,substation,115000,60,,,
144051878,-73.9013271077,42.831403543,substation,115000,60,Rosa Road Substation,,
107378786,-73.9413830589,42.8213352468,substation,115000,60,Front Street Substation,National Grid,
382635282,-73.9957314033,42.7099004369,substation,115000,60,Altamont Substation,,
374864619,-73.9356919472,42.6479332634,substation,115000,60,Voorheesville Substation,,
140111530,-73.904272079,42.6091284475,substation,345000,,New Scotland Substation,,
189151692,-73.9654190197,42.8077972739,substation,115000,60,General Electric Substation,,
125083175,-74.1752017962,42.9375000286,substation,115000,60,Church Street Substation,,
188996039,-74.1449882468,42.9172718701,substation,115000,60,,,
139286063,-73.4462010043,42.841417387,substation,115000,60,Boyntonville Substation,,
139286065,-73.637182166,42.7870115659,substation,115000,60,North Troy Substation,,
139286064,-73.3574131985,42.9121005835,substation,115000,,Hoosick Substation,,
139271279,-73.1721768841,42.8820564631,substation,69000,60,Bennington Substation,,Yes
176702521,-73.8328003298,41.7409795306,substation,115000,60,,,
86251100,-73.8342742176,41.7396280591,substation,345000,,Pleasant Valley Substation,ConEd,
310702004,-73.7426412323,42.1932714743,substation,115000,60,Churchtown Substation,NYSEG,
252709854,-73.714542113,42.5489431416,substation,115000,60,Schodack Substation,,
140369125,-73.7148381713,42.6057963826,substation,115000,60,Greenbush Substation,,
141049525,-73.4121753874,43.4607651799,substation,34500,60,Comstock Substation,NYSEG,Yes
141049532,-73.605866841,43.2901164608,substation,115000,,Mohican Substation,,
306310213,-73.8256219398,42.6611506095,substation,115000,60,Krumkill Substation,,
86356092,-73.842913729,42.6839786295,substation,115000,60,McKownville Substation,National Grid,
86299729,-73.8417728166,41.5972102826,substation,115000,60,Fishkill Plains Substation,NYSEG,
308332182,-73.7219875594,41.5949743042,substation,115000,60,Sylvan Lake Substation,NYSEG,
86220650,-73.8348673419,41.5681058024,substation,345000,60,East Fishkill Substation,,
86220645,-73.937867486,41.5643517837,substation,115000,60,,NYSEG,
137725010,-73.7479841789,42.964088583,substation,115000,60,,National Grid,
162320042,-73.7570675553,42.9732929882,substation,115000,60,,,
138286433,-73.6830233551,42.9239099991,substation,34500,60,Mulberry Substation,NYSEG,Yes
139210346,-76.5186548153,43.439590382,substation,0,,,,
419984184,-76.5313335257,43.4570241999,substation,0,,,,
383498363,-73.701818389,41.3979877754,substation,115000,60,Carmel Substation,NYSEG,
383498368,-73.6689804872,41.3543453642,substation,115000,60,Croton Falls Substation,NYSEG,
382687510,-73.8356622142,42.6921364815,substation,115000,60,,,
60816523,-73.6870355045,41.2765676102,substation,115000,60,Katonah Substation,NYSEG,
314056862,-73.7717331355,41.2853827376,substation,115000,60,Armawalk Substation,NYSEG,
150215827,-76.5906100229,42.9262122426,substation,34500,60,Wright Avenue Substation,NYSEG,Yes
109485721,-76.5777109058,42.9519706509,substation,34500,60,State Street Substation,NYSEG,Yes
382666388,-73.6538348372,42.1852335438,substation,115000,60,,,
382666391,-73.6531879677,42.1828352513,substation,115000,60,,,
86249379,-73.7942522598,41.3700683183,substation,0,,,,
140649634,-73.8615663155,42.5751366796,substation,115000,60,,,
322536214,-73.8591912239,42.5752456862,substation,0,,,,
140369137,-73.87850209,42.8346335532,substation,115000,60,General Electric Research & Development Substation,,
140369134,-73.865145117,42.7893521803,substation,115000,60,Inman Road Substation,National Grid,
168747175,-75.2246449158,43.1530532079,sub_station,0,,Porter Substation,Niagra Mohawk,
107706686,-75.2272075696,43.1573988936,substation,345000,,Edic Substation,Niagra Mohawk,
189470672,-75.2588346563,43.2107238738,sub_station,0,,,,
189470427,-75.2709293971,43.1412948879,sub_station,0,,,,
162320041,-73.7564382109,42.9725699947,substation,0,,,,
139791683,-73.7084533347,42.745419132,substation,115000,60,Maplewood Substation,,
142738636,-73.7691481925,42.695258284,substation,115000,60,Everett Substation,,
175668432,-76.110862202,42.7905755205,substation,0,,,,
189677941,-76.1621662817,42.5913640847,substation,0,,,,
81411053,-73.6874893918,42.6727313725,substation,115000,60,Reynolds Substation,National Grid,Yes
105014766,-73.7310683818,42.6853456339,substation,34500,60,Menands Substation,National Grid,Yes
86301905,-76.4058129998,42.4722133562,sub_station,0,,Etna Substation,,
389629671,-76.6335591524,42.6031667364,plant,0,,Cayuga Power Plant,AES,
79211814,-74.1968684167,41.467734877,substation,345000,,Rock Tavern Substation (345kV),Central Hudson Gas & Electric,
79211815,-74.1945048711,41.4674203387,substation,115000,,Rock Tavern Substation (115kV),Central Hudson Gas & Electric,
112381234,-78.7682400043,42.8518333394,sub_station,0,,Gardenville Substation,New York State Electric & Gas,
92967236,-78.5810487149,42.8326653129,substation,0,,Stolle Road Substation,,
107706683,-76.1713077738,43.1980012339,substation,0,,Clay Substation,Niagra Mohawk,
156364735,-76.0433815563,43.0478726974,substation,0,,,,
139211589,-73.6288251992,42.6866466639,substation,34500,60,Wynantskill Substation,NYSEG,Yes
167882582,-79.197450917,43.1425450411,sub_station,0,,Glendale TS,,
164091213,-79.0455397497,43.1488175503,generator,0,,Sir Adam Beck GS 1,,
140644695,-73.2331093552,43.5761683813,substation,0,,Blissville Substation,,
140644696,-73.38021938,43.5502744773,substation,115000,,Whitehall Substation,,
167882585,-79.0859439768,43.1216749297,sub_station,0,,Stanley TS,Hydro One,
382751897,-73.9545993369,43.0373881356,substation,115000,60,West Milton Substation,,
142855863,-73.7536783845,43.2347615783,plant,0,,Spier Falls Hydropower Plant,Brookfield Power Co.,
176696225,-73.9864138072,41.5915029217,substation,115000,,,,
176696227,-73.9654053608,41.5732704941,substation,115000,,,,
383110528,-73.8621962756,40.7402107553,substation,27000,60,Corona Substation,Consolidated Edison,Yes
187984305,-73.813907447,40.6991852404,substation,27000,60,Jamaica Substation,Consolidated Edison,Yes
83181826,-73.0382999961,40.9238179884,substation,0,,Mount Sinai Substation,,
83173917,-73.0726563802,40.8206475689,substation,0,,Holbrook Substation,Long Island Power Authority,
83179368,-72.9332485971,40.949640798,substation,0,,North Shore Beach Substation,PSEG Long Island,
83376772,-73.1085361043,40.8167224067,substation,0,,Ronkonkoma Substation,,
383102725,-73.8637421137,40.8425216372,substation,138000,60,Tremont Substation,Consolidated Edison,Yes
276057439,-73.8933140648,40.849448543,substation,13200,60,East 179th Street Substation,Consolidated Edison,Yes
83345297,-73.2874388212,40.8292912179,substation,69000,,Pilgrim Substation,Long Island Power Authority,Yes
83202875,-73.4185700148,40.7624399057,substation,69000,,Ruland Road Substation,Long Island Power Authority,Yes
49392092,-73.3415394147,40.9215542555,plant,0,,Northport Power Station,National Grid USA,
383102723,-74.0026788035,40.6620646499,substation,138000,60,Gowanus Substation,Consolidated Edison,Yes
374846762,-73.9937814101,40.6592911334,substation,27000,60,Greenwood Substation,Consolidated Edison,Yes
83277332,-73.6113373628,40.7302383517,substation,0,,East Garden City Substation,Long Island Power Authority,
83257244,-73.6228970675,40.7468214672,substation,138000,,Carle Place Substation,,
262771815,-73.6426191024,40.7762720059,substation,0,,,,
83477308,-73.0655429075,40.8169219479,substation,0,,Holtsville MGU,,
383110533,-73.9099520342,40.7991168412,substation,13200,60,Hell Gate Substation,Consolidated Edison,Yes
108318934,-73.9092012223,40.7877349976,substation,138000,60,,,
175926049,-73.9933736074,41.2031895877,sub_station,0,,,,
