id,n1_id,n2_id,length,voltage
1,1,2,26536.0889048,115000
2,3,2,40471.6053013,115000
3,4,5,76688.4885878,115000
4,6,7,59200.070568,115000
5,6,8,40996.62021,115000
6,9,10,11694.3801468,115000
7,11,5,10552.0805857,115000
8,12,13,40328.4024235,115000
9,14,15,37989.565743,115000
10,14,16,9469.78872102,115000
11,10,17,53822.1470624,115000
12,18,19,49500.3267361,115000
13,18,20,21644.0565388,115000
14,8,21,56694.3651701,115000
15,22,7,144.921589728,115000
16,23,24,42321.6021092,115000
17,23,25,63631.4275993,115000
18,25,26,20987.4703412,115000
19,26,21,67917.6806063,115000
20,27,28,4193.36062504,115000
21,29,30,4546.29686722,230000
22,29,31,20547.3827704,230000
23,29,32,100166.093456,230000
24,33,34,25425.4391855,230000
25,35,36,68533.3346966,230000
26,35,37,6824.37591998,230000
27,35,38,10587.6380452,230000
28,35,39,16783.0308193,230000
29,40,41,50413.9563545,230000
30,40,42,28372.1716878,230000
31,40,43,59052.0160602,230000
32,44,45,59743.0225888,230000
33,44,42,58727.748573,230000
34,46,47,4821.2238048,230000
35,48,49,19399.4925997,230000
36,50,34,161.878284752,230000
37,51,21,19699.3494967,230000
38,52,53,16027.0210925,230000
39,54,55,20957.6225593,230000
40,56,47,305.334129122,230000
41,11,41,24478.6438504,230000
42,11,57,68464.62899,230000
43,58,47,581.794821074,230000
44,47,31,26220.6393804,230000
45,47,59,161.133312121,230000
46,34,60,66545.5417547,230000
47,34,10,66798.5276897,230000
48,61,62,53833.3860615,230000
49,63,64,166.443304842,230000
50,49,64,14869.4454403,230000
51,49,38,30015.0508759,230000
52,65,22,37360.952379,230000
53,65,66,38687.5701985,230000
54,10,67,41616.4033031,230000
55,68,32,66930.530597,230000
56,68,69,36173.0231084,230000
57,68,70,43724.1270582,230000
58,68,53,28748.2540528,230000
59,71,37,17007.3850339,230000
60,72,21,42708.2751027,230000
61,72,73,10667.6589571,230000
62,74,57,34285.105098,230000
63,75,67,1455.72318178,230000
64,37,21,64938.7923456,230000
65,31,67,1645.34982307,230000
66,22,62,58676.8490946,230000
67,76,73,369.893117848,230000
68,70,73,63016.7628517,230000
69,77,67,156.907276675,230000
70,57,78,68557.4590083,230000
71,57,21,68474.3070926,230000
72,39,79,68795.5396295,230000
73,79,62,41082.8622509,230000
74,66,55,34381.098288,230000
75,80,81,67903.0607702,345000
76,80,41,65556.9158325,345000
77,58,4,55453.5351912,345000
78,58,38,71698.9666371,345000
79,81,77,49677.9035699,345000
