id,lon,lat,name,osm_id,voltage,type,poly
1,-95.1817970689,36.2280400324,None,168903232,None,sub_station,0103000020E610000001000000120000008BFC9569B0CB57C01989908A2C1D4240FC36EC8DAFCB57C0AC9EAB5E431D42401808C45099CB57C0E9F08233431D4240B95DED7396CB57C0AABC4F45411D4240B3CE287096CB57C0D5284D453A1D42405114EEA095CB57C04ADD5CF6381D4240211007D095CB57C0555B9D55341D42404E823CEA96CB57C039E27A16331D42400DF3160097CB57C06DD4B0C61E1D42408600439E9CCB57C04A7DDDA51E1D4240A69BFA479CCB57C0C6DF2223171D4240548CAC9AA4CB57C04B7D836E171D4240548CAC9AA4CB57C013CCCB7E201D424041BA557CACCB57C025A0F4A9201D4240E6EE1D83ACCB57C044A3CEAB271D4240B3DDBF72ADCB57C0CDBDBFB6271D424067742F65ADCB57C002FB3E342C1D42408BFC9569B0CB57C01989908A2C1D4240
2,-95.1052900337,36.2649778343,None,168910676,None,sub_station,0103000020E61000000100000006000000CF2E0E94C4C657C098FAE352EB21424065C3FFCEC3C657C03950B595F12142406EF4D97BC0C657C05E952C5BF2214240E714719BB5C657C0ECB6016CEA214240F0AE5863B7C657C0D088C8D8E1214240CF2E0E94C4C657C098FAE352EB214240
3,-95.2790943473,36.2133255042,None,168486273,None,sub_station,0103000020E61000000100000005000000107114D4E0D157C0B9646E85451B424066CF96BBE0D157C064E98F18571B424072E991A8D8D157C04FB82F0B571B424093ADE07FD8D157C0B9646E85451B4240107114D4E0D157C0B9646E85451B4240
4,-95.2777430419,36.2131635594,None,168486278,None,sub_station,0103000020E61000000100000005000000B1D4674AD1D157C06E0F0D305D1B4240FBEEDDF9BBD157C063BA60675D1B42409ED8FFE0BBD157C0063E0167341B4240CB09F21DD1D157C05B8DE8BA341B4240B1D4674AD1D157C06E0F0D305D1B4240
5,-95.2901663027,36.1905586156,Grand River Energy Center,168486116,None,plant,0103000020E6100000010000000C000000E483D4705AD357C0F5A59C2F601742409504FEDA56D357C058041B4EC2194240A0BA3F2E96D257C0AE31F69EBD194240F152566D95D257C0F57D2D7E571A4240EB59BD4300D257C05235CB6D541A4240FCA4780102D257C050974BDB29194240E1A52823DFD157C0902AC9A5F11842405187C8B0DDD157C0DA60E144DD1742407C9EF3B8E0D157C02E5E0A4FAF1642408E86BD8B05D357C09E739F12B4164240795722BC04D357C0A03DBA285D174240E483D4705AD357C0F5A59C2F60174240
6,-95.753742738,36.1716570857,Catoosa Substation,167487242,138000;69000,sub_station,0103000020E6100000010000000F0000008E257EE450F057C05624FAC11316424087E4592149F057C0E3C217D9131642402E3B311A49F057C087FD9B1413164240B9FDFFEE35F057C02220595913164240B9FDFFEE35F057C04196CA350A16424024A0C2C630F057C04196CA350A164240CBF699BF30F057C0957D12F7F015424059F1A3322EF057C0859C0502F1154240F44B01162EF057C01566AEB7D715424051861B523FF057C015851FACD715424010F7F5673FF057C0FAED7C15EB154240BD8EF12347F057C0B012EE09EB154240434A117347F057C091BCE18AFD154240854B13C150F057C04F2CB77EFD1542408E257EE450F057C05624FAC113164240
7,-94.426378583,35.3741456458,None,370582560,None,sub_station,0103000020E61000000100000007000000BBEF59B74D9B57C023ADA1AADFAF41401F6C65A64D9B57C0F1905BA0E8AF414071D469EA459B57C0033A4672E8AF414071D469EA459B57C0DBCD2B2CE5AF414071D469EA459B57C0AE69C672E2AF414071D469EA459B57C09BEA764EDFAF4140BBEF59B74D9B57C023ADA1AADFAF4140
8,-94.4334962996,35.3224744052,State Line Substation,165633355,None,station,0103000020E61000000100000007000000C9BF9CD9C19B57C06C24D1443FA941405A1E80A7C19B57C04ABBBA864CA94140DED511DCB99B57C0C0BA07384CA941408F0654F8B99B57C0DCC0C5E444A9414016949BEBBD9B57C090145A0D45A941403DEE3602BE9B57C088FD141E3FA94140C9BF9CD9C19B57C06C24D1443FA94140
9,-94.4265629224,35.3913564887,Third Street Substation,165633360,None,station,0103000020E610000001000000070000007617C84C589B57C017FE640E16B2414014C9A1274E9B57C0745F3AC02AB24140772A403C419B57C07A1907FC19B241400924979B4A9B57C0EDEACC2307B2414056380C9B4B9B57C02FD83A2205B2414082A3AC0B539B57C0CC8260030FB241407617C84C589B57C017FE640E16B24140
10,-94.419243276,35.3232069789,Cavanaugh Substation,165633363,None,station,0103000020E61000000100000005000000CA5FC42CDB9A57C0FDA0A74A56A941405CB71FBFDA9A57C0B7F7EE2D68A94140A63CEA96CE9A57C07565BA6667A9414060702E04CF9A57C097B6728355A94140CA5FC42CDB9A57C0FDA0A74A56A94140
11,-95.289669318,36.1933737911,None,168486303,None,sub_station,0103000020E61000000100000007000000A4D70DF299D257C065C3FD4CAF184240CA0812DB99D257C0D2820D06B61842405F5B39AD96D257C04B3F33F3B518424072DFEF8A96D257C0CA146B01D3184240ECEDF5867CD257C00B16FBA4D2184240C8E588CB7CD257C0385FEB49AE184240A4D70DF299D257C065C3FD4CAF184240
12,-97.1843945798,35.5128351251,None,162596098,None,sub_station,0103000020E61000000100000013000000ED58848FD74B58C00EB15015B3C14140E6A32FEDC84B58C0FEB74EB9B2C14140D2F6E1E1C84B58C053367A96B7C14140E8A349C9BB4B58C06A5478DFB7C14140D6F6FBBDBB4B58C0E9757BCAB2C14140C284E371C44B58C00968E025B3C14140AFD79566C44B58C045C1315195C141400264D6CDCD4B58C084EF673F95C141405577B295CD4B58C057BDD0AA8FC14140FA6BF740CF4B58C0D2DA9C1890C14140E8E74063CF4B58C0A9099A848DC1414040C188D3CF4B58C027430A748DC1414040C188D3CF4B58C015746E5090C14140BD5256B1D34B58C08E2A3C7590C14140F7593FD3D34B58C00624CFF38FC14140BB497AFAD54B58C014E906998FC14140BB497AFAD54B58C07B5932F695C14140C7FEE878D74B58C0ED676CF795C14140ED58848FD74B58C00EB15015B3C14140
13,-97.349784779,35.4489965825,None,174693653,None,substation,0103000020E61000000100000008000000B425B73C6A5658C0EF11AC1A88B941401CA42315615658C048F1552688B941409334508B5B5658C068E8502E88B94140401AEC875B5658C088D703A579B94140A274E8845B5658C03BF939B06DB941403A8B27845B5658C0E8D98A6369B941409BE9A42D6A5658C063FFF92F69B94140B425B73C6A5658C0EF11AC1A88B94140
14,-97.3219100344,35.5068324447,None,174704417,None,sub_station,0103000020E61000000100000007000000AD6BD3DAA05458C0A6466838D5C04140861138C4A05458C0D7A0C254EAC0414064B7B689935458C00D03BE8AEAC0414064B7B689935458C0BAE33A70D5C04140B20DF6F1965458C0965F4168D5C04140855D84899B5458C09FA8365DD5C04140AD6BD3DAA05458C0A6466838D5C04140
15,-97.2507638657,35.6133454779,None,166899023,None,sub_station,0103000020E6100000010000000500000097777D31165058C061FAC5D78CCE4140BE94A9E9025058C0B411A8028DCE41406D9C54D8025058C03A76E94977CE41406EFBD228165058C03A76E94977CE414097777D31165058C061FAC5D78CCE4140
