id,lon,lat,name,osm_id,voltage,type,poly
1,-71.4794223438,41.6832778499,Kent County Substation,140052625,345000;115000,substation,0103000020E6100000010000000A0000002C0F3136C2DE51C05F27C2168BD744405D21425AB5DE51C038FC6B648BD74440EEA8BC55B5DE51C0E2BC562A92D74440E23A596EB2DE51C0FCE0551F96D744408D914A43A5DE51C09B6CC20396D744401BD5A65AA5DE51C08D9187418BD744409B668E149CDE51C023DD43248BD74440325436E69BDE51C0AE3E1A145BD7444082662BE2C1DE51C09A089C215BD744402C0F3136C2DE51C05F27C2168BD74440
2,-71.4728754435,41.6966147658,Drumrock Substation,140062772,115000,substation,0103000020E6100000010000000900000063CB264B4FDE51C0B2D3F2AC33D94440C3943E8137DE51C04C4314C033D94440D8639B7E37DE51C0AD1C10E92CD944404A593A8735DE51C0783DC0EA2CD94440ACB3368435DE51C0B52C33E224D94440C3CF734040DE51C0A286C2D924D944404088913E40DE51C036A35A6620D944400A22FE434FDE51C00FB9895A20D9444063CB264B4FDE51C0B2D3F2AC33D94440
3,-71.1799150143,41.6683410126,Canonicus Switchyard,146666772,115000,substation,0103000020E61000000100000009000000F5918B8788CB51C011CC2E8A8ED54440BC23DC5787CB51C0BB2DF6AD95D5444017EDCC4383CB51C07AA83D2B94D544400A6F056A82CB51C0A510C44E99D5444081EFCDED7ECB51C01F40560498D54440ED77AA7683CB51C0A51C5EB47CD54440647AB35087CB51C05D8E23217ED54440A4C70ED284CB51C025A0EC2A8DD54440F5918B8788CB51C011CC2E8A8ED54440
4,-71.2553318969,41.6017957372,Dexter Substation,147559579,None,sub_station,0103000020E61000000100000007000000C5461C0A60D051C0D7E86467F8CC44400B41B0F85BD051C0ECBFEBC207CD44404D298C795CD051C01E0A1C6717CD4440C8ADFCF353D051C0217909441BCD4440D1AEB73750D051C0FF0BD46F0FCD4440A223427453D051C07A521DDDF5CC4440C5461C0A60D051C0D7E86467F8CC4440
5,-71.5224875033,41.9796361826,Woonsocket Substation,19352602,115000,substation,0103000020E6100000010000001F00000094E4AE9F89E151C00C1D43E158FD44407417917F85E151C0F945DACE68FD4440FC1241987DE151C072EF275464FD44409D58133776E151C0B05F636D6AFD4440ECD5A2BF75E151C04923D57A6AFD4440104EB23F74E151C0850E68A56AFD4440C240C57B73E151C071C1E49B6DFD4440DC4CB82173E151C0903CC4F76EFD44402918DB7C71E151C09294DE476EFD444076DC759C6FE151C01B0063FD75FD4440DA38C6146DE151C019C1E98D76FD4440A8171EEE62E151C0EC7883BD70FD44404F153F5062E151C0ABB4FE2C73FD4440223C432860E151C0EA3AA7B07BFD4440D1EF851C55E151C090C3440A75FD44406B0184ED58E151C085DC28BF66FD4440D560BCDA63E151C098F6A4046DFD44404352B3EC66E151C0714CDD6860FD444073FF2A346AE151C01058FD5B62FD4440932A40196BE151C069ABF39C5EFD44401EEAFAF06CE151C0573330835FFD444028D610146FE151C0F66073D057FD4440C9AD87FB6CE151C0E827618556FD444088D7567A6EE151C0145E76FF50FD44406B7059C270E151C0DDF1B57A52FD44405C507C3F73E151C00DE8F0C24DFD4440B2774A1479E151C054EDC6EF50FD444080017A7176E151C098B26AAF5AFD444060B69CA779E151C0A226E5895CFD4440AB9116877CE151C06986164B51FD444094E4AE9F89E151C00C1D43E158FD4440
6,-71.5193220892,41.8277341365,Hartford Avenue Substation,140062775,None,substation,0103000020E6100000010000000700000090BC1D5847E151C0BBAE15D6FAE9444022B988B43BE151C0006697A501EA4440CAD8B8083BE151C0DBE15E0107EA444030E0ED7239E151C0EFEC40D207EA44401ED36E0332E151C002078065EAE94440743CFAD240E151C0F2280EDCE1E9444090BC1D5847E151C0BBAE15D6FAE94440
7,-71.4403705117,41.7542320119,Sockanosset Substation,140099249,115000,substation,0103000020E61000000100000008000000042B0BC435DC51C0C299F2478DE04440D4DB8A412FDC51C02907BDED95E0444084331D7E2BDC51C056522B178FE044407F0D73032ADC51C016FE34688CE044402996BDE027DC51C01E7B4D8688E04440C349C4EC2EDC51C06923E7AD7FE044404134486133DC51C012CDE60F87E04440042B0BC435DC51C0C299F2478DE04440
8,-71.5169194739,41.8025659067,None,160152916,115000,substation,0103000020E61000000100000006000000750B6EBA1CE151C0BD77959EC1E644404595AA8513E151C01DB43786C7E64440F78576B40EE151C0A25E0FAEB8E6444045C382E10FE151C0EB2D0B80B1E6444094BBCA8416E151C0477BC2B5ACE64440750B6EBA1CE151C0BD77959EC1E64440
9,-71.4748246093,41.8143995106,Johnston Substation,141040335,115000,substation,0103000020E61000000100000008000000094ABB136FDE51C0B7E4C47F41E844400836D67462DE51C08ADDE35F4DE844409BCB6D555CDE51C00D9CB12F4EE84440BB7689F159DE51C08A32AB8F48E844406E24D8A35EDE51C0AA1CC20F44E84440D8C69A7B59DE51C0657295CF37E844400C2385CF65DE51C048C72B1F2CE84440094ABB136FDE51C0B7E4C47F41E84440
10,-71.405646796,41.8163344825,Franklin Square Substation,140100436,115000,substation,0103000020E6100000010000000800000021C04559FED951C0179648A681E8444092B8DE82F4D951C01552AB3A89E8444025B9D7F9F0D951C04997762E7FE84440E0C5D8B4EED951C0AC2D40F480E84440529968CBECD951C059D8AE857BE84440FD1724DEF8D951C01900E81372E844403CEE47F1FDD951C00B5FDF7E80E8444021C04559FED951C0179648A681E84440
