l_id,n_id_start,n_id_end,voltage,cables,type,frequency,name,operator,length_m,r_ohm_km,x_ohm_km,c_nf_km,i_th_max_km
1,425756331,425756329,138000,3-6,line,60,,,12855.0,,,,
2,425756331,425756328,138000,3-6,line,60,,,14618.0,,,,
3,425756331,425756333,138000,3-6,line,60,,,27316.0,,,,
4,117805061,121051560,138000,3,line,60,,,3884.0,,,,
5,117805061,117805102,138000,3-6,line,60,,,2070.0,,,,
6,117805061,377393836,138000,3-6,line,60,,,12790.0,,,,
7,117805061,110430992,138000,9-3-6,line,60,,,17597.0,,,,
8,117805061,174509022,138000,9-3-6,line,60,,,29774.0,,,,
9,117805061,104463532,138000,9-3-6,line,60,,,25162.0,,,,
10,117805061,104551883,138000,9-3-6,line,60,,,33535.0,,,,
11,117805061,319115059,138000,9-3-6,line,60,,,31300.0,,,,
12,117805061,319741933,138000,3-6,line,60,,,6879.0,,,,
13,117805061,117805121,138000,3-6,line,60,,,8177.0,,,,
14,117805061,320038760,138000,3-6,line,60,,,12508.0,,,,
15,117805061,254742665,138000,3-6,line,60,,,24870.0,,,,
16,117805061,278460528,138000,3-6,line,60,,,21838.0,,,,
17,117805061,111665643,138000,3-6,line,60,,,26905.0,,,,
18,117805061,112436744,138000,9-3,line,60,,,20133.0,,,,
19,345472990,342701077,138000,3-6,line,60,,Oncor,8833.0,,,,
20,345472990,341282099,138000,6,line,60,,Oncor,8332.0,,,,
21,320565591,121051560,138000,9-3-6,line,60,,,20606.0,,,,
22,320565591,105422464,138000,3-6,line,60,,,22953.0,,,,
23,320565591,377393836,138000,3,line,60,,,25092.0,,,,
24,320565591,320535884,138000,3-6,line,60,,,19705.0,,,,
25,337764365,337681589,138000,,line,60,,,4083.0,,,,
26,112556046,104222690,138000,3-6,line,60,,,4741.0,,,,
27,112556046,254742661,138000,3-6,line,60,,,8705.0,,,,
28,112556046,96742192,138000,9-3-6,line,60,,,13831.0,,,,
29,112556046,112436744,138000,9-3-6,line,60,,,13701.0,,,,
30,112556046,317852055,138000,9-3-6,line,60,,,15212.0,,,,
31,112556046,301979794,138000,9-3-6,line,60,,,10123.0,,,,
32,112556046,112555981,138000,3,line,60,,,2703.0,,,,
33,146741265,146741279,138000-345000,3-6,line,60,,,31785.0,,,,
34,146741265,146626136,138000-345000,3-6,line,60,,,37552.0,,,,
35,146741265,239512095,138000-345000,3-6,line,60,,,44743.0,,,,
36,146741265,146741281,138000,3-6,line,60,,,1739.0,,,,
37,146741265,336105670,138000,3-6,line,60,,,27586.0,,,,
38,146741265,320757386,138000,3-6,line,60,,,20125.0,,,,
39,146741265,320757388,138000,3-6,line,60,,,23108.0,,,,
40,146741265,174126758,138000,3,line,60,,,349.0,,,,
41,156262424,339167563,138000,,line,,,,2526.0,,,,
42,156262424,72112586,138000,3-6,line,60,,Austin Energy,5947.0,,,,
43,156262424,339167561,138000,3,line,60,,LCRA-Austin Energy,7618.0,,,,
44,127631386,127580892,138000,6,line,60,,CenterPoint Energy,13446.0,,,,
45,127631386,129316655,138000,6,line,60,,CenterPoint Energy,14975.0,,,,
46,425756335,425756334,138000,3-6,line,60,,,4163.0,,,,
47,425756335,21020281,138000,3-6,line,60,,,8859.0,,,,
48,95164445,95161875,138000,,line,60,Bellville South to Fayetteville 138kV,,49759.0,,,,
49,95164445,98019896,138000,3-6,line,,,,32293.0,,,,
50,95164445,94615598,138000,3,line,60,,,11083.0,,,,
51,104206366,319115059,138000,3-6,line,60,,,8669.0,,,,
52,146741281,174640836,138000,3,line,60,,,2664.0,,,,
53,146741281,174205100,138000-345000,3-6,line,60,,,27239.0,,,,
54,222973992,319857248,138000,3,line,60,,,3186.0,,,,
55,222973992,110435988,138000,3-6,line,60,,,4153.0,,,,
56,222973992,165369022,138000,6,line,60,,,7054.0,,,,
57,222973992,110564172,138000,3-6,line,60,,,18095.0,,,,
58,222973992,319857250,138000,3-6,line,60,,,2373.0,,,,
59,222973992,165190305,138000,3-6,line,60,,,4109.0,,,,
60,174377004,215254772,138000,,line,60,,,833.0,,,,
61,117805102,121051560,138000,3,line,60,,,4775.0,,,,
62,29169713,339937469,138000,3,line,60,,LCRA,5745.0,,,,
63,29169713,29402394,138000,3,line,60,,LCRA,8046.0,,,,
64,148750387,346161473,138000-69000,3-6,line,60,,,9274.0,,,,
65,148750387,192531350,138000,3,line,60,,,1167.0,,,,
66,172099636,321062544,138000,3-6,line,60,,,3146.0,,,,
67,172099636,196731262,138000,3-6,line-cable,60,,,4801.0,,,,
68,172099636,108962310,138000,3-6,line,60,,,12072.0,,,,
69,172099636,320038765,138000,3-6,line,60,,,10314.0,,,,
70,172099636,109019556,138000,3-6,line,60,,,7659.0,,,,
71,172099636,91362579,138000,9-3-6,line,60,,,6784.0,,,,
72,127223861,126515721,138000,3-6,line,60,,CenterPoint Energy,3767.0,,,,
73,127223861,126452423,138000,3,line,60,,CenterPoint Energy,11172.0,,,,
74,127223861,127286697,138000,3,line,60,,CenterPoint Energy,8206.0,,,,
75,127223861,128704003,138000,3,line,60,,CenterPoint Energy,32694.0,,,,
76,52985910,336780027,138000,3-6,line,60,,CenterPoint Energy,39848.0,,,,
77,52985910,336813657,138000,3-6,line,60,,CenterPoint Energy,60506.0,,,,
78,52985910,41814633,138000,3-6,line,60,,CenterPoint Energy,58725.0,,,,
79,52985910,338555281,138000,3-6,line,60,,CenterPoint Energy,51305.0,,,,
80,52985910,129320299,138000,3-6,line,60,,CenterPoint Energy,61377.0,,,,
81,52985910,336061354,138000,3-6,line,60,,CenterPoint Energy,35492.0,,,,
82,52985910,336061373,138000,3-6,line,60,,CenterPoint Energy,49181.0,,,,
83,52985910,129316655,138000,3,line,60,,CenterPoint Energy,48784.0,,,,
84,52985910,339237012,138000,3,line,60,,CenterPoint Energy,4502.0,,,,
85,52985910,39979635,138000,3-6,line,60,,CenterPoint Energy,17095.0,,,,
86,52985910,52907101,138000,3-6,line,60,,CenterPoint Energy,6066.0,,,,
87,52985910,52986064,138000,3-6,line,60,,CenterPoint Energy,5746.0,,,,
88,52985910,41077816,138000,3-6,line,60,,CenterPoint Energy,6325.0,,,,
89,346508815,172319415,345000-138000,6,line,60,,,5715.0,,,,
90,346508815,284553655,138000,3,line,60,,Garland Power & Light,13960.0,,,,
