n_id,longitude,latitude,type,voltage,frequency,name,operator
183255040,-102.455760622,33.4463816941,station,None,,,
183383430,-102.558786252,33.4592531852,station,None,,,
164420609,-101.922621474,35.3102863268,substation,345000-230000,,Potter Substation,
173382515,-102.09853231,35.1477766299,sub_station,None,,,
174856780,-101.863032522,35.9667393003,station,None,,Moore County Substation,
183475074,-101.792384386,33.5207570422,substation,None,,,
183461221,-101.739164814,33.5226770316,substation,None,,Jones Station,
164252420,-102.569986639,34.181351595,sub_station,None,,Tolk Substation,
164252422,-103.170871728,34.3017738208,sub_station,None,,,
183255044,-102.767649774,33.1249041411,station,None,,,
183255055,-102.45408006,33.5204987549,station,None,,,
183255047,-102.454786616,33.4462480754,station,None,,,
426016266,-99.5094775509,27.5701177914,substation,None,,,
101949047,-99.6459059268,27.4738155317,station,None,,,
183383431,-102.055672428,33.4915116095,station,None,,,
337986967,-94.234178017,30.0771677823,substation,230000-69000-34500,60,Amelia Bulk Substation,Entergy
275734532,-94.1572314024,30.1562489682,substation,230000-69000,60,Helbig Substation,Entergy
337986973,-94.2360713593,30.1595419215,substation,230000,60,Bevil Substation,Entergy
183387721,-103.313857624,32.7392747404,station,None,,,
337944611,-93.8792346348,30.0244290854,substation,230000-138000,60,,Entergy
338385059,-93.9253401348,29.9074555292,substation,230000,60,Hanks Substation,Entergy
172246821,-102.250994447,32.0368035491,sub_station,None,,,
183387719,-103.309871341,32.7318049563,station,None,,,
183461222,-101.826266258,33.5117123114,substation,None,,,
182492464,-102.316329568,35.2820159762,station,None,,,
183475079,-101.854909254,33.5186096375,substation,None,,,
338039478,-93.9400965655,29.9247211897,substation,230000,60,Kolbs Substation,Entergy
183461177,-101.96646196,33.5917045344,substation,None,,,
183461214,-101.957950623,33.5857497457,substation,None,,,
183502012,-100.243780847,35.3728479718,station,None,,,
183493332,-100.890966353,35.4019339588,station,None,,,
183502013,-99.9134709541,35.3833498336,station,None,,,
174863805,-101.745306465,35.2835251245,station,None,,,
174868350,-101.776347521,35.1486875043,sub_station,None,,,
183504247,-101.863913724,35.0996964871,substation,None,,,
168217546,-102.360786021,34.8209039703,sub_station,None,,Deaf Smith Interchange,Southwestern Public Service Company
183475072,-101.684884585,33.1800417459,station,None,,Grassland Substation,Southwestern Public Service Company
183475071,-101.596836766,32.5615779919,station,None,,Borden Substation,
183461223,-101.791453613,33.5711718526,substation,None,,,
171435008,-97.6763432379,32.8060568405,station,None,,Parker Substation,
171476905,-97.4770641566,32.9082674493,sub_station,None,,Eagle Mountain Substation (345kV),
171477446,-97.3059669403,32.9566414978,substation,345000-138000,60,Hicks Substation,Oncor
171478878,-97.2615633532,32.9919308113,substation,345000-138000,60,Roanoke Substation,
171853244,-97.4854746807,32.3949544492,station,None,,Johnson Substation,
147127242,-97.0727754921,32.4439504961,substation,345000-138000,60,Venus Substation,Oncor Electric Delivery
39726351,-97.6972711878,32.4025230471,station,None,,Decordova Station,
171922716,-97.2515712567,32.6400434551,station,None,,Everman Substation,Oncor Electric Delivery
39683503,-97.7898610308,32.2977732202,station,None,,Comanche Peak Station,Oncor Electric Delivery
171742039,-99.5411434722,32.6291736012,sub_station,None,,,
171410588,-98.6094524346,33.1384184931,sub_station,None,,Graham Substation,
40809434,-97.4714934249,32.6849213761,substation,345000-138000,60,Benbrook Substation,Oncor Electric Delivery
171853245,-97.7321312339,32.3355137847,station,None,,,
155804001,-97.4399588091,32.5956644203,sub_station,None,,,
171435053,-97.9102940589,33.0561488042,station,None,,,
147426018,-101.391696098,36.4964315387,sub_station,345000,,Hitchland Substation,
124968451,-97.9901015546,29.7830482541,substation,345000,60,Hays Energy Station,Lower Colorado River Authority
146741265,-98.8866637384,29.9850036622,substation,345000-138000,60,Kendall Substation,Lower Colorado River Authority
174016471,-97.9897000737,29.7810684301,plant,None,,Hays Energy Project,
174019698,-97.5111193255,30.9721259405,substation,345000,60,,
172709714,-97.3077803421,31.0790770044,substation,345000-138000-69000-12000,60,Temple Switching Station,Oncor Electric Delivery
174019658,-97.7229517699,31.0389837839,substation,345000-138000,,Killeen Substation,TXU Energy
174024844,-97.561348518,30.551169777,substation,345000-138000,60,,
174401034,-96.1908705427,28.8865642985,substation,345000-138000,60,Blessing Substation,
39832667,-96.0505596183,28.7994675953,substation,345000,60,South Texas Station,CenterPoint Energy
173981611,-97.674222116,30.005378379,substation,345000-138000,60,Lytton Springs Substation,Lower Colorado River Authority
173298395,-97.5453711488,30.1426190885,substation,345000-138000,60,Garfield Substation,
