id,lon,lat,name,osm_id,voltage,type,poly
1,-83.4109901082,42.2076159493,Airport,199286920,None,substation,0103000020E6100000010000000700000092A3EE1A5ADA54C06DEF2E6CA01A45402792566E47DA54C0BE0DDF5DA11A454035B0DF7547DA54C0C5CD36EAA51A454001D6357842DA54C071BDD1F4A51A4540FE5A70EF41DA54C0CE73C2B0841A4540D4FB6C6059DA54C0F036EDA0831A454092A3EE1A5ADA54C06DEF2E6CA01A4540
2,-83.1850655681,42.1225667822,None,186966292,None,substation,0103000020E6100000010000000A0000006AF240DFE8CB54C0B5937A3AB20F45406AF240DFE8CB54C0A928A017C10F454096677D88DBCB54C02B05C03EC10F4540024C0AC9D8CB54C0D32E2939C10F45404B6A0125D2CB54C08101A12AC10F45402912C7F7C8CB54C0A928A017C10F45402912C7F7C8CB54C02526A18A9E0F454079E2FEF8E5CB54C02526A18A9E0F4540091FD3D4E5CB54C0374E1832B20F45406AF240DFE8CB54C0B5937A3AB20F4540
3,-83.2487860477,42.116047346,Brownstown Substation,120985491,None,substation,0103000020E6100000010000000D000000C18B81551ED054C0E856B510CC0E454057C101AE03D054C090BEF033CD0E45403CECB5AC04D054C0EB01B36D0B0F4540CA596973F2CF54C09874BE180C0F454043D5F0C8F2CF54C0AAE3706A180F45402F30F8E8D9CF54C020BE0A83190F4540FBB04B8FD9CF54C007C51C13070F454007596A18C8CF54C0B0BFDED7070F4540822FFC7FC6CF54C003A46116B10E4540D739B62CF8CF54C064FBA0FCAE0E454080B29C17F8CF54C08EBF1444AA0E4540040D97C81DD054C0CCD088EEA80E4540C18B81551ED054C0E856B510CC0E4540
4,-83.6156071538,42.2069783787,Collins Substation,186936930,None,substation,0103000020E61000000100000006000000C198E0E06BE754C0D8E6AB47861A454021887B4769E754C0B89557128A1A454003DD79875EE754C0A2D579977B1A45405F3A56C963E754C0400FD205731A45406552E35E6BE754C095FC5A997C1A4540C198E0E06BE754C0D8E6AB47861A4540
5,-83.2605134787,41.9626568523,Enrico Fermi Nuclear Generating Station,104526986,None,plant,0103000020E61000000100000010000000C34B5FDE2ED154C07EFF7EF8A4FA444051C428FB24D154C098439942FCFA4440CFE1DFD514D154C0DBB23B662CFB444077789A6AD6D054C0A47C387668FB44404D263AA3CAD054C06E59755FAAFB44407FB92BDC9AD054C0157463D7BEFB4440032617F192D054C071546909ECFB4440CD00C7D38DD054C02EDB4F3507FC4440F159DB5E77D054C05B66A14819FC44404670D8915BD054C0F0666C9B0AFC4440B06E588F48D054C07B3C1AD0F3FB44406C0BB78547D054C02751A705CFFB4440A4708AFE4AD054C0D24335189FFB44408005D8E158D054C02EA14D4C59FB44403FC07EB978D054C023A6DC5A9CFA4440C34B5FDE2ED154C07EFF7EF8A4FA4440
6,-83.5321966494,42.1674099495,Sumpter Substation,206004502,None,substation,0103000020E61000000100000005000000BA9EEA6E20E254C09C7C17F572154540DB21493BFEE154C0A7A375B7731545401A6D5041FEE154C0106C91DF681545408A6AE43420E254C0B899153767154540BA9EEA6E20E254C09C7C17F572154540
7,-83.5332452971,42.1756929823,Dayton Substation,186936821,None,substation,0103000020E61000000100000014000000E1E3D3F62CE254C04F40ACA7781645408AB3296B29E254C0852FD1D878164540731B74122AE254C002CF91258E164540C311821626E254C01D0392508E16454033DC357626E254C03509117C98164540FD86C6EF20E254C0D3671BEF98164540D30A1CE720E254C09CBADDE8961645406DA1619D1DE254C0B864D0DE96164540039691AA1DE254C050BD8C788F164540D3068ECC18E254C0DFD4CB678F164540CA259B6D18E254C0889A0183811645402C30BD8A15E254C0197A83A481164540AA587D4D14E254C00A3FA3BB801645405FEFEC3F14E254C043CA8607701645408FFEE9661CE254C06951AA8C6F16454090F7612B1CE254C0EA62287E651645409B0E491B29E254C02FFFE0DD641645409C60777629E254C0CA06781374164540A4BADBE22CE254C09CDA421674164540E1E3D3F62CE254C04F40ACA778164540
8,-83.6564281209,41.9834361668,None,198968221,None,station,0103000020E61000000100000005000000DCA4C86009EA54C09A0D51C3D7FD4440DCA4C86009EA54C0B125AAB5EAFD444040066775FCE954C0B125AAB5EAFD444040066775FCE954C09A0D51C3D7FD4440DCA4C86009EA54C09A0D51C3D7FD4440
9,-83.5542502819,42.2385983628,Willow Run Substation,199271710,None,station,0103000020E6100000010000000500000039CD738F7DE354C0E9552C95821E454039CD738F7DE354C0F1E61633921E4540D493E51C74E354C0F1E61633921E4540D493E51C74E354C0E9552C95821E454039CD738F7DE354C0E9552C95821E4540
10,-83.5526163363,42.234745897,Scottsdale Substation,205152362,None,station,0103000020E610000001000000050000000C43D82961E354C0AC0424C2031E45400C43D82961E354C0264D788C141E45403282F9F75AE354C0264D788C141E45403282F9F75AE354C0AC0424C2031E45400C43D82961E354C0AC0424C2031E4540
11,-83.5309884119,42.2942871094,Zebra Substation,173190116,None,station,0103000020E610000001000000050000004DCE883100E254C05D712228B52545400C042E88F7E154C02AB76E60B52545407608763FF7E154C0E182D536A1254540E3708AE3FFE154C011582009A12545404DCE883100E254C05D712228B5254540
12,-119.522617916,39.5641340893,None,90091942,None,sub_station,0103000020E610000001000000070000002173D7E786E15DC0BA3E2F053BC84340CF05D8D962E15DC0C07A8F423DC84340BB2F000F5CE15DC0C64A543E36C843405D3B247A62E15DC066F782392FC84340E05BA9ED6CE15DC0D227A6C72EC84340395DBB9B86E15DC01A05BAA02EC843402173D7E786E15DC0BA3E2F053BC84340
13,-119.737684177,39.5716095187,None,165916097,None,sub_station,0103000020E61000000100000008000000809A82F53DEF5DC0EB46A7CF20C94340809A82F53DEF5DC0EE36948134C943404FB40F8E3CEF5DC0A641F83636C943408D7DE3AB2EEF5DC0B6EA96F335C94340512B546A2EEF5DC0436C91F81EC943409607678132EF5DC0436C91F81EC943400E25EAA33CEF5DC0436C91F81EC94340809A82F53DEF5DC0EB46A7CF20C94340
14,-119.772970357,39.5648063346,None,170292915,None,sub_station,0103000020E61000000100000005000000033668707AF15DC0801773A44EC84340C4C60A6B76F15DC060E15CB94EC843403216F94176F15DC02915677C48C84340708556477AF15DC0DD765D7148C84340033668707AF15DC0801773A44EC84340
15,-119.769332143,39.5226667476,None,170292916,None,station,0103000020E61000000100000005000000A8FAE08445F15DC02EA7B921E7C243402A7EB8C73BF15DC0AB336319F4C24340F75334EA33F15DC0F4DC4E36E6C24340E69388CB3DF15DC0267B0277D9C24340A8FAE08445F15DC02EA7B921E7C24340
16,-119.807069225,39.5539522399,None,58756169,None,sub_station,0103000020E610000001000000070000005C012E7AB2F35DC0F4BFFC7DCBC64340760D2120B2F35DC071368F6F01C74340553A3B469BF35DC0CBE3D6F901C74340088604199BF35DC031A16040D5C64340D5FD7B089DF35DC0A3C3EA44D2C64340E6BC67A5A5F35DC004BC71A9CDC643405C012E7AB2F35DC0F4BFFC7DCBC64340
17,-119.865662276,39.5415177602,None,170292922,None,station,0103000020E61000000100000008000000D71772B16FF75DC07A9D749F4EC54340128F0A0668F75DC0C0DE9C315FC5434083408B2A66F75DC03A1B98145DC54340C42DA8D962F75DC04460D26554C54340525A25315EF75DC05F419A534FC5434025811C9B62F75DC0B863E2E345C54340916937F667F75DC040F4E90746C54340D71772B16FF75DC07A9D749F4EC54340
18,-119.806545207,39.558275157,None,58756194,None,sub_station,0103000020E61000000100000009000000FE2645A2A8F35DC03FCBAECC59C7434080F3611BA8F35DC0AEBF5D5D91C743405A7E669894F35DC0AEBF5D5D91C743405955CF6A94F35DC03E42B4C56CC74340A8A23F8A93F35DC03E42B4C56CC7434041E215B793F35DC08EA70BA464C74340D9B1491F95F35DC08EA70BA464C74340D9B1491F95F35DC00DF2D1115AC74340FE2645A2A8F35DC03FCBAECC59C74340
19,-83.4502041936,41.7920588951,None,103383736,None,substation,0103000020E6100000010000000700000086062126E2DC54C05301DC9778E54440F5FF79D1C5DC54C05EEB470D79E544405B970C77C5DC54C0D05350B148E5444017CA9062D8DC54C0C534186248E54440B2540DAFD8DC54C0CB88C81971E54440D3B3CF17E2DC54C0479574F270E5444086062126E2DC54C05301DC9778E54440
20,-83.3857765316,41.9193899792,Monroe,197827020,None,substation,0103000020E61000000100000007000000256E5F0BBBD854C0E5955464A6F544408D351E88B4D854C061E9A65DBDF54440D7D562A8AED854C002C4C4C7B9F54440B21B89BFADD854C04A6C8EF2BCF54440DA0E6B36A6D854C053A6AB5EB8F5444092492A71ADD854C0FE5D332E9EF54440256E5F0BBBD854C0E5955464A6F54440
21,-83.6426857137,42.2643678945,Superior Substation,93684471,None,station,0103000020E6100000010000000B000000BC7B46D233E954C0FD527581C02145407334C5B633E954C02A0C761DDB214540AEC9D1742AE954C018050CDCF2214540439CF28F2AE954C07EB2E6B5F9214540EFAF66E826E954C0FB013AD300224540B407427B0AE954C0CE1FC4A8CB2145405F04BD370FE954C0E7600DDAC3214540862E39E50EE954C0FCB2540BBC214540010E9A9511E954C0BB0C2DB2B8214540B2B994CC18E954C019304E59C0214540BC7B46D233E954C0FD527581C0214540
22,-83.2576331345,41.9590815713,None,198973687,None,station,0103000020E61000000100000009000000921EE7C485D054C026586FC7CDFA44402EB5465775D054C0E94AD480CDFA44402EB5465775D054C035E47895BFFA4440A091A5B677D054C07F9B505CBFFA4440B33EF3C177D054C0315FC6B6B5FA444079D9056D81D054C0315FC6B6B5FA444079D9056D81D054C08533AD00C2FA4440F378E3C185D054C0E8320837C2FA4440921EE7C485D054C026586FC7CDFA4440
