n_id,longitude,latitude,type,voltage,frequency,name,operator,not_accurate
33733378,-111.893537118,40.6865899892,sub_station,0,,Valley Center Substation,,
33545098,-111.928910937,40.7072042789,sub_station,0,,Mid-Valley Substation,,
398986641,-112.595795749,38.2803760643,substation,0,,,,
88294008,-112.907522255,37.8841333932,station,0,,Parowan Substation,,
171450774,-109.57577527,40.5084006031,station,0,,Ashley,,
171107544,-110.143971079,40.2544817106,station,0,,,,
171450844,-109.464302864,40.3969051163,station,0,,,,
37352222,-109.425571085,40.9128045188,sub_station,0,,,,
171450822,-109.397880538,40.2841120104,station,0,,,,
33725404,-112.015742843,41.2988893689,sub_station,0,,substation,,
33724884,-112.047483978,41.3398870045,station,138000,,Ben Lomond substation,PacifiCorp,Yes
33870125,-111.989654701,40.7327762316,sub_station,0,,Centennial Substation,,
33656122,-112.00583293,40.7578493346,sub_station,0,,Terminal substation,,
33264360,-111.930864828,40.7694299497,generator,0,,Gadsby Power Plant,Pacificorp,
104285127,-109.290307534,40.0860986491,station,0,,Bonanza Substation,,
171451889,-109.419892625,40.0389217461,station,0,,,,
171450845,-108.821567141,40.074578973,station,0,,,,
33656043,-112.029503045,40.609012288,sub_station,138000,,substation,,
33834580,-112.027447374,40.5646092633,sub_station,0,,Oquirrh Substation,,
33656051,-112.029635103,40.6668320753,substation,0,,,,
88144346,-112.580908246,39.5012975109,substation,0,,,,
33835720,-111.904055145,39.8239163893,station,0,,Mona Substation,,
88315373,-112.938222513,38.5622733093,substation,0,,,,
33655642,-111.948535527,40.4676698155,station,0,,Camp Williams Substation,,
104573131,-111.0856789,39.3832273738,sub_station,0,,Huntington Substation,,
104538864,-111.992945406,38.8445053602,substation,0,,Sigurd Substation,,
105200979,-109.316410714,37.868303649,station,0,,Pinto Substation,,
33658199,-111.586362716,40.0918700127,substation,0,,Spanish Fork Substation,,
165926152,-111.028748886,39.1773847453,sub_station,0,,,,
88146572,-113.645190903,37.4130298639,sub_station,0,,Red Butte Substation,,
33544879,-111.91616828,40.5895602693,sub_station,0,,90th South Substation,,
33724191,-112.043399763,41.0949828792,sub_station,0,,Syracuse Substation,,
163683054,-112.028925003,40.567418121,sub_station,0,,,,
