l_id,n_id_start,n_id_end,voltage,cables,type,frequency,name,operator,length_m,r_ohm_km,x_ohm_km,c_nf_km,i_th_max_km
1,81818627,422832203,230000,,line,,,,679.0,,,,
2,81826853,422832203,230000,,line,,Surry - Smithfield 230kV transmission line-Surry - Chuckatuck 230kV transmission line,Dominion,38076.0,,,,
3,97734695,96583494,230000,3,line,60,230kV transmission line,,19976.0,,,,
4,97734695,82715314,230000,3-6,line,60,-230kV transmission line,,36236.0,,,,
5,97734695,81759047,230000-115000,3-6,line,60,-230kV transmission line,,15007.0,,,,
6,108017192,107946151,230000,,cable,,,Dominion,3082.0,,,,
7,80763433,80878311,230000,,line,,-Thrasher - Huntsman 230kV transmission line-Yadkin - Huntsman 230kV transmission line,Dominion,12064.0,,,,
8,80763433,80763970,230000,,line,,Stumpy Lake - Thrasher,Dominion,7812.0,,,,
9,96197171,96368743,230000,,line,,,,23850.0,,,,
10,96197171,81094242,230000,,line,,,,31105.0,,,,
11,96197173,96290431,230000,,line,,,,20154.0,,,,
12,80763970,402497011,230000,,line,,Landstown - Stumpy Lake 230kV transmission line,Dominion,5957.0,,,,
13,82899127,82899118,230000,,line,,,,2150.0,,,,
14,97251408,97251419,230000,6,line,60,230kV transmission line,,1892.0,,,,
15,97251408,96303284,230000,3-6,line,60,230kV transmission line,,6307.0,,,,
16,82409559,96368743,230000,,line,,,,9246.0,,,,
17,82409559,81597861,230000,,line,,Four Rivers - Hanover - Elmont 230kV transmission line,,5050.0,,,,
18,97251419,97251418,230000,3-6,line,60,,,710.0,,,,
19,96368732,96368743,230000,,line,,,,729.0,,,,
20,81509470,82202437,230000,,line,,Kings Fork - Chuckatuck 230kV transmission line-230kV transmission line-Newport News - Benns Church 230kV transmission line-Chuckatuck - Benns Church  230kV transmission line,Dominion,44780.0,,,,
21,81509470,81512694,230000,,line,,230kV transmission line,,5628.0,,,,
22,108051552,69082038,230000,,line,,230kV transmission line,Dominion,5442.0,,,,
23,82457699,82456878,230000,3,line,60,,,18438.0,,,,
24,82457699,82715314,230000,3,line,60,,,17327.0,,,,
25,81926763,81523364,230000,,line,,Fentress - Sligo 230kV transmission line,Dominion,6945.0,,,,
26,81550958,88887097,230000,3-6,line,60,,,74805.0,,,,
27,81550958,81539967,230000,3,line,60,-230kV transmission line,Dominion,43034.0,,,,
28,82499186,82442613,230000,,line,,,,41062.0,,,,
29,82499186,97721028,230000,3,line,60,,,25710.0,,,,
30,82499186,82456878,230000,3,line,60,230 kV transmission Line,,35950.0,,,,
31,82511995,149931756,230000,3,line,60,230kV transmission line,,49405.0,,,,
32,96175554,82221556,230000,,line,,,,16691.0,,,,
33,82993806,402497011,230000,,line,,Lynnhaven - Landstown 230kV transmission line,Dominion,9404.0,,,,
34,81603219,81536396,230000,,line,,,,4580.0,,,,
35,107780759,80783327,230000,,line,,230kV transmission line,Dominion,33681.0,,,,
36,45861026,45836738,230000,3,line,,230kV transmission line,Dominion Virginia Power,10880.0,,,,
37,45861026,46366963,230000,3-6,line,,230kV transmission line,Dominion Virginia Power,1771.0,,,,
38,81523364,402497011,230000,,line,,Fentress - Landstown 230kV transmission line,Dominion,14408.0,,,,
39,107943590,107944788,230000,3-6,line,,-230kV transmission line,Dominion,7086.0,,,,
40,107943590,107944354,230000,3-6,line,,230kV transmission line,Dominion,3869.0,,,,
