id,n1_id,n2_id,length,voltage
1,1,2,19771.847158,69000
2,3,4,18500.0431999,69000
3,5,6,66720.5862088,115000
4,7,8,53722.5515854,115000
5,9,10,2040.66282717,115000
6,9,11,2569.04359036,115000
7,12,13,7127.91733983,115000
8,12,14,3837.03138818,115000
9,12,10,63875.9918334,115000
10,15,16,102.36971012,115000
11,17,16,46154.738748,115000
12,18,19,17578.0948488,115000
13,18,20,62114.8164076,115000
14,21,22,21581.7973013,115000
15,20,6,73464.3111531,115000
16,23,24,10557.9166255,115000
17,25,19,36873.9906866,115000
18,26,27,77528.4272274,115000
19,28,29,50514.2271022,115000
20,30,8,39307.7463516,115000
21,31,32,14053.0963708,115000
22,31,24,18295.4971581,115000
23,32,14,7289.17348369,115000
24,33,6,223.364972573,115000
25,6,34,26649.9559561,115000
26,16,35,72659.3497703,115000
27,36,8,94712.3097363,115000
28,37,24,46763.161911,115000
29,35,38,82466.1948638,115000
30,39,40,4509.4117853,230000
31,39,41,60639.7033162,230000
32,39,42,20933.0038972,230000
33,43,44,72451.8135679,230000
34,43,45,49151.4275316,230000
35,43,46,69973.3167716,230000
36,43,47,8285.95283666,230000
37,48,49,5894.48167841,230000
38,48,36,31184.2056888,230000
39,48,33,72596.0627668,230000
40,9,27,161137.782375,230000
41,47,50,1736.97233637,230000
42,47,51,92814.0696575,230000
43,47,45,18397.621227,230000
44,52,53,18897.279298,230000
45,54,55,33593.0023486,230000
46,54,56,71761.4830566,230000
47,57,58,46288.8326106,230000
48,57,59,19948.7009461,230000
49,60,61,54155.8705523,230000
50,60,42,40849.1183404,230000
51,60,62,10928.9746205,230000
52,60,63,38925.433576,230000
53,60,49,73931.6669595,230000
54,64,65,13890.329666,230000
55,64,66,1057.8125305,230000
56,64,62,19304.7578663,230000
57,67,68,5446.12815298,230000
58,67,69,19655.6536534,230000
59,70,51,69487.6520309,230000
60,46,56,67591.916812,230000
61,46,50,43092.0760532,230000
62,46,68,37043.2240795,230000
63,3,71,32149.6113022,230000
64,3,33,70092.0259444,230000
65,59,72,31426.7561561,230000
66,59,73,145.368886456,230000
67,74,75,21448.4697028,230000
68,76,68,27838.7266185,230000
69,76,50,15125.3657508,230000
70,77,78,20907.6239511,230000
71,79,42,13411.9546677,230000
72,79,80,42328.8930905,230000
73,79,61,87.403418718,230000
74,72,81,18859.711613,230000
75,82,24,23551.6439667,230000
76,80,71,49536.8287777,230000
77,83,33,37782.3130795,230000
78,84,36,50256.2699571,230000
79,69,85,19577.8408817,230000
80,75,62,55497.4834903,230000
81,58,86,5681.27372543,230000
82,58,87,16371.5459941,230000
83,53,44,15309.0646671,230000
84,53,36,39497.9377369,230000
85,88,89,20406.2648744,230000
86,44,90,29165.8780835,230000
87,44,91,10069.7451512,230000
88,92,55,7082.98779697,230000
89,92,36,58736.5032687,230000
90,93,94,30968.2655536,230000
91,93,95,53038.661468,230000
92,24,96,24698.853056,230000
93,95,89,48442.8366577,230000
94,89,97,10670.9711527,230000
95,89,98,31213.8971891,230000
96,99,98,21418.5103776,230000
97,97,63,16682.3776315,230000
98,90,100,72359.0475774,230000
99,100,45,13916.2068131,230000
100,79,61,243.114529211,345000
101,101,102,27746.3958773,345000
102,103,102,207.220192291,345000
