n_id,longitude,latitude,type,voltage,frequency,name,operator
170686978,-108.524258543,41.6160641422,sub_station,None,,Bitter Creek Substation,PacifiCorp
170686986,-108.523350558,41.5753352203,sub_station,None,,,
170763978,-107.824641069,41.6500525638,sub_station,None,,Echo Springs Substation,PacifiCorp
103493303,-108.760675036,41.6295699722,sub_station,None,,Point of Rocks Substation,PacifiCorp
170065283,-105.779934382,43.7725271946,sub_station,None,,Pumpkin Buttes Substation,Powder River Energy Corporation
167015118,-105.779464832,42.861651036,sub_station,None,,Windstar Substation,
162623381,-105.36554694,43.5623813781,sub_station,None,,Teckla Substation,
170300713,-105.896586868,44.3198973641,sub_station,None,,Carr Draw Substation,
162477740,-105.371776819,44.285788715,substation,None,,Donkey Creek Substation,
170182788,-108.411165495,43.0182834921,sub_station,None,,Riverton Substation,
122792698,-108.762400999,42.5249902332,station,None,,Atlantic City Substation,
167144166,-106.359684136,42.8721863304,sub_station,None,,,
167146833,-108.229385296,43.6500370098,sub_station,None,,Thermopolis Substation,PacifiCorp
182236677,-105.559636534,41.334093686,substation,None,,,
170999403,-106.8462777,42.2315484242,substation,None,,Miracle Mile Substation,
170357131,-105.385430747,44.2910165726,substation,None,,Wyodak Substation,
171171146,-104.41109788,43.9718565797,station,None,,Osage Substation,
170533386,-106.00779393,43.0132552093,sub_station,None,,,
170291906,-105.949223727,42.8822427254,sub_station,None,,Latigo Substation,
170297325,-106.558585627,43.7035833543,sub_station,None,,Kaycee Substation,
170297324,-106.33187251,43.4500306682,sub_station,None,,Midwest Substation,
170298745,-106.653220333,44.3546110939,sub_station,None,,Buffalo Substation,
170937026,-106.55188757,41.8572311104,sub_station,None,,Miners Substation,
170937025,-106.190770851,41.6526916325,sub_station,None,,Foote Creek Substation,PacifiCorp
101830555,-106.394593987,41.9600518885,sub_station,None,,Freezeout Substation,
156355343,-109.243112768,41.6307188432,substation,None,,Rock Springs Substation,PacifiCorp
422742665,-108.785095239,41.7378350668,plant,None,,Jim Bridger Plant,PacifiCorp
161728481,-109.272800278,41.5368246521,station,None,,Firehole Substation,
167925225,-109.704362915,41.6667326814,sub_station,None,,West Vaco Substation,PacifiCorp
156419217,-109.490575799,41.5338544338,substation,None,,,
164667340,-109.49987381,41.6483919467,sub_station,None,,,
156728624,-109.478175111,41.5332825228,substation,None,,,
171183811,-106.86113567,44.9718947638,station,None,,Tongue River Substation,
171175454,-105.464780498,44.3919315498,substation,None,,Dry Fork Substation,
170400062,-106.941826957,44.8278597185,substation,None,,Sheridan Substation,
101808021,-103.753160766,44.3229291407,sub_station,None,,Yellow Creek Substation,Black Hills Power
170180122,-107.619949281,43.310767388,sub_station,None,,,
167144158,-106.918505169,42.6243128,sub_station,None,,Spence Substation,Western Area Power Administration
170960017,-106.229890999,42.1799311068,sub_station,None,,,
101830557,-106.394887603,41.9611688768,sub_station,None,,,
37352222,-109.425571085,40.9128045188,sub_station,None,,,
171531455,-109.347098183,41.0643825845,sub_station,None,,Little Mountain Substation,
171175455,-105.204115686,44.3072999983,substation,None,,Hughes Substation,
170679597,-108.584199796,44.796923991,station,None,,Garland Substation,
170842224,-108.673193839,44.9578302271,sub_station,None,,Frannie Substation,
101569954,-108.790057401,41.7342223071,substation,None,,,
103495084,-107.930660418,42.2048930893,station,None,,Mustang Substation,PacifiCorp
170960010,-106.161753609,42.0422909121,sub_station,None,,,
104026793,-103.942528382,41.819513111,substation,230000,,,
102222586,-104.649044731,41.1452600594,substation,None,,,
170531570,-108.486405326,43.9162471318,substation,None,,Grass Creek Substation,
167015092,-105.778598759,42.8371714374,sub_station,230000-115000,,Dave Johnston Substation,PacifiCorp
171239039,-107.002552378,44.7346947804,sub_station,None,,,
170937044,-106.203078549,41.6066124062,sub_station,None,,,
101822435,-106.046771936,41.6710206957,substation,None,,,
171843873,-110.045573466,41.8772768841,station,None,,,
167925224,-110.033033016,41.6946101381,sub_station,None,,Monument Substation,
170061809,-105.615788026,43.0695856292,sub_station,None,,Yellowcake,
170065277,-105.777720464,42.9465343741,sub_station,None,,,
170296532,-106.322650076,43.3897756185,sub_station,None,,Claim Jumper Substation,
104394709,-111.109484621,41.5352105556,station,None,,Birch Creek Substation,
169158520,-110.98652319,41.299664596,sub_station,None,,Railroad Substation,
104394718,-110.600461174,41.7584755926,station,None,,Naughton Substation,PacifiCorp
255329402,-104.815882938,40.9938756568,plant,None,,Ponnequin Wind Farm,Xcel Energy
167925229,-109.904027771,41.6840110299,sub_station,None,,,
159114855,-109.752855974,41.5500766202,substation,None,,South Trona Substation,
159115881,-109.520424356,41.5905509492,sub_station,None,,,
170061810,-105.330010208,43.4622149972,sub_station,None,,Antelope Mine Substation,
103628426,-104.813196161,40.6075401203,substation,345000-230000,,Ault,
103928303,-104.887088016,42.1073865371,substation,345000,,,
103928302,-104.88836281,42.1104445656,station,None,,,
