n_id,longitude,latitude,type,voltage,frequency,name,operator
222205414,73.1877854388,19.36164786,substation,None,,Padghe,
222233802,73.2035997629,19.2023103219,substation,None,,,
425101518,78.3389229561,26.9529938487,substation,None,,Agra Electrode,
274106872,78.0736392846,27.0871899805,substation,None,,Agra,
251093000,75.3059865914,15.947425914,substation,None,,Ramadurga,
251093019,75.545404177,16.0088577952,substation,None,,,
85460311,38.9133054892,45.054968468,substation,None,,,
45922590,38.943038351,45.0591145127,substation,110000-10000,,"ПС 110/10 кВ ""Тургеневская""",Кубаньэнерго
251093007,75.109227199,15.7564184946,substation,None,,Saundatti,
409304637,75.1145602288,15.7519237411,substation,None,,,
409304552,75.1270299469,15.8472450055,substation,None,,,
104554513,52.493232477,55.7165627861,station,None,,,
93482528,52.4753820391,55.7409489901,station,None,,,
67498838,52.5245818349,55.7210792339,station,None,,ПС Заводская,
320965592,52.5271353722,55.8616462836,substation,None,,,
198008863,73.3055835331,54.859392737,station,None,,,
198009967,73.3034847962,54.8736027129,station,None,,,
376340520,39.8274142874,57.622157857,substation,None,,,
44153188,39.8681622328,57.6422964373,substation,110000-6000,50,ПС Северная 110/6/6кВ,МРСК-1
129923050,39.8558803492,57.6157664137,substation,110000-6000,50,ПС Которосль 110/6кВ,МРСК-1
117287943,39.7989122363,57.5657853053,substation,110000-35000-6000,50,ПС НПЗ 110/35/6кВ,МРСК-1
50339766,39.8226972825,57.617408821,station,None,,ПС Перекоп 110/6 кВ,МРСК-1
237781034,73.6633339203,54.5864415037,substation,None,,"ПС 110/10 кВ ""Стрела""",Филиал ОАО МРСК Сибири Омскэнерго
421135596,74.1093284103,54.3704951402,substation,110000-35000-10000,50,"ПС ""Новоуральская"" 110/35/10",
319463469,131.847932754,34.030712615,substation,110000,60,,
319463514,131.851466716,34.0128760736,substation,220000-110000,60,下松発電所,
318564837,131.824648762,34.0592723647,substation,110000,60,徳山変電所,
110796857,103.867924408,52.4611738181,station,None,,"ПС 500/220/110 кВ ""Иркутская""",
184798669,103.88401898,52.4720877614,substation,None,,ПС 110/35/6 кВ ГПП-2,
184811446,103.845684816,52.5262440863,station,110000,,ПС 110/35/6 кВ Прибрежная,
168239171,89.8430642434,55.290078934,substation,220000,,Подстанция «Ужур»,
180788791,89.2218172328,55.2946409986,substation,None,,,
120823877,48.361965816,55.4478060148,station,None,,ПС Федоровская,
229841888,48.2838011389,55.6018223371,station,None,,ПС Нурлаты,
121218185,48.2341939424,55.7665145924,substation,220000-110000-10000,,ПС 220/110/10 кВ Тюрлема,ОАО «МРСК Волги»
171977680,48.5258733481,55.1956884785,substation,None,,ПС Апастово,
176838936,48.3935760429,55.236220497,station,None,,ПС Каратун,
126427242,40.2749257718,54.2861726337,substation,110000,,"ПС 110/10кВ ""Кирицы""",
137338805,40.4594574002,54.1903256864,substation,110000,,"ПС 110/10кВ ""Эластик""",
122221842,40.5405398304,54.2794272968,substation,110000,,"ПС 110/10кВ ""Шелухово""",
126515493,40.1544598406,54.2890120718,substation,110000,,"ПС 110/10кВ ""Истье""",
275898479,116.987797568,39.5140631805,substation,None,,,
136030445,117.022224557,39.4151341072,substation,220000,50,,
265301080,116.956906492,39.601607247,substation,110000,50,,
251093108,75.5817098012,15.2280832399,substation,None,,,
409304618,75.4600973295,15.1268256097,substation,None,,,
330006647,54.1346004723,57.0389084168,substation,110000,50,,
116695201,53.9809451554,57.0347613177,substation,110000,50,ПС 110/35/6 Воткинск,МРСК Центра и Приволжья
144437268,60.1112913911,55.0707864189,substation,None,,Автозаводская,
189890975,60.1518643738,55.1283303381,substation,110000,,Тургояк,
26354372,60.110381258,55.0198663774,substation,110000,,Миасс,
116695174,54.0012850372,57.0251755656,substation,110000,50,ПС 110/6 кВ Инструментальная,
283379848,54.0923952454,57.0984190651,substation,220000,50,ПС 220 кВ Сива,ОАО ФСК ЕЭС - Пермское ПМЭС
355557513,75.9606506897,16.5677130447,substation,None,,,
250565830,75.7157366137,16.8130820048,substation,None,,,
145227914,82.9732393409,55.0896223814,station,None,,Подстанция «Учительская»,
51844718,82.9894117609,55.1003156627,generator,None,,ТЭЦ №4,
107692183,47.8853200377,56.6065526842,substation,220000,50,ПС Чигашево 220/110кВ,
107881747,47.8480231988,56.6117500901,generator,None,,Йошкар-Олинская ТЭЦ (ТЭЦ-2),ОАО ТГК-5
110255218,47.8547945365,56.6214079424,station,None,,ПС Кожино 110/35кВ,
107943661,47.7818286268,56.6420519211,substation,110000,,Медведевский электроучасток,
372580506,60.6143584605,55.2319545014,substation,110000,,Кулуево,
98423617,61.2735064992,55.2290060115,substation,500000,,Шагол,
372580526,60.4609113298,55.2325561457,substation,110000,,Яраткулова,
121211432,60.169761811,55.152671097,substation,None,,Ильменская,
116299140,60.4341952794,54.9907120834,substation,110000,,Чебаркуль,
372580509,60.3708996405,54.9895066604,substation,110000,,Курортная,
219889824,46.5453444244,54.8412354915,substation,110000-35000-6000,,ПС 110/35/6 кВ Алатырь,ОАО «МРСК Волги»
279978586,47.0514470016,55.2932309184,substation,110000-10000,,ПС 110/10 кВ Ибреси,ОАО «МРСК Волги»
279978587,47.1572188084,55.3323664711,substation,110000-10000,,ПС 110/10 кВ Рассвет,ОАО «МРСК Волги»
53366641,47.5093672014,55.523994011,substation,220000-110000-6000,,ПС Канаш 220/110/6 кВ,
242619649,47.3552228003,55.4613991717,substation,110000-10000,,ПС 110/10 кВ Чагаси,ОАО «МРСК Волги»
279978585,47.0738152943,55.1958442775,substation,110000-10000,,ПС 110/10 кВ Буинск,ОАО «МРСК Волги»
227673096,46.699095994,54.9081369156,substation,110000-10000,,ПС 110/10кВ Алтышево,ОАО «МРСК Волги»
279919300,47.5108505925,54.881236944,substation,110000-35000-10000,,ПС 110/35/10 кВ Шемурша,
