l_id,n_id_start,n_id_end,voltage,cables,type,frequency,name,operator,length_m,r_ohm_km,x_ohm_km,c_nf_km,i_th_max_km
1,104719368,88187651,220000,,line,,,,51632.0,,,,
2,104719368,104720150,220000,,line,,Basslink,,1982.0,,,,
3,167285260,167285336,220000,3,line,,-Bunnythorpe-Wairakei 220kV,Transpower New Zealand,170466.0,,,,
4,161270797,95894638,220000,3,cable,,,,8314.0,,,,
5,167791635,88191017,220000,3,line,,,,46602.0,,,,
6,24054804,239972088,220000,6,line,,,,1594.0,,,,
7,24054804,30837800,220000,3-6,line,,,,24806.0,,,,
8,24054804,28225387,220000,3-6,line,,,,14341.0,,,,
9,24054804,134534513,220000,6,line,,,,7231.0,,,,
10,95344674,299212125,220000,3-6,line,,-Brunswick-Stratford,Transpower New Zealand,93656.0,,,,
11,193910534,89180086,220000,3,line,,,,79560.0,,,,
12,61455399,75609279,220000,3-6,line,,-Huntly-Otahuhu 220kV,Transpower New Zealand,22780.0,,,,
13,30837800,41098451,220000,,cable,,,,8906.0,,,,
14,88191017,174441055,220000,3,line,,,,78841.0,,,,
15,89411122,87837416,220000,3-6,line,,-Bunnythorpe-Whakamaru 220kV line B,Transpower New Zealand,68246.0,,,,
16,89411122,167285336,220000,3-6,line,,-Bunnythorpe-Whakamaru 220kV line B-Bunnythorpe-Whakamaru 22kV line B,Transpower New Zealand,125083.0,,,,
17,56234037,107265156,220000,3-6,line,,,,137867.0,,,,
18,56234037,64943050,220000,3-6,line,,,,90698.0,,,,
19,270554679,255873374,220000,3,line,,,,7561.0,,,,
20,286063160,107265156,220000,3,line,,,,36980.0,,,,
21,286063160,205163985,220000,6,line,,,,80442.0,,,,
22,89664057,89664063,220000,3,line,,,,219.0,,,,
23,23718970,23718111,220000,3-6,line,,,,15760.0,,,,
24,23718970,64943050,220000,6,line,,,,7643.0,,,,
25,23718970,41098451,220000,3-6,line,,,,10076.0,,,,
26,23718970,21239912,220000,6,line,,,,16159.0,,,,
27,89664063,89665166,220000,3,line,,,,302.0,,,,
28,89664063,89637174,220000,3-6,line,,-Aviemore-Benmore 220kV,Transpower New Zealand,17443.0,,,,
29,89664063,89635947,220000,3-6,line,,-Benmore to Twizel line A-Benmore-Twizel 220kV,Transpower,34017.0,,,,
30,89664063,33795353,220000,3,line,,Benmore-Islington 220kV,Transpower New Zealand,160479.0,,,,
31,223942734,223943114,220000,3,line,,,,83634.0,,,,
32,223942734,223940475,220000,3,line,,,,84167.0,,,,
33,94840399,33795353,220000,3,line,,Islington-Roxburgh 220kV-,Transpower New Zealand,90554.0,,,,
