n_id,longitude,latitude,type,voltage,frequency,name,operator,not_accurate
305092097,153.436305695,-28.1032367085,substation,0,,,,
305092094,153.436177228,-28.1025494957,substation,0,,,,
173729963,178.026078565,-38.6440935085,substation,50000,,Gisborne substation,Eastland Network,Yes
400732687,178.311053177,-38.1235789308,sub_station,0,,,,
372546567,153.019881768,-27.3333071493,substation,0,,,,
23171307,153.08302043,-27.3898321177,sub_station,0,,,,
233929226,146.309989508,-42.2544485345,station,0,,,,
435794582,146.45724362,-42.2978087721,substation,0,,Tungatinah Switchyard,,
161270797,174.69036195,-36.739258017,substation,33000,,Albany substation,Transpower New Zealand,Yes
95894638,174.74673317,-36.780574919,substation,33000,,Wairau Road substation,,Yes
234863481,147.523738362,-41.1650544706,station,0,,,,
234864299,147.811771718,-41.133842141,plant,0,,,,
167434770,175.320203005,-38.0023170074,substation,11000,,Te Awamutu substation,Transpower New Zealand,Yes
270536018,175.537411957,-37.9242887881,substation,110000,,Karapiro substation,Transpower New Zealand,
167425043,175.368288546,-39.4266702469,substation,11000,,Ohakune substation,Transpower New Zealand,Yes
410151576,175.181682977,-38.7457818059,substation,33000,,Ongarue substation,Transpower New Zealand,Yes
367205270,175.701734711,-39.6579046268,substation,33000,,Mataroa substation,Transpower New Zealand,Yes
19388439,152.901545475,-27.5634925244,sub_station,0,,West Darra Substation,,
303420374,152.959926171,-27.5797239518,substation,0,,Richlands Substation,,
303417152,152.945053192,-27.5574554092,substation,0,,Sumner Substation,,
173223683,152.771132121,-27.5777745861,substation,0,,Abermain Substation,,
19386719,152.906028318,-27.4167964238,sub_station,0,,,,
46305863,152.87803475,-27.6209864158,sub_station,0,,Goodna Substation,,
26230300,153.115192366,-27.5366060242,substation,0,,Belmont Substation,,
26161587,153.070243616,-27.5829847737,sub_station,0,,Runcorn Substation,,
44418650,153.113263906,-27.4474428384,sub_station,0,,,,
168951331,176.578186353,-38.6336170773,substation,0,,Wheao substation,Trustpower,
93844343,176.226908391,-38.1484653315,substation,11000,,Rotorua substation,Transpower New Zealand,Yes
155682345,153.489315363,-27.518548387,substation,0,,Stradbroke Island Substation,,
307100131,153.384894139,-27.6659103917,substation,0,,,,
232293420,177.151331752,-38.8055130555,substation,110000,,Tuai substation,Transpower New Zealand,
413551915,177.40658466,-38.9967980677,substation,11000,,Wairoa substation,Eastland Network,Yes
93419961,176.762722283,-39.5994200669,substation,33000,,Fernhill substation,Transpower New Zealand,Yes
19388978,152.999505889,-27.5531307946,sub_station,0,,Rocklea Substation,,
302351763,153.008696562,-27.5575365969,substation,0,,Archerfield Substation,,
46146107,153.031364533,-27.5989009614,substation,0,,Algester Substation,,
187865148,175.177988272,-38.2514584043,substation,33000,,Hangatiki substation,Transpower New Zealand,Yes
272523195,175.642910501,-38.0718338938,substation,110000,,Arapuni substation,Transpower New Zealand,
87495237,174.816297753,-36.9043519207,substation,110000,,Penrose substation (110kV),Transpower New Zealand,
363290611,174.87437475,-36.9286249669,substation,0,,,,
154965833,174.764409326,-36.8559060953,substation,22000,,Liverpool zone substation,Vector,Yes
359449581,174.817631044,-36.9053225906,substation,22000,,Penrose substation (220kV),Transpower New Zealand,Yes
46339655,153.037603626,-27.6625948734,station,0,,,,
46099414,153.131484342,-27.6642112391,sub_station,0,,Loganlea Substation,,
175926345,147.078815811,-42.7804709866,substation,0,,New Norfolk Substation,Transend Networks,
175926350,147.076804092,-42.7799781206,station,0,,,,
175927476,147.101215969,-42.7794460287,station,0,,,,
95612087,153.360455526,-27.9788729281,station,0,,,,
125600603,153.37637597,-28.0696661311,station,0,,Robina Substation,,
23298443,147.254947592,-42.8431944185,station,0,,,,
233927398,147.280824639,-42.9895413681,station,0,,,,
233927458,147.07387429,-43.0229081936,station,0,,,,
167285336,175.639853189,-40.2807912504,substation,33000,,Bunnythorpe substation,Transpower New Zealand,Yes
174441055,146.990339782,-41.7874582606,substation,0,,,,
88187651,147.095067427,-41.5014313083,substation,0,,Hadspen Substation,Transend Networks,
87338082,175.82418623,-38.1337145122,sub_station,110000,,Lichfield substation,Transpower New Zealand,
270022030,176.159794482,-38.0739001515,substation,11000,,Tarukenga substation,Transpower New Zealand,Yes
