n_id,longitude,latitude,type,voltage,frequency,name,operator,not_accurate
152403693,7.95639214184,50.8880264992,sub_station,0,,,,
137070665,7.87060948669,50.8864840415,station,0,,,RWE,
89043564,7.98506747461,50.842225492,substation,220000;110000,50,Station Eiserfeld,Amprion,
152403700,7.9289663711,50.8178587206,sub_station,0,,,,
152808122,8.01623789624,50.908411132,substation,110000,50,,,
152403702,7.97080699678,50.7830191882,station,0,,,,
152403632,7.8639457228,50.7682419515,substation,380000;220000;110000,50,Station Dauersberg,RWE,
152403710,8.09976963939,50.7524100439,station,0,,,,
28207242,8.13101169488,50.8848649607,substation,110000,50,,,
207573407,8.00712554886,50.865284999,substation,110000,50,Eintracht,RWE,
157327362,13.3625139598,50.9092244718,substation,110000,50,Freiberg Hütte,,
157327359,13.3583868366,50.8998600246,substation,110000,50,Wacker Freiberg,,
149527595,13.1614978325,50.8649811695,sub_station,0,,Umspannwerk Oederan,enviaM,
149527175,13.3181247559,50.9158330323,substation,110000,50,Freiberg West,enviaM,
333790233,13.2573630784,50.930093805,substation,110000,50,Freiberg/Nord (110 kV),enviaM,
146512547,13.3294269796,50.8762459016,substation,110000,50,Umspannwerk Brand-Erbisdorf,enviaM,
26380971,12.9737847417,52.5407379676,substation,110000;15000,16.7,Unterwerk Priort,DB_Energie,
28775982,12.9691762252,52.4029689303,substation,110000;15000,16.7,Unterwerk Golm,DB_Energie,
29331392,13.3029423533,52.2335364132,substation,110000,50;16.7,Umrichterwerk Thyrow,DB_Energie,
27692916,13.277294326,52.3350129254,substation,110000;15000,16.7,Unterwerk Genshagener Heide,DB_Energie,
27645830,12.3458236568,52.4597586204,substation,110000,16.7,Schaltwerk Nitzahn,DB_Energie,
28776902,12.4100720573,52.38219333,substation,110000;15000,16.7,Unterwerk Kirchmöser,DB_Energie,
28278297,13.458417637,52.6082314621,substation,110000;15000,16.7,Unterwerk Karow,DB_Energie,
123105295,9.77361564182,52.5670779103,substation,110000,50,Meitze,EON_Netz,
26437278,9.88747577386,52.4944888303,substation,110000,50,Burgwedel,EON_Netz,
28074940,9.49340864441,52.5985230749,substation,110000,50,Büren,EON_Netz,
174530566,8.0392344736,47.559285503,substation,0,,,,
31367937,8.25192553515,47.6397698295,substation,220000;110000,50,Umspannwerk Gurtweil,EnBW,
202831211,7.9558939891,47.563941137,substation,0,,,,
25788423,6.85738626115,51.6792524957,substation,110000,,Station Schermbeck,RWE,
25091074,6.95245264153,51.6322113497,substation,110000,16.7,Schaltwerk Kirchhellen,DB_Energie,
178664497,6.60221486481,51.72956348,substation,110000,,Station Hamminkeln,RWE,
105662953,6.4990473327,51.7487204054,substation,110000;15000,16.7,Unterwerk Mehrhoog,DB_Energie,
23084417,6.22183149095,51.6946456456,substation,220000;110000,,Station Pfalzdorf,RWE,
33647679,6.30101489338,51.7303030921,substation,110000,,Station Monreberg,RWE,
34122030,6.44072930685,51.6616195618,substation,110000,,Station Xanten,,
