l_id,n_id_start,n_id_end,voltage,cables,type,frequency,name,operator,length_m,r_ohm_km,x_ohm_km,c_nf_km,i_th_max_km,not_accurate
1,48676864,27752534,110000,12,line,,,,4889.0,,,,,Yes
2,176029697,169809022,110000,6,line,,,,12380.0,,,,,Yes
3,85460311,45922590,110000,,line,,,,3302.0,,,,,
4,105070608,96283635,110000,6,line,,,,9932.0,,,,,Yes
5,105070608,174726316,110000,6,line,,,,28486.0,,,,,Yes
6,105070608,105070661,110000,6,line,,,,13475.0,,,,,Yes
7,105070608,452197323,110000,6,line,,,,51763.0,,,,,Yes
8,105070608,276080500,110000,6,line,,,,53486.0,,,,,Yes
9,105070608,276080485,110000,6,line,,,,25741.0,,,,,Yes
10,104554513,67498838,110000,6,line,,,,4654.0,,,,,Yes
11,104554513,93482528,110000,6,line,,,,4762.0,,,,,Yes
12,104554513,320965592,110000,6,line,,,,18333.0,,,,,Yes
13,162611222,164224743,110000,6,line,,,,5735.0,,,,,Yes
14,96701949,92372319,110000,6,line,,,,13533.0,,,,,Yes
15,96701949,130798960,110000,6,line,,,,25275.0,,,,,Yes
16,96701949,147523573,110000,6,line,,,,9839.0,,,,,Yes
17,198008863,198009967,110000,,line,,,,1698.0,,,,,
18,376340520,50339766,110000,6,line,,,МРСК-1,1039.0,,,,,Yes
19,376340520,117287943,110000,6,line,50,,МРСК-1,8983.0,,,,,Yes
20,376340520,129923050,110000,6,line,50,,МРСК-1,10625.0,,,,,Yes
21,376340520,44153188,110000,6,line,50,,МРСК-1,10133.0,,,,,Yes
22,237781034,421135596,110000,3,line,,,,53445.0,,,,,
23,228847625,191588676,110000,6,line,,С-91/С-92 (ПС «Чапаевка» - ПС «Катыльга»)--Отпайка от С-91/С-92 на ПС «Ломовая»,,52111.0,,,,,Yes
24,110796857,184798669,110000,3,line,,,,2261.0,,,,,
25,110796857,184811446,110000,6,line,,,,17457.0,,,,,
26,168239171,180788791,110000,6,line,,,,43389.0,,,,,
27,32571462,32571745,110000,,line,,,,2245.0,,,,,
28,32571462,48890716,110000,6,line,,,,14297.0,,,,,Yes
29,32571462,35285989,110000,6,line,,,,6760.0,,,,,Yes
30,140615780,203170966,110000,,line,,-Истомкино-Кашино/Истомкино-Монино-Истомкино-Кашино-Истомкино-Кашино/Ногинск-Шульгино,,16360.0,,,,,
31,140615780,131964717,110000,6,line,,-Ногинск-Монино-Истомкино-Кашино-Истомкино-Кашино/Ногинск-Шульгино,,38155.0,,,,,
32,219881575,279978581,110000,3,line,,,,35158.0,,,,,
33,219881575,222133214,110000,3,line,,,,58463.0,,,,,
34,219881575,279978582,110000,3,line,,,,59874.0,,,,,
35,219881575,219889824,110000,3,line,,,,19412.0,,,,,
36,126427242,126515493,110000,6,line,,,,10738.0,,,,,Yes
37,126427242,137338805,110000,6,line,,,,22272.0,,,,,Yes
38,126427242,122221842,110000,6,line,,,,22680.0,,,,,Yes
39,147644528,97963048,110000,6,line,,,,10361.0,,,,,Yes
40,147644528,129243723,110000,6,line,,,,13744.0,,,,,Yes
41,330006647,116695201,110000,6,line,50,,,12264.0,,,,,Yes
42,144437268,189890975,110000,6,line,,,,7787.0,,,,,
43,144437268,26354372,110000,6,line,,,,6939.0,,,,,Yes
44,116695174,283379848,110000,6,line,50,,,13893.0,,,,,
45,145227914,51844718,110000,6,line,50,,,2187.0,,,,,
46,107692183,107881747,110000,6,line,,,,3436.0,,,,,Yes
47,107692183,110255218,110000,6,line,,-ТЭЦ2-Кожино 110кВ,,5216.0,,,,,Yes
48,107692183,107943661,110000,6,line,,-Чигашево-Медведево 110кВ,,12606.0,,,,,Yes
49,372580506,98423617,110000,,line,,,,43976.0,,,,,
50,372580506,372580526,110000,,line,,,,10918.0,,,,,
51,372580506,121211432,110000,6,line,,,,34600.0,,,,,
52,372580506,189890975,110000,6,line,,,,37335.0,,,,,Yes
53,372580506,116299140,110000,,line,,,,40734.0,,,,,
54,372580509,116299140,110000,3,line,,,,25557.0,,,,,
55,219889824,279978586,110000,3,line,,,,72406.0,,,,,
56,219889824,279978587,110000,6,line,,,,71290.0,,,,,Yes
57,219889824,53366641,110000,6,line,,,,103241.0,,,,,Yes
58,219889824,242619649,110000,6,line,,,,90214.0,,,,,Yes
59,219889824,279978585,110000,6,line,,,,58037.0,,,,,Yes
60,219889824,227673096,110000,,line,,,,25271.0,,,,,
61,219889824,262366242,110000,,line,,,,92731.0,,,,,
62,219889824,262366241,110000,,line,,,,94271.0,,,,,
63,219889824,279919300,110000,,line,,,,69855.0,,,,,
64,219889824,279919302,110000,,line,,,,34982.0,,,,,
65,116695201,116683116,110000,6,line,50,,,5940.0,,,,,
66,116695201,172508720,110000,6,line,50,,МРСК Центра и Приволжья,33471.0,,,,,Yes
67,110370987,112681450,110000,3,line,,Красноокт.-? 110кВ-Медвед.-Красноокт. 110кВ,,12489.0,,,,,
68,110370987,107943661,110000,3,line,,Медвед.-Красноокт. 110кВ,,6866.0,,,,,
69,103686319,96283635,110000,6,line,,,,7465.0,,,,,
70,103686319,453094189,110000,6,line,,,,6974.0,,,,,
71,103686319,103761418,110000,6,line,,,,8470.0,,,,,
72,103686319,103983793,110000,6,line,,,,1395.0,,,,,
73,259338276,434906029,110000,6,line,,С-17 / С-18,,2757.0,,,,,
74,259338276,255772238,110000,6,line,,С-17 / С-18,,4199.0,,,,,
75,259338276,258448640,110000,6,line,,С-17 / С-18,,3847.0,,,,,
76,259338276,202649908,110000,6,line,,С-17 / С-18,,2311.0,,,,,
77,259338276,202168526,110000,6,line,,-С-17 / С-18,,1012.0,,,,,Yes
78,55263465,95386425,110000,6,line,,-Б-12,,3394.0,,,,,Yes
79,55263465,165278014,110000,6,line,,,,27709.0,,,,,Yes
80,157932242,85474813,110000,6,line,,,,17577.0,,,,,Yes
81,157932242,156136837,110000,6,line,,,,18007.0,,,,,Yes
82,133521691,51997624,110000,9,line,,-Сигма-Сенеж-Поварово-Солнечногорск I-Поварово-Солнечногорск II-Сигма-Сенеж-Поварово-Солнечногорск I-Поварово-Солнечногорск II,,46033.0,,,,,Yes
83,275095838,37479179,110000,6,line,,-ВЛ 110 кВ СУГРЭС - ПС Школьная,,29898.0,,,,,Yes
84,275095838,76449471,110000,6,line,,-ВЛ 110 кВ СУГРЭС - ПС Школьная,,48345.0,,,,,Yes
85,275095838,66264428,110000,6,line,,-ВЛ 110 кВ СУГРЭС - ПС Школьная,,35726.0,,,,,Yes
86,275095838,131114928,110000,6,line,,-ВЛ 110 кВ СУГРЭС - ПС Школьная,,53278.0,,,,,Yes
87,275095838,317157140,110000,6,line,,-ВЛ 110 кВ СУГРЭС - ПС Школьная,,32962.0,,,,,Yes
88,275095838,276394749,110000,6,line,,ВЛ 110 кВ ПС Школьная - ПС Рудянка,,22069.0,,,,,
89,267632930,106887628,110000,6,line,,С-13 / С-14,,6918.0,,,,,
90,267632930,275667154,110000,6,line,,-С-13 / С-14,,4797.0,,,,,Yes
91,267632930,279030763,110000,6,line,,-С-13 / С-14,,3966.0,,,,,Yes
92,267632930,202649908,110000,6,line,,С-14-С-13 / С-14,,5775.0,,,,,Yes
93,244793659,245911551,110000,,line,50,,,6385.0,,,,,
94,244793659,243253187,110000,,line,50,,,41755.0,,,,,
95,109560125,157080628,110000,,line,,,,28802.0,,,,,
96,111681855,111782021,110000,6,line,,,,4108.0,,,,,Yes
97,111681855,98242564,110000,6,line,,,,20847.0,,,,,Yes
98,67502413,151323345,110000,6,line,,,,525.0,,,,,
99,186048854,186911354,110000,6,line,,,,4061.0,,,,,
100,171057519,167241850,110000,3,line,,С-102 (С-101?) (ПС «Парабель» - ПС «Парабель КС»),,2685.0,,,,,
101,313442684,314277239,110000,3,line,,,,27921.0,,,,,
102,325190015,254463816,110000,6,line,,,,18823.0,,,,,Yes
103,176374151,97947939,110000,6,line,,,,9224.0,,,,,Yes
104,97576344,269526146,110000,6,line,,,,25871.0,,,,,Yes
105,97576344,147634538,110000,6,line,,,,18748.0,,,,,
106,304333210,304333208,110000,,line,,,,71.0,,,,,
107,304333210,304333211,110000,,line,50,,ОАО «МРСК СК»,64.0,,,,,
108,120823877,229841888,110000,6,line,,ВЛ Нурлаты - Федоровская 110 кВ,,18681.0,,,,,Yes
109,120823877,121218185,110000,6,line,,-ВЛ Нурлаты - Федоровская 110 кВ,,37812.0,,,,,Yes
110,120823877,171977680,110000,6,line,,ВЛ Федоровское - Каратун 110кВ-ВЛ Нурлаты - Федоровская 110 кВ-ВЛ Апастово - Каратун 110кВ,,37588.0,,,,,Yes
111,120823877,176838936,110000,6,line,,ВЛ Федоровское - Каратун 110кВ-ВЛ Нурлаты - Федоровская 110 кВ,,29451.0,,,,,Yes
112,97124768,145399632,110000,6,line,,,,32418.0,,,,,Yes
113,97124768,97124903,110000,6,line,,,,18504.0,,,,,Yes
114,320242092,337489089,110000,6,line,,,,78545.0,,,,,Yes
115,108913072,190492574,110000,,line,,,,4656.0,,,,,
116,313033143,60450100,110000,6,line,,-С-245 / С-246-С-246-С-245,,13690.0,,,,,Yes
117,313033143,312889001,110000,3,line,,С-246-С-245,,6545.0,,,,,
118,259523001,130661477,110000,6,line,50,-С-7-С-7 / С-8,,3460.0,,,,,Yes
119,259523001,106887628,110000,6,line,50,-С-7-С-7 / С-8-С-8,,12696.0,,,,,Yes
120,259523001,254770727,110000,6,line,50,-С-7-С-7 / С-8-С-8,,12349.0,,,,,Yes
121,259523001,255181607,110000,6,line,50,-С-7-С-7 / С-8-С-8,,5785.0,,,,,Yes
122,42918338,128448427,110000,6,line,,,,3181.0,,,,,
