l_id,n_id_start,n_id_end,voltage,cables,type,frequency,name,operator,length_m,r_ohm_km,x_ohm_km,c_nf_km,i_th_max_km,not_accurate
1,121436161,121431080,110000,6,line,,,,14175.0,,,,,Yes
2,119776135,95344808,110000,3,line,,,,25891.0,,,,,
3,119776135,119889425,110000,3,line,,,,22403.0,,,,,
4,103247113,30455625,110000,,line,50,,,17408.0,,,,,
5,103247113,140087862,110000,,line,50,,,11190.0,,,,,
6,119889425,95344808,110000,3,line,,,,48131.0,,,,,
7,132373153,131742617,110000,6,line,,,,32864.0,,,,,Yes
8,131742617,125400551,110000,3,line,,,,18958.0,,,,,
9,131742617,167081680,110000,3,line,,,,26423.0,,,,,
10,121445146,321507700,110000,3,line,,,,4324.0,,,,,
11,94811802,184250655,110000,6,line,50,,,9140.0,,,,,Yes
12,94811802,48571065,110000,6,line,50,,,7420.0,,,,,Yes
13,94811802,394868441,110000,6,line,50,,,7541.0,,,,,Yes
14,94811802,220292365,110000,6,line,50,,,6465.0,,,,,Yes
15,184250655,123910738,110000,6,line,50,,,20938.0,,,,,
16,184250655,236802012,110000,,line,50,,,15034.0,,,,,
17,184250655,26409096,110000,,line,50,,,4572.0,,,,,
18,28321441,205950704,110000,6,line,50,,,20961.0,,,,,
19,28321441,28321693,110000,,line,50,,,11598.0,,,,,
20,132427431,132418400,110000,6,line,,,,3813.0,,,,,
21,132427431,132418396,110000,6,line,,,,5538.0,,,,,Yes
22,28321463,184055287,110000,,line,50,,,60559.0,,,,,
23,48571065,194041555,110000,6,line,50,,,1414.0,,,,,
24,164546271,164546272,110000,3,line,,,,7578.0,,,,,
25,194041555,120227699,110000,,line,50,,,7318.0,,,,,
26,194041555,94815220,110000,6,line,50,,,3751.0,,,,,Yes
27,131639003,132418400,110000,6,line,,,,21238.0,,,,,
28,265095232,265095249,115000,6,line,60,,,670.0,,,,,Yes
29,462622623,265064743,115000,6,line,60,,,4517.0,,,,,
30,265064743,462748563,115000,6,line,60,,,7276.0,,,,,
31,265064743,462748561,115000,6,line,60,,,6507.0,,,,,
32,265064743,462634344,115000,6,line,60,,,4042.0,,,,,Yes
33,208550292,208406049,115000,3,line,50,,,93999.0,,,,,
34,208239835,208238608,115000,3,line,50,,,5382.0,,,,,
35,413160960,413160965,132000,3,line,,,,5501.0,,,,,
36,413160960,323007048,132000,6,line,,,,74980.0,,,,,Yes
37,124680196,429400926,132000,3,line,50,Puerto Madryn - Parque eólico Loma Blanca,TRANSPA SA,42731.0,,,,,
38,313124869,323007043,132000,6,line,,,,1850.0,,,,,
39,193433094,299759041,132000,4,line,,,,68728.0,,,,,
40,413160968,400351708,132000,6,line,,,,82744.0,,,,,Yes
41,413160970,215284916,132000,3,line,,,,3234.0,,,,,
42,309667851,310052104,132000,3,line,,,,43662.0,,,,,
43,309667851,293481053,132000,6,line,,,,8573.0,,,,,Yes
44,309667851,214867293,132000,6,line,,,,56969.0,,,,,Yes
45,309667851,154629011,132000,3,line,,,,10017.0,,,,,
46,321753613,274188832,132000,,line,,,,79997.0,,,,,
47,321753613,208412024,132000,,line,,,,80762.0,,,,,
48,263644686,254366935,132000,,line,,,,33932.0,,,,,
49,263644686,274188832,132000,,line,,,,64448.0,,,,,
50,348404653,348413858,132000,3,line,,,,47594.0,,,,,
51,413160978,413160933,132000,6,line,,,,790.0,,,,,Yes
52,413160978,215284916,132000,3,line,,,,2221.0,,,,,
53,423734292,323007050,132000,6,line,,,EPESF,71380.0,,,,,Yes
54,314578968,267158870,132000,6,line,,,,13126.0,,,,,Yes
55,314578968,277641812,132000,6,line,,,,18190.0,,,,,Yes
56,314578968,276036475,132000,6,line,,,,1750.0,,,,,Yes
57,314578968,277739296,132000,3,line,,,,24876.0,,,,,
58,329781274,188145045,132000,3,cable,,,EPESF,2169.0,,,,,
59,329781274,193707888,132000,3,line,,,EPESF,20090.0,,,,,
60,329781274,287736587,132000,6,line,,,EPESF,19739.0,,,,,Yes
61,194575899,230950275,132000,3,line,,,,2015.0,,,,,
62,194575899,213353516,132000,3,line,,,,12328.0,,,,,
63,194575899,214867294,132000,6,line,,,,76036.0,,,,,Yes
64,251640352,251673647,132000,6,line,,,,34070.0,,,,,Yes
65,421247522,421433431,132000,3,line,,,,44465.0,,,,,
66,421247522,363050268,132000,6,line,,,,91800.0,,,,,Yes
67,320719910,323007038,132000,6,cable,,,,6848.0,,,,,
68,381521453,323007048,132000,6,line,,,,37962.0,,,,,Yes
69,199147054,195246048,132000,6,line,,,Transba,17855.0,,,,,
70,199147054,285751980,132000,6,line,,,,16799.0,,,,,
71,323007027,163331032,132000,6,line,,,,16547.0,,,,,Yes
72,323007027,321398723,132000,6,line,,,,18051.0,,,,,Yes
73,323007032,323007054,132000,6,line,,,,3753.0,,,,,Yes
74,413160973,413160958,132000,3,line,,,,20021.0,,,,,
75,191859780,323007058,132000,3,line,,,,7444.0,,,,,
76,58676298,321536940,132000,6,line,,,,60218.0,,,,,Yes
77,58676298,322915916,132000,6,line,,,,16766.0,,,,,Yes
78,255783500,277739294,132000,6,line,,,,75466.0,,,,,Yes
79,255783500,314623617,132000,12,line,,,,22416.0,,,,,Yes
80,255783500,183904319,132000,12,line,,,,25067.0,,,,,Yes
81,255783500,348409732,132000,6,line,,,,97930.0,,,,,Yes
82,255783500,348413858,132000,6,line,,,,87012.0,,,,,Yes
83,323007054,272051854,132000,6,line,,,,17608.0,,,,,Yes
84,193412175,323007050,132000,6,line,,,,6322.0,,,,,
85,193412175,400351708,132000,6,line,,,,67042.0,,,,,Yes
86,193412175,413160966,132000,6,line,,,,140117.0,,,,,Yes
87,204494929,204494933,132000,3,line,50,,,16238.0,,,,,
88,248861779,208412024,132000,3,line,,,,81486.0,,,,,
89,248861779,323105942,132000,3,line,,,,81032.0,,,,,
