id,lon,lat,name,osm_id,voltage,type,poly
1,-69.014930989,-24.2661584303,None,121436161,None,substation,0103000020E61000000100000006000000692179F8FA4051C0B444717A1F4438C0D1514590F94051C0DFF2CB38154438C06E3C0D1DF44051C0754A6AA9124438C072E7FE7CEE4051C092CFB2AE224438C089E139B5F24051C06814DB1D394438C0692179F8FA4051C0B444717A1F4438C0
2,-69.0961967585,-24.2517687095,Sulfuros,121431080,None,substation,0103000020E6100000010000000500000083196445304651C02252DC90904038C0E9B0F6EA2F4651C0B438014F544038C0901A39651F4651C00CCE65CA584038C0DC3536A0204651C041D6AF21934038C083196445304651C02252DC90904038C0
3,-69.799466604,-26.3291602717,None,119776135,None,substation,0103000020E6100000010000000500000067CBFCB42E7351C0AC44BED13C543AC07E0A09E5267351C09BE2C7FF38543AC0EF6DF636267351C0786035E04A543AC0D82EEA062E7351C0842B2BB24E543AC067CBFCB42E7351C0AC44BED13C543AC0
4,-70.0390272521,-26.3982096151,Diego de Almagro,95344808,220000;110000,substation,0103000020E61000000100000009000000444213A5988251C0224FCA4CDF653AC033CF8DA97D8251C0F500228C85653AC09E31DA93738251C0C08FAAE1AC653AC0EF99D169728251C0FD1A7612BB653AC026B40B316F8251C0000B4C81BE653AC05574EEF9618251C091C1BB31F2653AC06FFACCCA818251C0B33FF6FD5B663AC0C60E301E988251C03C724FB705663AC0444213A5988251C0224FCA4CDF653AC0
5,-69.5961122559,-26.2813898891,None,119889425,None,substation,0103000020E61000000100000007000000404454FA2C6651C0198B4B3B1A483AC01C8CCE8C296651C03ECBA090F1473AC0B764DEAB286651C05172B00AEF473AC0FC0E98BA216651C0DCCF6C4BF6473AC0C05CCAA6206651C0E611AE41FB473AC0528DD518246651C0962186AF23483AC0404454FA2C6651C0198B4B3B1A483AC0
6,-70.6285786409,-33.3592635686,Subestación El Salto,103247113,None,substation,0103000020E61000000100000005000000C5D5CC5356A851C0B58565EEF1AD40C03CE037C73AA851C0EEDFCFE1CCAD40C08B6770F61EA851C0D7B160B706AE40C0401DCE6F3AA851C079976DDA2BAE40C0C5D5CC5356A851C0B58565EEF1AD40C0
7,-70.5082544212,-33.4277742164,SE Los Almendros,30455625,None,substation,0103000020E610000001000000050000000AEEC99599A051C0B0B4814DACB640C04BDEFA4181A051C0D785D1BF9DB640C0DF9C36BE74A051C04A7F1751D6B640C03D82287E8DA051C0F7DBF5A2E4B640C00AEEC99599A051C0B0B4814DACB640C0
8,-70.6394024821,-33.4273351022,Subestacion Eléctrica San Cristobal,140087862,None,substation,0103000020E6100000010000000700000056C2CDD8F5A851C0A318CD57B8B640C044EE3C1BF3A851C0DE6FEF18A4B640C0035B9684E4A851C01AF57F69A2B640C025CF0A7CE1A851C0FD30FBCFA3B640C04F361064E7A851C049296A83C4B640C0C5F895E2ECA851C09B6C568DC8B640C056C2CDD8F5A851C0A318CD57B8B640C0
9,-49.1834730524,-25.6687227276,None,132373153,None,substation,0103000020E61000000100000014000000180A26A4B29748C01FCA1C0B1AAB39C0D0FA85CB569748C0A0287B96E2AA39C094CF46AA529748C0E8E5F322F8AA39C0C9999923539748C0E70F8B06FAAA39C0ED618383549748C010A5CE23FBAA39C0E1EA43E5539748C0BC1707C9FEAA39C008DE18EE529748C00C91BC28FEAA39C09568809C519748C01C9646A0FEAA39C00FBB7D324B9748C0C303AF0221AB39C08DEE60B94B9748C09A3A400624AB39C0B4A83AA24C9748C0F4927E2E27AB39C0E49535454E9748C067FC831729AB39C0DD5404144D9748C029E454E62FAB39C06794C5A24B9748C060BD89F42EAB39C081105B0D4A9748C075F887512EAB39C04FD8B94A489748C06E14711030AB39C0083AD613459748C07E001E1A3FAB39C0E0A826AA879748C05CB3A5867AAB39C0BD73681EA29748C0DE4F7DB673AB39C0180A26A4B29748C01FCA1C0B1AAB39C0
10,-49.3186252758,-25.5936484208,None,131742617,None,station,0103000020E6100000010000000B000000132DA6C23FA948C06AA95A4B4A9839C02EDEB5A02DA948C05EDE5A07249839C0FFF74FA725A948C0320E8F630D9839C0BF0B00E80FA948C06C8FF625929739C0B2A2EA9C02A948C0081EDB595F9739C02DE65D9EDEA848C0F0D3A24F139739C00CF73DFAD3A848C0E87B48C7E09639C098D36C3A6DA848C09C56144E5E9739C07FCA2D5195A848C07449180C149939C0A9ACEB53A2A848C091A1729A0F9939C0132DA6C23FA948C06AA95A4B4A9839C0
