n_id,longitude,latitude,type,voltage,frequency,name,operator
27752534,37.4408153346,55.6996142324,substation,None,,"Электроподстанция №214 ""Очаково"" 500кВ",
270181521,37.3682233055,55.6339621966,substation,220000-110000-10000,,ПС Чоботы,МОЭСК
129537797,37.4094346505,55.6301714836,substation,None,,,
136285897,37.5026832548,55.6071830606,substation,220000,,Ясенево,
333818284,32.4167744209,55.6043889585,substation,220000,,ОРУ,
333824929,33.3531597564,55.5462197099,substation,220000,,Компрессорная,
251284718,32.1507918475,54.6625722167,substation,330000,,Талашкино,
333847149,32.762143686,55.0635493613,substation,220000,,Литейная,
59369730,34.0463705639,53.108627721,substation,750000-500000-220000-110000-10000,,ПС 750 кВ Новобрянская,ФСК ЕЭС
84014590,34.3577213452,53.291423883,substation,220000,,Машзавод,
330249043,34.0963380057,53.2997649936,substation,220000,,Брянская,
34230041,35.5113860338,52.4144890351,substation,330000-220000-110000,50,Железногорская,ОАО ФСК ЕЭС
289290681,32.7136542007,52.7752772897,substation,220000,,Найтоповичи,
157898255,38.4695310401,55.7447298522,substation,220000,,Шибаново,
167299750,38.6349471184,55.3124429316,substation,220000-110000,,"ПС 220кВ ""Федино""",
398296063,38.6847338278,55.7599447367,substation,None,,,
49397277,37.0680991905,55.565376191,substation,220000-110000-fixme,,,
80875857,36.6278731719,55.4719415346,substation,None,,"ПС 220кВ ""Кедрово""",
127707680,36.301932068,54.5845071858,substation,None,,Спутник,Калугаэнерго
48993861,36.4821937404,54.1369437597,plant,None,,Черепетская ГРЭС,ОАО «Интер РАО – Электрогенерация»
378531419,37.19032144,55.9563432085,substation,None,,,
175580221,37.2417081024,55.9403192122,substation,220000-110000-10000,,Подстанция №840 «Омега»,
90307679,36.9640604974,56.2261285756,substation,220000-110000-35000-6000,,Подстанция №140 «Радищево»,ФСК ЕЭС
330911451,42.3841253908,58.3862185217,substation,220000,,Галич,
202053031,41.6121787885,58.3755212685,substation,220000,,Борок,
170328107,38.1624517656,54.1304488568,substation,220000,,"ПС 220/110кВ ""Химическая""",
313392385,38.2378778993,54.0869520428,generator,None,,Новомосковская ГРЭС,ОАО «Квадра»
131244320,38.9936483324,54.269444037,substation,500000,,Михайловская,ФСК ЕЭС
326280400,37.6847430426,54.1454887636,substation,220000,,Металлургическая,
158143768,37.6082578178,54.1241165688,substation,220000,,Тула,ОАО ФСК ЕЭС
168562526,38.1594588385,54.0820293205,substation,220000,,"ПС 220/110кВ ""Северная""",
131113006,36.4708138658,55.9002504179,substation,220000-35000-6000,,"ПС 220кВ ""Шмелево""",
198759356,37.0727527837,55.870077809,substation,None,,,
192756278,38.9022833598,54.7895446479,substation,220000,,Осетр,
134158391,41.1683764771,57.4603141242,substation,None,,,
79434617,41.175206679,57.4597534794,plant,None,,Костромская ГРЭС,ОАО «Интер РАО – Электрогенерация»
324892217,37.6541417094,51.3106295892,substation,330000-220000-110000-35000,50,Губкин,ОАО ФСК ЕЭС
394340868,39.2009261354,51.2750281614,plant,None,,Нововоронежская АЭС,ОАО Концерн Росэнергоатом
131236410,40.0705063087,52.5390155523,substation,500000-220000-35000,50,Липецкая,ОАО ФСК ЕЭС
127501910,39.8754904795,52.4717386238,substation,220000-27500-10000,50,"ПС 220/25/10кВ ""Грязи-Орловские-тяговая""",ОАО РЖД
280827000,39.6959224341,52.0457169495,substation,220000-35000-27500,50,"ПС 220/25/10кВ ""Усмань-тяговая""",ОАО РЖД
237740453,39.905569641,52.4663743404,substation,220000-35000-27500,50,"ПС 220/25/10кВ ""Пост-474-тяговая""",ОАО РЖД
285152648,39.6597649499,52.5330721055,substation,220000-110000-10000,50,Северная,ОАО ФСК ЕЭС
326150724,41.5025049721,52.4598705798,substation,220000-110000-10000,50,"ПС 220/110/10кВ ""Котовская""",ОАО ФСК ЕЭС
285152654,39.6764699769,52.5466609582,substation,220000-110000-10000,50,Металлургическая,ОАО ФСК ЕЭС
115559593,39.7157505341,52.6417150133,substation,220000-110000-35000,50,Сокол,ОАО ФСК ЕЭС
