l_id,n_id_start,n_id_end,voltage,cables,type,frequency,name,operator,length_m,r_ohm_km,x_ohm_km,c_nf_km,i_th_max_km
1,245129313,169620109,220000,3,line,,"ВЛ 220 кВ ""НС-3 - Черноморское""",,36552.0,,,,
2,97343458,100630571,220000,3,line,,,,58130.0,,,,
3,97343458,98873300,330000-220000,3-3-3,line,,,,31779.0,,,,
4,97343458,398650407,220000,3-6,line,,"-ВЛ 220 кВ ""Кафа - Джанкой""-ВЛ 220 кВ Кафа - Насосная-2-ВЛ 220 кВ Кафа  Насосная-2",,119234.0,,,,
5,108928068,398650407,220000,3,line,,"ВЛ 220 кВ Кафа - Феодосия №2-ВЛ 220 кВ ""Симферополь - Феодосия""-ВЛ 220 кВ Кафа - Феодосийская №2-ВЛ 220 кВ ""Кафа - Феодосия"" (цепь № 2)",,5165.0,,,,
6,108928068,169620109,220000,3,line,,"ВЛ 220 кВ ""Феодосия - НС-3""",,66502.0,,,,
7,208388454,100630571,220000,,line,,,,1248.0,,,,
8,398650407,385220958,220000,3,line,,ПП-2 Крым - ПС Кафа-КВЛ 220 кВ Тамань - Кафа I-II цепи-КВЛ 220 кВ  Тамань - Кафа I цепь,,72884.0,,,,
9,96934635,100630571,220000,3,line,,-ВЛ 220 кВ Титан – Красноперекопск,,32759.0,,,,
10,169620109,255581277,220000,3,line,,"-ВЛ 220 кВ ""НС-3 - Камыш-Бурун""",,50437.0,,,,
11,169620109,248646702,220000,3-6,line,,,,20603.0,,,,
12,100630571,101410484,220000,3,line,,,,23896.0,,,,
13,98873300,238941845,220000,3,line,,,,24459.0,,,,
14,385129142,385220958,220000,,cable,,подводный переход Кубань-Крым,,16721.0,,,,
15,100595259,99389922,220000-330000-110000,3-3-3-6,line,,,,32250.0,,,,
16,255581277,385220958,220000,,line,,ПП 2 Крым - ПС Камыш-Бурун,,36095.0,,,,
