id,lon,lat,name,osm_id,voltage,type,poly
1,33.7559283848,45.9823718742,None,208398342,None,substation,0103000020E61000000100000005000000603B4168B9E04040A65F331AC1FD4640D0897C2BC5E0404013A9C9C9C4FD4640F13FAE1DCBE040402B23569EBBFD46401908B259BFE040403DBBCAEFB7FD4640603B4168B9E04040A65F331AC1FD4640
2,33.6785254076,46.0978522371,None,96911801,None,substation,0103000020E6100000010000000600000069419745C9D6404057700327900C47401010135CE5D64040C9CFED44930C4740F1D6E091EAD6404039E51AB17C0C47404A08657BCED640405DF82D93790C4740CABB4EB9CBD64040260DA085850C474069419745C9D6404057700327900C4740
3,33.767650777,45.8074373493,None,105134610,None,substation,0103000020E6100000010000000700000028805F4B2FE240402C682DEF66E746406757FD7B51E2404036A6BDD868E74640CEC0B7C554E2404041F975574CE7464014D792EC3DE2404058ECAD0F4BE746404FD06B973DE24040C12BF7F64DE7464062F9313F32E24040972320544DE7464028805F4B2FE240402C682DEF66E74640
4,33.7810881467,45.8289854422,None,228039130,None,station,0103000020E6100000010000000500000033E5340DF3E34040E73DCB9319EA46405CA3A97EF5E3404066803DE420EA4640D876345702E4404089F254D01EEA4640AFB8BFE5FFE340404BB85B7F17EA464033E5340DF3E34040E73DCB9319EA4640
5,33.8028399145,45.8485749518,None,227917549,None,station,0103000020E61000000100000005000000B9FA5F0EBCE640402764791899EC4640C03B913FBDE64040894E84D8A3EC46408A1C09DCCAE640406F8B9A1CA3EC4640EAC498ABC9E6404047B8155D98EC4640B9FA5F0EBCE640402764791899EC4640
6,33.5225470617,45.701500191,None,182693405,None,substation,0103000020E61000000100000006000000FEC3BDDFD2C24040F10DF9A2CAD94640E115B590D6C24040FE44A34DCFD946400BA64438E3C240405BAC5BCAD6D946407D718C91F3C24040A7E25EACC8D94640CA0F9712E3C240405A6F4B2ABFD94640FEC3BDDFD2C24040F10DF9A2CAD94640
7,33.6704663955,45.7776538632,None,227850934,None,station,0103000020E610000001000000050000003F22C39BC9D540409898808F89E34640406D5C4DD0D54040A057A2D58FE346404E4FF013DAD54040FFA902C48AE34640E61A9661D3D5404093AFD27C84E346403F22C39BC9D540409898808F89E34640
8,33.8117103554,45.2325698181,None,97963048,None,substation,0103000020E6100000010000000700000042AD11F9C6E7404090CD2B30B99D464021097E98C9E740405089A4E1D19D4640229514C3EBE74040C4B40315D09D464076DF972FECE74040EDD08111D49D4640D64FB36A03E84040E65C68D8D29D46400C93845F00E84040B3B86E2AB69D464042AD11F9C6E7404090CD2B30B99D4640
9,33.7793645481,45.3632742548,None,182257101,None,station,0103000020E6100000010000000500000023B30CCBB6E340405B92482D83AE4640D0EC0354C8E3404055CEF65487AE4640DD9C31A4CDE34040E4F63D427CAE4640047ADA00BCE34040ECFA434B78AE464023B30CCBB6E340405B92482D83AE4640
10,33.7923679114,45.2494760698,None,182053875,None,substation,0103000020E6100000010000000500000056A7F7166AE540408ECA9F23F19F464006E1087C6EE54040D85E852AF19F4640827717886EE540406A4B9E85EC9F46403927C7236AE54040D656C87FEC9F464056A7F7166AE540408ECA9F23F19F4640
11,33.7926180762,45.9696251869,ПС 220 кВ,100630571,None,substation,0103000020E61000000100000009000000E96579F72DE54040D993F66B2DFC46401244033B9FE54040A42ADE0F37FC464025110CBDA1E540401EEE823F29FC4640E6171936AFE540404887617C2AFC4640CFB8518FB4E54040B691034109FC4640C8B442CF53E540402BE9627301FC46409E3651B94FE54040A3EFAEB814FC46409998022132E540405EE7CCF911FC4640E96579F72DE54040D993F66B2DFC4640
12,33.7984141999,45.9435789803,None,227918768,None,station,0103000020E61000000100000005000000380DC1132AE64040FC372DD9C8F8464003550C2C32E64040DDED1B3CCDF846404CD03ACB3AE640405641708BC5F84640515B71B432E64040DC2EFA27C1F84640380DC1132AE64040FC372DD9C8F84640
13,33.1730106069,45.6285671937,None,136617636,None,station,0103000020E610000001000000050000003FF76FE51C9640405874EDDE72D04640673C66DB22964040FBD987E47AD04640595036DC2D964040F71E71CD76D04640A367A5FC269640408B9B2BD86ED046403FF76FE51C9640405874EDDE72D04640
14,33.2593687552,45.5610061844,None,136079772,None,station,0103000020E6100000010000000700000099D0BECE14A140403DE05B00DBC746406201BE785BA14040C70890D8DCC7464095806AD25BA1404012D26E2BD8C74640216E17E24CA14040CCF7AD8DD7C74640866C70954DA140404BA13104C2C74640CB08609116A1404028D1C46AC0C7464099D0BECE14A140403DE05B00DBC74640
15,33.2179003535,45.5504131197,None,182595822,None,station,0103000020E61000000100000005000000FBD94324E29B404042AED0B574C64640C4F6B001E69B404042AED0B574C6464078427AD4E59B4040EAE4501C73C646407B0D27ABE29B4040EAE4501C73C64640FBD94324E29B404042AED0B574C64640
16,33.2307244258,45.2957091522,None,129104957,None,station,0103000020E610000001000000070000008D200F38859D404083188C40DDA54640A3F1B242899D40403A485A60DDA54640A987FF81899D4040A3EC66F0D9A54640BFF1DC7E8C9D4040A3EC66F0D9A54640F27089D88C9D404015813258D7A546400D54F2BE859D4040D86B6BF2D6A546408D200F38859D404083188C40DDA54640
17,33.2574324656,45.3319122839,None,129104959,None,station,0103000020E61000000100000007000000BD13B41BE7A04040830D0D787DAA46407EDA3D39F6A040402AD6B60484AA4640DE4D6003FFA040408B7D0CE379AA4640E83C7DB5F2A0404094BE7F1374AA4640A6D4A7EBEEA040401F042FEC78AA4640434FCDB3EAA0404083D7436A79AA4640BD13B41BE7A04040830D0D787DAA4640
18,33.1773735313,45.3414551731,None,129108429,None,station,0103000020E61000000100000005000000007434CAAE9640401B4B856EB8AB4640476BC129B9964040B08514AEB8AB46409763163BB9964040563D9F0BB1AB464065728D7DAF96404045DEF4E4B0AB4640007434CAAE9640401B4B856EB8AB4640
19,33.1044915224,45.3359636997,None,101410484,None,substation,0103000020E610000001000000050000000F7062A6328D4040899661621BAB46404A7AB9208A8D4040EF65048B1CAB46406E09A8608D8D4040F7F7A00FE6AA46408FBC7868358D4040E1491489E5AA46400F7062A6328D4040899661621BAB4640
20,33.2464447622,45.3476774824,None,148046380,None,generator,0103000020E6100000010000000B000000E0D6A10D719F4040276E2FDB5EAC46404DC58422899F4040A72BEE906CAC4640488159D08F9F4040262482A67AAC4640D23C93FB829F40400AF73A5D9DAC4640D6E7845B7D9F404003373477B4AC464068FA0EF6889F404010D7A26EB7AC46408CDFAC3D9B9F40408E7F49B181AC46400EDE2F2D9F9F40404FA76E0773AC464096003066939F40403212AE1A62AC464027E0D96C7D9F4040275718A952AC4640E0D6A10D719F4040276E2FDB5EAC4640
21,35.3681785951,45.0564539371,ПС 220/110/35/10 кВ «Феодосия»,108928068,220000,substation,0103000020E6100000010000000F000000E59F0733C7AE414098CD8F2A2F874640EAE01E88D5AE414096F7C2DD3687464085C67E9CE7AE414017E77CC140874640523C16484BAF4140071B5F1777874640871C88FF62AF41400B059DAD6087464083AD984E58AF41400633697D368746402C9FF0465BAF414018BA3D34318746400EDD552B1CAF4140FFC28B970D87464024145394FDAE41403BB9B8C9FC8646409FB87E85F7AE414007D6D1BE018746402DBF6B3EE4AE4140809500471487464064DF6DBFF3AE41409EB480611C874640D49A8A1CDDAE41401543313430874640233D3026CEAE414082EA725F28874640E59F0733C7AE414098CD8F2A2F874640
